Scotland's Census 2022 - National Records of Scotland
Table UV304 - Long-term health conditions
All people
,"All people","Deaf or partially hearing impaired","Blind or partially vision impaired","Full/partial loss of voice or difficulty speaking","Has one or more of learning disability, learning difficulty or developmental disorder","Physical disability","Mental health condition","Long-term illness, disease or condition"
"S00141060",72,8,1,-,2,4,6,23
"S00141061",77,6,2,-,1,7,5,19
"S00141062",113,4,4,-,3,8,20,26
"S00141063",79,4,3,2,6,6,12,15
"S00141064",143,20,14,2,6,36,26,55
"S00141065",107,20,1,1,5,13,10,28
"S00141066",81,13,4,-,1,11,6,21
"S00141067",127,6,5,-,11,16,14,22
"S00141068",85,6,1,-,-,6,8,23
"S00141069",80,12,2,-,-,14,5,16
"S00141070",134,15,4,-,2,17,11,43
"S00141071",111,7,-,-,6,9,5,28
"S00141072",69,7,-,-,4,4,8,22
"S00141073",118,12,7,-,8,5,6,24
"S00141074",131,13,7,-,11,18,11,24
"S00141075",172,15,7,2,5,18,18,48
"S00141076",136,7,5,1,8,14,18,34
"S00141077",96,12,3,-,7,7,10,32
"S00141078",160,14,11,1,2,11,7,36
"S00141079",95,6,1,2,8,14,9,29
"S00141080",115,6,1,-,6,7,9,21
"S00141081",92,6,4,-,-,17,3,15
"S00141082",74,7,6,-,5,12,7,27
"S00141083",97,15,4,-,4,5,7,26
"S00141084",168,20,3,-,2,16,18,45
"S00141085",187,18,7,-,7,21,29,38
"S00141086",118,21,2,1,9,16,9,28
"S00141087",162,15,2,-,3,16,6,32
"S00141088",79,9,5,1,3,13,7,20
"S00141089",120,15,7,-,7,18,16,42
"S00141090",80,9,5,-,11,10,13,17
"S00141091",124,1,1,-,12,8,13,30
"S00141092",87,8,1,-,2,11,8,20
"S00141093",147,9,4,2,5,7,6,28
"S00141094",117,17,4,-,4,20,16,29
"S00141095",71,10,4,-,6,6,3,18
"S00141096",140,5,1,-,6,13,16,22
"S00141097",108,9,7,1,9,14,18,31
"S00141098",111,6,1,-,3,11,9,22
"S00141099",89,8,-,-,2,14,10,35
"S00141100",114,11,7,-,4,13,6,31
"S00141101",127,7,4,-,5,21,9,37
"S00141102",88,14,6,-,3,16,3,26
"S00141103",118,14,9,-,10,18,21,32
"S00141104",71,9,-,-,8,7,7,19
"S00141105",80,6,2,-,4,4,2,19
"S00141106",131,7,6,-,3,13,10,23
"S00141107",105,20,2,-,-,11,4,33
"S00141108",191,13,3,-,4,12,8,42
"S00141109",81,12,2,-,6,12,11,26
"S00141110",198,9,1,-,5,14,15,42
"S00141111",130,8,1,-,1,8,9,25
"S00141112",143,15,9,-,8,20,12,34
"S00141113",85,7,1,-,5,6,2,15
"S00141114",60,3,-,-,2,2,3,10
"S00141115",90,7,2,2,3,13,15,25
"S00141116",72,3,2,-,-,3,3,17
"S00141117",145,18,8,-,9,13,8,25
"S00141118",100,8,4,4,3,12,18,20
"S00141119",89,7,-,1,5,11,2,27
"S00141120",71,6,2,1,2,5,3,13
"S00141121",97,8,6,-,-,4,4,19
"S00141122",80,12,4,3,11,22,18,27
"S00141123",101,1,1,-,2,4,14,25
"S00141124",119,5,2,1,1,14,5,16
"S00141125",113,9,2,1,5,15,9,18
"S00141126",68,11,8,3,4,16,8,23
"S00141127",94,8,4,-,3,11,6,15
"S00141128",162,6,1,1,12,22,21,31
"S00141129",92,13,3,-,3,13,8,22
"S00141130",61,6,1,-,4,12,3,23
"S00141131",157,13,1,-,3,12,3,29
"S00141132",64,15,2,-,6,12,7,20
"S00141133",97,4,2,1,8,19,28,30
"S00141134",69,7,1,-,4,10,4,14
"S00141135",96,16,5,1,4,10,5,22
"S00141136",82,5,2,1,8,17,17,18
"S00141137",82,8,7,-,5,8,13,19
"S00141138",93,6,3,1,2,5,7,20
"S00141139",111,6,3,-,8,11,11,25
"S00141140",103,11,3,2,4,13,10,16
"S00141141",96,11,2,1,3,8,6,21
"S00141142",73,4,2,1,6,15,14,22
"S00141143",91,14,13,7,7,30,28,32
"S00141144",143,7,1,-,7,2,9,23
"S00141145",73,12,4,1,9,7,15,16
"S00141146",67,10,4,1,5,9,5,13
"S00141147",114,16,8,-,9,23,11,30
"S00141148",106,8,5,-,-,16,6,26
"S00141149",68,12,1,-,-,11,18,14
"S00141150",79,5,2,-,7,13,11,20
"S00141151",150,11,1,-,8,17,11,33
"S00141152",77,13,9,-,6,23,9,14
"S00141153",68,12,6,-,2,7,8,13
"S00141154",62,8,1,-,2,10,5,16
"S00141155",127,16,6,1,-,4,5,30
"S00141156",100,14,1,-,4,14,13,29
"S00141157",139,8,-,-,2,12,7,18
"S00141158",142,21,6,-,3,16,6,32
"S00141159",115,14,1,1,15,11,9,19
"S00141160",142,9,4,1,8,15,13,27
"S00141161",142,10,4,3,6,24,17,29
"S00141162",85,7,-,-,3,6,4,14
"S00141163",165,20,3,-,4,20,9,43
"S00141164",161,25,9,1,6,19,8,40
"S00141165",108,8,4,1,10,8,7,16
"S00141166",197,6,4,-,7,6,18,43
"S00141167",75,11,3,-,4,7,6,15
"S00141168",76,20,7,-,3,22,10,33
"S00141169",144,7,2,-,3,4,6,25
"S00141170",108,4,3,-,1,5,7,23
"S00141171",79,10,6,-,5,11,8,22
"S00141172",128,10,3,-,3,7,15,26
"S00141173",70,7,1,-,4,4,7,14
"S00141174",145,7,4,-,8,12,18,34
"S00141175",78,7,2,-,1,2,4,10
"S00141176",104,4,2,1,7,10,16,18
"S00141177",163,13,4,-,4,6,4,25
"S00141178",104,6,6,-,9,17,14,25
"S00141179",88,4,3,-,4,7,4,16
"S00141180",99,4,4,-,7,4,16,16
"S00141181",144,15,3,2,3,8,10,34
"S00141182",121,6,3,-,8,3,8,22
"S00141183",99,3,1,-,11,3,18,14
"S00141184",150,9,2,-,8,9,11,31
"S00141185",108,10,1,-,3,4,6,22
"S00141186",109,9,4,-,14,23,24,30
"S00141187",85,10,3,-,2,4,5,28
"S00141188",159,10,3,-,7,13,15,36
"S00141189",151,16,6,-,5,8,11,28
"S00141190",116,7,3,-,6,8,10,30
"S00141191",138,8,3,-,4,2,6,22
"S00141192",205,4,2,1,15,6,13,33
"S00141193",120,3,-,-,9,-,12,14
"S00141194",116,4,1,-,11,2,12,16
"S00141195",84,2,3,2,6,3,12,16
"S00141196",120,10,2,-,4,10,10,30
"S00141197",143,12,4,-,7,4,15,34
"S00141198",147,7,-,-,2,3,5,15
"S00141199",154,22,2,-,2,8,5,29
"S00141200",138,12,-,2,5,1,9,32
"S00141201",71,5,4,-,5,4,4,10
"S00141202",157,7,2,-,-,9,12,37
"S00141203",178,16,3,-,5,9,11,35
"S00141204",173,12,2,-,4,7,11,37
"S00141205",150,5,2,1,6,3,7,26
"S00141206",120,8,-,-,7,7,11,25
"S00141207",144,8,8,2,11,24,18,38
"S00141208",91,1,-,-,6,4,11,9
"S00141209",153,12,2,1,9,11,18,30
"S00141210",123,6,1,-,8,3,10,22
"S00141211",114,9,2,-,3,7,4,24
"S00141212",83,3,-,-,4,3,11,13
"S00141213",155,2,-,-,5,2,10,25
"S00141214",115,9,3,2,9,6,12,26
"S00141215",95,8,5,-,3,8,5,26
"S00141216",169,14,4,-,13,22,19,31
"S00141217",101,5,1,-,4,6,6,16
"S00141218",134,1,4,-,4,6,8,17
"S00141219",106,6,1,-,2,4,12,18
"S00141220",131,8,2,-,8,6,9,21
"S00141221",128,2,1,-,11,2,12,14
"S00141222",116,8,5,-,3,8,12,17
"S00141223",155,8,-,-,5,2,10,25
"S00141224",166,6,5,2,12,14,16,34
"S00141225",73,8,4,-,1,1,8,16
"S00141226",99,5,3,-,4,6,13,17
"S00141227",70,2,-,-,-,-,7,4
"S00141228",158,13,4,2,11,21,23,33
"S00141229",137,10,1,-,5,8,14,19
"S00141230",144,9,6,-,15,7,24,35
"S00141231",164,10,1,-,3,11,14,35
"S00141232",86,1,-,-,2,-,7,9
"S00141233",147,3,3,-,12,7,26,18
"S00141234",91,2,1,-,3,3,10,14
"S00141235",231,8,5,-,21,29,55,50
"S00141236",192,8,3,-,4,4,13,25
"S00141237",109,4,1,-,5,6,11,20
"S00141238",133,4,3,-,4,6,11,23
"S00141239",105,18,7,-,8,23,21,32
"S00141240",97,-,-,-,2,1,5,14
"S00141241",118,12,2,-,4,15,18,31
"S00141242",90,7,-,-,4,5,12,21
"S00141243",131,-,1,-,2,2,6,14
"S00141244",160,10,2,-,9,13,16,29
"S00141245",71,2,3,-,-,-,5,6
"S00141246",131,13,-,-,3,11,9,25
"S00141247",185,2,2,2,26,14,39,15
"S00141248",142,6,1,-,14,5,14,18
"S00141249",98,1,1,-,5,1,10,11
"S00141250",125,6,-,-,5,7,7,14
"S00141251",74,-,-,-,5,4,8,13
"S00141252",143,19,7,-,4,11,12,36
"S00141253",74,1,1,-,3,3,10,9
"S00141254",145,12,3,1,12,10,6,23
"S00141255",120,4,1,-,1,1,5,18
"S00141256",70,7,4,1,2,9,5,21
"S00141257",99,5,3,-,9,7,10,15
"S00141258",98,1,2,-,12,7,17,18
"S00141259",88,5,1,-,5,6,9,13
"S00141260",157,22,1,2,12,22,27,27
"S00141261",188,15,5,1,19,26,27,46
"S00141262",100,3,-,-,-,1,8,11
"S00141263",94,3,1,-,1,5,4,17
"S00141264",119,13,4,1,4,7,11,28
"S00141265",137,12,5,-,5,9,10,34
"S00141266",92,3,-,-,5,7,19,15
"S00141267",123,4,7,1,3,4,12,12
"S00141268",177,8,4,-,11,8,12,27
"S00141269",147,4,-,-,5,2,12,14
"S00141270",115,10,-,-,6,4,10,25
"S00141271",111,6,2,1,6,5,11,14
"S00141272",125,1,-,-,4,1,3,4
"S00141273",105,2,1,-,5,5,11,17
"S00141274",85,6,-,-,4,7,8,16
"S00141275",158,7,-,-,4,8,12,22
"S00141276",150,9,6,-,6,13,13,30
"S00141277",83,4,-,-,6,-,15,15
"S00141278",165,12,3,2,12,4,12,32
"S00141279",85,4,4,2,5,6,15,26
"S00141280",166,2,1,-,9,16,37,29
"S00141281",94,1,1,-,-,2,5,13
"S00141282",89,3,-,-,3,4,12,17
"S00141283",87,2,1,-,3,5,15,15
"S00141284",96,9,-,2,5,7,8,15
"S00141285",149,2,-,-,8,6,16,29
"S00141286",107,3,1,-,6,3,10,10
"S00141287",134,5,3,-,5,5,18,11
"S00141288",124,2,1,-,14,9,19,9
"S00141289",103,12,5,2,3,14,10,23
"S00141290",93,1,-,-,5,1,9,8
"S00141291",119,4,2,-,8,5,18,23
"S00141292",121,4,1,-,4,8,26,25
"S00141293",97,2,2,2,13,21,25,24
"S00141294",95,2,3,1,9,4,14,17
"S00141295",102,2,1,-,4,5,18,23
"S00141296",87,3,4,-,8,18,20,15
"S00141297",75,4,-,1,2,1,7,8
"S00141298",73,3,3,-,3,7,17,19
"S00141299",69,7,5,2,14,9,6,17
"S00141300",114,6,2,-,7,9,22,27
"S00141301",65,2,-,-,7,4,22,12
"S00141302",75,2,3,-,7,5,16,15
"S00141303",125,10,5,-,6,9,5,23
"S00141304",77,5,-,-,2,4,10,14
"S00141305",123,1,-,-,8,2,20,23
"S00141306",75,1,1,-,1,2,8,10
"S00141307",156,16,2,-,6,9,12,29
"S00141308",78,-,1,-,2,1,13,10
"S00141309",93,8,-,-,1,6,-,11
"S00141310",98,4,-,-,7,5,10,12
"S00141311",97,7,3,-,16,14,19,30
"S00141312",139,7,2,-,10,11,32,23
"S00141313",133,12,8,-,9,23,17,42
"S00141314",141,14,12,-,19,18,29,30
"S00141315",113,9,1,-,3,7,7,27
"S00141316",73,2,3,-,10,5,20,13
"S00141317",86,4,1,-,6,7,7,22
"S00141318",133,8,1,-,6,12,22,19
"S00141319",122,6,-,-,7,5,7,11
"S00141320",88,5,1,-,5,2,6,15
"S00141321",82,10,-,-,4,1,6,6
"S00141322",67,5,2,-,3,7,7,16
"S00141323",96,4,-,-,7,3,11,19
"S00141324",72,4,2,-,1,-,9,8
"S00141325",115,10,8,1,7,21,18,30
"S00141326",63,4,4,1,1,8,13,22
"S00141327",128,6,2,-,9,9,5,22
"S00141328",91,2,1,-,3,6,12,21
"S00141329",113,4,-,-,-,2,7,14
"S00141330",119,8,5,-,5,2,6,26
"S00141331",119,-,1,-,11,15,27,22
"S00141332",71,6,3,-,1,9,13,21
"S00141333",75,-,2,-,6,4,12,18
"S00141334",149,15,9,1,6,28,22,38
"S00141335",172,6,1,-,7,12,11,32
"S00141336",105,6,4,-,5,2,9,17
"S00141337",81,4,-,-,1,5,8,13
"S00141338",158,8,2,-,7,5,22,28
"S00141339",146,7,1,-,3,5,15,26
"S00141340",78,1,7,1,6,13,14,18
"S00141341",132,5,6,-,9,15,31,20
"S00141342",78,4,-,2,2,5,8,10
"S00141343",112,3,2,-,15,17,26,24
"S00141344",118,18,9,-,4,21,19,44
"S00141345",102,3,3,2,6,4,5,14
"S00141346",69,5,-,-,10,18,23,24
"S00141347",133,4,5,-,12,12,24,27
"S00141348",103,13,3,-,5,11,2,22
"S00141349",136,6,1,-,4,5,13,17
"S00141350",95,3,-,-,2,2,17,14
"S00141351",65,3,3,-,1,6,12,9
"S00141352",63,4,1,-,10,3,11,14
"S00141353",87,5,3,-,3,5,3,16
"S00141354",90,8,11,-,8,14,19,28
"S00141355",77,4,-,-,8,5,8,16
"S00141356",95,9,1,-,5,6,11,9
"S00141357",149,8,-,1,5,5,22,25
"S00141358",121,15,9,1,22,36,23,41
"S00141359",75,1,-,-,10,9,15,22
"S00141360",80,2,1,-,9,11,16,16
"S00141361",108,6,1,-,7,6,13,15
"S00141362",82,5,1,-,10,8,24,17
"S00141363",89,5,4,2,2,12,13,26
"S00141364",70,5,8,2,19,15,18,17
"S00141365",127,-,-,-,6,1,13,12
"S00141366",83,2,1,-,11,5,11,8
"S00141367",146,5,1,-,3,6,14,26
"S00141368",91,5,1,-,4,4,12,19
"S00141369",101,8,1,-,5,1,16,16
"S00141370",79,3,1,2,4,9,12,22
"S00141371",109,3,5,-,10,9,26,18
"S00141372",146,15,6,-,7,18,19,37
"S00141373",100,9,1,-,8,7,11,20
"S00141374",99,3,-,-,6,11,18,22
"S00141375",126,8,1,-,12,6,26,14
"S00141376",116,6,-,-,5,4,11,15
"S00141377",77,4,-,-,10,13,12,20
"S00141378",65,1,2,-,8,6,10,9
"S00141379",99,1,2,-,7,-,8,13
"S00141380",135,3,1,-,8,4,6,15
"S00141381",139,6,7,1,11,8,26,34
"S00141382",175,8,6,-,16,14,24,34
"S00141383",101,3,-,-,12,6,13,25
"S00141384",118,3,2,-,4,5,4,19
"S00141385",113,-,-,-,7,5,12,13
"S00141386",121,9,8,3,11,22,17,36
"S00141387",108,9,1,-,7,1,6,23
"S00141388",166,6,8,-,19,18,30,35
"S00141389",94,4,4,-,5,1,6,14
"S00141390",124,8,-,-,6,5,17,18
"S00141391",90,6,5,-,10,7,16,23
"S00141392",87,5,1,-,3,6,18,18
"S00141393",71,9,3,-,2,14,7,20
"S00141394",105,2,-,-,6,9,22,15
"S00141395",83,3,2,1,11,2,25,22
"S00141396",217,20,4,1,15,16,16,45
"S00141397",141,9,4,1,17,16,27,28
"S00141398",127,12,3,-,7,14,12,25
"S00141399",87,1,2,1,4,3,8,12
"S00141400",60,5,-,-,-,2,-,13
"S00141401",134,6,1,-,2,3,16,12
"S00141402",95,6,2,-,2,3,7,15
"S00141403",135,10,2,-,8,8,5,9
"S00141404",110,10,2,1,6,9,4,24
"S00141405",118,12,4,1,4,4,5,21
"S00141406",101,6,3,-,8,12,19,18
"S00141407",87,2,-,-,8,4,15,13
"S00141408",65,5,3,-,3,3,9,15
"S00141409",148,9,3,-,6,7,30,29
"S00141410",88,3,3,-,9,16,18,28
"S00141411",89,7,4,-,8,9,15,20
"S00141412",119,8,1,-,4,2,7,25
"S00141413",66,1,1,-,4,1,8,11
"S00141414",146,7,1,-,13,4,15,20
"S00141415",139,12,4,1,7,10,7,31
"S00141416",90,7,2,-,6,10,9,25
"S00141417",148,7,3,-,12,11,22,20
"S00141418",101,7,2,-,4,7,15,18
"S00141419",129,7,5,6,10,13,23,24
"S00141420",85,7,6,-,1,4,10,22
"S00141421",140,13,8,-,11,26,34,45
"S00141422",66,-,-,-,5,1,6,6
"S00141423",138,6,1,-,11,9,17,24
"S00141424",107,11,3,1,10,14,14,29
"S00141425",90,9,4,-,3,7,2,18
"S00141426",197,18,3,-,14,9,11,30
"S00141427",63,2,5,-,6,7,10,18
"S00141428",152,10,1,1,9,20,13,37
"S00141429",108,16,9,-,11,41,19,48
"S00141430",103,2,1,-,4,5,15,12
"S00141431",96,-,1,-,4,1,15,13
"S00141432",96,8,5,-,6,10,17,24
"S00141433",130,11,4,-,6,4,4,28
"S00141434",108,10,5,2,3,9,12,28
"S00141435",89,5,-,-,-,5,13,26
"S00141436",99,3,-,-,6,5,11,17
"S00141437",205,7,4,1,18,6,27,30
"S00141438",79,3,2,-,4,3,9,9
"S00141439",86,8,4,2,7,13,12,27
"S00141440",112,7,3,-,5,9,17,29
"S00141441",87,3,3,-,7,10,8,15
"S00141442",146,11,3,-,6,4,6,29
"S00141443",75,4,-,-,6,5,16,17
"S00141444",80,5,1,-,8,14,26,28
"S00141445",98,16,7,2,4,23,19,31
"S00141446",171,14,3,-,7,11,20,26
"S00141447",131,4,1,1,13,5,25,14
"S00141448",78,8,6,-,10,6,22,18
"S00141449",103,4,3,2,6,15,20,25
"S00141450",106,5,2,-,4,7,6,20
"S00141451",108,8,4,1,8,11,23,22
"S00141452",130,10,3,-,6,18,26,41
"S00141453",145,4,3,-,8,4,16,27
"S00141454",99,4,4,4,10,19,25,31
"S00141455",78,4,1,-,10,11,15,14
"S00141456",142,8,4,1,9,22,13,32
"S00141457",142,6,4,1,10,-,25,25
"S00141458",92,5,-,-,9,-,9,11
"S00141459",77,-,1,-,4,9,17,16
"S00141460",164,8,1,-,9,7,18,33
"S00141461",161,6,5,1,6,16,28,29
"S00141462",111,10,7,1,10,16,25,33
"S00141463",139,24,6,1,9,32,19,42
"S00141464",79,3,1,-,4,3,9,11
"S00141465",61,2,-,-,6,3,22,15
"S00141466",134,5,3,1,2,7,14,33
"S00141467",135,4,-,-,5,5,13,18
"S00141468",78,6,2,-,10,19,29,21
"S00141469",122,6,2,-,4,3,19,19
"S00141470",82,2,-,-,2,8,8,13
"S00141471",194,16,14,1,10,35,33,69
"S00141472",103,6,-,-,2,3,12,9
"S00141473",130,6,1,-,10,3,27,30
"S00141474",135,3,-,-,3,3,7,15
"S00141475",101,6,5,-,9,16,14,30
"S00141476",143,20,13,-,6,34,29,43
"S00141477",180,10,4,1,11,13,20,31
"S00141478",93,6,1,1,13,12,12,19
"S00141479",81,6,1,2,6,17,10,21
"S00141480",60,2,1,-,3,4,18,16
"S00141481",104,2,-,-,3,2,4,18
"S00141482",101,14,4,-,9,24,21,37
"S00141483",75,3,2,2,1,-,3,19
"S00141484",107,9,3,1,4,8,7,25
"S00141485",153,10,4,2,11,16,21,27
"S00141486",105,1,2,1,2,5,24,15
"S00141487",89,3,1,3,5,10,16,20
"S00141488",101,4,2,-,7,4,13,20
"S00141489",141,5,1,-,3,11,9,19
"S00141490",95,3,-,-,3,14,10,15
"S00141491",106,6,-,-,9,5,9,20
"S00141492",85,3,2,1,3,9,26,23
"S00141493",94,9,1,-,4,6,4,15
"S00141494",124,4,4,-,10,1,16,15
"S00141495",109,5,5,-,15,6,20,21
"S00141496",99,3,-,-,8,5,10,15
"S00141497",158,7,4,-,4,9,9,42
"S00141498",74,5,3,-,1,-,7,9
"S00141499",66,3,4,-,7,9,16,20
"S00141500",93,3,1,-,1,8,13,24
"S00141501",103,5,4,-,4,7,3,20
"S00141502",75,2,2,-,-,8,14,8
"S00141503",128,4,2,-,6,9,15,32
"S00141504",119,9,4,-,8,7,11,18
"S00141505",105,7,2,-,5,7,11,14
"S00141506",86,-,-,-,-,5,13,15
"S00141507",67,1,2,-,3,9,12,12
"S00141508",106,4,1,-,4,-,8,10
"S00141509",158,9,5,-,10,13,10,31
"S00141510",66,2,1,-,2,1,11,5
"S00141511",105,11,4,-,7,11,11,22
"S00141512",123,21,5,-,4,15,6,28
"S00141513",95,5,3,-,7,9,6,24
"S00141514",126,7,5,2,11,19,9,32
"S00141515",91,6,3,-,6,15,15,17
"S00141516",104,16,4,-,4,19,18,34
"S00141517",194,1,2,1,7,14,27,26
"S00141518",90,1,4,1,5,6,12,14
"S00141519",175,8,4,-,3,7,12,30
"S00141520",90,-,1,-,5,5,12,12
"S00141521",108,4,3,-,2,2,4,21
"S00141522",152,23,5,-,9,16,16,36
"S00141523",137,5,-,-,6,4,1,28
"S00141524",107,3,3,-,3,3,5,11
"S00141525",117,4,4,-,4,4,12,21
"S00141526",86,3,-,-,6,11,9,19
"S00141527",131,11,3,-,4,9,4,18
"S00141528",125,5,2,-,6,11,14,25
"S00141529",195,6,2,-,7,8,16,18
"S00141530",63,3,1,-,3,8,2,17
"S00141531",171,13,5,-,7,11,12,25
"S00141532",114,8,2,-,7,6,7,20
"S00141533",214,8,2,-,17,12,26,32
"S00141534",121,4,2,-,11,11,17,28
"S00141535",61,1,2,-,2,2,10,12
"S00141536",88,5,-,-,9,3,18,14
"S00141537",126,12,5,-,5,18,19,32
"S00141538",111,2,1,-,8,3,21,22
"S00141539",125,21,5,-,7,34,19,51
"S00141540",105,5,2,-,-,3,20,25
"S00141541",176,10,2,-,8,20,25,29
"S00141542",75,-,1,-,2,-,6,5
"S00141543",77,8,3,-,4,11,3,21
"S00141544",99,-,2,-,6,2,8,14
"S00141545",92,4,1,-,4,2,19,15
"S00141546",106,7,2,2,5,4,19,16
"S00141547",101,5,1,-,8,6,24,18
"S00141548",75,1,-,-,3,6,4,4
"S00141549",93,3,-,-,5,4,18,10
"S00141550",89,2,-,-,5,-,5,9
"S00141551",122,7,5,-,7,6,10,16
"S00141552",63,4,1,-,4,3,13,12
"S00141553",111,17,2,-,2,5,6,19
"S00141554",68,3,-,-,4,3,12,12
"S00141555",123,12,12,2,2,18,26,42
"S00141556",138,-,1,-,12,6,17,15
"S00141557",99,4,2,-,7,3,8,27
"S00141558",61,4,1,-,-,5,7,18
"S00141559",159,17,2,-,6,8,17,29
"S00141560",84,3,-,2,10,3,12,9
"S00141561",110,7,-,-,13,16,23,21
"S00141562",69,3,-,-,7,4,11,11
"S00141563",148,4,-,-,2,5,8,19
"S00141564",139,3,3,-,20,18,37,30
"S00141565",107,-,3,-,8,5,20,19
"S00141566",82,-,-,-,6,1,15,9
"S00141567",85,8,4,-,4,7,13,14
"S00141568",156,8,4,-,11,17,37,32
"S00141569",137,2,-,1,5,3,17,19
"S00141570",102,10,-,1,8,14,23,24
"S00141571",102,5,4,-,5,4,10,14
"S00141572",122,4,3,-,14,9,24,23
"S00141573",170,6,1,-,8,17,26,29
"S00141574",85,10,2,1,9,13,18,26
"S00141575",147,7,-,-,3,9,10,24
"S00141576",132,14,1,-,2,7,1,11
"S00141577",102,7,2,-,-,10,7,13
"S00141578",92,3,3,-,3,3,18,12
"S00141579",193,10,2,-,14,16,23,39
"S00141580",118,6,3,-,10,13,18,29
"S00141581",74,2,-,-,6,2,11,8
"S00141582",122,10,4,2,18,11,30,23
"S00141583",100,5,2,-,17,9,20,17
"S00141584",65,5,2,-,10,10,11,16
"S00141585",93,3,3,-,7,3,16,15
"S00141586",124,13,2,1,14,12,17,27
"S00141587",162,13,3,-,10,15,25,29
"S00141588",121,2,3,-,5,2,19,14
"S00141589",99,15,2,-,7,7,5,20
"S00141590",97,5,3,1,13,13,21,21
"S00141591",96,8,-,-,1,17,14,26
"S00141592",106,9,1,-,6,4,8,12
"S00141593",84,3,2,-,11,13,19,13
"S00141594",121,17,-,-,7,11,6,18
"S00141595",135,2,4,-,7,1,11,28
"S00141596",189,12,3,-,9,7,4,26
"S00141597",81,1,-,-,1,2,20,10
"S00141598",93,3,3,1,9,9,16,17
"S00141599",119,10,-,-,3,7,4,20
"S00141600",132,3,-,-,6,3,16,18
"S00141601",186,19,2,-,8,21,11,28
"S00141602",202,4,4,3,16,17,19,23
"S00141603",135,7,2,-,5,6,28,20
"S00141604",135,2,1,-,6,4,17,27
"S00141605",101,2,1,-,5,2,20,19
"S00141606",83,4,2,1,6,4,13,15
"S00141607",151,7,2,-,6,1,18,22
"S00141608",94,1,6,-,11,14,30,29
"S00141609",133,6,1,-,10,6,25,22
"S00141610",177,10,2,-,13,19,15,40
"S00141611",128,4,1,-,10,10,11,18
"S00141612",69,2,-,-,4,1,19,10
"S00141613",109,2,-,-,7,2,14,12
"S00141614",91,5,2,-,7,10,18,14
"S00141615",106,6,1,-,8,16,16,28
"S00141616",99,7,2,2,14,16,25,33
"S00141617",81,-,3,1,6,7,18,14
"S00141618",127,7,-,1,15,14,27,19
"S00141619",179,8,1,-,10,14,30,29
"S00141620",110,9,10,1,13,29,23,33
"S00141621",131,4,4,-,8,16,28,23
"S00141622",223,6,5,-,26,25,37,35
"S00141623",114,3,3,2,20,13,24,13
"S00141624",112,6,2,-,9,13,15,26
"S00141625",190,7,4,-,25,12,41,28
"S00141626",115,8,-,-,16,12,23,21
"S00141627",116,-,-,-,9,4,16,22
"S00141628",116,6,2,-,4,5,7,22
"S00141629",82,5,5,-,16,12,21,19
"S00141630",82,1,1,-,11,3,11,4
"S00141631",169,20,19,4,10,27,42,53
"S00141632",148,4,5,-,11,6,27,38
"S00141633",80,2,-,-,6,1,9,12
"S00141634",107,8,6,2,12,24,22,22
"S00141635",61,3,-,-,11,8,14,14
"S00141636",146,8,1,-,5,4,8,22
"S00141637",95,2,-,-,3,13,17,18
"S00141638",85,2,2,-,6,1,16,12
"S00141639",117,5,-,1,3,3,17,17
"S00141640",90,1,3,-,4,6,23,19
"S00141641",91,9,3,-,5,5,10,15
"S00141642",159,8,-,-,3,2,3,22
"S00141643",153,10,6,-,5,8,7,31
"S00141644",116,3,1,-,5,5,12,12
"S00141645",108,1,-,-,8,10,13,18
"S00141646",76,1,-,-,5,2,11,9
"S00141647",75,9,6,-,5,15,12,18
"S00141648",157,11,4,2,6,10,10,25
"S00141649",109,19,8,-,4,30,12,36
"S00141650",80,5,-,-,7,4,20,15
"S00141651",149,7,8,1,15,21,25,35
"S00141652",100,1,1,-,12,3,17,17
"S00141653",121,7,3,-,10,7,18,23
"S00141654",135,8,6,1,11,6,16,27
"S00141655",76,5,-,-,8,4,6,11
"S00141656",95,-,2,-,11,4,18,11
"S00141657",182,16,2,-,5,8,17,25
"S00141658",107,3,3,-,1,3,19,15
"S00141659",90,-,-,-,3,5,11,6
"S00141660",63,1,2,-,4,8,10,7
"S00141661",75,8,-,-,4,5,9,11
"S00141662",89,7,3,1,9,10,20,21
"S00141663",91,5,2,-,8,11,16,21
"S00141664",97,6,6,-,7,8,17,34
"S00141665",137,4,2,-,12,6,20,27
"S00141666",103,9,1,-,11,12,10,24
"S00141667",106,4,1,1,9,2,20,15
"S00141668",167,12,4,-,14,9,39,36
"S00141669",98,-,3,-,11,10,17,19
"S00141670",115,6,1,-,3,5,16,24
"S00141671",75,9,1,-,4,5,2,6
"S00141672",76,7,2,-,3,6,5,15
"S00141673",130,2,1,-,7,4,30,18
"S00141674",132,3,5,-,6,11,18,32
"S00141675",165,4,1,-,4,7,12,21
"S00141676",126,2,3,-,6,5,19,19
"S00141677",177,2,3,-,13,6,23,18
"S00141678",115,8,1,-,6,-,9,20
"S00141679",69,3,1,-,6,9,8,12
"S00141680",125,9,1,-,8,5,19,32
"S00141681",115,8,-,5,17,22,29,32
"S00141682",78,4,4,-,5,5,17,15
"S00141683",110,1,4,1,9,9,25,25
"S00141684",143,3,2,-,5,6,6,31
"S00141685",86,4,4,1,12,19,22,21
"S00141686",73,7,4,-,1,11,6,25
"S00141687",88,3,1,-,5,7,16,19
"S00141688",148,5,3,-,10,16,23,31
