Scotland's Census 2022 - National Records of Scotland
Table UV605 - Industry
All people aged 16 and over in employment the week before the census
,"All people aged 16 and over in employment the week before the census","Agriculture; Forestry; Fishing","Mining and Quarrying","Manufacturing","Electricity, Gas, Steam and Air Conditioning Supply","Water Supply; Sewage; Waste Management and Remediation activities","Construction","Wholesale and Retail trade; Repair of Motor Vehicles and Motorcycles","Transport and Storage","Accommodation and Food Service Activities","Information and Communication","Financial and Insurance Activities","Real Estate Activities","Professional Scientific and Technical Activities","Administrative and Support Service Activities","Public Administration and Defence; Compulsory Social Security","Education","Human Health and Social Work Activities","Arts, Entertainment and Recreation","Other Service Activities","Activities of Household as Employers; Undifferentiated Goods - and Services - Producing Activities of Households for Own Use","Activities of Extra-Territorial Organisations and Bodies"
"S00143719",73,-,-,3,-,-,-,7,-,9,5,2,-,15,4,3,9,8,6,3,-,-
"S00143720",88,-,1,5,-,-,-,7,-,12,4,2,-,10,2,3,11,15,6,9,-,-
"S00143721",23,-,1,2,-,1,3,2,1,1,-,2,-,2,1,-,1,5,1,2,-,-
"S00143722",65,-,-,5,-,-,1,12,1,12,4,3,-,7,1,4,7,6,-,2,-,-
"S00143723",53,-,-,3,-,-,4,1,2,3,1,5,-,4,-,11,3,8,2,8,-,-
"S00143724",65,-,-,3,-,-,4,2,-,6,7,4,-,11,-,4,4,10,6,5,-,-
"S00143725",55,-,-,2,-,-,1,5,1,12,5,5,1,7,4,1,4,2,-,1,-,-
"S00143726",48,-,-,3,-,-,3,3,4,3,3,1,-,5,3,6,3,8,-,3,-,-
"S00143727",85,-,-,3,-,-,-,11,1,20,12,5,-,3,1,1,7,8,1,6,-,-
"S00143728",60,-,-,-,-,-,5,4,5,3,-,4,1,6,4,7,6,12,2,-,-,-
"S00143729",42,-,-,5,-,-,-,7,2,2,1,2,-,9,1,4,3,7,-,-,-,-
"S00143730",83,-,-,2,-,-,-,4,1,6,8,12,-,10,6,2,19,20,1,-,-,-
"S00143731",30,-,-,4,-,2,2,6,-,-,-,-,-,2,4,-,1,5,-,2,-,-
"S00143732",71,-,-,7,-,-,-,8,4,16,2,3,-,6,1,5,6,6,4,2,1,-
"S00143733",58,-,-,1,-,-,-,6,-,15,5,-,1,10,2,-,7,7,3,-,-,-
"S00143734",94,-,-,5,-,-,3,6,1,14,6,4,-,13,3,9,10,13,5,3,-,1
"S00143735",48,-,-,3,-,-,1,-,1,5,3,-,-,8,2,4,7,3,4,4,-,-
"S00143736",28,-,-,1,-,-,-,6,-,7,2,1,-,3,2,3,1,4,-,-,-,-
"S00143737",60,-,-,3,-,-,2,4,-,2,9,5,-,3,4,7,6,8,3,-,-,-
"S00143738",22,-,-,2,-,-,2,3,-,-,-,3,-,-,6,3,-,5,-,4,-,-
"S00143739",53,-,-,4,-,-,3,1,1,1,-,5,2,8,1,12,7,4,1,-,-,-
"S00143740",57,-,-,6,-,-,-,1,2,4,6,-,-,5,2,2,17,4,3,2,-,-
"S00143741",51,-,-,12,-,-,2,1,1,7,4,2,-,2,3,3,3,10,3,-,-,-
"S00143742",65,-,-,2,-,-,2,7,4,7,7,3,-,2,8,1,8,8,5,1,-,-
"S00143743",64,-,-,9,-,-,4,7,4,1,3,8,4,-,2,3,6,9,-,-,-,-
"S00143744",55,1,-,1,-,-,-,4,1,16,-,-,-,5,-,1,10,4,3,1,-,-
"S00143745",53,-,1,1,-,-,-,7,-,6,2,4,-,6,2,4,9,7,2,1,1,-
"S00143746",54,-,-,1,1,-,1,1,-,3,4,3,1,13,-,7,10,3,4,1,-,-
"S00143747",92,1,-,-,-,-,1,10,-,29,8,2,-,8,2,8,9,6,4,3,-,-
"S00143748",77,-,-,4,-,-,2,6,1,6,7,11,-,8,3,9,6,7,4,2,-,-
"S00143749",62,-,-,3,-,1,-,5,-,6,2,1,-,12,2,10,8,10,4,-,-,-
"S00143750",70,-,-,3,-,-,1,6,3,7,8,4,-,6,2,8,13,4,4,2,-,-
"S00143751",73,-,-,4,-,-,5,6,2,1,3,11,-,12,3,6,16,5,4,2,-,-
"S00143752",73,1,-,5,-,-,10,6,5,4,1,6,-,3,10,6,1,9,3,-,-,-
"S00143753",45,-,-,-,-,-,4,4,-,3,-,5,3,3,2,11,4,7,2,-,-,-
"S00143754",96,1,-,5,-,1,-,6,1,10,8,4,1,17,5,9,12,12,3,-,-,-
"S00143755",43,-,-,-,-,-,-,5,-,4,1,4,-,8,3,3,5,4,1,2,-,-
"S00143756",82,-,-,2,-,-,2,6,1,23,4,1,-,6,3,5,14,8,4,3,-,-
"S00143757",50,2,-,3,-,-,3,2,-,7,1,5,-,3,4,5,5,6,3,-,-,-
"S00143758",69,-,-,3,-,-,4,5,5,10,1,4,-,8,4,8,8,7,1,2,-,-
"S00143759",86,-,-,2,2,-,1,6,1,18,5,-,3,12,2,7,11,12,3,3,2,-
"S00143760",94,-,-,7,-,-,2,6,1,7,1,8,-,13,4,12,8,15,6,1,1,-
"S00143761",71,-,-,-,-,1,4,13,4,9,2,4,-,2,3,6,3,18,4,4,1,-
"S00143762",62,-,-,2,-,-,1,3,-,7,6,4,-,9,1,7,11,6,2,3,-,-
"S00143763",73,-,-,1,-,-,-,4,-,10,2,7,1,10,4,5,8,17,2,4,-,-
"S00143764",48,-,4,-,-,-,-,3,-,5,5,2,-,9,-,4,8,4,5,4,-,-
"S00143765",83,-,1,5,-,-,4,12,1,10,3,8,-,5,7,6,5,7,7,2,-,-
"S00143766",63,-,1,-,-,1,1,7,2,6,7,4,1,5,2,4,8,9,3,1,-,-
"S00143767",98,-,-,7,2,-,5,13,1,3,12,8,-,9,5,7,10,11,4,4,-,-
"S00143768",102,3,-,5,1,-,-,9,2,23,7,6,-,2,2,2,16,11,6,2,-,-
"S00143769",68,-,-,2,-,-,1,1,1,14,2,1,-,12,-,5,9,6,9,4,-,-
"S00143770",38,-,-,-,-,-,1,4,-,8,3,1,-,6,-,4,5,3,4,-,-,-
"S00143771",43,-,-,1,-,-,1,3,3,7,3,1,-,5,2,9,3,2,-,2,-,-
"S00143772",52,-,-,2,-,-,2,5,3,6,4,3,-,9,1,3,4,5,-,-,-,-
"S00143773",45,-,-,2,-,-,1,3,-,7,-,1,-,6,4,-,6,4,4,2,-,-
"S00143774",47,-,-,5,1,-,-,1,2,7,2,4,-,6,4,1,5,6,2,1,1,-
"S00143775",85,-,2,4,-,-,1,9,-,8,7,9,-,11,2,6,7,11,1,2,-,-
"S00143776",60,1,-,1,-,-,-,2,1,1,5,9,-,5,2,7,6,13,4,1,-,-
"S00143777",69,-,-,3,2,-,1,-,4,7,7,7,2,12,3,4,9,7,4,-,-,-
"S00143778",60,-,1,3,-,-,1,4,2,5,4,4,1,5,3,8,4,9,4,1,-,-
"S00143779",82,-,-,1,1,1,3,9,2,8,4,3,1,11,-,7,10,15,2,3,-,-
"S00143780",67,-,-,5,-,-,-,9,4,4,6,5,-,5,3,7,7,8,3,-,-,1
"S00143781",43,-,1,-,1,-,2,5,5,1,-,2,2,6,1,4,5,3,-,1,-,-
"S00143782",66,-,-,1,-,2,1,8,2,6,2,5,2,10,-,4,2,12,6,2,-,-
"S00143783",88,-,2,1,-,-,1,11,2,14,6,4,-,9,7,6,8,8,9,4,-,-
"S00143784",76,-,-,1,2,-,9,6,4,9,3,11,-,6,3,4,2,13,-,5,-,-
"S00143785",71,-,-,4,-,-,1,6,-,11,4,1,1,11,2,3,11,8,4,2,1,2
"S00143786",51,-,1,-,-,-,1,10,2,6,2,3,-,5,2,3,11,4,3,-,-,-
"S00143787",49,2,-,6,-,2,-,2,2,10,1,2,-,1,7,5,3,6,1,-,-,-
"S00143788",66,-,-,3,-,-,4,11,7,-,-,11,1,1,4,6,7,9,-,-,-,-
"S00143789",51,-,-,4,1,-,2,2,2,5,5,6,2,2,1,6,5,2,2,-,-,-
"S00143790",76,-,-,4,-,-,4,8,4,11,1,4,1,5,9,3,5,10,2,6,2,-
"S00143791",83,2,-,5,-,-,2,3,-,2,4,10,1,17,2,5,11,10,3,6,-,-
"S00143792",59,-,-,2,-,1,-,4,1,17,4,1,-,3,-,2,8,9,3,2,-,-
"S00143793",50,-,1,-,-,-,1,9,2,7,1,5,-,3,1,1,6,8,3,4,-,-
"S00143794",85,-,-,2,-,-,1,7,-,5,3,7,1,13,2,9,9,11,6,5,-,-
"S00143795",59,-,-,1,1,-,-,1,2,4,5,3,-,3,2,1,10,10,7,7,-,-
"S00143796",92,-,-,6,-,-,9,7,2,7,2,12,1,3,2,10,9,15,-,6,-,-
"S00143797",66,-,-,5,1,-,3,10,6,2,2,8,-,8,2,6,4,6,2,-,-,-
"S00143798",66,-,-,7,1,1,2,9,2,6,1,5,4,4,8,6,6,6,-,4,-,-
"S00143799",105,-,-,12,2,-,1,4,2,14,6,10,1,15,5,7,12,7,6,4,-,-
"S00143800",43,-,-,1,-,-,4,5,3,1,3,6,2,1,4,7,4,5,-,1,-,-
"S00143801",51,-,-,2,-,2,3,6,2,6,4,4,-,7,3,-,5,5,1,2,-,-
"S00143802",76,-,-,5,-,-,2,7,-,6,5,5,1,6,5,7,7,20,-,2,-,-
"S00143803",66,-,-,3,1,-,-,9,-,15,4,7,-,4,2,1,5,8,2,3,-,1
"S00143804",69,-,-,1,-,-,1,6,2,8,5,11,-,6,2,4,3,13,2,2,-,-
"S00143805",33,-,-,-,-,1,2,1,1,4,1,1,-,4,3,4,-,8,-,1,-,-
"S00143806",41,-,-,2,1,-,1,1,3,2,-,1,-,3,-,3,5,8,2,4,-,-
"S00143807",54,-,-,-,-,-,1,6,4,7,2,5,2,8,-,8,6,6,3,2,-,-
"S00143808",40,-,1,-,-,-,-,4,3,4,-,2,-,10,2,7,4,5,2,2,-,-
"S00143809",38,1,-,-,-,-,-,1,-,8,4,2,2,1,1,4,-,5,6,3,-,-
"S00143810",77,-,-,1,-,-,3,9,1,15,4,1,-,5,2,8,8,11,3,5,-,-
"S00143811",48,1,-,4,1,-,2,-,2,1,4,8,1,1,3,9,4,7,1,3,-,-
"S00143812",55,-,-,4,-,1,3,4,6,8,3,2,-,-,4,3,-,10,2,3,-,-
"S00143813",58,3,-,10,-,-,-,2,2,8,1,-,-,6,-,4,11,4,1,4,-,-
"S00143814",56,-,1,4,-,-,3,7,-,6,2,8,-,3,1,6,4,10,2,3,-,-
"S00143815",43,-,-,1,-,-,-,3,2,11,3,3,-,5,-,4,2,4,-,2,-,-
"S00143816",59,-,-,1,-,-,-,5,-,19,4,1,-,4,-,-,11,7,4,2,-,-
"S00143817",60,-,-,1,-,-,-,2,1,7,-,5,2,9,-,4,6,10,1,1,2,-
"S00143818",64,-,-,4,-,-,1,5,1,4,4,4,2,10,-,8,9,9,3,2,-,-
"S00143819",64,-,-,3,-,1,3,5,4,8,3,4,-,8,5,-,14,4,3,1,-,-
"S00143820",80,2,-,1,-,-,4,6,1,7,7,5,-,12,4,1,15,9,3,2,-,-
"S00143821",32,-,-,-,-,1,1,-,1,6,3,1,-,-,1,5,2,5,-,2,-,-
"S00143822",77,1,-,2,-,2,3,6,1,7,3,6,-,8,-,3,12,17,7,1,-,-
"S00143823",74,-,-,1,-,-,-,9,-,18,-,4,-,7,2,-,13,11,5,-,-,-
"S00143824",84,-,-,4,-,-,1,3,1,15,3,3,-,9,3,1,16,9,15,6,-,-
"S00143825",107,-,-,6,2,2,1,10,1,15,7,6,1,10,2,8,18,13,3,2,-,-
"S00143826",82,3,1,5,-,-,-,2,2,7,7,4,3,5,1,9,13,8,6,2,-,-
"S00143827",82,-,-,3,-,-,2,4,4,7,3,6,1,6,3,9,10,15,8,3,-,-
"S00143828",68,-,-,7,-,-,-,7,-,11,4,3,-,3,2,2,14,8,4,3,-,-
"S00143829",50,-,2,4,-,1,2,4,-,5,1,3,-,6,-,2,9,5,5,1,-,-
"S00143830",41,-,-,1,-,-,5,1,5,3,3,3,-,4,2,6,1,2,3,4,-,-
"S00143831",102,-,-,4,-,2,-,3,-,9,4,14,2,20,-,7,17,19,5,1,1,-
"S00143832",62,-,-,1,-,-,1,8,-,13,-,1,-,7,3,1,13,4,3,1,-,-
"S00143833",40,-,-,1,-,-,3,5,3,2,-,2,2,3,-,4,4,3,-,2,-,-
"S00143834",53,-,-,1,-,-,1,1,4,10,3,4,-,8,10,6,-,5,2,-,-,-
"S00143835",58,-,-,5,-,-,1,6,6,5,-,8,1,1,4,6,5,5,2,1,-,-
"S00143836",59,-,2,2,-,-,4,5,-,4,9,10,-,6,-,4,6,6,3,-,-,-
"S00143837",52,-,-,2,-,-,-,4,2,8,5,4,1,3,2,1,6,8,4,1,-,-
"S00143838",48,-,-,2,1,1,-,8,-,6,5,1,-,5,4,1,2,5,3,2,-,-
"S00143839",58,-,-,4,-,1,-,-,-,10,1,1,4,7,1,1,10,10,7,-,-,-
"S00143840",46,-,-,1,-,-,1,4,-,1,3,4,-,7,-,2,6,5,-,2,-,-
"S00143841",56,-,-,4,-,-,2,3,-,9,5,5,-,8,7,3,3,4,1,-,-,-
"S00143842",57,1,-,-,-,-,1,4,1,13,1,-,2,7,4,3,6,4,10,-,-,-
"S00143843",43,-,-,-,-,-,3,7,-,3,1,3,1,3,2,7,5,2,1,-,-,-
"S00143844",83,-,-,7,-,-,6,10,6,4,2,12,1,5,2,4,2,13,4,6,-,-
"S00143845",85,-,-,6,-,-,-,14,8,4,1,14,-,6,2,4,11,9,5,5,-,-
"S00143846",72,-,-,3,-,-,5,7,4,2,3,9,3,3,3,6,6,11,6,2,-,-
"S00143847",88,-,1,4,-,-,2,11,-,15,5,7,-,11,3,4,13,10,3,-,-,-
"S00143848",35,-,-,2,-,-,2,2,1,6,1,3,1,6,-,-,6,4,-,-,-,-
"S00143849",68,-,-,5,-,1,-,6,-,7,9,6,2,7,1,4,9,7,3,2,-,-
"S00143850",49,-,-,5,-,-,3,3,-,2,3,3,1,1,-,7,4,5,2,5,-,1
"S00143851",64,-,-,-,-,-,-,7,2,11,2,5,-,8,1,5,6,5,2,1,-,-
"S00143852",71,1,-,2,-,-,1,3,1,7,1,7,1,8,1,5,10,8,5,8,-,-
"S00143853",38,-,-,2,-,-,1,4,1,3,3,1,-,1,1,5,6,5,1,-,-,-
"S00143854",37,-,-,1,-,-,8,7,5,-,1,2,-,2,4,5,-,3,-,-,-,-
"S00143855",24,-,-,3,-,-,2,2,-,-,-,3,-,2,-,2,2,3,-,-,-,-
"S00143856",85,-,-,3,-,-,2,5,1,13,4,10,3,11,4,5,9,6,5,1,-,-
"S00143857",60,-,-,2,1,-,1,8,-,10,4,1,-,10,-,1,10,9,3,5,-,-
"S00143858",48,1,-,-,-,-,3,9,3,8,-,4,-,1,1,3,1,4,4,1,-,-
"S00143859",42,-,-,1,-,-,2,8,1,2,2,4,4,3,2,3,4,5,-,2,-,-
"S00143860",50,1,-,4,-,-,1,5,5,-,-,11,-,3,-,6,3,4,-,6,-,-
"S00143861",92,-,-,3,-,-,2,12,4,9,5,10,-,9,3,5,9,10,9,2,-,-
"S00143862",96,-,-,3,4,-,4,11,5,3,13,13,2,2,3,5,8,13,1,7,-,-
"S00143863",46,-,-,-,-,1,2,3,-,15,2,1,1,5,7,5,6,4,-,1,-,-
"S00143864",60,-,-,4,-,-,4,1,1,4,3,5,1,3,1,6,9,14,1,1,-,-
"S00143865",32,-,-,-,-,-,1,3,3,2,1,-,1,4,1,5,7,4,1,-,-,-
"S00143866",61,-,-,3,-,2,1,12,-,4,6,5,-,4,6,5,3,7,4,1,-,2
"S00143867",73,-,-,5,-,-,5,5,2,2,4,10,1,2,3,10,5,11,2,3,-,-
"S00143868",93,1,-,8,-,1,4,3,4,4,9,19,2,8,2,9,7,13,-,2,-,-
"S00143869",48,-,-,2,2,-,-,6,-,7,6,1,-,5,-,2,6,7,2,-,-,-
"S00143870",72,1,-,3,-,-,5,7,8,8,4,5,-,2,3,6,5,10,4,-,1,-
"S00143871",54,-,-,5,1,1,1,4,2,6,2,1,2,7,3,3,3,9,1,4,-,-
"S00143872",48,-,-,1,-,-,-,5,4,4,3,1,2,7,1,7,3,-,4,1,-,-
"S00143873",62,-,-,3,-,1,7,7,4,4,-,5,-,3,3,7,3,11,1,6,-,-
"S00143874",73,-,-,-,-,-,5,10,3,11,7,6,-,10,6,3,3,4,-,3,-,-
"S00143875",32,-,-,3,-,-,-,2,-,3,4,1,-,4,-,2,4,-,2,2,-,-
"S00143876",99,-,-,3,-,-,1,13,2,23,6,8,-,9,-,7,9,10,5,2,-,-
"S00143877",62,-,-,-,-,2,-,3,-,7,2,4,1,10,1,8,13,2,1,4,-,-
"S00143878",80,1,-,3,-,-,3,6,-,11,6,3,2,8,3,8,12,8,5,1,1,-
"S00143879",71,-,-,5,-,-,1,2,-,9,5,4,1,6,1,3,14,10,3,3,-,-
"S00143880",82,-,-,4,2,1,-,6,3,9,6,5,-,12,3,5,9,10,3,1,-,-
"S00143881",83,-,-,3,-,2,4,5,7,13,2,6,1,4,2,12,8,10,1,4,-,-
"S00143882",74,-,-,6,-,-,3,10,4,7,5,10,-,1,5,9,4,6,1,4,-,-
"S00143883",67,-,-,4,1,-,1,4,2,2,6,2,-,15,3,2,17,6,-,2,-,-
"S00143884",43,-,-,-,-,-,5,4,5,1,2,1,1,1,3,4,3,9,2,2,1,-
"S00143885",68,2,-,3,-,-,-,7,1,10,2,9,2,6,3,8,-,5,4,1,-,-
"S00143886",61,-,-,7,-,1,-,4,-,9,4,5,-,7,-,5,4,7,5,4,-,-
"S00143887",67,-,-,1,-,-,2,9,1,13,4,4,-,7,-,5,7,6,4,4,-,1
"S00143888",60,-,-,-,-,-,3,4,6,3,4,4,1,2,4,16,4,7,-,1,-,-
"S00143889",110,-,-,7,-,1,7,13,7,14,2,6,1,8,7,8,7,12,3,5,-,-
"S00143890",41,-,-,-,-,-,1,3,4,3,6,3,2,1,1,4,6,5,-,2,-,-
"S00143891",75,-,-,2,-,-,3,8,-,6,5,9,-,13,2,6,8,8,4,1,-,-
"S00143892",38,1,-,-,-,-,2,5,2,1,1,11,-,2,5,7,3,3,-,2,-,-
"S00143893",79,1,2,6,1,-,-,7,2,5,4,16,1,6,1,10,9,2,2,3,-,-
"S00143894",110,-,1,7,2,-,3,8,2,16,7,6,4,12,6,6,19,12,5,-,-,-
"S00143895",87,-,-,6,-,-,2,4,-,12,6,12,-,9,3,7,9,10,7,2,-,-
"S00143896",77,-,-,2,1,-,-,5,1,15,6,5,1,13,1,4,12,9,5,1,2,-
"S00143897",34,-,-,-,-,-,-,-,-,4,7,2,-,8,1,2,5,5,1,2,-,-
"S00143898",45,-,-,1,-,-,-,-,3,10,2,-,-,2,2,5,6,5,3,1,-,-
"S00143899",72,-,-,2,-,-,1,8,-,9,6,7,2,5,4,4,10,9,3,-,-,-
"S00143900",67,-,2,1,-,-,2,9,2,7,4,8,-,7,-,2,7,7,2,4,-,-
"S00143901",51,-,-,1,-,-,2,7,-,5,3,4,-,9,2,2,8,4,1,1,-,-
"S00143902",59,-,-,8,-,-,7,-,5,-,2,8,1,3,2,10,7,6,-,3,-,1
"S00143903",80,-,-,1,1,1,2,5,3,14,7,7,1,9,3,7,-,12,1,8,-,-
"S00143904",80,-,-,4,-,-,1,10,1,9,4,4,-,5,1,3,8,12,9,5,-,-
"S00143905",53,-,-,-,-,-,1,3,-,4,4,3,-,9,2,11,14,-,4,4,-,-
"S00143906",69,4,-,1,-,-,5,8,6,5,3,9,-,3,4,3,5,12,-,1,-,-
"S00143907",70,1,-,2,-,-,-,7,2,9,4,3,1,6,5,4,13,8,5,-,-,-
"S00143908",70,1,-,2,-,-,5,3,-,9,8,2,4,5,-,5,10,2,5,5,-,-
"S00143909",48,-,-,-,-,-,3,4,3,14,3,4,-,4,1,2,1,5,3,4,-,-
"S00143910",58,-,-,1,-,1,1,4,1,4,2,5,1,8,2,5,6,5,4,6,-,-
"S00143911",48,-,-,2,-,-,5,-,1,4,1,3,-,6,3,8,5,6,1,-,-,-
"S00143912",103,-,1,5,2,1,4,8,2,14,9,7,2,13,2,8,5,15,3,3,-,-
"S00143913",28,-,-,1,-,-,-,3,1,3,2,-,-,4,3,1,6,2,-,1,-,-
"S00143914",47,-,-,3,-,-,3,6,-,3,3,10,-,1,3,3,7,5,-,3,-,-
"S00143915",63,-,-,2,-,-,2,8,-,6,6,6,-,7,3,6,4,7,-,-,-,-
"S00143916",54,-,-,3,-,1,2,-,-,7,5,4,-,7,1,3,8,3,3,5,-,-
"S00143917",64,-,-,6,-,-,-,3,-,1,5,3,2,9,-,7,3,12,2,4,-,-
"S00143918",71,-,-,5,-,1,5,5,-,10,2,9,-,8,-,5,8,5,4,-,-,-
"S00143919",63,-,-,1,-,-,2,6,-,13,4,3,-,5,2,4,7,4,2,6,-,-
"S00143920",67,-,-,2,2,-,1,7,2,10,4,2,-,10,3,6,8,7,6,1,-,-
"S00143921",33,4,-,1,-,-,3,1,3,2,2,1,-,2,-,1,-,5,4,4,-,-
"S00143922",56,-,-,2,-,-,3,3,-,6,2,7,-,5,3,1,9,8,3,4,-,-
"S00143923",91,-,-,4,1,-,3,14,1,14,8,6,-,4,2,2,9,13,8,7,1,-
"S00143924",64,-,-,5,-,1,4,7,4,4,2,7,-,6,3,5,5,9,1,1,-,-
"S00143925",83,-,1,4,-,-,5,9,1,-,-,10,2,5,4,16,5,8,2,5,-,-
"S00143926",96,-,-,6,-,-,3,12,7,5,-,12,-,6,5,11,6,13,4,4,-,-
"S00143927",82,-,1,4,1,2,1,11,1,12,3,3,2,16,1,7,6,6,3,4,-,-
"S00143928",51,-,-,2,-,-,1,4,-,7,4,1,-,7,-,1,10,8,2,3,-,-
"S00143929",56,1,-,2,-,-,5,7,6,2,3,1,3,3,6,3,6,8,2,-,-,-
"S00143930",86,-,1,1,-,-,3,7,2,5,9,5,1,11,2,1,16,10,5,5,-,-
"S00143931",110,-,-,5,1,-,1,2,4,3,3,7,3,12,1,16,20,23,6,2,-,-
"S00143932",61,-,-,3,-,-,4,11,-,6,6,7,-,5,-,5,3,4,2,2,-,-
"S00143933",60,-,-,4,-,-,-,11,3,5,6,11,-,3,3,4,1,5,3,-,-,-
"S00143934",92,1,-,5,-,-,-,10,-,20,4,3,-,7,-,4,19,10,6,4,-,-
"S00143935",73,1,-,8,-,-,10,-,4,7,1,6,1,5,1,4,5,14,-,4,-,-
"S00143936",51,-,-,4,-,-,1,8,-,4,1,9,-,4,1,5,2,7,1,1,-,-
"S00143937",92,-,1,11,-,1,-,4,1,7,4,15,-,11,3,8,8,14,4,3,-,-
"S00143938",83,-,-,4,-,1,-,7,-,9,5,3,1,11,-,9,11,10,5,4,-,1
"S00143939",47,-,-,3,2,-,1,2,1,3,2,5,2,8,-,4,3,8,-,4,-,-
"S00143940",48,-,1,4,-,-,2,4,-,5,7,3,2,1,2,-,4,9,1,1,-,-
"S00143941",85,-,-,9,-,-,-,10,2,12,12,10,1,7,3,2,5,4,2,3,1,-
"S00143942",52,-,-,2,-,1,3,7,2,7,2,8,1,6,3,1,6,3,-,1,-,-
"S00143943",129,2,-,4,-,1,10,13,6,8,6,13,-,11,8,16,7,16,4,4,-,-
"S00143944",84,-,-,3,-,-,-,5,2,7,5,2,-,9,2,10,15,15,4,4,-,-
"S00143945",56,-,-,-,-,1,-,-,4,4,5,4,1,7,3,3,5,10,4,5,-,-
"S00143946",55,-,-,3,-,-,-,5,3,9,6,7,-,5,3,1,4,9,-,-,-,-
"S00143947",52,-,-,4,-,-,2,2,-,4,2,2,1,11,-,6,4,8,4,4,-,-
"S00143948",65,-,1,1,-,-,1,5,2,14,4,-,2,8,3,4,6,9,-,2,-,-
"S00143949",37,-,-,3,-,-,3,5,-,5,-,-,-,-,6,4,-,11,1,3,-,-
"S00143950",68,-,-,2,1,-,3,5,2,11,6,10,1,7,2,2,4,10,5,-,1,-
"S00143951",47,-,-,5,-,1,-,3,-,6,-,3,-,12,-,2,6,7,4,-,-,-
"S00143952",86,-,-,3,-,-,-,8,-,17,1,5,1,16,2,3,15,8,2,5,-,-
"S00143953",61,1,-,2,3,-,-,3,2,4,6,4,-,5,-,8,8,9,2,2,-,-
"S00143954",54,-,-,2,-,2,2,8,2,5,-,2,-,5,2,9,10,6,1,-,-,-
"S00143955",53,-,1,1,-,-,3,4,2,5,7,7,-,4,2,6,3,5,-,2,-,1
"S00143956",47,-,-,4,-,-,-,2,1,2,-,7,-,7,1,7,2,11,1,3,-,-
"S00143957",43,-,-,1,-,-,2,3,-,4,3,2,-,6,2,1,11,5,1,-,-,-
"S00143958",35,-,-,1,-,-,3,9,2,4,4,3,-,-,1,4,1,4,-,2,-,-
"S00143959",54,-,-,3,-,-,-,3,3,2,5,7,-,4,3,4,8,4,-,2,-,-
"S00143960",94,-,-,-,1,-,2,11,1,12,3,5,2,11,2,7,18,12,4,1,-,-
"S00143961",47,-,-,-,1,1,-,2,-,8,4,5,-,6,1,7,6,3,-,2,-,-
"S00143962",54,-,-,5,-,1,2,8,2,3,4,5,-,-,4,6,3,6,3,2,-,-
"S00143963",89,-,1,-,-,-,4,3,-,4,-,12,1,14,3,7,17,12,4,3,-,-
"S00143964",167,1,-,4,1,-,-,27,1,35,7,4,4,14,5,6,14,23,10,7,1,-
"S00143965",62,-,-,3,-,1,1,2,4,4,5,3,1,9,1,4,11,6,2,-,-,-
"S00143966",51,-,-,3,1,-,-,2,1,5,2,7,-,11,1,5,4,8,1,1,-,-
"S00143967",48,-,-,3,1,-,3,10,1,9,-,3,-,2,-,3,4,2,4,1,-,-
"S00143968",43,-,-,3,-,-,3,3,1,7,2,1,-,6,3,3,5,6,2,-,-,-
"S00143969",53,-,-,-,-,-,1,4,-,11,5,3,-,12,-,3,6,3,5,3,-,-
"S00143970",69,-,-,1,-,-,-,8,1,8,11,5,-,8,7,3,4,9,1,3,-,-
"S00143971",96,-,-,-,1,-,-,7,2,2,2,11,-,17,5,6,7,24,5,5,-,-
"S00143972",78,1,-,3,2,1,4,12,8,2,3,9,-,7,2,8,6,3,2,1,-,-
"S00143973",101,-,1,2,-,-,6,5,9,5,6,21,-,23,3,9,9,6,-,1,-,-
"S00143974",97,-,-,4,-,-,4,8,4,12,5,7,3,10,-,6,18,11,1,6,-,-
"S00143975",87,2,-,1,2,-,-,9,-,25,8,5,-,8,-,4,9,8,2,2,-,-
"S00143976",56,-,-,3,-,-,1,4,6,7,3,2,-,8,4,4,3,6,-,5,-,-
"S00143977",76,-,-,5,-,-,2,8,1,9,10,2,-,8,3,6,4,9,1,4,-,-
"S00143978",35,-,-,-,-,-,3,3,1,3,4,-,-,3,-,4,4,8,-,2,-,-
"S00143979",125,-,2,5,-,1,1,12,4,8,13,16,1,12,4,7,8,16,5,3,-,1
"S00143980",83,-,1,1,1,-,4,9,4,10,3,7,-,10,4,12,3,5,2,6,-,-
"S00143981",32,-,-,-,-,-,1,5,2,3,2,5,-,5,-,2,-,3,2,1,-,-
"S00143982",48,-,-,-,-,-,-,1,-,4,4,6,-,12,2,5,5,6,-,-,-,1
"S00143983",95,-,-,3,-,-,4,5,5,9,7,9,-,4,5,10,8,18,3,3,-,-
"S00143984",77,-,-,6,-,-,1,4,2,4,10,11,1,9,-,5,6,8,2,3,-,-
"S00143985",50,1,-,-,1,-,3,7,3,2,2,2,-,3,3,2,5,7,-,2,2,-
"S00143986",73,-,1,1,2,-,-,2,-,13,2,10,1,13,3,5,3,11,3,4,-,-
"S00143987",33,-,-,4,-,-,2,-,3,6,-,2,-,-,4,-,2,10,-,1,-,-
"S00143988",38,-,-,3,-,-,-,1,-,6,3,6,-,6,1,-,1,1,2,2,-,-
"S00143989",48,-,-,6,-,-,2,10,1,4,2,1,-,6,2,1,3,6,2,5,-,-
"S00143990",52,-,1,1,-,-,-,1,1,7,5,5,3,4,3,2,7,10,3,1,-,-
