Scotland's Census 2022 - National Records of Scotland
Table UV401 - Accommodation type - People
All people in households
,"All people in households","Whole house or bungalow: Total","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure"
"S00144231",109,37,9,15,13,72,58,14,-,-
"S00144232",120,83,11,3,71,37,29,8,-,-
"S00144233",117,79,9,10,61,36,36,-,-,-
"S00144234",106,4,-,-,4,103,103,-,-,-
"S00144235",128,29,12,16,6,97,71,29,-,-
"S00144236",91,15,-,9,4,78,78,-,-,-
"S00144237",117,9,-,3,6,111,111,-,-,-
"S00144238",130,2,-,-,2,132,132,-,-,-
"S00144239",140,6,3,-,3,134,131,3,-,-
"S00144240",112,109,52,30,28,2,2,-,-,-
"S00144241",89,30,16,4,10,60,44,15,-,-
"S00144242",128,16,-,7,9,109,109,-,-,-
"S00144243",64,19,10,4,3,47,45,2,-,-
"S00144244",92,18,8,1,7,72,72,-,-,-
"S00144245",126,27,18,3,9,99,59,40,-,-
"S00144246",99,16,2,10,4,83,79,2,2,-
"S00144247",164,79,-,6,79,85,79,6,-,-
"S00144248",115,71,56,10,5,44,32,12,-,-
"S00144249",104,4,-,4,-,100,100,-,-,-
"S00144250",170,76,-,12,63,94,94,-,-,-
"S00144251",109,6,2,2,-,105,99,-,6,-
"S00144252",87,56,4,34,18,31,31,-,-,-
"S00144253",114,17,-,2,15,93,89,2,2,4
"S00144254",92,9,-,-,9,84,84,-,-,-
"S00144255",92,68,4,66,-,24,24,-,-,-
"S00144256",107,35,22,14,2,69,47,22,-,-
"S00144257",152,126,41,15,72,26,26,-,-,-
"S00144258",106,98,3,13,82,8,8,-,-,-
"S00144259",125,41,4,12,26,84,84,-,-,-
"S00144260",78,4,-,4,-,74,74,-,-,-
"S00144261",65,12,-,5,6,56,56,-,-,-
"S00144262",77,4,4,-,-,78,67,4,6,-
"S00144263",91,19,-,-,19,76,73,-,3,-
"S00144264",73,51,1,8,36,24,24,-,-,-
"S00144265",78,34,3,19,14,45,45,-,-,-
"S00144266",91,83,3,50,29,8,8,-,-,-
"S00144267",65,12,-,2,10,54,54,-,-,-
"S00144268",96,9,5,3,2,79,81,-,1,-
"S00144269",85,4,-,3,3,78,74,-,4,-
"S00144270",102,93,2,64,24,9,5,4,-,-
"S00144271",111,20,7,5,8,91,89,2,-,-
"S00144272",90,-,-,-,-,90,87,2,1,-
"S00144273",133,-,-,-,-,132,131,-,1,-
"S00144274",145,12,2,4,4,133,133,-,-,-
"S00144275",96,36,6,2,28,60,60,-,-,-
"S00144276",147,69,10,25,34,78,41,40,-,-
"S00144277",114,84,9,43,32,30,26,4,-,-
"S00144278",90,-,-,-,-,88,88,-,-,-
"S00144279",114,10,-,2,8,104,104,-,-,-
"S00144280",85,36,-,7,29,52,52,-,-,-
"S00144281",117,20,6,3,12,91,91,-,-,4
"S00144282",151,2,-,2,-,151,151,-,-,-
"S00144283",115,2,-,2,-,113,109,4,-,-
"S00144284",77,17,2,9,3,64,64,-,-,-
"S00144285",138,71,-,-,71,67,65,2,-,-
"S00144286",127,10,-,4,4,115,115,-,-,-
"S00144287",220,69,16,12,41,147,75,72,6,-
"S00144288",122,49,5,3,41,73,73,-,-,-
"S00144289",127,20,7,7,6,107,104,7,-,-
"S00144290",181,64,13,4,47,117,111,4,-,-
"S00144291",72,10,3,3,4,62,59,2,2,-
"S00144292",70,7,-,7,-,61,61,-,-,-
"S00144293",105,24,3,2,20,81,81,-,-,-
"S00144294",101,2,-,-,2,99,99,-,-,-
"S00144295",66,51,-,37,16,15,3,12,-,-
"S00144296",149,24,12,5,7,122,121,3,-,-
"S00144297",71,60,8,50,1,11,11,-,-,-
"S00144298",77,6,1,-,1,71,71,-,-,-
"S00144299",121,60,-,58,2,61,16,43,-,-
"S00144300",66,31,6,19,6,31,31,-,-,-
"S00144301",110,2,-,2,-,108,99,4,3,-
"S00144302",102,92,3,37,52,10,8,3,-,-
"S00144303",162,132,16,84,35,27,27,-,-,-
"S00144304",164,13,4,10,-,148,146,2,-,-
"S00144305",123,28,-,33,3,91,90,2,-,-
"S00144306",85,2,2,-,-,80,80,-,-,-
"S00144307",60,3,3,-,-,57,37,17,-,-
"S00144308",112,98,12,57,29,14,12,2,-,-
"S00144309",83,-,-,-,-,83,70,5,8,-
"S00144310",99,3,-,2,1,96,96,-,-,-
"S00144311",130,9,9,-,-,121,119,-,-,-
"S00144312",162,59,28,21,11,103,99,4,-,-
"S00144313",166,155,7,95,57,15,9,2,-,-
"S00144314",69,38,16,19,7,31,31,-,-,-
"S00144315",122,5,-,-,5,119,119,-,-,-
"S00144316",103,15,-,2,11,90,74,12,-,-
"S00144317",142,103,8,30,65,39,20,22,-,-
"S00144318",83,10,3,3,4,76,64,12,-,-
"S00144319",93,57,47,10,-,36,15,21,-,-
"S00144320",109,35,4,4,28,74,74,-,-,-
"S00144321",92,1,-,-,1,95,95,-,-,-
"S00144322",92,33,2,-,31,61,61,-,-,-
"S00144323",97,55,2,50,2,42,42,-,-,-
"S00144324",127,19,-,5,11,108,104,4,-,-
"S00144325",108,12,2,4,6,96,95,-,1,-
"S00144326",126,41,4,11,26,84,82,2,-,-
"S00144327",107,80,12,44,24,25,25,-,-,-
"S00144328",132,59,-,2,55,73,74,-,2,-
"S00144329",66,34,18,9,7,32,17,15,-,-
"S00144330",95,23,5,3,15,72,48,24,-,-
"S00144331",92,12,2,-,6,81,81,-,-,-
"S00144332",93,9,1,3,4,81,81,-,-,-
"S00144333",62,-,-,-,-,62,62,-,-,-
"S00144334",60,6,-,1,5,54,53,-,-,-
"S00144335",67,43,26,12,5,24,24,-,-,-
"S00144336",180,87,4,47,33,96,19,81,-,-
"S00144337",73,-,-,-,-,73,73,-,-,-
"S00144338",202,149,14,66,69,45,34,8,7,4
"S00144339",96,8,4,-,3,89,89,-,-,-
"S00144340",96,46,1,19,24,46,45,2,-,-
"S00144341",125,41,11,14,16,80,82,-,-,-
"S00144342",82,4,-,-,4,77,77,-,-,-
"S00144343",82,22,20,2,-,60,49,11,-,-
"S00144344",111,18,10,2,2,97,92,5,-,-
"S00144345",85,-,-,-,-,85,77,8,-,-
"S00144346",105,57,23,22,10,50,46,2,-,-
"S00144347",64,2,2,-,-,63,63,-,-,-
"S00144348",64,2,2,-,-,66,59,5,-,-
"S00144349",102,65,-,48,19,35,35,-,-,-
"S00144350",66,7,2,2,2,58,58,-,-,-
"S00144351",103,97,66,22,9,6,6,-,-,-
"S00144352",151,71,13,15,40,80,79,-,-,-
"S00144353",153,-,-,-,-,153,148,-,4,-
"S00144354",112,59,39,20,-,53,42,11,-,-
"S00144355",131,56,31,5,22,76,57,18,-,-
"S00144356",93,8,5,1,2,85,84,-,1,-
"S00144357",136,69,32,10,27,67,29,38,-,-
"S00144358",175,26,5,7,14,149,144,5,-,-
"S00144359",84,-,-,-,-,84,84,-,-,-
"S00144360",112,11,3,5,3,101,94,7,-,-
"S00144361",76,4,-,4,-,74,74,-,-,-
"S00144362",106,53,-,24,31,51,47,4,-,-
"S00144363",101,12,3,5,3,92,75,19,-,-
"S00144364",131,35,12,12,11,96,94,3,-,-
"S00144365",75,6,-,2,3,70,70,-,-,-
"S00144366",159,3,-,-,3,156,149,10,-,-
"S00144367",114,63,-,32,31,51,46,5,-,-
"S00144368",142,80,1,26,53,62,62,-,-,-
"S00144369",86,31,2,27,2,55,57,-,-,-
"S00144370",100,45,-,-,45,57,53,5,-,-
"S00144371",151,55,8,6,39,96,92,4,-,-
"S00144372",100,33,-,23,6,67,67,-,-,-
"S00144373",111,97,5,76,19,14,4,10,-,-
"S00144374",116,112,60,31,21,4,4,-,-,-
"S00144375",107,9,1,2,7,98,98,-,-,-
"S00144376",68,33,-,12,19,35,21,20,-,-
"S00144377",146,82,13,9,60,58,58,-,-,6
"S00144378",148,47,6,24,17,101,99,2,-,-
"S00144379",66,56,1,54,1,10,10,-,-,-
"S00144380",100,2,-,-,2,99,98,1,-,-
"S00144381",143,8,-,-,8,135,135,-,-,-
"S00144382",78,3,-,-,3,75,75,-,-,-
"S00144383",85,2,-,-,2,83,76,7,-,-
"S00144384",205,172,17,91,61,36,20,15,1,-
"S00144385",61,10,4,6,-,53,53,-,-,-
"S00144386",69,4,-,-,4,65,65,-,-,-
"S00144387",80,40,-,40,-,40,40,-,-,-
"S00144388",119,31,16,9,6,87,83,6,-,1
"S00144389",156,108,1,51,56,48,48,-,-,-
"S00144390",117,25,5,8,12,90,90,-,-,3
"S00144391",128,40,21,19,-,88,16,72,-,-
"S00144392",139,34,-,25,12,103,103,-,-,-
"S00144393",146,117,17,63,37,29,28,2,-,-
"S00144394",106,69,4,45,20,37,32,3,2,-
"S00144395",119,101,21,38,38,18,18,-,-,-
"S00144396",147,53,-,7,45,94,91,3,-,-
"S00144397",104,-,-,-,-,104,104,-,-,-
"S00144398",155,24,2,13,9,131,109,19,-,-
"S00144399",117,3,-,-,3,114,109,7,-,-
"S00144400",116,41,17,-,25,74,55,19,-,-
"S00144401",92,68,6,35,29,22,22,-,-,-
"S00144402",133,104,11,35,54,29,27,4,-,-
"S00144403",144,111,21,59,31,32,32,-,-,-
"S00144404",85,45,-,4,41,43,43,-,2,-
"S00144405",91,22,-,16,4,65,65,-,-,-
"S00144406",151,101,13,34,54,50,50,-,-,-
"S00144407",117,74,8,11,55,43,39,4,-,-
"S00144408",104,23,6,15,2,81,81,-,-,-
"S00144409",166,106,13,48,47,60,60,-,-,-
"S00144410",144,85,18,60,4,59,30,28,-,-
"S00144411",96,18,3,4,8,81,79,1,-,-
"S00144412",80,39,24,12,-,44,41,5,-,-
"S00144413",109,33,-,-,33,76,55,21,-,-
"S00144414",137,44,8,9,28,93,93,-,-,-
"S00144415",102,11,4,2,3,91,88,2,-,-
"S00144416",102,7,3,-,4,87,83,-,4,8
"S00144417",138,23,-,13,10,115,115,-,-,-
"S00144418",146,73,17,30,23,76,16,61,2,-
"S00144419",89,30,3,18,9,59,52,-,7,-
"S00144420",98,80,7,25,48,18,18,-,-,-
"S00144421",111,37,-,13,22,75,72,-,-,-
"S00144422",71,11,5,4,4,60,51,9,-,-
"S00144423",62,4,3,-,3,56,56,-,-,-
"S00144424",67,11,1,10,-,56,56,-,-,-
"S00144425",94,10,-,2,8,81,81,-,-,-
"S00144426",137,92,17,18,54,45,24,21,-,-
"S00144427",156,51,11,16,21,105,82,23,-,-
"S00144428",129,6,-,-,6,123,123,-,-,-
"S00144429",102,87,7,34,48,11,11,-,-,-
"S00144430",70,2,-,1,1,65,65,-,-,-
"S00144431",85,52,22,19,11,30,27,3,-,3
"S00144432",121,110,26,58,26,11,11,-,-,-
"S00144433",131,35,10,11,14,95,95,-,-,-
"S00144434",110,32,-,11,21,74,74,-,-,-
"S00144435",124,31,6,5,20,91,45,46,3,-
"S00144436",216,111,12,34,65,108,102,2,-,-
"S00144437",110,29,3,14,12,81,81,-,-,-
"S00144438",159,9,-,9,-,151,147,3,-,-
"S00144439",119,3,-,-,3,116,115,1,-,-
"S00144440",87,-,-,1,1,82,82,-,-,-
"S00144441",76,27,5,22,1,49,49,-,-,-
"S00144442",181,173,73,49,51,8,8,-,-,-
"S00144443",150,110,-,69,41,40,40,-,-,-
"S00144444",80,11,-,3,8,68,66,3,-,-
"S00144445",178,39,3,4,32,136,129,8,-,3
"S00144446",76,76,12,6,58,-,-,-,-,-
"S00144447",147,75,-,13,64,68,70,4,-,-
"S00144448",121,71,7,13,53,47,47,-,-,1
"S00144449",104,1,-,1,-,107,99,3,1,-
"S00144450",112,-,-,-,-,112,112,-,-,-
"S00144451",85,66,6,20,41,19,19,-,-,-
"S00144452",71,2,2,-,-,65,65,-,-,-
"S00144453",132,15,-,11,1,122,120,2,-,-
"S00144454",100,21,8,9,2,79,79,-,-,-
"S00144455",137,1,-,1,-,135,130,5,-,-
"S00144456",116,-,-,-,-,116,116,-,-,-
"S00144457",105,43,4,11,28,62,58,4,-,-
"S00144458",75,58,49,4,7,18,18,-,-,-
"S00144459",128,58,8,18,35,70,38,28,-,-
"S00144460",106,3,-,-,3,102,102,-,-,-
"S00144461",99,32,-,31,1,67,55,12,-,-
"S00144462",75,22,-,6,11,53,50,3,-,-
"S00144463",152,100,38,55,7,52,52,-,-,-
"S00144464",92,83,-,43,41,9,9,-,-,-
"S00144465",147,89,8,28,50,55,49,8,-,3
"S00144466",118,5,-,2,3,115,112,-,1,-
"S00144467",92,79,5,50,28,14,5,5,-,-
"S00144468",134,32,-,17,15,102,100,1,-,-
"S00144469",107,2,-,-,2,103,99,4,-,-
"S00144470",81,64,1,46,18,17,17,-,-,-
"S00144471",106,35,5,13,17,67,67,-,-,-
"S00144472",95,47,-,10,37,48,47,1,-,-
"S00144473",76,2,-,2,-,74,74,-,-,-
"S00144474",106,1,-,1,-,105,105,-,-,-
"S00144475",79,20,14,4,-,59,43,14,3,-
"S00144476",90,1,-,1,-,89,71,18,-,-
"S00144477",99,2,-,1,1,97,96,1,-,-
"S00144478",128,78,1,-,79,50,42,8,-,-
"S00144479",134,71,6,65,-,65,65,-,-,-
"S00144480",132,78,8,3,67,54,53,-,-,-
"S00144481",179,88,10,36,39,91,91,-,-,-
"S00144482",79,29,4,17,7,49,49,-,-,-
"S00144483",137,13,-,4,9,124,123,-,-,-
"S00144484",136,131,12,59,60,8,6,2,-,-
"S00144485",98,7,1,-,6,91,90,2,-,-
"S00144486",63,9,6,1,2,54,54,-,-,-
"S00144487",135,76,9,45,25,59,10,49,-,-
"S00144488",77,63,-,23,40,16,16,-,-,-
"S00144489",144,48,2,26,20,96,75,21,-,-
"S00144490",147,3,-,-,3,141,141,-,-,-
"S00144491",104,46,5,14,23,55,54,4,-,-
"S00144492",67,-,-,-,-,66,63,3,-,-
"S00144493",96,90,-,15,74,6,6,-,-,-
"S00144494",105,1,1,-,-,104,100,4,-,-
"S00144495",115,10,-,6,1,108,108,-,-,-
"S00144496",100,52,14,10,29,44,44,-,-,-
"S00144497",119,111,8,54,47,8,8,-,-,-
"S00144498",157,53,4,2,46,104,100,4,-,-
"S00144499",84,4,-,2,-,81,81,-,-,-
"S00144500",145,100,10,8,82,45,39,6,-,-
"S00144501",83,3,-,3,-,80,80,-,-,-
"S00144502",106,36,2,11,21,70,66,4,-,-
"S00144503",84,75,41,21,11,9,9,-,-,-
"S00144504",98,46,6,10,30,52,52,-,-,-
"S00144505",113,48,2,14,35,65,59,6,-,-
"S00144506",105,1,-,-,1,104,104,-,-,-
"S00144507",233,170,54,86,31,63,57,6,-,-
"S00144508",112,-,-,-,-,112,110,2,-,-
"S00144509",146,23,9,-,10,127,101,26,-,-
"S00144510",152,25,4,16,5,127,127,-,-,-
"S00144511",81,57,17,23,17,20,20,-,-,-
"S00144512",90,20,-,19,1,70,64,6,-,-
"S00144513",119,73,-,10,63,46,46,-,-,-
"S00144514",105,-,-,-,-,105,105,-,-,-
"S00144515",192,72,3,7,60,120,113,7,-,-
"S00144516",104,9,-,3,10,91,90,-,1,-
"S00144517",93,39,-,7,33,54,54,-,-,-
"S00144518",126,31,15,4,12,99,99,-,-,-
"S00144519",161,101,15,46,40,60,51,11,-,-
"S00144520",144,116,4,72,46,28,28,-,-,-
"S00144521",120,24,4,14,6,96,94,1,-,-
"S00144522",105,97,25,22,54,8,3,5,-,-
"S00144523",110,29,11,7,11,81,71,10,-,-
"S00144524",118,80,5,73,6,38,38,-,-,-
"S00144525",63,54,-,14,42,9,9,-,-,-
"S00144526",103,34,-,-,34,67,67,2,-,-
"S00144527",126,82,39,26,17,44,34,10,-,-
"S00144528",79,1,-,1,-,78,78,-,-,-
"S00144529",120,9,-,5,4,114,114,-,-,-
"S00144530",129,17,1,1,15,112,112,-,-,-
"S00144531",98,18,14,3,2,80,64,19,-,-
"S00144532",126,120,33,20,69,4,4,-,-,-
"S00144533",131,33,-,6,26,98,98,-,-,-
"S00144534",143,107,11,23,76,36,10,25,-,-
"S00144535",108,101,25,15,61,7,7,-,-,-
"S00144536",173,96,2,71,21,77,76,4,-,-
"S00144537",61,41,-,20,20,21,19,-,-,-
"S00144538",65,63,2,35,26,2,2,-,-,-
"S00144539",98,24,3,6,19,70,70,-,-,-
"S00144540",141,59,3,24,31,84,60,27,-,-
"S00144541",165,108,11,26,71,57,57,-,-,-
"S00144542",72,55,2,-,51,17,17,-,-,-
"S00144543",157,154,115,11,30,3,3,-,-,-
"S00144544",101,15,5,4,6,86,84,2,-,-
"S00144545",106,95,11,31,53,13,13,-,-,-
"S00144546",147,-,-,-,-,147,147,-,-,-
"S00144547",150,46,18,22,6,104,67,37,-,-
"S00144548",113,84,9,11,64,29,29,-,-,-
"S00144549",118,62,8,17,41,56,56,-,-,-
"S00144550",204,205,182,12,11,2,2,-,-,-
"S00144551",109,27,-,3,23,82,82,-,-,-
"S00144552",101,96,-,44,52,5,5,-,-,-
"S00144553",86,6,-,-,6,83,83,-,-,-
"S00144554",81,10,4,2,4,71,65,5,-,-
"S00144555",138,43,2,14,27,93,93,-,-,-
"S00144556",142,126,-,8,117,17,7,10,-,-
"S00144557",76,73,7,22,41,8,8,-,-,-
"S00144558",126,50,20,11,19,76,69,7,-,-
"S00144559",104,27,-,-,27,77,77,-,-,-
"S00144560",167,151,46,90,19,16,16,-,-,-
"S00144561",124,88,11,26,51,36,8,28,-,-
"S00144562",90,-,-,-,-,89,89,-,-,-
"S00144563",132,84,1,20,58,48,48,-,-,-
"S00144564",102,5,-,-,5,100,95,4,-,-
"S00144565",125,14,-,4,10,111,111,-,-,-
"S00144566",88,36,-,-,36,56,56,-,-,-
"S00144567",61,53,-,5,48,8,5,3,-,-
"S00144568",68,5,5,-,-,62,62,-,-,-
"S00144569",127,85,12,43,30,44,-,41,-,-
"S00144570",64,8,6,-,2,56,55,2,-,-
"S00144571",129,74,3,45,27,55,55,-,-,-
"S00144572",109,2,-,2,1,106,106,-,-,1
"S00144573",131,116,6,90,23,15,15,-,-,-
"S00144574",73,24,5,-,19,49,49,-,-,-
"S00144575",119,-,-,-,-,119,119,-,-,-
"S00144576",61,33,5,3,25,30,30,-,-,-
"S00144577",93,93,55,23,19,-,-,-,-,-
"S00144578",103,46,-,21,25,57,56,4,-,-
"S00144579",78,6,6,-,-,72,69,5,-,-
"S00144580",61,25,10,3,8,40,37,1,-,-
"S00144581",99,57,-,32,22,42,42,-,-,-
"S00144582",178,112,5,98,9,66,64,2,-,-
"S00144583",83,62,3,2,55,21,3,18,-,-
"S00144584",134,7,6,2,5,125,125,-,-,-
"S00144585",153,125,5,45,73,26,12,14,-,-
"S00144586",87,36,8,5,23,51,42,9,-,-
"S00144587",89,67,38,4,26,21,17,3,-,-
"S00144588",118,89,9,28,46,33,12,21,-,-
"S00144589",123,122,3,17,97,6,2,2,-,-
"S00144590",158,131,13,88,27,27,-,27,-,-
"S00144591",114,10,-,5,5,104,102,1,-,-
"S00144592",94,64,20,15,29,29,29,-,-,1
"S00144593",110,74,-,30,44,36,34,2,-,-
"S00144594",118,30,13,15,5,88,86,2,-,-
"S00144595",112,4,-,-,4,108,108,-,-,-
"S00144596",99,74,10,61,3,25,25,-,-,-
"S00144597",106,92,11,24,57,14,8,6,-,-
"S00144598",85,4,-,-,4,81,81,-,-,-
"S00144599",108,97,7,87,5,12,2,9,-,-
"S00144600",134,75,18,53,5,58,22,37,-,-
"S00144601",104,84,80,8,-,16,16,-,-,-
"S00144602",165,37,4,17,16,127,127,-,-,-
"S00144603",131,5,-,3,2,126,126,-,-,-
"S00144604",158,60,20,9,31,98,89,7,2,-
"S00144605",107,81,-,16,65,24,22,4,-,-
"S00144606",111,25,8,4,11,86,84,2,-,-
"S00144607",152,102,7,37,56,52,45,4,-,-
"S00144608",97,-,-,-,-,97,97,-,-,-
"S00144609",109,45,2,11,33,63,63,-,-,-
"S00144610",115,113,30,56,27,2,2,-,-,-
"S00144611",125,53,4,26,23,72,65,7,-,-
"S00144612",96,24,6,16,1,71,71,-,-,1
"S00144613",73,68,6,14,52,5,5,-,-,-
"S00144614",160,123,105,14,4,37,37,-,-,-
"S00144615",77,38,-,7,27,43,43,-,-,-
"S00144616",126,1,-,1,-,125,125,-,-,-
"S00144617",141,111,95,7,6,28,26,2,-,-
"S00144618",100,20,5,11,6,80,80,-,-,-
"S00144619",60,33,-,15,17,27,27,-,-,-
"S00144620",76,8,-,3,5,68,66,4,-,-
"S00144621",139,22,2,8,10,117,117,-,-,-
"S00144622",128,-,-,-,-,128,125,3,-,-
"S00144623",129,42,3,37,1,87,87,-,-,-
"S00144624",93,8,-,8,-,85,84,1,-,-
"S00144625",155,91,35,53,3,60,60,-,-,-
"S00144626",84,77,10,51,22,7,7,-,-,-
"S00144627",124,88,56,8,25,39,39,-,-,-
"S00144628",62,42,-,14,31,17,17,-,-,-
"S00144629",105,90,24,36,31,14,7,8,-,-
"S00144630",73,14,-,4,10,59,59,-,-,-
"S00144631",76,33,13,6,14,43,37,2,5,-
"S00144632",140,8,-,4,4,132,132,-,-,-
"S00144633",84,6,-,6,-,78,75,-,1,-
"S00144634",88,4,4,1,-,80,80,-,-,-
"S00144635",73,11,5,8,-,59,57,2,-,-
"S00144636",147,116,9,20,89,31,27,4,-,-
"S00144637",95,11,4,2,8,81,81,-,-,-
"S00144638",141,90,2,39,49,51,51,-,-,-
"S00144639",113,65,3,15,47,48,48,-,-,-
"S00144640",154,129,118,19,-,17,16,1,-,-
"S00144641",112,76,25,24,30,36,38,2,-,-
"S00144642",89,4,3,-,1,85,85,-,-,-
"S00144643",71,-,-,-,-,71,67,-,4,-
"S00144644",122,86,10,28,48,36,30,2,4,-
"S00144645",129,127,50,74,3,2,2,-,-,-
"S00144646",96,16,-,10,6,83,78,2,-,-
"S00144647",168,166,44,119,4,2,2,-,-,-
"S00144648",76,2,-,-,2,74,74,-,-,-
"S00144649",106,52,-,15,38,51,51,5,-,-
"S00144650",110,20,-,10,10,86,86,-,-,-
"S00144651",97,85,11,35,39,14,14,-,-,-
"S00144652",97,9,4,-,9,84,84,-,-,-
"S00144653",175,61,-,18,43,116,116,-,-,-
"S00144654",137,102,32,62,8,35,10,25,-,-
"S00144655",71,5,-,4,4,66,66,-,-,-
"S00144656",159,133,44,61,28,24,24,-,-,-
"S00144657",92,76,19,35,22,16,16,-,-,-
"S00144658",203,125,30,95,-,78,12,69,-,-
"S00144659",159,31,-,19,12,128,123,3,-,-
"S00144660",86,13,2,8,3,73,71,4,-,-
"S00144661",108,93,10,44,39,15,5,10,-,-
"S00144662",126,118,89,27,2,6,6,-,-,-
"S00144663",131,61,2,20,36,70,70,-,-,-
"S00144664",182,87,3,8,75,96,91,8,-,-
"S00144665",94,85,2,54,30,2,2,-,-,-
"S00144666",75,12,-,5,5,64,61,3,-,-
"S00144667",105,81,23,48,10,24,24,-,-,-
"S00144668",82,79,48,15,16,3,3,-,-,-
"S00144669",97,4,4,-,-,93,91,2,-,-
"S00144670",66,6,-,6,-,60,60,-,-,-
"S00144671",89,75,34,23,21,14,14,-,-,-
"S00144672",100,27,-,1,24,76,76,-,-,-
"S00144673",86,32,-,9,21,54,49,5,-,-
"S00144674",137,139,35,85,12,3,3,-,-,-
"S00144675",108,77,15,19,43,31,31,-,-,-
"S00144676",104,21,-,12,6,83,81,2,-,-
"S00144677",157,124,6,107,11,33,33,-,-,-
"S00144678",161,47,8,18,22,111,106,5,-,-
"S00144679",115,80,11,41,30,38,38,-,-,-
"S00144680",145,40,5,26,11,105,101,4,-,-
"S00144681",81,18,-,6,12,63,56,4,-,-
"S00144682",116,6,-,-,6,111,109,-,2,-
"S00144683",82,12,3,4,6,70,70,-,-,-
"S00144684",96,86,70,11,7,8,8,-,-,-
"S00144685",65,62,19,36,3,7,2,5,-,-
"S00144686",83,53,3,27,18,34,34,-,-,-
"S00144687",205,206,158,14,34,3,3,-,-,-
"S00144688",111,92,81,8,5,19,13,6,-,-
"S00144689",118,62,6,24,35,53,53,-,-,-
"S00144690",255,181,10,163,5,73,63,12,-,-
"S00144691",128,83,33,50,-,45,10,35,-,-
"S00144692",83,22,-,1,21,61,61,-,-,-
"S00144693",124,81,22,25,34,43,43,-,-,-
"S00144694",110,76,54,15,7,34,18,16,-,-
"S00144695",93,83,-,5,73,10,10,-,-,-
"S00144696",127,108,38,31,39,19,17,2,-,-
"S00144697",74,70,22,26,22,4,4,-,-,-
"S00144698",80,-,-,-,-,80,80,-,-,-
"S00144699",115,59,7,23,33,56,54,2,-,-
"S00144700",129,119,-,88,31,10,10,2,-,-
"S00144701",80,6,-,3,2,77,77,-,-,-
"S00144702",147,137,66,15,56,10,10,-,-,-
"S00144703",113,12,-,8,6,101,91,13,-,-
"S00144704",80,72,1,39,32,9,9,-,-,-
"S00144705",197,187,17,31,143,9,9,-,-,-
"S00144706",147,133,18,47,67,13,13,-,-,-
"S00144707",111,51,1,42,5,60,55,4,-,-
"S00144708",132,109,78,9,22,23,21,2,-,-
"S00144709",109,70,1,24,45,39,38,1,-,-
"S00144710",87,72,10,25,38,10,10,-,-,-
"S00144711",78,33,-,20,13,47,47,-,-,-
"S00144712",126,107,95,8,4,19,16,3,-,-
"S00144713",152,143,137,1,4,10,10,-,-,-
"S00144714",142,137,-,44,93,5,5,-,-,-
"S00144715",125,24,-,11,12,103,98,3,-,-
"S00144716",115,14,-,13,1,98,98,-,-,-
"S00144717",136,68,2,15,50,68,60,4,4,-
"S00144718",90,88,6,77,7,4,4,-,-,-
"S00144719",119,72,12,52,8,46,16,30,-,-
"S00144720",86,57,-,3,54,33,33,-,-,-
"S00144721",170,2,-,2,-,168,166,2,-,-
"S00144722",102,5,-,4,2,93,93,-,-,-
"S00144723",178,167,118,31,18,11,11,-,-,-
"S00144724",134,73,10,38,21,61,51,10,-,-
"S00144725",76,52,5,37,10,24,21,3,-,-
"S00144726",166,133,11,19,107,30,28,2,-,-
"S00144727",113,110,83,13,14,3,-,3,-,-
"S00144728",150,101,14,67,20,49,46,2,-,-
"S00144729",85,81,45,22,14,5,5,-,-,-
"S00144730",119,31,1,10,20,88,85,3,-,-
"S00144731",133,47,2,6,39,86,86,-,-,-
"S00144732",111,21,-,11,7,90,86,4,-,-
"S00144733",149,105,4,24,77,44,42,2,-,-
"S00144734",84,3,3,-,-,81,81,-,-,-
"S00144735",142,122,96,18,6,23,15,8,-,-
"S00144736",124,107,103,-,4,13,10,3,-,-
"S00144737",189,180,161,5,14,4,2,-,-,-
"S00144738",111,84,3,35,46,27,27,-,-,-
"S00144739",125,73,3,58,12,56,56,-,-,-
"S00144740",63,16,-,4,6,51,48,3,-,-
"S00144741",89,4,4,-,-,85,85,-,-,-
"S00144742",110,89,2,73,18,21,21,-,-,-
"S00144743",107,24,-,17,3,86,86,-,-,-
"S00144744",126,28,-,9,19,93,93,-,-,5
"S00144745",110,45,7,28,10,65,65,-,-,-
"S00144746",135,55,4,29,17,83,83,-,-,-
"S00144747",62,5,-,3,2,57,57,-,-,-
"S00144748",67,-,-,-,-,67,67,-,-,-
"S00144749",91,4,3,1,-,87,85,2,-,-
"S00144750",107,7,-,5,2,101,101,-,-,-
"S00144751",112,105,13,5,91,5,5,-,-,-
"S00144752",113,111,52,59,-,2,1,-,2,-
"S00144753",130,123,31,41,52,7,8,1,-,-
"S00144754",129,103,-,11,92,26,16,10,-,-
"S00144755",84,-,-,-,-,84,78,-,2,-
"S00144756",74,57,1,54,-,17,17,-,-,-
"S00144757",130,82,55,28,-,45,21,23,-,-
"S00144758",129,82,19,22,41,47,18,29,-,-
"S00144759",110,28,-,1,25,85,85,-,-,-
