Scotland's Census 2022 - National Records of Scotland
Table UV902 - UK Armed Forces veterans - Households
All households
,"Total","Household contains no UK Armed Forces veterans","Household contains at least one UK Armed Forces veteran"
"S00149952",73,67,9
"S00149953",75,75,-
"S00149954",29,28,2
"S00149955",43,39,4
"S00149956",62,61,-
"S00149957",47,46,-
"S00149958",39,39,2
"S00149959",55,56,3
"S00149960",34,32,2
"S00149961",50,46,4
"S00149962",40,35,5
"S00149963",45,40,5
"S00149964",51,46,5
"S00149965",51,48,3
"S00149966",67,64,2
"S00149967",48,44,4
"S00149968",44,43,1
"S00149969",50,47,3
"S00149970",52,47,5
"S00149971",49,45,4
"S00149972",36,36,-
"S00149973",44,41,1
"S00149974",33,33,3
"S00149975",50,51,6
"S00149976",46,37,5
"S00149977",56,55,3
"S00149978",66,64,2
"S00149979",48,48,-
"S00149980",39,35,1
"S00149981",73,70,2
"S00149982",44,38,5
"S00149983",49,49,-
"S00149984",29,29,-
"S00149985",64,62,2
"S00149986",61,54,3
"S00149987",35,30,4
"S00149988",64,59,3
"S00149989",37,30,10
"S00149990",40,38,1
"S00149991",57,55,2
"S00149992",77,73,4
"S00149993",68,60,8
"S00149994",66,63,3
"S00149995",43,43,2
"S00149996",70,70,-
"S00149997",47,46,2
"S00149998",43,40,3
"S00149999",82,75,3
"S00150000",46,39,4
"S00150001",52,49,3
"S00150002",48,40,6
"S00150003",53,54,3
"S00150004",35,33,2
"S00150005",70,67,3
"S00150006",48,48,-
"S00150007",58,51,3
"S00150008",57,56,4
"S00150009",59,51,8
"S00150010",49,46,3
"S00150011",37,37,-
"S00150012",29,29,-
"S00150013",39,37,2
"S00150014",67,65,2
"S00150015",66,64,3
"S00150016",48,44,4
"S00150017",56,55,2
"S00150018",64,59,2
"S00150019",32,28,1
"S00150020",60,57,5
"S00150021",58,56,2
"S00150022",79,74,2
"S00150023",69,66,5
"S00150024",64,61,3
"S00150025",46,45,1
"S00150026",40,38,1
"S00150027",44,42,2
"S00150028",63,62,2
"S00150029",61,57,4
"S00150030",46,45,1
"S00150031",49,48,1
"S00150032",52,44,2
"S00150033",69,69,3
"S00150034",32,29,3
"S00150035",61,55,6
"S00150036",45,44,1
"S00150037",55,51,4
"S00150038",55,55,2
"S00150039",26,25,-
"S00150040",45,40,7
"S00150041",29,27,2
"S00150042",46,43,3
"S00150043",37,30,8
"S00150044",45,41,4
"S00150045",56,47,5
"S00150046",25,28,-
"S00150047",51,47,4
"S00150048",74,72,2
"S00150049",40,38,4
"S00150050",45,42,3
"S00150051",58,56,3
"S00150052",42,41,1
"S00150053",26,26,1
"S00150054",86,82,4
"S00150055",65,61,4
"S00150056",29,28,1
"S00150057",45,39,6
"S00150058",48,48,-
"S00150059",57,55,2
"S00150060",44,42,2
"S00150061",53,51,2
"S00150062",48,44,4
"S00150063",48,48,-
"S00150064",75,72,1
"S00150065",54,46,8
"S00150066",60,52,11
"S00150067",52,51,2
"S00150068",80,78,8
"S00150069",49,48,1
"S00150070",35,33,2
"S00150071",57,52,2
"S00150072",63,60,3
"S00150073",40,38,1
"S00150074",46,45,1
"S00150075",53,48,4
"S00150076",43,41,2
"S00150077",34,33,1
"S00150078",77,77,-
"S00150079",57,55,2
"S00150080",44,43,1
"S00150081",47,48,3
"S00150082",73,69,4
"S00150083",42,42,-
"S00150084",45,42,3
"S00150085",25,25,-
"S00150086",47,46,1
"S00150087",47,47,-
"S00150088",53,43,10
"S00150089",41,41,-
"S00150090",82,76,5
"S00150091",44,42,2
"S00150092",65,60,2
"S00150093",43,39,4
"S00150094",52,49,3
"S00150095",35,35,-
"S00150096",82,77,3
"S00150097",49,47,2
"S00150098",63,56,7
"S00150099",46,42,3
"S00150100",45,47,2
"S00150101",60,54,6
"S00150102",48,46,2
"S00150103",32,28,4
"S00150104",45,44,2
"S00150105",88,86,2
"S00150106",44,42,2
"S00150107",52,51,1
"S00150108",51,48,3
"S00150109",45,41,1
"S00150110",65,63,4
"S00150111",54,53,1
"S00150112",58,54,4
"S00150113",59,56,3
"S00150114",48,50,2
"S00150115",60,58,2
"S00150116",29,28,1
"S00150117",52,46,6
"S00150118",81,72,10
"S00150119",70,62,8
"S00150120",31,28,3
"S00150121",62,61,1
"S00150122",55,51,4
"S00150123",67,64,3
"S00150124",71,69,-
"S00150125",72,67,5
"S00150126",58,58,-
"S00150127",42,42,-
"S00150128",42,42,-
"S00150129",42,39,3
"S00150130",39,39,-
"S00150131",63,61,4
"S00150132",63,60,-
"S00150133",83,79,4
"S00150134",47,41,4
"S00150135",46,46,-
"S00150136",66,63,3
"S00150137",54,48,6
"S00150138",65,60,5
"S00150139",72,73,1
"S00150140",50,46,4
"S00150141",45,43,4
"S00150142",64,63,1
"S00150143",32,29,3
"S00150144",45,45,-
"S00150145",23,26,2
"S00150146",54,52,2
"S00150147",44,41,4
"S00150148",73,68,4
"S00150149",46,46,-
"S00150150",32,29,3
"S00150151",51,49,2
"S00150152",53,48,6
"S00150153",39,40,-
"S00150154",63,55,8
"S00150155",75,72,2
"S00150156",53,48,5
"S00150157",51,51,-
"S00150158",57,56,1
"S00150159",48,46,2
"S00150160",78,75,3
"S00150161",76,73,3
"S00150162",42,41,3
"S00150163",78,73,2
"S00150164",43,42,1
"S00150165",68,63,5
"S00150166",42,40,2
"S00150167",67,62,5
"S00150168",65,65,2
"S00150169",80,74,6
"S00150170",37,36,1
"S00150171",50,48,5
"S00150172",50,48,4
"S00150173",71,69,4
"S00150174",62,61,-
"S00150175",39,39,3
"S00150176",57,52,5
"S00150177",67,62,2
"S00150178",50,48,2
"S00150179",38,38,-
"S00150180",55,51,4
"S00150181",64,60,4
"S00150182",68,66,-
"S00150183",66,62,4
"S00150184",48,42,5
"S00150185",29,29,-
"S00150186",43,42,1
"S00150187",31,31,-
"S00150188",61,53,8
"S00150189",45,45,-
"S00150190",73,70,2
"S00150191",71,65,4
"S00150192",44,42,2
"S00150193",55,49,5
"S00150194",70,67,3
"S00150195",49,46,6
"S00150196",45,45,-
"S00150197",75,67,5
"S00150198",44,40,4
"S00150199",39,37,2
"S00150200",42,40,3
"S00150201",61,60,1
"S00150202",55,53,2
"S00150203",45,43,2
"S00150204",50,48,5
"S00150205",45,41,4
"S00150206",63,61,2
"S00150207",44,42,-
"S00150208",43,43,-
"S00150209",35,29,4
"S00150210",70,69,-
"S00150211",48,47,-
"S00150212",56,48,5
"S00150213",44,43,1
"S00150214",58,53,5
"S00150215",51,46,5
"S00150216",46,46,3
"S00150217",43,42,1
"S00150218",68,61,7
"S00150219",69,62,7
"S00150220",47,46,1
"S00150221",58,53,5
"S00150222",30,30,-
"S00150223",58,55,3
"S00150224",46,45,1
"S00150225",51,47,1
"S00150226",62,55,7
"S00150227",43,42,5
"S00150228",44,44,-
"S00150229",33,33,-
"S00150230",62,62,-
"S00150231",41,39,-
"S00150232",35,35,-
"S00150233",53,49,4
"S00150234",43,43,-
"S00150235",49,49,-
"S00150236",50,46,4
"S00150237",56,52,4
"S00150238",51,47,3
"S00150239",52,50,2
"S00150240",55,51,4
"S00150241",38,36,2
"S00150242",53,48,5
"S00150243",52,46,6
"S00150244",48,43,9
"S00150245",47,47,-
"S00150246",57,56,1
"S00150247",67,64,2
"S00150248",39,36,2
"S00150249",31,28,3
"S00150250",57,54,3
"S00150251",60,59,-
"S00150252",37,36,-
"S00150253",30,26,4
"S00150254",63,56,7
"S00150255",58,55,3
"S00150256",71,69,4
"S00150257",49,46,3
"S00150258",38,35,3
"S00150259",34,34,-
"S00150260",67,67,-
"S00150261",49,45,2
"S00150262",49,49,-
"S00150263",51,49,2
"S00150264",59,54,3
"S00150265",72,64,6
"S00150266",44,39,5
"S00150267",44,42,2
"S00150268",55,53,2
"S00150269",45,42,3
"S00150270",45,45,-
"S00150271",52,52,-
"S00150272",33,31,2
"S00150273",45,44,4
"S00150274",53,50,4
"S00150275",67,61,6
"S00150276",53,49,4
"S00150277",66,59,6
"S00150278",43,41,2
"S00150279",46,44,2
"S00150280",53,48,6
"S00150281",74,72,2
"S00150282",64,62,2
"S00150283",31,31,-
"S00150284",42,39,3
"S00150285",65,59,6
"S00150286",73,70,2
"S00150287",45,43,1
"S00150288",45,39,7
"S00150289",45,44,5
"S00150290",44,38,3
"S00150291",60,58,2
"S00150292",66,63,3
"S00150293",47,43,2
"S00150294",48,38,6
"S00150295",62,63,2
"S00150296",62,58,4
"S00150297",43,42,1
"S00150298",49,46,3
"S00150299",52,49,3
"S00150300",43,39,4
"S00150301",73,72,1
"S00150302",27,25,2
"S00150303",42,37,4
"S00150304",68,60,5
"S00150305",53,47,4
"S00150306",46,49,2
"S00150307",41,38,3
"S00150308",34,33,1
"S00150309",69,70,2
"S00150310",29,22,1
"S00150311",45,44,4
"S00150312",69,66,3
"S00150313",40,36,5
"S00150314",27,26,1
"S00150315",42,40,2
"S00150316",40,38,2
"S00150317",43,41,2
"S00150318",41,37,4
"S00150319",47,47,-
"S00150320",71,66,5
"S00150321",37,39,-
"S00150322",59,51,8
"S00150323",48,47,1
"S00150324",47,44,6
"S00150325",72,69,4
"S00150326",71,68,6
"S00150327",70,65,4
"S00150328",49,47,4
"S00150329",54,52,4
"S00150330",53,48,5
"S00150331",38,36,3
"S00150332",75,70,5
"S00150333",57,50,3
"S00150334",65,65,-
"S00150335",74,68,11
"S00150336",60,55,1
"S00150337",53,52,2
"S00150338",55,53,3
"S00150339",41,34,4
"S00150340",51,44,9
"S00150341",33,32,-
"S00150342",43,42,1
"S00150343",49,48,1
"S00150344",71,68,3
"S00150345",81,75,2
"S00150346",60,55,5
"S00150347",65,61,4
"S00150348",67,65,3
"S00150349",42,43,1
"S00150350",67,66,1
"S00150351",66,61,5
"S00150352",82,73,5
"S00150353",42,42,4
"S00150354",52,50,2
"S00150355",34,31,3
"S00150356",42,38,4
"S00150357",48,46,2
"S00150358",59,56,3
"S00150359",52,52,-
"S00150360",49,48,-
"S00150361",51,46,8
"S00150362",83,70,7
"S00150363",49,44,5
"S00150364",53,52,1
"S00150365",62,61,-
"S00150366",69,64,3
"S00150367",67,67,-
"S00150368",54,51,3
"S00150369",43,40,3
"S00150370",51,49,2
"S00150371",61,57,6
"S00150372",59,53,6
"S00150373",67,63,2
"S00150374",44,39,1
"S00150375",40,36,4
"S00150376",56,53,5
"S00150377",63,52,7
"S00150378",55,50,5
"S00150379",48,42,6
"S00150380",41,41,-
"S00150381",82,77,5
"S00150382",47,45,1
"S00150383",42,37,4
"S00150384",50,43,7
"S00150385",52,50,1
"S00150386",75,72,5
"S00150387",45,43,2
"S00150388",40,40,-
"S00150389",45,41,4
"S00150390",76,66,8
"S00150391",48,42,5
"S00150392",49,44,5
"S00150393",44,42,2
"S00150394",35,34,1
"S00150395",67,66,1
"S00150396",54,52,2
"S00150397",44,42,3
"S00150398",65,66,3
"S00150399",40,34,7
"S00150400",49,47,2
"S00150401",74,68,3
"S00150402",36,26,4
"S00150403",51,50,-
"S00150404",52,50,4
"S00150405",47,47,-
"S00150406",41,35,6
"S00150407",51,50,6
"S00150408",80,79,4
"S00150409",63,58,5
"S00150410",41,38,5
"S00150411",43,38,6
"S00150412",36,36,-
"S00150413",70,64,4
"S00150414",33,30,3
"S00150415",52,52,-
"S00150416",36,36,-
"S00150417",47,44,3
"S00150418",60,55,5
"S00150419",42,42,-
"S00150420",58,55,2
"S00150421",38,37,2
"S00150422",49,46,3
"S00150423",36,34,2
"S00150424",65,61,2
"S00150425",47,46,2
"S00150426",45,43,1
"S00150427",47,46,3
"S00150428",79,77,3
"S00150429",67,62,6
"S00150430",68,63,5
"S00150431",56,47,5
"S00150432",51,51,2
"S00150433",49,42,4
"S00150434",55,54,1
"S00150435",61,57,3
"S00150436",48,44,4
"S00150437",41,39,1
"S00150438",59,56,3
"S00150439",45,45,-
"S00150440",69,62,4
"S00150441",42,34,4
"S00150442",29,29,-
"S00150443",53,49,4
"S00150444",48,43,5
"S00150445",40,39,1
"S00150446",40,39,1
"S00150447",53,53,-
"S00150448",52,48,4
"S00150449",37,37,-
"S00150450",48,44,1
"S00150451",49,49,-
"S00150452",53,49,4
"S00150453",57,57,-
"S00150454",63,56,10
"S00150455",49,46,3
"S00150456",50,47,3
"S00150457",79,75,2
"S00150458",74,60,5
"S00150459",61,51,7
"S00150460",40,38,1
"S00150461",73,70,3
"S00150462",43,41,2
"S00150463",55,49,2
"S00150464",41,36,6
"S00150465",58,57,1
"S00150466",56,56,3
"S00150467",40,39,4
"S00150468",52,48,4
"S00150469",51,49,2
"S00150470",70,64,6
"S00150471",46,38,5
"S00150472",55,52,1
"S00150473",38,33,5
"S00150474",69,51,12
"S00150475",47,44,3
"S00150476",76,73,3
"S00150477",64,58,6
"S00150478",46,45,1
"S00150479",61,66,2
"S00150480",35,35,-
"S00150481",50,47,3
"S00150482",64,64,-
"S00150483",55,53,2
"S00150484",63,60,2
"S00150485",48,48,-
"S00150486",48,44,4
"S00150487",66,63,7
"S00150488",42,38,4
"S00150489",62,60,-
"S00150490",80,78,2
"S00150491",57,54,3
"S00150492",57,53,4
"S00150493",53,53,-
"S00150494",49,46,3
"S00150495",59,56,3
"S00150496",61,57,6
"S00150497",64,59,5
"S00150498",76,71,8
"S00150499",46,44,2
"S00150500",60,53,7
"S00150501",42,41,1
"S00150502",65,62,2
"S00150503",43,41,2
"S00150504",44,42,2
"S00150505",58,55,5
"S00150506",70,61,9
"S00150507",70,63,5
"S00150508",54,49,4
"S00150509",69,69,-
"S00150510",68,64,4
"S00150511",57,53,6
"S00150512",45,41,4
"S00150513",31,30,1
"S00150514",63,58,7
"S00150515",79,77,3
"S00150516",69,66,2
"S00150517",44,41,2
"S00150518",70,66,2
"S00150519",56,55,1
"S00150520",38,37,1
"S00150521",44,43,1
"S00150522",54,49,5
"S00150523",67,65,3
"S00150524",64,61,3
"S00150525",35,34,1
"S00150526",42,42,-
"S00150527",64,62,2
"S00150528",73,68,5
"S00150529",45,44,1
"S00150530",42,42,2
"S00150531",74,69,5
"S00150532",39,39,-
"S00150533",74,71,3
"S00150534",69,68,1
"S00150535",45,41,4
"S00150536",55,54,-
"S00150537",56,50,6
"S00150538",40,36,4
"S00150539",46,45,1
"S00150540",72,74,-
"S00150541",70,66,-
"S00150542",58,52,6
"S00150543",36,32,3
"S00150544",55,54,1
"S00150545",49,46,3
"S00150546",47,36,8
"S00150547",64,59,5
"S00150548",44,41,3
"S00150549",59,53,6
"S00150550",49,46,3
"S00150551",35,34,1
"S00150552",61,56,5
"S00150553",52,48,4
"S00150554",54,53,1
"S00150555",51,52,1
"S00150556",63,54,9
"S00150557",35,31,4
"S00150558",82,81,4
"S00150559",49,45,7
"S00150560",39,35,3
"S00150561",67,65,2
"S00150562",54,50,6
"S00150563",50,46,4
"S00150564",42,39,3
"S00150565",61,58,3
"S00150566",50,48,2
"S00150567",80,69,12
"S00150568",52,49,3
"S00150569",81,73,8
"S00150570",82,77,1
"S00150571",47,45,2
"S00150572",62,64,2
"S00150573",36,32,-
"S00150574",33,30,3
"S00150575",60,57,2
"S00150576",27,27,-
"S00150577",50,44,6
"S00150578",72,62,10
"S00150579",32,28,4
"S00150580",42,41,2
"S00150581",42,42,-
"S00150582",41,38,2
"S00150583",51,47,4
"S00150584",70,67,3
"S00150585",60,48,12
"S00150586",38,35,3
"S00150587",55,53,2
"S00150588",48,46,-
"S00150589",50,48,3
"S00150590",60,61,1
"S00150591",65,57,5
"S00150592",69,62,8
"S00150593",79,75,4
"S00150594",48,43,3
"S00150595",51,49,5
"S00150596",49,44,5
"S00150597",48,44,4
"S00150598",35,33,5
"S00150599",53,50,3
"S00150600",53,48,5
"S00150601",44,39,5
"S00150602",68,65,3
"S00150603",59,54,5
"S00150604",44,40,5
"S00150605",44,41,3
"S00150606",36,32,4
"S00150607",46,45,1
"S00150608",44,46,-
"S00150609",59,56,3
"S00150610",41,37,4
"S00150611",54,49,8
"S00150612",41,37,6
"S00150613",64,63,-
"S00150614",56,51,5
"S00150615",50,46,4
"S00150616",62,61,1
"S00150617",56,55,2
"S00150618",54,51,3
"S00150619",40,39,-
"S00150620",45,40,5
"S00150621",57,48,7
"S00150622",51,48,3
"S00150623",74,70,4
"S00150624",38,36,3
"S00150625",59,54,5
"S00150626",50,45,7
"S00150627",69,66,3
"S00150628",66,64,2
"S00150629",50,47,3
"S00150630",45,45,4
"S00150631",49,49,-
"S00150632",55,50,5
"S00150633",46,42,4
"S00150634",49,48,2
"S00150635",55,55,3
"S00150636",37,30,7
"S00150637",34,32,4
"S00150638",48,43,5
"S00150639",53,53,-
"S00150640",69,65,4
"S00150641",38,37,5
"S00150642",57,53,4
"S00150643",63,51,8
"S00150644",42,40,1
"S00150645",73,65,5
"S00150646",62,62,6
"S00150647",55,50,6
"S00150648",51,43,8
"S00150649",51,50,1
"S00150650",39,38,-
"S00150651",35,32,3
"S00150652",77,70,6
"S00150653",47,44,3
"S00150654",40,35,5
"S00150655",77,74,3
"S00150656",57,57,-
"S00150657",53,47,2
"S00150658",53,49,4
"S00150659",37,36,1
"S00150660",47,42,5
"S00150661",70,65,5
"S00150662",60,55,5
"S00150663",55,48,7
"S00150664",42,42,-
"S00150665",38,34,5
"S00150666",29,29,-
"S00150667",53,53,-
"S00150668",50,46,4
"S00150669",54,54,-
"S00150670",47,44,4
"S00150671",41,40,2
"S00150672",56,47,9
"S00150673",41,39,5
"S00150674",55,53,2
"S00150675",47,44,3
"S00150676",50,47,3
"S00150677",59,58,1
"S00150678",55,51,4
"S00150679",42,41,-
"S00150680",56,53,3
"S00150681",53,55,2
"S00150682",44,39,5
"S00150683",48,43,5
"S00150684",47,43,2
"S00150685",40,39,2
"S00150686",35,34,3
"S00150687",78,67,9
"S00150688",77,75,2
"S00150689",63,60,1
"S00150690",40,36,4
"S00150691",28,24,4
"S00150692",68,58,9
"S00150693",62,57,4
"S00150694",63,59,4
"S00150695",55,51,4
"S00150696",45,40,5
"S00150697",33,32,2
"S00150698",55,48,7
"S00150699",72,65,7
"S00150700",38,33,5
"S00150701",30,25,-
"S00150702",32,30,4
"S00150703",38,36,2
"S00150704",59,56,3
"S00150705",51,44,7
"S00150706",65,62,5
"S00150707",34,34,-
"S00150708",60,54,6
"S00150709",41,34,7
"S00150710",73,65,8
"S00150711",39,37,2
"S00150712",64,58,5
"S00150713",55,47,8
"S00150714",58,53,5
"S00150715",76,73,3
"S00150716",65,59,6
"S00150717",60,49,8
"S00150718",29,26,3
"S00150719",60,57,2
"S00150720",51,43,5
"S00150721",63,59,4
"S00150722",51,49,5
"S00150723",51,49,2
"S00150724",41,38,4
"S00150725",38,33,5
"S00150726",89,80,10
"S00150727",67,59,8
"S00150728",45,44,-
"S00150729",41,37,4
"S00150730",52,49,3
"S00150731",63,57,6
"S00150732",55,49,3
"S00150733",35,33,1
"S00150734",47,42,5
"S00150735",56,51,8
"S00150736",67,63,4
"S00150737",62,52,6
"S00150738",63,57,6
"S00150739",46,41,5
"S00150740",54,52,2
"S00150741",54,49,8
"S00150742",43,41,2
"S00150743",56,53,5
"S00150744",60,59,2
"S00150745",41,38,3
"S00150746",91,87,4
"S00150747",94,83,11
"S00150748",71,65,6
"S00150749",64,60,4
"S00150750",50,46,4
"S00150751",42,38,2
"S00150752",88,79,9
"S00150753",52,49,3
"S00150754",36,34,4
"S00150755",80,74,7
"S00150756",35,35,-
"S00150757",55,51,4
"S00150758",68,68,-
"S00150759",54,52,2
"S00150760",47,43,4
"S00150761",53,51,1
"S00150762",36,34,4
"S00150763",49,40,6
"S00150764",48,43,5
"S00150765",55,50,2
"S00150766",39,36,1
"S00150767",50,44,4
"S00150768",61,61,3
"S00150769",47,43,4
"S00150770",43,39,4
"S00150771",61,52,9
"S00150772",65,59,1
"S00150773",82,80,5
"S00150774",34,31,2
"S00150775",43,41,2
"S00150776",47,45,2
"S00150777",44,43,1
"S00150778",37,31,6
"S00150779",49,47,2
"S00150780",46,43,3
"S00150781",59,55,-
"S00150782",37,34,5
"S00150783",37,36,2
"S00150784",57,53,6
"S00150785",41,37,4
"S00150786",59,55,4
"S00150787",32,31,2
"S00150788",34,33,1
"S00150789",35,28,7
"S00150790",82,75,7
"S00150791",67,65,2
"S00150792",68,60,9
"S00150793",53,51,2
"S00150794",60,55,5
"S00150795",33,32,1
"S00150796",69,61,10
"S00150797",44,41,3
"S00150798",72,67,3
"S00150799",66,44,22
"S00150800",38,37,-
"S00150801",65,55,10
"S00150802",54,53,4
"S00150803",62,57,2
"S00150804",55,48,6
"S00150805",46,44,2
"S00150806",39,37,2
"S00150807",56,46,10
"S00150808",42,34,5
"S00150809",42,36,6
"S00150810",69,61,8
"S00150811",63,52,11
"S00150812",45,42,3
"S00150813",38,38,-
"S00150814",60,57,2
"S00150815",48,44,4
"S00150816",64,58,4
"S00150817",53,49,4
"S00150818",70,66,4
"S00150819",55,49,7
"S00150820",49,47,2
"S00150821",70,70,4
"S00150822",57,47,7
"S00150823",53,50,3
"S00150824",67,58,5
"S00150825",47,38,9
"S00150826",55,53,2
"S00150827",30,27,2
"S00150828",29,29,2
"S00150829",47,42,5
"S00150830",75,71,4
"S00150831",54,50,4
"S00150832",33,33,-
"S00150833",38,32,5
"S00150834",75,68,7
"S00150835",43,40,3
"S00150836",45,42,3
"S00150837",71,66,5
"S00150838",71,66,5
"S00150839",75,66,9
"S00150840",35,32,3
"S00150841",59,58,-
"S00150842",54,51,3
"S00150843",58,52,9
"S00150844",41,36,5
"S00150845",42,34,8
"S00150846",37,34,3
"S00150847",42,41,1
"S00150848",38,34,6
"S00150849",43,39,4
"S00150850",47,41,3
"S00150851",80,75,2
"S00150852",53,47,6
"S00150853",67,60,7
"S00150854",55,51,6
"S00150855",39,38,2
"S00150856",56,52,5
"S00150857",64,62,8
"S00150858",45,43,2
"S00150859",39,35,7
"S00150860",37,37,2
"S00150861",48,41,7
"S00150862",45,37,5
"S00150863",54,53,5
"S00150864",30,30,-
"S00150865",42,41,1
"S00150866",65,62,3
"S00150867",51,47,4
"S00150868",67,64,3
"S00150869",65,62,2
"S00150870",59,53,6
"S00150871",68,64,3
"S00150872",74,70,4
"S00150873",45,41,5
"S00150874",61,56,5
"S00150875",71,68,3
"S00150876",35,35,-
"S00150877",57,53,7
"S00150878",79,77,2
"S00150879",72,67,4
"S00150880",40,33,7
"S00150881",48,45,3
"S00150882",44,40,4
"S00150883",63,63,-
"S00150884",70,61,6
"S00150885",44,43,2
"S00150886",54,51,3
"S00150887",59,56,3
"S00150888",32,31,1
"S00150889",49,46,5
"S00150890",66,65,5
"S00150891",54,50,4
"S00150892",89,82,4
"S00150893",39,36,3
"S00150894",78,70,8
"S00150895",53,51,-
"S00150896",58,53,5
"S00150897",43,38,5
"S00150898",62,63,3
"S00150899",50,45,5
"S00150900",44,42,-
"S00150901",63,58,5
"S00150902",64,52,10
"S00150903",77,71,6
"S00150904",42,42,4
"S00150905",68,58,7
"S00150906",47,41,4
"S00150907",45,39,6
"S00150908",46,43,4
"S00150909",54,47,7
"S00150910",59,50,9
"S00150911",44,37,7
"S00150912",51,47,6
"S00150913",42,40,3
"S00150914",76,63,9
"S00150915",46,39,7
"S00150916",47,46,2
"S00150917",50,41,9
"S00150918",49,46,3
"S00150919",38,36,2
"S00150920",36,31,4
"S00150921",42,41,1
"S00150922",35,36,3
"S00150923",60,54,7
"S00150924",40,38,2
"S00150925",67,71,5
"S00150926",36,31,1
"S00150927",78,69,6
"S00150928",49,45,4
"S00150929",45,40,5
"S00150930",49,46,3
"S00150931",42,38,4
"S00150932",60,56,4
"S00150933",63,58,5
"S00150934",62,60,3
