Scotland's Census 2022 - National Records of Scotland
Table UV501 - Highest level of qualification
All people aged 16 and over
,"All people aged 16 and over","No qualifications","Lower school qualifications","Upper school qualifications","Apprenticeship qualifications","Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs","Degree level qualifications or above"
"S00138520",106,18,14,14,10,16,35
"S00138521",66,4,10,9,8,13,24
"S00138522",79,15,9,10,9,13,19
"S00138523",77,12,15,5,8,14,23
"S00138524",54,8,11,7,6,10,15
"S00138525",82,12,16,11,7,11,25
"S00138526",79,5,15,7,6,14,32
"S00138527",82,12,22,9,9,16,10
"S00138528",108,13,23,14,16,12,34
"S00138529",112,5,14,13,7,18,56
"S00138530",69,29,13,3,5,6,13
"S00138531",67,6,13,6,8,15,19
"S00138532",120,11,26,13,10,6,55
"S00138533",108,4,20,15,13,20,39
"S00138534",112,3,26,15,18,17,33
"S00138535",133,13,31,17,11,9,52
"S00138536",110,4,14,9,5,14,64
"S00138537",82,9,24,9,5,10,27
"S00138538",132,11,29,17,17,16,42
"S00138539",127,5,22,18,7,25,51
"S00138540",137,2,13,14,11,14,81
"S00138541",133,13,28,17,13,16,48
"S00138542",78,8,8,9,8,8,38
"S00138543",77,6,16,8,11,5,27
"S00138544",123,23,25,13,13,11,38
"S00138545",98,19,12,12,6,15,38
"S00138546",148,19,27,13,19,22,48
"S00138547",142,10,26,15,17,26,46
"S00138548",86,9,20,7,10,14,27
"S00138549",87,1,6,13,8,15,45
"S00138550",111,8,20,7,11,14,54
"S00138551",107,11,20,12,11,12,43
"S00138552",102,7,13,18,10,15,39
"S00138553",105,8,19,11,12,18,37
"S00138554",82,10,14,10,4,13,29
"S00138555",64,8,9,5,8,12,22
"S00138556",133,6,15,13,11,16,74
"S00138557",113,8,27,14,11,17,36
"S00138558",84,21,15,8,9,7,23
"S00138559",139,8,25,9,18,29,47
"S00138560",164,14,34,25,9,25,60
"S00138561",123,6,20,8,16,20,53
"S00138562",117,11,25,16,10,12,45
"S00138563",100,23,15,13,8,13,25
"S00138564",147,10,41,21,12,22,45
"S00138565",60,9,5,6,3,10,23
"S00138566",68,7,7,4,10,8,25
"S00138567",135,8,27,18,14,23,50
"S00138568",59,14,16,5,8,4,12
"S00138569",124,8,24,19,19,19,35
"S00138570",170,5,28,17,12,40,68
"S00138571",126,6,19,18,9,13,60
"S00138572",155,18,26,21,20,20,50
"S00138573",131,27,39,10,16,14,23
"S00138574",138,17,18,17,13,10,62
"S00138575",105,11,18,13,8,16,43
"S00138576",102,9,20,11,15,9,36
"S00138577",61,9,11,6,8,9,23
"S00138578",125,14,20,20,12,22,36
"S00138579",164,13,25,16,17,17,76
"S00138580",106,12,18,9,13,17,37
"S00138581",79,13,26,10,4,10,17
"S00138582",73,23,27,7,6,9,6
"S00138583",113,10,16,9,15,25,38
"S00138584",134,28,47,16,13,12,17
"S00138585",91,14,22,13,5,15,23
"S00138586",89,18,28,3,11,7,25
"S00138587",89,30,25,5,11,9,8
"S00138588",86,12,30,8,9,7,18
"S00138589",149,21,32,11,27,16,39
"S00138590",116,4,16,12,9,13,64
"S00138591",95,12,17,12,7,7,42
"S00138592",61,15,17,8,2,5,12
"S00138593",138,7,23,8,9,26,66
"S00138594",125,20,30,16,13,11,39
"S00138595",101,3,15,11,6,15,51
"S00138596",92,27,21,16,11,5,16
"S00138597",137,23,28,21,16,11,38
"S00138598",51,13,14,6,5,3,6
"S00138599",99,21,19,12,9,17,25
"S00138600",99,15,29,10,5,21,19
"S00138601",105,11,12,11,13,12,54
"S00138602",100,12,26,13,16,8,25
"S00138603",71,12,21,5,4,8,21
"S00138604",107,6,19,18,2,16,46
"S00138605",138,6,30,20,14,18,50
"S00138606",94,24,22,15,10,4,17
"S00138607",56,2,13,6,9,2,23
"S00138608",80,18,28,6,5,9,13
"S00138609",82,4,15,6,5,11,43
"S00138610",108,19,21,16,11,19,25
"S00138611",83,10,19,11,12,8,21
"S00138612",69,15,21,4,6,12,9
"S00138613",115,19,24,8,9,9,42
"S00138614",112,5,19,11,14,23,45
"S00138615",124,17,27,18,17,12,35
"S00138616",78,8,23,9,12,17,12
"S00138617",113,5,22,19,6,10,52
"S00138618",78,10,9,7,20,6,20
"S00138619",112,23,15,17,11,17,32
"S00138620",73,-,12,6,9,14,32
"S00138621",50,4,2,2,4,7,31
"S00138622",131,15,29,17,16,24,32
"S00138623",99,23,16,14,8,12,26
"S00138624",64,9,11,3,10,2,29
"S00138625",120,11,20,18,8,18,41
"S00138626",80,16,31,5,4,13,12
"S00138627",68,18,18,6,-,11,15
"S00138628",69,37,8,2,5,4,11
"S00138629",85,10,10,6,13,12,32
"S00138630",85,26,16,6,14,7,15
"S00138631",124,13,27,10,12,13,50
"S00138632",101,4,26,11,10,16,34
"S00138633",63,13,24,2,1,3,18
"S00138634",83,7,21,6,4,11,34
"S00138635",96,6,18,8,12,20,36
"S00138636",80,3,17,22,6,6,25
"S00138637",76,10,11,9,8,9,30
"S00138638",120,10,16,26,12,11,49
"S00138639",120,40,23,7,4,12,28
"S00138640",74,28,10,8,11,7,10
"S00138641",121,5,20,18,19,16,44
"S00138642",87,16,13,7,9,6,36
"S00138643",86,15,20,12,17,12,18
"S00138644",69,12,16,3,5,5,30
"S00138645",150,30,37,20,19,11,35
"S00138646",110,10,22,10,11,15,40
"S00138647",135,12,32,14,17,18,49
"S00138648",92,8,20,7,12,11,35
"S00138649",90,2,19,11,12,13,35
"S00138650",121,7,27,15,8,20,45
"S00138651",84,3,11,14,9,15,29
"S00138652",108,10,7,7,17,13,54
"S00138653",117,20,25,11,14,12,35
"S00138654",132,10,21,10,13,14,56
"S00138655",100,20,26,5,17,8,24
"S00138656",98,5,21,13,12,9,38
"S00138657",165,8,22,25,19,28,62
"S00138658",65,8,12,4,12,11,17
"S00138659",112,7,13,11,13,17,49
"S00138660",96,11,21,10,9,11,35
"S00138661",98,22,21,7,10,3,35
"S00138662",114,10,21,8,24,16,36
"S00138663",86,-,12,14,4,17,40
"S00138664",114,16,21,16,6,15,38
"S00138665",121,5,16,15,7,20,54
"S00138666",54,16,8,4,4,11,8
"S00138667",89,8,23,6,5,11,36
"S00138668",114,5,23,19,9,16,39
"S00138669",127,13,27,10,14,19,52
"S00138670",120,9,30,12,8,21,43
"S00138671",70,17,12,7,10,3,21
"S00138672",127,5,21,11,14,12,67
"S00138673",111,6,23,12,3,21,43
"S00138674",90,9,23,5,6,11,36
"S00138675",68,3,8,6,-,10,39
"S00138676",97,11,14,10,13,14,35
"S00138677",134,3,19,19,11,16,63
"S00138678",96,9,21,11,17,11,23
"S00138679",191,11,40,32,10,23,77
"S00138680",75,6,18,10,6,17,14
"S00138681",85,1,12,5,4,15,48
"S00138682",86,13,20,10,3,9,27
"S00138683",83,13,10,8,10,11,31
"S00138684",80,1,5,11,4,25,34
"S00138685",53,2,9,8,4,10,20
"S00138686",102,18,20,11,9,9,35
"S00138687",86,5,17,12,9,10,33
"S00138688",104,15,18,9,14,8,36
"S00138689",121,8,20,17,11,13,52
"S00138690",106,8,22,14,11,19,32
"S00138691",72,7,13,14,7,14,17
"S00138692",69,8,15,8,6,13,26
"S00138693",101,10,27,15,12,16,25
"S00138694",110,17,29,11,10,11,34
"S00138695",93,7,15,9,9,17,36
"S00138696",103,6,24,16,9,11,33
"S00138697",145,6,31,15,12,17,74
"S00138698",108,6,16,15,4,15,50
"S00138699",94,14,18,11,8,14,29
"S00138700",100,13,13,4,13,16,34
"S00138701",100,4,16,10,5,14,49
"S00138702",166,5,19,17,11,30,84
"S00138703",111,8,29,8,15,24,27
"S00138704",136,4,18,24,16,25,53
"S00138705",128,-,16,17,11,25,53
"S00138706",111,13,33,13,13,11,29
"S00138707",100,4,15,15,12,17,34
"S00138708",134,23,29,14,14,18,43
"S00138709",108,18,30,11,18,12,30
"S00138710",135,8,28,18,14,20,47
"S00138711",101,2,21,9,8,16,49
"S00138712",85,10,16,4,9,10,39
"S00138713",91,10,13,16,10,14,31
"S00138714",124,15,28,12,15,24,33
"S00138715",119,2,15,14,12,18,56
"S00138716",112,10,19,15,13,16,42
"S00138717",98,9,20,9,7,12,41
"S00138718",126,20,31,22,9,19,24
"S00138719",97,3,13,12,11,18,37
"S00138720",67,10,15,8,8,7,17
"S00138721",78,6,16,13,8,11,24
"S00138722",118,15,26,11,14,13,46
"S00138723",124,13,25,6,10,21,49
"S00138724",87,6,23,7,6,4,41
"S00138725",94,6,7,15,3,18,39
"S00138726",144,9,19,7,17,19,69
"S00138727",172,10,15,18,15,30,84
"S00138728",143,13,24,9,8,24,67
"S00138729",75,4,11,9,3,13,35
"S00138730",91,9,13,9,6,6,48
"S00138731",57,1,10,7,8,6,23
"S00138732",109,11,18,8,12,16,43
"S00138733",56,1,2,8,6,4,31
"S00138734",82,6,11,8,5,8,44
"S00138735",98,6,19,10,7,10,44
"S00138736",104,7,24,11,8,15,42
"S00138737",111,17,18,10,7,8,51
"S00138738",91,13,10,12,10,5,40
"S00138739",168,10,34,15,13,14,82
"S00138740",67,13,10,6,6,4,24
"S00138741",142,42,17,11,10,12,50
"S00138742",111,11,23,8,8,18,46
"S00138743",126,12,27,21,11,11,44
"S00138744",150,11,24,16,13,14,68
"S00138745",94,12,25,12,8,4,32
"S00138746",113,12,15,19,9,12,45
"S00138747",188,6,20,30,6,21,107
"S00138748",156,6,28,13,7,13,77
"S00138749",137,8,18,6,11,14,77
"S00138750",118,10,18,5,13,19,49
"S00138751",183,4,29,23,9,15,104
"S00138752",153,10,19,13,12,18,80
"S00138753",81,20,13,7,9,9,25
"S00138754",148,1,21,13,2,33,84
"S00138755",114,10,21,12,7,18,46
"S00138756",90,2,17,9,-,6,57
"S00138757",126,4,16,17,6,17,67
"S00138758",87,11,9,8,6,15,38
"S00138759",65,11,6,9,5,7,31
"S00138760",149,49,24,6,11,6,48
"S00138761",69,4,6,7,3,10,41
"S00138762",87,9,17,8,6,14,38
"S00138763",129,4,25,17,21,13,47
"S00138764",87,3,10,20,3,15,38
"S00138765",126,14,19,9,12,19,53
"S00138766",99,4,21,17,2,14,42
"S00138767",194,5,31,29,8,27,96
"S00138768",76,7,17,8,9,11,23
"S00138769",105,2,9,14,10,10,57
"S00138770",142,1,11,13,12,29,74
"S00138771",119,6,22,16,17,16,40
"S00138772",75,4,20,5,6,17,23
"S00138773",73,3,19,3,5,21,22
"S00138774",66,4,16,9,5,13,19
"S00138775",100,8,16,9,11,16,40
"S00138776",134,17,22,13,16,17,49
"S00138777",122,15,25,11,17,11,36
"S00138778",122,4,16,19,11,20,56
"S00138779",75,3,16,1,5,6,45
"S00138780",126,16,18,18,12,20,43
"S00138781",95,12,13,13,7,14,37
"S00138782",90,4,13,10,9,13,41
"S00138783",91,12,14,8,11,10,37
"S00138784",76,2,17,9,10,11,27
"S00138785",82,10,14,8,8,11,34
"S00138786",102,4,19,9,5,13,48
"S00138787",125,8,17,18,11,11,57
"S00138788",70,10,17,5,17,7,14
"S00138789",73,8,12,12,7,11,19
"S00138790",113,6,25,9,7,19,50
"S00138791",104,6,25,8,12,10,39
"S00138792",155,27,24,19,13,20,56
"S00138793",108,8,18,10,2,21,54
"S00138794",113,12,14,18,6,11,54
"S00138795",89,10,11,6,12,8,41
"S00138796",147,3,25,26,11,22,64
"S00138797",135,15,16,11,17,24,52
"S00138798",188,13,30,25,27,28,69
"S00138799",110,16,14,8,9,19,52
"S00138800",109,9,18,18,17,13,36
"S00138801",112,10,18,9,11,10,56
"S00138802",143,23,27,18,6,18,50
"S00138803",148,13,20,16,9,19,68
"S00138804",111,15,12,11,12,25,37
"S00138805",167,5,30,21,19,31,61
"S00138806",114,4,17,4,12,12,69
"S00138807",61,14,17,5,6,3,16
"S00138808",101,30,23,8,14,9,21
"S00138809",116,24,22,7,16,17,30
"S00138810",127,9,28,14,13,21,44
"S00138811",57,5,13,5,1,8,23
"S00138812",128,15,20,12,11,22,44
"S00138813",119,11,22,7,15,17,47
"S00138814",81,10,15,12,10,9,31
"S00138815",78,12,16,9,6,12,24
"S00138816",119,9,16,16,13,20,48
"S00138817",147,16,16,14,17,23,65
"S00138818",119,13,22,16,19,15,37
"S00138819",126,-,17,18,7,18,70
"S00138820",63,3,13,2,10,11,23
"S00138821",70,3,11,11,12,7,28
"S00138822",71,3,13,9,7,8,30
"S00138823",91,2,19,10,9,11,45
"S00138824",87,3,18,7,5,13,35
"S00138825",78,4,15,3,1,7,48
"S00138826",145,5,28,13,10,25,67
"S00138827",113,3,18,12,13,13,52
"S00138828",111,3,15,18,10,15,51
"S00138829",104,16,21,8,11,9,39
"S00138830",146,6,33,23,11,27,43
"S00138831",134,7,29,20,17,18,43
"S00138832",74,10,18,8,4,8,25
"S00138833",129,6,13,18,6,15,71
"S00138834",53,7,4,4,5,2,31
"S00138835",61,5,9,9,11,5,25
"S00138836",148,3,18,19,7,25,81
"S00138837",107,13,17,16,16,4,39
"S00138838",113,4,9,18,7,16,55
"S00138839",101,9,32,11,6,17,21
"S00138840",99,4,14,10,11,9,50
"S00138841",106,2,19,8,3,11,63
"S00138842",98,16,13,9,8,18,35
"S00138843",114,21,14,13,9,9,51
"S00138844",143,22,27,12,13,18,49
"S00138845",104,6,25,11,10,13,46
"S00138846",131,19,24,14,10,21,43
"S00138847",58,10,9,3,9,7,20
"S00138848",59,11,10,4,2,8,21
"S00138849",70,14,10,11,4,6,22
"S00138850",75,24,12,5,13,8,16
"S00138851",140,16,31,11,18,12,52
"S00138852",129,8,18,12,11,11,68
"S00138853",81,11,20,14,10,6,23
"S00138854",93,15,17,14,4,9,34
"S00138855",114,22,16,6,11,18,41
"S00138856",137,23,26,14,21,9,43
"S00138857",69,16,25,6,6,7,9
"S00138858",121,15,24,9,7,15,49
"S00138859",109,15,21,10,13,9,41
"S00138860",80,6,8,11,13,12,29
"S00138861",133,5,27,21,21,14,45
"S00138862",194,22,21,14,6,16,116
"S00138863",101,6,18,7,6,15,49
"S00138864",84,8,12,6,6,11,41
"S00138865",79,4,19,13,5,18,21
"S00138866",88,7,12,12,4,8,47
"S00138867",149,7,12,13,5,21,89
"S00138868",80,3,11,7,4,7,47
"S00138869",94,4,11,8,5,7,55
"S00138870",118,9,17,16,10,13,53
"S00138871",82,15,18,3,4,9,32
"S00138872",151,9,13,16,10,11,94
"S00138873",109,5,15,12,8,17,50
"S00138874",133,11,26,13,15,24,44
"S00138875",97,10,14,8,11,10,46
"S00138876",152,22,41,10,18,9,47
"S00138877",78,4,15,8,4,7,38
"S00138878",67,9,16,7,5,11,18
"S00138879",71,11,11,5,12,6,28
"S00138880",77,3,5,13,6,13,35
"S00138881",71,-,9,2,8,7,46
"S00138882",64,-,11,3,5,5,40
"S00138883",67,5,12,8,5,9,30
"S00138884",97,20,9,9,2,15,38
"S00138885",120,9,18,9,11,19,53
"S00138886",70,5,12,15,6,9,24
"S00138887",131,2,15,10,5,13,86
"S00138888",79,4,6,7,7,16,40
"S00138889",84,10,16,4,4,9,39
"S00138890",63,6,12,9,6,6,25
"S00138891",64,3,3,6,2,12,41
"S00138892",59,8,7,6,7,4,22
"S00138893",100,8,12,7,8,8,60
"S00138894",114,13,23,9,11,12,45
"S00138895",68,13,9,10,8,9,22
"S00138896",62,8,6,4,5,9,31
"S00138897",155,12,35,14,23,24,43
"S00138898",123,11,3,9,7,18,75
"S00138899",56,9,17,2,10,7,16
"S00138900",99,10,13,14,4,12,43
"S00138901",104,3,16,6,15,13,51
"S00138902",143,23,25,17,5,9,64
"S00138903",138,33,28,6,18,13,39
"S00138904",67,4,5,7,6,8,38
"S00138905",135,6,27,19,11,24,49
"S00138906",105,6,19,7,7,12,47
"S00138907",121,13,21,12,14,10,51
"S00138908",110,8,21,8,9,12,50
"S00138909",133,37,23,11,9,16,33
"S00138910",122,-,17,8,6,8,78
"S00138911",85,11,9,9,6,11,43
"S00138912",90,7,20,12,7,10,34
"S00138913",76,2,9,9,6,9,39
"S00138914",144,8,10,19,7,19,87
"S00138915",161,11,23,15,12,16,87
"S00138916",64,3,7,7,6,7,35
"S00138917",75,24,14,5,10,6,16
"S00138918",120,37,17,16,13,10,28
"S00138919",113,11,24,12,17,17,34
"S00138920",57,8,18,7,4,4,16
"S00138921",109,14,30,9,15,18,23
"S00138922",114,24,17,9,10,8,46
"S00138923",66,11,9,5,5,7,29
"S00138924",136,11,21,10,7,16,69
"S00138925",90,3,7,13,6,9,52
"S00138926",59,9,10,6,6,6,20
"S00138927",73,4,5,12,2,5,47
"S00138928",99,8,14,8,4,15,55
"S00138929",80,5,16,15,6,10,26
"S00138930",99,3,13,7,8,20,45
"S00138931",68,5,1,6,3,11,41
"S00138932",137,4,18,7,7,12,87
"S00138933",64,18,19,4,6,6,11
"S00138934",59,13,9,5,3,7,25
"S00138935",94,6,28,11,10,11,27
"S00138936",68,18,15,8,7,9,11
"S00138937",114,5,6,6,6,10,79
"S00138938",69,2,18,11,7,13,21
"S00138939",101,4,12,13,3,9,60
"S00138940",144,8,27,8,15,28,61
"S00138941",101,17,38,10,7,9,20
"S00138942",103,23,21,9,17,7,23
"S00138943",112,4,18,14,10,21,45
"S00138944",57,3,8,11,5,6,24
"S00138945",109,6,13,7,6,15,66
"S00138946",73,8,12,8,7,8,30
"S00138947",111,13,20,13,10,10,37
"S00138948",89,6,10,8,7,6,52
"S00138949",146,8,40,23,6,20,44
"S00138950",71,21,13,2,9,3,19
"S00138951",167,7,23,13,5,24,92
"S00138952",84,-,12,6,6,21,41
"S00138953",95,2,11,8,7,12,55
"S00138954",110,4,18,12,16,20,40
"S00138955",99,2,20,11,6,15,45
"S00138956",146,13,34,16,12,23,50
"S00138957",127,10,13,4,13,11,73
"S00138958",83,5,11,8,12,10,34
"S00138959",110,3,11,11,11,18,61
"S00138960",75,1,5,6,3,6,46
"S00138961",144,21,23,7,15,17,61
"S00138962",87,6,26,3,7,21,24
"S00138963",103,5,17,10,11,14,47
"S00138964",142,3,19,13,8,22,74
"S00138965",94,1,20,12,3,21,37
"S00138966",92,-,12,15,2,14,47
"S00138967",120,2,18,14,4,21,55
"S00138968",92,31,27,5,11,7,10
"S00138969",147,15,30,24,19,18,41
"S00138970",139,2,20,11,8,21,77
"S00138971",166,25,39,16,12,23,41
"S00138972",68,8,20,8,6,13,13
"S00138973",114,2,10,5,3,10,82
"S00138974",124,10,21,17,4,11,61
"S00138975",158,21,36,25,19,22,35
"S00138976",81,5,30,11,1,13,20
"S00138977",89,5,27,11,11,15,22
"S00138978",137,23,29,19,24,12,30
"S00138979",59,6,16,4,7,7,19
"S00138980",139,16,23,14,18,15,51
"S00138981",135,3,19,8,6,13,83
"S00138982",86,3,6,15,4,9,51
"S00138983",125,10,20,14,7,13,55
"S00138984",84,-,11,10,2,12,50
"S00138985",59,6,14,9,10,7,13
"S00138986",108,10,22,18,13,17,25
"S00138987",124,20,20,6,7,8,67
"S00138988",104,8,25,10,12,12,41
"S00138989",87,-,11,7,3,4,62
"S00138990",87,4,25,8,3,6,45
"S00138991",148,6,20,14,4,9,94
"S00138992",119,28,19,18,7,14,35
"S00138993",140,10,21,8,10,12,82
"S00138994",111,2,12,12,4,10,67
"S00138995",94,10,19,21,12,14,20
"S00138996",77,13,20,6,6,10,22
"S00138997",57,9,24,7,4,10,12
"S00138998",134,30,25,12,4,8,54
"S00138999",136,13,48,11,16,28,23
"S00139000",105,7,23,16,9,18,34
"S00139001",89,7,19,10,10,19,26
"S00139002",92,12,10,12,13,12,30
"S00139003",119,4,16,9,7,17,66
"S00139004",88,8,17,6,4,13,42
"S00139005",68,10,17,5,14,9,11
"S00139006",76,1,8,3,7,11,48
"S00139007",64,4,13,6,3,13,26
"S00139008",123,26,26,14,14,14,29
"S00139009",156,10,17,21,8,25,74
"S00139010",115,6,23,13,2,13,55
"S00139011",84,12,23,10,9,10,20
"S00139012",67,10,21,5,5,10,12
"S00139013",140,7,14,7,8,20,84
"S00139014",132,4,16,16,6,17,77
"S00139015",82,2,21,6,13,11,27
"S00139016",63,2,17,8,5,8,23
"S00139017",80,5,9,4,3,13,43
"S00139018",54,4,16,7,7,6,14
"S00139019",138,26,26,17,25,19,25
"S00139020",82,5,8,4,7,5,51
"S00139021",129,8,25,25,9,17,45
"S00139022",124,47,26,6,14,11,20
"S00139023",54,8,9,5,8,9,18
"S00139024",93,9,23,15,7,17,24
"S00139025",121,39,23,6,11,9,33
"S00139026",76,3,12,14,13,15,19
"S00139027",100,5,15,11,-,5,66
"S00139028",99,9,8,11,9,16,45
"S00139029",104,6,23,7,8,24,29
"S00139030",84,11,17,4,8,10,31
"S00139031",75,5,8,10,7,10,36
"S00139032",61,10,12,6,7,9,18
"S00139033",96,22,22,13,18,10,21
"S00139034",113,27,18,17,10,13,23
"S00139035",87,17,24,4,9,12,23
"S00139036",58,7,10,8,8,7,21
"S00139037",100,4,16,10,8,7,53
"S00139038",104,25,25,6,11,12,21
"S00139039",139,7,25,17,9,16,65
"S00139040",91,5,9,11,7,11,46
"S00139041",121,17,30,11,22,14,30
"S00139042",96,16,11,12,4,14,39
"S00139043",79,14,22,8,10,10,18
"S00139044",112,6,18,7,3,11,60
"S00139045",84,27,14,4,16,10,12
"S00139046",138,18,25,10,18,20,44
"S00139047",104,18,18,14,12,15,27
"S00139048",95,10,11,12,15,12,35
"S00139049",72,12,14,6,10,8,25
"S00139050",115,6,12,15,4,15,67
"S00139051",127,15,17,18,14,18,38
"S00139052",141,8,17,21,4,11,82
"S00139053",80,-,11,7,3,6,50
"S00139054",74,27,16,8,9,4,9
"S00139055",80,3,10,10,9,2,44
"S00139056",93,12,17,3,12,7,37
"S00139057",75,25,14,4,7,10,19
"S00139058",77,12,15,9,10,6,25
"S00139059",136,13,14,14,4,9,81
"S00139060",84,19,24,11,9,5,18
"S00139061",122,10,15,12,11,7,67
"S00139062",75,11,16,10,10,8,22
"S00139063",79,8,13,18,12,4,24
"S00139064",86,6,24,6,14,15,21
"S00139065",141,19,14,11,16,27,51
"S00139066",109,8,8,16,5,14,58
"S00139067",60,10,19,3,6,7,13
"S00139068",89,20,26,6,17,3,15
"S00139069",109,4,8,15,8,11,60
"S00139070",98,20,20,9,18,10,22
"S00139071",90,9,15,10,6,7,39
"S00139072",66,14,15,4,7,6,21
"S00139073",107,11,15,10,11,17,39
"S00139074",134,9,32,14,18,24,40
"S00139075",80,16,18,10,8,9,23
"S00139076",106,11,14,8,6,2,59
"S00139077",78,6,13,7,6,7,39
"S00139078",131,8,25,11,13,17,58
"S00139079",130,9,16,10,18,23,53
"S00139080",123,10,41,6,14,16,32
"S00139081",101,7,11,6,4,8,65
"S00139082",70,8,20,11,8,7,19
"S00139083",124,9,24,13,22,24,32
"S00139084",107,15,16,12,10,16,42
"S00139085",96,7,23,10,7,14,34
"S00139086",91,13,15,9,8,8,38
"S00139087",72,5,7,5,4,4,45
"S00139088",91,11,32,12,17,8,11
"S00139089",97,10,11,12,10,10,44
"S00139090",87,9,21,8,4,9,36
"S00139091",127,9,27,19,17,17,35
"S00139092",90,17,20,9,13,10,23
"S00139093",113,16,27,12,6,9,39
"S00139094",87,3,9,5,1,1,64
"S00139095",71,16,16,7,9,5,18
"S00139096",139,17,33,12,13,25,43
"S00139097",59,7,13,10,9,5,17
"S00139098",120,8,12,11,7,17,70
"S00139099",111,5,23,10,13,15,44
"S00139100",61,6,15,4,8,5,17
"S00139101",151,25,27,11,8,21,56
"S00139102",66,8,11,5,6,10,26
"S00139103",153,5,38,20,13,26,51
"S00139104",77,10,14,7,5,7,34
"S00139105",58,4,8,3,6,14,26
"S00139106",101,36,20,7,12,6,20
"S00139107",69,7,12,12,5,10,19
"S00139108",88,24,18,8,10,6,24
"S00139109",54,7,9,6,8,4,23
"S00139110",140,12,19,18,8,15,68
"S00139111",70,4,5,9,-,8,40
"S00139112",56,8,11,6,9,3,20
"S00139113",130,6,17,10,15,16,66
"S00139114",112,12,18,13,16,14,39
"S00139115",68,5,18,4,5,15,21
"S00139116",91,1,15,16,11,20,28
"S00139117",147,23,24,14,15,20,51
"S00139118",171,19,29,16,15,20,76
"S00139119",78,7,15,15,9,4,28
"S00139120",132,9,20,10,14,25,52
"S00139121",142,14,25,16,13,19,51
"S00139122",100,2,12,13,4,11,58
"S00139123",87,2,9,12,6,16,39
"S00139124",67,12,21,7,10,8,12
"S00139125",68,3,13,12,8,6,26
"S00139126",152,15,19,20,6,17,77
"S00139127",65,10,18,8,10,5,14
"S00139128",104,5,13,9,6,21,49
"S00139129",178,5,24,23,12,43,71
"S00139130",81,12,13,7,5,7,40
"S00139131",77,13,12,10,5,11,23
"S00139132",70,14,9,4,6,6,34
"S00139133",60,10,6,4,4,3,30
"S00139134",60,17,8,5,4,6,13
"S00139135",67,4,17,1,3,5,33
"S00139136",120,2,11,7,3,26,71
"S00139137",126,11,18,12,17,17,51
"S00139138",113,4,17,4,5,14,65
"S00139139",92,1,15,4,4,13,53
"S00139140",80,8,16,5,6,16,28
"S00139141",99,14,10,14,8,19,36
"S00139142",137,7,21,16,12,31,47
"S00139143",108,11,18,13,6,10,54
"S00139144",136,14,26,20,11,30,35
"S00139145",129,16,18,13,13,23,48
"S00139146",94,1,10,9,9,20,49
"S00139147",122,8,16,13,11,23,54
"S00139148",66,5,10,4,11,6,28
"S00139149",181,10,40,28,16,28,60
"S00139150",83,2,26,12,7,14,22
"S00139151",60,7,6,5,1,4,31
"S00139152",88,3,14,10,8,15,38
"S00139153",84,8,10,4,6,9,44
"S00139154",164,15,19,17,10,25,78
"S00139155",69,6,11,15,4,8,26
"S00139156",87,2,12,11,10,11,41
"S00139157",93,28,15,2,8,11,26
"S00139158",99,12,18,14,6,10,36
"S00139159",138,4,27,18,7,19,57
"S00139160",95,6,10,12,9,5,54
"S00139161",88,6,10,7,11,19,35
"S00139162",79,10,18,13,6,5,30
"S00139163",168,17,25,18,11,17,76
"S00139164",102,1,12,12,6,12,49
"S00139165",118,10,16,13,5,21,50
"S00139166",107,10,19,11,6,21,42
"S00139167",114,4,19,9,5,17,64
"S00139168",115,19,20,8,13,12,40
"S00139169",111,8,25,11,12,18,34
"S00139170",123,5,13,12,5,25,63
"S00139171",135,11,13,17,8,17,69
"S00139172",138,5,15,24,8,17,70
"S00139173",111,3,8,13,6,16,62
"S00139174",88,9,16,8,12,20,23
"S00139175",139,13,17,13,8,19,69
"S00139176",82,5,19,13,2,12,31
"S00139177",65,11,9,10,6,6,24
"S00139178",114,14,24,11,13,16,36
"S00139179",101,11,15,14,12,16,31
"S00139180",91,10,15,10,11,7,39
"S00139181",94,4,12,4,7,10,57
"S00139182",110,13,26,12,13,18,27
"S00139183",66,15,18,2,6,8,11
"S00139184",78,10,14,12,9,15,21
"S00139185",107,14,19,14,7,19,34
"S00139186",87,14,16,9,6,10,32
"S00139187",91,8,16,9,4,11,43
"S00139188",61,8,13,12,3,8,15
"S00139189",61,19,17,8,6,6,11
"S00139190",97,10,15,11,8,17,34
"S00139191",128,17,29,16,14,11,37
"S00139192",103,47,12,7,8,5,25
"S00139193",119,49,20,15,6,10,18
"S00139194",142,12,14,13,13,27,63
"S00139195",160,3,19,12,10,18,94
"S00139196",86,26,13,5,17,7,14
"S00139197",146,14,22,18,8,17,63
"S00139198",177,7,24,18,9,20,97
"S00139199",129,7,36,11,8,18,49
"S00139200",83,5,8,6,8,12,40
