Scotland's Census 2022 - National Records of Scotland
Table UV704 - Distance travelled to place of study
All people aged 4 and over studying the week before the census
,"All people aged 4 and over studying the week before the census","Mainly study from home","Less than 2km","2km to less than 5km","5km to less than 10km","10km to less than 20km","20km to less than 30km","30km to less than 40km","40km to less than 60km","60km and over","Other - No fixed place of study or studying outside the UK"
"S00150047",5,1,1,3,-,-,-,-,-,-,-
"S00150048",62,8,45,1,4,4,-,-,-,-,-
"S00150049",22,3,10,5,4,-,-,-,-,-,-
"S00150050",16,1,5,1,2,-,1,-,-,-,-
"S00150051",34,3,20,8,4,-,-,-,-,-,-
"S00150052",9,2,5,-,-,3,1,-,-,-,-
"S00150053",15,-,13,-,-,-,-,-,-,1,-
"S00150054",67,6,44,6,5,5,1,-,-,-,-
"S00150055",12,2,6,1,3,-,-,-,-,-,-
"S00150056",11,2,8,-,1,-,-,-,-,-,-
"S00150057",14,-,9,2,1,3,-,-,-,-,-
"S00150058",16,-,9,4,-,-,2,-,-,2,-
"S00150059",7,1,-,2,-,4,-,-,-,-,1
"S00150060",39,18,18,3,-,1,-,-,-,-,-
"S00150061",5,-,4,-,-,-,-,-,-,-,-
"S00150062",7,2,4,-,4,-,-,-,-,-,-
"S00150063",18,4,11,1,-,2,-,-,-,-,-
"S00150064",31,7,10,5,-,9,-,-,-,-,-
"S00150065",29,6,14,2,4,3,-,-,-,-,-
"S00150066",13,2,2,11,-,-,-,-,-,-,-
"S00150067",29,5,20,-,2,4,-,-,-,-,-
"S00150068",27,6,16,-,1,1,2,-,-,-,-
"S00150069",12,-,8,3,1,-,-,-,-,-,-
"S00150070",9,1,4,2,-,-,-,-,-,-,-
"S00150071",30,5,7,12,5,3,-,-,-,-,-
"S00150072",25,-,16,2,3,2,-,-,-,-,-
"S00150073",26,-,19,1,4,2,-,-,-,-,-
"S00150074",26,4,17,2,2,1,-,-,1,-,-
"S00150075",15,3,12,1,-,2,-,-,-,-,-
"S00150076",20,-,14,-,1,2,-,-,-,-,-
"S00150077",17,2,7,6,1,1,-,-,-,-,-
"S00150078",64,10,3,30,14,2,-,-,-,1,-
"S00150079",41,5,31,2,1,4,-,-,-,-,-
"S00150080",8,1,3,-,-,4,-,-,-,-,-
"S00150081",22,3,17,2,-,-,-,-,-,-,-
"S00150082",42,-,4,24,8,-,-,1,-,-,-
"S00150083",37,3,22,-,9,3,-,-,-,1,-
"S00150084",18,2,10,4,3,-,-,-,-,-,-
"S00150085",16,2,3,9,-,2,2,-,-,-,-
"S00150086",60,10,44,-,4,1,-,-,-,1,-
"S00150087",28,5,16,4,1,-,-,-,-,-,-
"S00150088",24,7,14,-,1,1,-,-,-,-,-
"S00150089",22,5,15,-,-,-,-,-,-,-,-
"S00150090",49,8,31,-,9,-,-,-,-,1,-
"S00150091",22,5,12,-,1,2,-,-,-,-,-
"S00150092",28,1,14,8,1,-,-,-,-,1,-
"S00150093",14,6,10,-,3,-,-,-,-,-,-
"S00150094",18,1,9,2,-,1,-,-,-,2,-
"S00150095",13,3,4,-,2,1,-,-,-,-,-
"S00150096",24,-,19,3,1,1,-,-,-,-,1
"S00150097",11,-,5,1,4,4,-,-,-,-,-
"S00150098",32,7,19,5,2,3,1,-,-,-,-
"S00150099",23,-,11,10,2,-,-,-,-,-,-
"S00150100",20,1,10,-,7,1,-,-,-,-,-
"S00150101",34,1,28,-,2,-,-,-,-,-,-
"S00150102",18,2,9,6,1,-,-,-,-,-,-
"S00150103",12,1,7,5,-,1,-,-,-,-,-
"S00150104",17,2,10,6,1,-,-,-,-,-,-
"S00150105",92,9,11,46,-,22,2,1,2,-,-
"S00150106",20,-,16,1,2,1,-,-,-,-,-
"S00150107",21,4,7,7,-,2,-,-,-,-,-
"S00150108",28,8,16,-,2,-,1,-,1,-,-
"S00150109",16,3,9,1,1,2,-,-,-,-,-
"S00150110",67,8,45,5,-,8,1,-,-,-,-
"S00150111",32,9,16,-,4,2,1,1,-,-,-
"S00150112",9,-,6,2,1,-,-,-,-,-,-
"S00150113",24,2,16,2,2,1,-,-,-,-,-
"S00150114",29,4,17,2,4,2,4,-,-,-,-
"S00150115",29,6,10,11,-,-,-,-,-,1,-
"S00150116",11,1,10,-,-,-,-,-,-,-,-
"S00150117",35,5,25,-,3,-,-,-,-,-,-
"S00150118",41,2,24,3,9,-,-,-,-,-,-
"S00150119",39,9,18,1,7,4,1,-,-,-,-
"S00150120",17,4,9,-,2,4,-,-,-,-,-
"S00150121",24,6,13,-,-,3,-,-,-,-,2
"S00150122",24,2,14,1,4,1,1,-,-,-,-
"S00150123",54,13,9,24,2,7,-,-,-,-,-
"S00150124",73,1,45,12,13,2,-,-,-,-,-
"S00150125",25,3,16,-,1,4,1,-,-,-,-
"S00150126",17,2,10,-,4,1,-,-,-,-,-
"S00150127",25,-,7,16,-,4,-,-,-,-,-
"S00150128",11,4,9,-,-,-,-,-,-,-,-
"S00150129",19,4,11,1,1,1,1,-,-,-,-
"S00150130",7,3,5,-,-,2,-,-,-,-,-
"S00150131",36,2,23,4,-,2,-,-,-,-,-
"S00150132",46,4,30,5,6,-,1,-,-,-,-
"S00150133",7,1,4,-,2,1,-,-,-,-,-
"S00150134",47,10,5,27,-,4,-,-,-,1,-
"S00150135",26,2,24,-,-,-,-,-,1,-,-
"S00150136",35,4,18,3,1,5,2,-,-,-,-
"S00150137",20,1,15,1,2,-,2,-,-,-,-
"S00150138",29,5,9,11,4,-,-,-,-,-,-
"S00150139",37,4,15,14,2,1,1,-,-,-,-
"S00150140",49,1,16,20,-,10,-,-,3,-,-
"S00150141",27,3,15,-,-,3,-,-,-,-,-
"S00150142",48,-,13,22,5,6,-,-,-,-,-
"S00150143",19,5,5,7,-,-,-,2,-,-,-
"S00150144",33,8,22,-,1,1,-,-,-,1,-
"S00150145",10,1,8,-,-,-,-,-,-,-,-
"S00150146",28,-,23,-,4,1,-,-,-,-,-
"S00150147",25,5,10,-,4,4,-,-,1,-,-
"S00150148",45,3,23,6,7,3,-,-,-,1,-
"S00150149",29,-,26,-,4,-,-,-,-,1,-
"S00150150",25,-,10,12,1,2,-,-,-,-,-
"S00150151",29,4,19,-,4,4,-,-,-,-,-
"S00150152",22,4,15,2,1,-,-,-,-,-,-
"S00150153",21,1,3,8,5,1,-,-,-,-,-
"S00150154",23,1,20,-,1,4,-,-,-,-,-
"S00150155",10,1,5,4,-,-,-,-,-,-,-
"S00150156",30,3,17,1,3,6,-,-,-,-,-
"S00150157",14,-,9,-,4,1,-,-,-,-,-
"S00150158",46,2,10,27,-,3,-,-,-,-,-
"S00150159",27,1,17,-,6,7,-,-,-,-,-
"S00150160",43,2,24,10,5,1,-,-,-,1,-
"S00150161",23,-,14,4,-,3,-,-,-,-,-
"S00150162",27,1,21,2,-,-,-,-,-,-,-
"S00150163",40,4,26,2,4,2,-,-,-,-,-
"S00150164",29,8,6,1,-,-,-,-,3,8,3
"S00150165",43,2,34,1,4,2,-,-,-,-,-
"S00150166",18,-,16,1,-,1,-,-,-,-,-
"S00150167",39,3,27,1,6,2,-,-,-,1,-
"S00150168",39,3,24,2,5,3,-,-,-,-,-
"S00150169",42,7,25,3,5,4,-,-,-,-,-
"S00150170",25,3,16,-,5,-,-,-,-,1,-
"S00150171",27,4,15,-,3,1,-,-,1,-,-
"S00150172",24,2,9,6,2,-,-,1,-,-,-
"S00150173",55,6,5,43,3,2,-,-,-,-,-
"S00150174",79,2,2,67,3,5,-,-,-,-,-
"S00150175",26,-,18,-,3,-,1,-,-,-,-
"S00150176",29,4,22,1,1,-,-,-,-,-,-
"S00150177",41,6,21,7,6,1,-,-,-,-,-
"S00150178",31,5,18,7,2,-,-,-,-,-,-
"S00150179",24,4,15,-,3,4,-,-,-,-,-
"S00150180",22,3,15,-,2,3,-,-,-,-,-
"S00150181",104,6,42,44,1,10,-,-,-,1,-
"S00150182",19,-,16,-,2,2,-,-,-,-,-
"S00150183",15,-,17,1,1,-,-,-,-,-,-
"S00150184",26,4,12,4,3,3,-,-,-,-,-
"S00150185",17,2,7,3,2,4,-,-,-,-,-
"S00150186",22,1,14,2,3,2,-,-,-,-,-
"S00150187",24,9,8,6,-,-,-,2,-,-,-
"S00150188",34,4,24,-,2,1,-,-,-,1,-
"S00150189",24,2,7,3,9,-,-,-,-,-,-
"S00150190",8,1,1,3,1,2,-,-,-,-,-
"S00150191",46,1,33,5,3,4,-,-,-,-,-
"S00150192",24,1,13,-,4,1,-,-,-,-,-
"S00150193",28,4,21,2,-,-,-,-,-,-,-
"S00150194",17,-,8,7,2,1,-,-,-,-,-
"S00150195",18,4,7,2,2,-,-,1,-,-,-
"S00150196",19,1,9,2,5,2,1,-,-,-,-
"S00150197",54,1,35,9,5,5,-,-,-,-,-
"S00150198",13,3,6,-,1,-,1,-,-,-,-
"S00150199",21,-,12,6,3,-,-,-,-,-,-
"S00150200",22,4,14,2,4,-,1,-,-,-,-
"S00150201",8,-,5,1,3,1,-,-,-,-,-
"S00150202",41,10,28,1,-,2,1,-,-,-,-
"S00150203",30,2,21,6,3,-,-,-,-,-,-
"S00150204",18,5,10,1,2,-,-,-,-,-,-
"S00150205",20,7,12,-,1,-,-,-,-,-,-
"S00150206",45,3,32,3,5,2,-,-,-,-,-
"S00150207",40,4,19,4,13,-,-,-,-,-,-
"S00150208",36,2,15,10,12,-,-,-,-,-,-
"S00150209",12,-,7,1,1,1,-,-,-,-,1
"S00150210",62,11,28,12,12,-,-,-,-,1,-
"S00150211",21,1,17,2,1,-,-,-,1,-,1
"S00150212",29,6,9,10,4,-,-,-,-,-,-
"S00150213",26,1,18,1,4,-,-,-,-,-,-
"S00150214",31,2,22,1,2,-,1,-,1,-,-
"S00150215",28,4,20,2,4,-,-,-,-,1,-
"S00150216",19,7,8,1,2,-,-,-,-,-,-
"S00150217",32,4,19,5,4,-,-,-,-,-,-
"S00150218",36,2,23,-,3,4,2,-,-,1,-
"S00150219",40,4,27,5,1,2,-,-,1,-,-
"S00150220",10,-,3,-,4,-,-,-,-,-,-
"S00150221",19,1,16,-,-,-,-,-,-,-,-
"S00150222",30,-,20,2,6,-,-,-,-,1,-
"S00150223",25,2,19,1,2,-,1,-,-,-,-
"S00150224",5,3,3,-,-,1,-,-,-,-,-
"S00150225",13,1,8,-,3,1,-,-,-,-,-
"S00150226",19,2,2,1,6,2,-,-,-,-,-
"S00150227",4,-,4,-,-,-,-,-,-,-,-
"S00150228",25,2,17,3,1,-,-,-,-,-,-
"S00150229",22,5,3,11,3,-,-,-,-,-,-
"S00150230",26,2,17,2,-,9,-,-,-,-,-
"S00150231",31,4,20,1,5,-,-,-,-,-,-
"S00150232",9,-,8,-,1,-,-,-,-,-,-
"S00150233",29,3,15,5,8,-,-,-,-,1,-
"S00150234",35,4,21,5,4,-,1,-,-,-,-
"S00150235",30,2,14,12,2,-,-,-,-,-,-
"S00150236",29,5,14,3,6,1,1,-,-,2,-
"S00150237",18,2,8,7,4,1,-,-,-,-,-
"S00150238",33,-,25,6,4,-,-,-,-,-,-
"S00150239",27,2,16,7,-,1,1,-,-,-,-
"S00150240",29,5,15,-,5,1,-,-,-,4,-
"S00150241",22,2,10,3,8,-,-,-,-,1,-
"S00150242",20,2,8,3,2,-,-,-,-,-,-
"S00150243",31,5,18,6,4,-,-,-,-,-,-
"S00150244",23,1,10,3,6,-,-,3,-,-,-
"S00150245",26,-,14,5,6,1,-,-,-,-,-
"S00150246",20,-,7,6,1,3,-,-,-,-,-
"S00150247",22,5,15,-,2,-,-,-,-,-,-
"S00150248",10,2,6,-,1,1,-,-,-,-,-
"S00150249",13,-,2,13,1,-,-,-,-,-,-
"S00150250",32,-,11,12,5,3,-,-,-,-,-
"S00150251",38,4,30,2,3,1,-,-,-,-,-
"S00150252",24,1,19,5,-,-,-,-,-,-,-
"S00150253",10,-,6,-,-,1,-,-,-,-,-
"S00150254",32,1,19,4,7,-,-,-,-,-,-
"S00150255",34,4,13,12,4,-,-,-,-,-,-
"S00150256",24,4,14,1,4,2,1,-,-,-,-
"S00150257",28,-,22,3,1,-,-,-,-,-,-
"S00150258",10,-,8,1,-,-,-,-,-,-,-
"S00150259",27,1,10,11,3,-,-,-,-,-,-
"S00150260",27,4,20,-,1,2,-,-,-,-,-
"S00150261",15,2,7,4,3,-,-,-,-,-,-
"S00150262",21,2,14,3,2,-,-,-,-,-,-
"S00150263",11,-,7,-,4,-,-,-,-,-,-
"S00150264",26,3,16,5,1,-,-,-,-,1,-
"S00150265",2,1,-,-,1,-,-,-,-,-,-
"S00150266",32,4,13,6,6,1,-,-,-,-,-
"S00150267",33,4,13,6,9,-,-,-,-,-,-
"S00150268",22,2,11,6,4,-,-,-,-,-,1
"S00150269",17,2,11,3,1,-,-,-,-,-,-
"S00150270",36,6,19,4,3,1,-,-,-,-,-
"S00150271",30,7,15,2,2,1,-,-,-,-,-
"S00150272",15,3,5,5,2,2,-,-,-,-,-
"S00150273",26,7,9,6,5,2,-,-,-,-,-
"S00150274",30,4,20,1,3,1,-,-,-,-,-
"S00150275",29,-,5,10,7,3,-,-,-,-,-
"S00150276",34,3,22,3,6,-,-,-,-,-,-
"S00150277",27,2,22,-,4,-,-,-,-,-,-
"S00150278",23,3,10,-,4,2,-,-,-,-,-
"S00150279",17,8,5,4,5,-,-,-,-,-,-
"S00150280",20,1,17,1,1,2,-,-,-,-,-
"S00150281",40,8,22,4,5,1,-,-,-,-,-
"S00150282",35,7,21,1,7,2,1,-,-,-,-
"S00150283",15,1,10,3,1,-,-,-,-,-,-
"S00150284",26,2,6,15,1,2,-,-,-,-,-
"S00150285",25,3,12,2,6,1,-,-,-,-,-
"S00150286",65,5,37,14,9,-,-,-,-,-,-
"S00150287",33,4,17,1,7,2,-,-,-,1,-
"S00150288",39,6,21,12,-,-,-,-,-,-,-
"S00150289",23,3,15,-,4,-,-,-,-,1,-
"S00150290",11,1,1,4,2,-,-,-,-,-,-
"S00150291",15,3,5,4,1,1,-,1,-,-,-
"S00150292",23,3,5,13,2,-,-,-,-,-,-
"S00150293",15,-,6,4,1,3,-,-,-,-,-
"S00150294",13,-,11,-,3,-,-,-,-,-,-
"S00150295",15,3,7,2,1,1,-,-,1,-,-
"S00150296",30,3,19,6,4,-,-,-,-,-,-
"S00150297",17,3,9,3,2,-,-,-,-,-,-
"S00150298",10,2,7,2,1,-,-,-,-,-,-
"S00150299",23,1,5,8,4,2,-,2,-,-,-
"S00150300",17,1,12,2,1,1,-,-,-,-,-
"S00150301",27,4,14,7,2,-,-,-,-,-,-
"S00150302",12,1,9,1,1,-,-,-,-,-,-
"S00150303",11,1,8,3,-,-,-,1,-,-,-
"S00150304",13,3,10,-,-,1,-,-,-,-,-
"S00150305",8,-,2,3,3,-,-,-,-,-,-
"S00150306",24,2,2,12,7,-,2,-,-,-,-
"S00150307",8,1,5,-,-,-,-,-,-,-,-
"S00150308",12,-,4,5,1,-,-,-,-,-,-
"S00150309",20,4,7,2,6,-,-,-,-,-,-
"S00150310",12,-,7,2,1,-,-,-,-,-,-
"S00150311",19,4,13,-,4,-,-,-,-,-,-
"S00150312",27,3,20,2,3,-,-,-,-,-,-
"S00150313",12,-,9,-,1,-,-,2,-,1,-
"S00150314",12,2,8,4,-,-,-,-,-,-,-
"S00150315",27,2,20,2,3,-,-,-,-,-,-
"S00150316",26,3,11,7,2,2,-,2,-,-,-
"S00150317",11,1,9,-,-,1,-,-,-,-,-
"S00150318",14,3,7,1,4,-,-,-,-,-,-
"S00150319",26,3,16,3,3,-,-,-,-,-,-
"S00150320",28,2,20,2,2,-,-,-,-,-,-
"S00150321",9,8,-,4,-,-,-,-,-,-,-
"S00150322",2,1,-,-,-,1,-,-,-,-,-
"S00150323",21,6,10,3,-,1,-,-,-,-,-
"S00150324",14,1,9,-,-,-,-,1,-,-,-
"S00150325",26,2,18,5,2,-,-,-,-,-,-
"S00150326",23,2,19,3,1,-,-,-,-,-,-
"S00150327",93,6,58,17,10,1,-,-,-,1,-
"S00150328",18,2,3,8,5,-,-,-,-,-,-
"S00150329",15,3,5,3,4,-,-,-,-,-,-
"S00150330",16,2,4,5,6,1,-,-,-,-,-
"S00150331",9,2,-,6,-,-,-,-,-,-,-
"S00150332",37,1,22,7,3,-,-,1,-,-,-
"S00150333",23,2,18,-,4,-,-,-,-,1,-
"S00150334",47,3,30,6,4,4,-,-,-,-,-
"S00150335",39,6,8,13,12,-,-,-,-,-,-
"S00150336",13,2,6,2,4,-,-,-,-,-,-
"S00150337",26,2,15,6,2,-,-,-,-,-,-
"S00150338",33,4,20,3,4,-,-,-,1,-,-
"S00150339",23,1,19,1,4,-,-,-,-,-,-
"S00150340",15,-,10,4,2,-,-,-,-,-,-
"S00150341",17,5,6,4,3,1,-,-,-,-,-
"S00150342",24,3,9,5,3,-,-,-,1,-,-
"S00150343",13,-,5,5,1,-,-,1,-,1,-
"S00150344",39,4,19,9,4,-,-,-,-,-,-
"S00150345",40,3,28,-,8,-,-,-,2,-,-
"S00150346",34,1,24,3,4,2,-,1,-,-,-
"S00150347",28,3,22,1,4,-,-,-,-,-,-
"S00150348",29,4,4,19,3,-,-,-,-,-,-
"S00150349",11,1,8,2,1,-,-,-,-,-,-
"S00150350",30,5,6,10,9,1,-,-,-,-,-
"S00150351",20,3,10,4,1,2,-,-,1,-,-
"S00150352",41,2,34,3,1,-,-,-,-,-,-
"S00150353",24,-,11,6,7,-,-,-,-,-,-
"S00150354",15,-,7,5,3,-,-,-,-,-,-
"S00150355",12,-,6,4,2,-,-,-,-,1,-
"S00150356",19,3,5,8,3,-,-,-,-,-,-
"S00150357",13,-,11,1,-,-,-,-,-,-,-
"S00150358",38,5,9,14,6,-,-,-,-,-,-
"S00150359",23,5,11,2,3,1,-,1,-,-,-
"S00150360",24,3,12,6,-,2,-,-,-,-,-
"S00150361",24,3,9,6,1,3,1,-,-,1,-
"S00150362",34,3,2,14,14,2,-,-,-,-,-
"S00150363",25,4,9,9,4,-,-,1,-,-,-
"S00150364",35,6,11,10,5,-,-,-,1,-,-
"S00150365",20,4,4,9,1,4,-,-,-,-,-
"S00150366",3,-,1,1,-,-,-,-,-,-,-
"S00150367",29,3,21,-,5,-,1,-,-,-,-
"S00150368",17,-,8,1,4,-,-,-,-,-,-
"S00150369",26,3,8,10,3,-,-,-,-,-,-
"S00150370",31,-,15,3,5,-,-,-,-,-,-
"S00150371",19,3,13,-,3,1,-,-,-,-,-
"S00150372",17,1,11,1,-,1,-,-,-,-,-
"S00150373",26,4,16,3,3,-,-,-,-,-,-
"S00150374",14,1,8,-,3,-,-,2,1,-,-
"S00150375",19,-,10,6,-,-,-,-,1,1,-
"S00150376",13,3,6,-,3,-,-,-,-,1,-
"S00150377",33,-,25,-,6,2,-,1,-,1,-
"S00150378",15,2,6,5,1,1,-,-,-,-,-
"S00150379",21,-,11,7,1,-,-,-,-,-,1
"S00150380",21,2,9,9,-,1,-,-,-,-,-
"S00150381",30,-,17,8,4,-,-,-,-,-,-
"S00150382",20,-,8,8,4,-,-,-,-,-,-
"S00150383",23,-,10,12,1,-,-,-,-,-,-
"S00150384",24,3,17,4,4,-,-,-,-,-,-
"S00150385",19,2,13,1,2,-,-,2,-,-,-
"S00150386",30,4,23,-,3,-,-,-,-,-,-
"S00150387",17,2,5,10,2,-,-,-,-,-,1
"S00150388",14,5,2,2,3,-,-,-,-,-,-
"S00150389",27,2,19,2,4,-,1,-,-,-,-
"S00150390",28,3,16,-,6,2,-,1,-,-,-
"S00150391",25,3,7,12,1,-,-,-,-,-,-
"S00150392",19,1,14,-,2,-,-,-,-,-,-
"S00150393",19,2,8,5,2,1,-,-,-,-,-
"S00150394",10,-,-,4,2,-,-,5,-,-,-
"S00150395",27,8,18,3,1,1,-,-,-,-,-
"S00150396",20,2,14,-,2,-,-,-,-,1,-
"S00150397",10,1,3,4,1,-,-,-,-,-,-
"S00150398",20,5,7,5,1,-,-,1,-,1,-
"S00150399",16,5,6,4,1,-,-,-,-,-,-
"S00150400",20,5,10,2,1,1,-,-,-,-,-
"S00150401",31,3,14,7,2,2,-,-,-,-,-
"S00150402",13,-,11,1,1,-,-,-,-,-,-
"S00150403",20,1,9,7,3,-,-,-,-,-,-
"S00150404",25,2,10,9,4,-,-,-,-,-,-
"S00150405",18,1,12,2,2,-,-,-,-,-,-
"S00150406",12,2,3,6,1,1,-,-,-,-,-
"S00150407",13,2,3,2,4,-,-,-,-,-,-
"S00150408",30,4,9,10,5,1,-,-,-,-,-
"S00150409",21,8,8,2,6,-,-,-,-,-,-
"S00150410",21,2,7,8,1,-,-,2,-,1,-
"S00150411",27,5,18,3,1,-,-,-,-,-,-
"S00150412",17,1,7,5,4,-,-,-,-,-,-
"S00150413",22,-,12,2,7,1,-,-,-,-,-
"S00150414",7,2,-,4,1,-,-,-,-,-,-
"S00150415",29,4,10,8,3,-,-,-,-,-,-
"S00150416",8,-,6,-,4,-,-,-,-,-,-
"S00150417",15,4,3,7,2,-,-,-,-,-,-
"S00150418",14,-,7,-,6,-,-,-,1,-,-
"S00150419",22,1,9,10,2,-,-,-,-,-,-
"S00150420",18,-,11,-,2,-,-,2,-,-,-
"S00150421",29,1,11,11,4,2,-,-,-,-,-
"S00150422",20,2,12,2,4,-,-,-,-,-,-
"S00150423",18,2,5,6,-,-,-,-,-,-,-
"S00150424",32,6,14,4,3,-,-,1,-,-,-
"S00150425",30,3,17,6,3,-,-,-,-,-,1
"S00150426",32,2,22,3,3,4,-,-,-,-,-
"S00150427",26,4,17,-,3,-,-,-,-,-,-
"S00150428",24,6,7,6,3,-,-,-,-,-,-
"S00150429",14,4,5,-,3,-,-,-,1,-,-
"S00150430",25,2,9,5,7,-,-,-,-,2,-
"S00150431",16,5,8,6,1,-,-,-,-,-,-
"S00150432",13,2,6,1,-,-,-,1,-,-,-
"S00150433",18,5,8,3,2,-,-,-,-,-,-
"S00150434",18,1,11,4,2,-,-,-,-,-,-
"S00150435",36,6,12,6,8,-,2,-,-,-,-
"S00150436",31,3,9,18,1,-,-,1,-,-,-
"S00150437",12,1,5,2,-,2,-,1,-,1,-
"S00150438",87,13,55,6,11,1,-,-,-,1,-
"S00150439",20,-,8,12,-,-,-,-,-,-,-
"S00150440",100,11,60,13,14,-,-,1,-,-,-
"S00150441",18,5,6,5,1,1,-,-,-,-,-
"S00150442",45,7,34,1,1,-,-,-,-,-,-
"S00150443",25,5,10,5,5,-,-,-,-,-,-
"S00150444",15,2,9,1,2,-,-,-,-,2,-
"S00150445",20,6,11,3,-,-,-,-,-,1,-
"S00150446",18,2,4,6,-,1,-,-,-,-,-
"S00150447",29,2,23,2,4,1,-,-,-,-,-
"S00150448",21,5,8,1,6,-,-,-,-,-,-
"S00150449",19,1,9,1,7,-,-,-,-,-,-
"S00150450",29,4,16,2,8,-,-,-,-,-,-
"S00150451",31,-,11,14,5,2,-,-,-,-,-
"S00150452",25,1,17,3,4,-,-,-,-,-,-
"S00150453",25,7,16,5,4,-,-,1,-,-,-
"S00150454",-,-,-,-,-,-,-,-,-,-,-
"S00150455",21,2,18,-,4,-,-,-,-,1,-
"S00150456",38,2,26,-,2,4,-,-,-,-,-
"S00150457",68,14,46,1,4,1,-,1,-,-,-
"S00150458",26,3,12,6,2,-,-,-,-,-,-
"S00150459",29,1,11,11,6,-,-,-,-,-,-
"S00150460",10,-,8,2,2,2,-,-,-,-,-
"S00150461",21,1,14,2,4,-,-,-,-,-,-
"S00150462",16,-,12,1,1,2,-,-,-,-,-
"S00150463",31,5,21,1,7,1,-,1,-,-,-
"S00150464",10,1,6,1,1,-,-,-,-,-,-
"S00150465",32,4,15,7,2,-,-,2,-,2,-
"S00150466",22,7,12,1,-,-,-,-,-,-,-
"S00150467",19,2,8,3,6,-,-,-,-,-,-
"S00150468",20,5,12,-,2,-,1,-,1,-,-
"S00150469",27,5,15,1,3,1,-,1,-,-,-
"S00150470",29,1,18,10,-,-,-,-,-,-,-
"S00150471",14,1,15,1,1,-,-,-,-,-,-
"S00150472",21,3,16,-,2,-,-,-,2,-,-
"S00150473",15,-,9,6,-,-,-,-,-,-,-
"S00150474",5,2,2,1,-,-,-,-,-,-,-
"S00150475",18,1,9,7,1,-,-,-,1,-,-
"S00150476",23,3,16,2,-,-,-,-,-,-,-
"S00150477",30,3,18,6,3,-,-,-,-,-,-
"S00150478",19,-,4,14,-,-,-,-,-,-,-
"S00150479",36,7,18,4,3,-,-,1,-,-,-
"S00150480",-,-,-,-,-,-,-,-,-,-,-
"S00150481",4,1,1,-,2,-,-,-,-,-,-
"S00150482",22,8,9,2,1,-,-,-,-,1,-
"S00150483",28,3,13,4,8,-,-,-,-,-,-
"S00150484",29,4,20,3,1,-,-,-,-,1,-
"S00150485",27,6,19,2,3,-,-,2,-,-,1
"S00150486",19,-,11,1,1,-,-,3,-,-,-
"S00150487",21,4,10,-,6,-,-,1,-,-,-
"S00150488",9,6,5,1,2,-,-,-,-,-,-
"S00150489",4,-,1,2,1,-,-,-,-,-,-
"S00150490",18,8,10,-,-,-,-,-,-,-,-
"S00150491",16,5,4,3,-,2,-,-,-,2,-
"S00150492",12,2,5,3,-,-,-,1,-,-,-
"S00150493",35,-,13,6,10,5,-,1,-,-,-
"S00150494",15,1,10,2,6,-,-,-,-,-,-
"S00150495",23,3,12,4,5,-,-,-,-,-,-
"S00150496",29,5,13,5,-,2,-,1,-,1,-
"S00150497",39,6,15,10,6,-,-,-,1,2,-
"S00150498",7,-,3,4,-,-,-,-,-,-,-
"S00150499",15,3,5,5,3,-,-,1,-,-,-
"S00150500",41,6,20,3,5,3,-,-,-,-,-
"S00150501",19,-,6,1,6,2,-,-,-,-,-
"S00150502",22,4,12,1,6,-,-,-,-,-,-
"S00150503",15,1,11,-,2,-,-,-,-,-,-
"S00150504",12,2,10,2,-,-,-,-,-,-,-
"S00150505",11,2,10,5,-,-,-,1,-,-,-
"S00150506",27,4,19,5,2,-,-,-,-,-,-
"S00150507",23,5,11,4,1,2,-,-,-,-,-
"S00150508",20,2,6,13,-,-,-,-,-,1,-
"S00150509",70,14,31,8,14,-,-,-,-,-,-
"S00150510",32,2,7,15,5,-,-,-,-,-,-
"S00150511",79,15,36,9,16,3,-,-,-,-,-
"S00150512",18,3,10,1,1,-,-,1,-,-,-
"S00150513",19,2,4,11,-,-,-,-,-,2,-
"S00150514",8,3,2,4,1,-,-,-,-,-,-
"S00150515",28,4,16,5,5,-,-,-,-,-,-
"S00150516",34,3,22,6,2,1,-,-,-,1,-
"S00150517",16,5,9,-,3,-,-,2,-,-,-
"S00150518",9,-,4,3,2,-,-,-,-,-,-
"S00150519",44,8,18,12,3,-,-,-,-,-,-
"S00150520",35,9,9,5,12,2,-,-,-,-,-
"S00150521",22,4,4,13,2,1,-,-,-,-,-
"S00150522",13,4,5,5,2,-,-,-,-,-,-
"S00150523",18,1,5,9,3,-,-,-,-,-,-
"S00150524",56,7,31,13,4,-,-,-,-,-,-
"S00150525",20,5,2,11,2,-,1,-,-,-,-
"S00150526",27,4,15,5,4,-,-,-,-,-,-
"S00150527",13,8,1,4,-,-,-,-,-,-,-
"S00150528",17,5,8,3,-,-,-,-,-,-,-
"S00150529",26,5,16,3,1,-,-,-,-,-,-
"S00150530",18,-,7,-,4,1,-,1,-,-,-
"S00150531",14,4,9,1,2,1,-,-,-,-,-
"S00150532",17,3,3,10,1,-,-,-,-,-,-
"S00150533",34,6,15,9,5,-,-,-,-,-,-
"S00150534",10,1,-,7,-,-,-,-,-,-,-
"S00150535",14,8,4,3,-,-,-,-,-,2,-
"S00150536",27,2,12,6,4,-,-,-,-,2,-
"S00150537",34,11,19,1,3,-,-,1,-,-,-
"S00150538",30,8,8,13,2,-,-,-,-,-,-
"S00150539",18,3,4,8,1,-,2,2,-,-,-
