Scotland's Census 2022 - National Records of Scotland
Table UV104 - Marital and civil partnership status
All people aged 16 and over
,"All people aged 16 and over","Never married and never registered in a civil partnership","Married or in a registered civil partnership","Separated, but still legally married or still legally in a civil partnership","Divorced or civil partnership dissolved","Widowed or surviving civil partnership partner"
"S00165007",101,47,36,3,7,3
"S00165008",89,18,52,2,3,8
"S00165009",113,31,54,3,15,10
"S00165010",84,28,37,2,6,11
"S00165011",52,18,22,3,7,3
"S00165012",100,30,56,2,7,4
"S00165013",77,24,36,2,12,2
"S00165014",143,32,87,5,15,6
"S00165015",158,83,53,4,10,6
"S00165016",77,28,30,2,10,6
"S00165017",69,35,24,2,4,1
"S00165018",82,17,25,7,21,14
"S00165019",101,17,71,-,3,7
"S00165020",127,36,69,4,8,10
"S00165021",60,20,20,3,12,4
"S00165022",130,39,69,3,9,10
"S00165023",140,38,77,8,10,7
"S00165024",132,53,53,5,8,13
"S00165025",138,50,66,1,12,7
"S00165026",85,24,44,-,9,6
"S00165027",157,57,80,4,12,8
"S00165028",64,22,28,1,2,7
"S00165029",108,43,47,3,5,10
"S00165030",57,32,11,3,9,4
"S00165031",100,21,35,11,26,8
"S00165032",132,31,71,3,11,18
"S00165033",63,20,28,3,11,4
"S00165034",138,50,58,4,21,9
"S00165035",76,38,26,4,8,7
"S00165036",87,30,38,1,10,7
"S00165037",108,51,38,-,11,8
"S00165038",73,29,29,2,10,5
"S00165039",109,47,28,5,22,11
"S00165040",114,43,51,2,9,11
"S00165041",152,44,67,5,21,14
"S00165042",71,34,24,8,7,-
"S00165043",134,37,66,-,10,22
"S00165044",60,30,11,5,4,11
"S00165045",51,11,24,1,6,9
"S00165046",142,54,68,4,14,2
"S00165047",141,42,80,1,4,11
"S00165048",60,23,26,1,7,8
"S00165049",99,38,35,-,10,10
"S00165050",105,35,54,1,9,6
"S00165051",71,31,24,2,7,2
"S00165052",82,25,38,-,9,10
"S00165053",80,24,28,3,20,5
"S00165054",102,40,50,3,7,6
"S00165055",62,11,38,1,5,5
"S00165056",87,25,31,4,16,11
"S00165057",102,45,28,4,17,7
"S00165058",126,57,43,-,17,12
"S00165059",171,40,127,1,3,1
"S00165060",83,28,38,2,8,7
"S00165061",110,27,57,-,16,3
"S00165062",110,22,62,2,8,20
"S00165063",93,23,43,2,11,14
"S00165064",70,22,29,3,7,8
"S00165065",90,15,59,3,11,4
"S00165066",104,22,67,4,9,4
"S00165067",94,51,23,3,13,3
"S00165068",84,35,26,3,12,8
"S00165069",124,44,66,7,9,1
"S00165070",113,30,60,3,8,10
"S00165071",119,51,56,-,4,8
"S00165072",148,34,79,1,16,20
"S00165073",110,30,60,3,12,5
"S00165074",167,79,61,4,11,10
"S00165075",88,32,43,2,6,6
"S00165076",74,28,29,1,11,5
"S00165077",88,39,30,6,7,5
"S00165078",119,58,38,-,17,6
"S00165079",86,34,34,3,8,7
"S00165080",86,31,45,2,7,2
"S00165081",155,38,95,-,6,12
"S00165082",116,35,56,4,7,8
"S00165083",55,21,24,-,7,1
"S00165084",106,36,59,2,11,1
"S00165085",71,23,35,3,8,3
"S00165086",82,33,29,-,12,10
"S00165087",77,34,34,1,6,6
"S00165088",131,38,76,3,12,-
"S00165089",157,43,104,3,3,2
"S00165090",84,32,37,3,6,3
"S00165091",88,48,20,7,7,5
"S00165092",166,45,105,3,9,4
"S00165093",128,38,62,1,17,10
"S00165094",59,13,36,-,3,3
"S00165095",163,60,82,8,7,6
"S00165096",87,34,33,3,14,4
"S00165097",126,36,78,2,6,2
"S00165098",102,42,36,5,12,7
"S00165099",58,17,28,3,4,6
"S00165100",144,62,71,5,5,-
"S00165101",98,41,37,3,14,6
"S00165102",164,46,108,1,7,3
"S00165103",75,23,43,1,8,2
"S00165104",71,22,39,-,8,2
"S00165105",65,27,26,1,3,7
"S00165106",75,34,12,6,10,12
"S00165107",127,44,70,-,9,3
"S00165108",68,29,24,3,7,5
"S00165109",108,36,46,4,13,10
"S00165110",99,45,28,3,12,8
"S00165111",89,55,20,7,6,1
"S00165112",76,33,32,-,6,4
"S00165113",80,36,31,2,10,3
"S00165114",101,30,60,3,4,4
"S00165115",55,25,18,2,3,9
"S00165116",81,22,37,-,11,11
"S00165117",68,38,15,3,11,-
"S00165118",63,15,38,2,4,4
"S00165119",153,52,74,7,10,10
"S00165120",99,43,44,1,10,4
"S00165121",134,53,54,1,20,11
"S00165122",107,42,50,-,4,11
"S00165123",96,34,46,2,6,8
"S00165124",77,30,34,-,8,5
"S00165125",139,25,88,3,10,7
"S00165126",132,36,75,4,9,7
"S00165127",64,27,20,-,9,4
"S00165128",82,34,31,4,8,5
"S00165129",118,60,37,-,11,13
"S00165130",60,22,23,2,6,4
"S00165131",100,48,27,5,12,8
"S00165132",63,26,18,4,12,5
"S00165133",72,14,39,2,10,10
"S00165134",80,13,54,4,12,5
"S00165135",84,23,50,-,5,6
"S00165136",83,33,37,3,5,6
"S00165137",119,30,86,-,-,1
"S00165138",153,34,105,1,5,8
"S00165139",85,28,47,2,4,4
"S00165140",62,20,24,5,7,6
"S00165141",126,38,70,4,9,7
"S00165142",87,21,43,4,12,10
"S00165143",109,43,44,6,11,8
"S00165144",72,21,35,2,10,5
"S00165145",83,35,29,4,12,2
"S00165146",95,43,36,1,11,4
"S00165147",76,35,31,3,4,3
"S00165148",68,22,12,1,16,16
"S00165149",119,36,64,1,7,9
"S00165150",104,33,59,2,7,5
"S00165151",78,24,38,2,7,10
"S00165152",104,36,51,5,6,7
"S00165153",61,16,34,1,4,3
"S00165154",103,52,30,2,17,2
"S00165155",95,40,44,1,7,5
"S00165156",61,15,19,3,9,10
"S00165157",87,32,40,2,9,10
"S00165158",144,49,67,-,16,10
"S00165159",132,51,47,6,17,11
"S00165160",92,19,65,-,2,4
"S00165161",97,27,48,-,11,11
"S00165162",92,31,40,2,9,13
"S00165163",88,23,54,1,4,8
"S00165164",92,22,54,1,9,6
"S00165165",74,20,32,6,11,6
"S00165166",96,38,41,3,3,9
"S00165167",83,31,31,5,7,6
"S00165168",74,16,47,4,3,5
"S00165169",67,13,27,9,4,7
"S00165170",101,43,31,6,11,8
"S00165171",73,30,27,2,10,5
"S00165172",85,33,26,-,10,12
"S00165173",78,22,46,3,4,3
"S00165174",113,43,43,4,14,9
"S00165175",102,48,35,-,10,10
"S00165176",108,49,45,3,6,6
"S00165177",64,14,37,3,2,8
"S00165178",82,31,32,-,7,11
"S00165179",127,30,86,1,8,5
"S00165180",86,43,24,1,10,7
"S00165181",101,37,49,4,6,7
"S00165182",75,25,32,1,10,7
"S00165183",86,28,49,1,4,4
"S00165184",123,49,55,-,12,4
"S00165185",80,29,28,4,8,7
"S00165186",96,43,39,2,8,4
"S00165187",74,38,16,2,9,8
"S00165188",66,14,35,3,10,5
"S00165189",126,41,57,2,10,13
"S00165190",97,31,50,3,7,7
"S00165191",79,34,27,2,9,7
"S00165192",117,24,76,1,8,6
"S00165193",94,36,32,4,11,11
"S00165194",115,77,19,3,12,5
"S00165195",91,29,42,-,11,5
"S00165196",93,24,52,-,12,7
"S00165197",62,18,32,-,7,5
"S00165198",98,49,31,3,5,8
"S00165199",105,29,51,1,11,11
"S00165200",78,27,42,-,3,3
"S00165201",98,38,49,4,4,3
"S00165202",122,44,59,3,6,8
"S00165203",97,22,55,-,9,11
"S00165204",96,38,34,6,12,6
"S00165205",140,34,93,-,7,4
"S00165206",136,46,73,1,10,5
"S00165207",97,36,48,6,3,3
"S00165208",164,85,70,3,9,1
"S00165209",90,18,68,-,1,2
"S00165210",81,27,42,2,6,4
"S00165211",125,56,47,1,11,12
"S00165212",127,41,52,6,17,11
"S00165213",123,27,81,2,4,5
"S00165214",92,25,48,2,11,6
"S00165215",83,40,27,3,13,4
"S00165216",136,32,82,3,10,-
"S00165217",63,26,20,1,5,11
"S00165218",59,38,13,-,7,3
"S00165219",103,25,70,-,6,2
"S00165220",108,29,74,1,6,1
"S00165221",99,54,33,1,7,6
"S00165222",121,33,64,3,14,7
"S00165223",76,33,24,4,8,6
"S00165224",87,11,56,-,10,10
"S00165225",151,37,102,5,7,1
"S00165226",95,31,40,4,8,12
"S00165227",92,37,38,2,9,9
"S00165228",86,28,50,1,6,6
"S00165229",88,21,54,-,8,7
"S00165230",64,26,25,1,9,9
"S00165231",122,37,66,6,11,4
"S00165232",81,51,29,-,3,2
"S00165233",129,38,84,-,7,-
"S00165234",64,24,37,2,-,1
"S00165235",85,30,38,1,11,5
"S00165236",77,18,58,-,2,-
"S00165237",68,28,18,-,16,7
"S00165238",79,20,37,1,14,8
"S00165239",132,34,68,2,19,11
"S00165240",82,51,19,2,9,1
"S00165241",78,28,34,-,7,8
"S00165242",81,47,26,-,7,-
"S00165243",106,54,39,1,9,4
"S00165244",117,38,54,4,9,12
"S00165245",61,19,29,2,2,10
"S00165246",124,31,75,2,11,5
"S00165247",105,28,69,2,6,-
"S00165248",82,41,29,4,5,-
"S00165249",62,31,14,4,9,5
"S00165250",78,26,32,1,13,6
"S00165251",97,29,59,1,6,2
"S00165252",93,25,25,2,28,8
"S00165253",114,27,61,2,14,10
"S00165254",95,39,41,4,1,8
"S00165255",114,41,29,-,18,29
"S00165256",100,34,53,-,8,7
"S00165257",151,34,98,1,15,3
"S00165258",89,24,47,1,6,8
"S00165259",78,21,42,-,11,3
"S00165260",113,25,83,1,3,2
"S00165261",111,40,62,-,8,3
"S00165262",158,81,59,5,12,3
"S00165263",64,25,14,2,19,6
"S00165264",76,26,36,2,7,5
"S00165265",100,30,61,2,3,5
"S00165266",118,34,67,1,7,6
"S00165267",72,25,33,-,7,3
"S00165268",126,33,72,4,11,4
"S00165269",157,60,75,3,10,3
"S00165270",102,43,54,1,1,1
"S00165271",90,21,48,2,8,12
"S00165272",82,21,50,1,5,5
"S00165273",100,51,26,1,15,7
"S00165274",82,30,48,2,3,-
"S00165275",142,45,67,2,17,9
"S00165276",106,46,42,1,12,8
"S00165277",76,25,49,-,2,4
"S00165278",93,38,37,2,10,4
"S00165279",105,26,76,-,5,1
"S00165280",58,13,42,-,5,1
"S00165281",71,24,33,1,9,4
"S00165282",103,25,74,-,1,2
"S00165283",96,31,56,3,5,1
"S00165284",91,30,40,2,13,7
"S00165285",120,52,43,3,13,7
"S00165286",93,37,39,2,9,6
"S00165287",70,41,17,3,2,4
"S00165288",58,28,16,6,5,-
"S00165289",92,30,37,2,15,8
"S00165290",127,39,74,2,12,-
"S00165291",127,36,78,2,9,2
"S00165292",65,27,31,-,3,10
"S00165293",175,48,109,4,5,5
"S00165294",100,42,46,-,8,6
"S00165295",130,39,75,1,12,-
"S00165296",97,28,64,-,8,3
"S00165297",95,23,50,3,12,9
"S00165298",65,28,29,2,6,3
"S00165299",152,51,73,5,16,7
"S00165300",135,24,78,3,18,12
"S00165301",88,34,45,3,2,5
"S00165302",98,15,69,-,7,4
"S00165303",137,35,84,3,8,3
"S00165304",61,30,23,1,6,4
"S00165305",118,47,41,1,19,10
"S00165306",73,26,32,2,7,6
"S00165307",135,65,42,8,12,8
"S00165308",90,22,54,-,6,11
"S00165309",109,33,59,2,13,4
"S00165310",74,29,38,-,2,5
"S00165311",95,27,57,2,2,4
"S00165312",75,16,35,-,11,15
"S00165313",63,10,50,-,1,-
"S00165314",64,9,32,2,5,8
"S00165315",75,32,28,2,5,8
"S00165316",135,44,69,1,8,13
"S00165317",77,40,15,7,11,4
"S00165318",97,18,69,1,7,8
"S00165319",165,50,93,2,10,12
"S00165320",107,25,71,2,11,4
"S00165321",104,49,37,2,15,-
"S00165322",89,23,52,1,1,10
"S00165323",102,21,64,-,3,15
"S00165324",118,31,71,3,11,2
"S00165325",99,45,34,4,12,4
"S00165326",135,39,67,4,17,8
"S00165327",86,31,34,5,7,5
"S00165328",111,50,42,4,16,1
"S00165329",166,41,110,2,8,5
"S00165330",98,40,48,-,8,3
"S00165331",94,35,44,2,8,5
"S00165332",110,48,52,1,5,5
"S00165333",155,63,82,6,6,3
"S00165334",142,66,50,6,19,5
"S00165335",82,32,29,3,9,11
"S00165336",175,70,86,3,10,5
"S00165337",83,36,32,2,10,3
"S00165338",157,68,61,6,17,4
"S00165339",122,65,45,-,7,3
"S00165340",59,22,22,1,9,2
"S00165341",116,42,55,4,14,2
"S00165342",128,32,79,2,13,2
"S00165343",86,26,43,3,8,8
"S00165344",95,33,50,5,9,4
"S00165345",153,37,108,3,5,-
"S00165346",102,36,44,8,11,3
"S00165347",82,34,24,3,12,5
"S00165348",165,61,90,4,12,2
"S00165349",77,53,20,1,3,-
"S00165350",95,31,38,-,15,11
"S00165351",101,34,62,-,5,-
"S00165352",117,58,45,5,11,1
"S00165353",159,52,76,5,20,2
"S00165354",134,54,49,3,14,14
"S00165355",96,44,41,1,9,-
"S00165356",85,35,26,1,14,11
"S00165357",88,49,35,-,3,2
"S00165358",80,37,20,5,14,5
"S00165359",135,32,89,-,8,6
"S00165360",125,30,75,1,10,8
"S00165361",83,25,43,4,6,5
"S00165362",171,78,58,8,14,9
"S00165363",154,49,86,4,9,8
"S00165364",148,36,92,4,11,5
"S00165365",151,46,65,4,12,24
"S00165366",104,45,36,6,11,7
"S00165367",159,66,67,10,12,3
"S00165368",71,29,34,2,5,1
"S00165369",110,41,51,4,12,3
"S00165370",103,24,74,-,5,-
"S00165371",59,24,22,-,11,1
"S00165372",71,36,18,4,10,4
"S00165373",99,38,38,6,10,7
"S00165374",99,48,34,2,7,2
"S00165375",66,42,21,1,4,-
"S00165376",112,24,71,-,7,9
"S00165377",118,36,72,-,9,-
"S00165378",57,8,21,4,8,12
"S00165379",146,72,54,5,11,4
"S00165380",72,12,55,-,1,4
"S00165381",68,30,30,-,6,2
"S00165382",86,33,34,3,9,10
"S00165383",98,24,60,-,10,6
"S00165384",384,258,102,5,12,9
"S00165385",176,43,76,2,10,45
"S00165386",133,47,69,-,6,6
"S00165387",101,47,34,1,17,2
"S00165388",69,29,27,4,8,5
"S00165389",101,47,38,5,11,2
"S00165390",117,37,68,3,6,3
"S00165391",114,30,72,3,6,1
"S00165392",94,40,37,-,8,7
"S00165393",93,13,63,1,7,11
"S00165394",83,22,51,-,9,2
"S00165395",99,39,54,4,2,2
"S00165396",94,28,56,1,5,4
"S00165397",124,44,66,-,10,7
"S00165398",51,23,17,-,8,3
"S00165399",78,46,23,2,4,-
"S00165400",85,17,63,-,2,6
"S00165401",129,56,48,3,12,6
"S00165402",137,44,82,2,8,2
"S00165403",114,30,75,2,8,2
"S00165404",90,40,40,5,6,1
"S00165405",155,37,103,1,7,7
"S00165406",97,26,61,1,1,8
"S00165407",125,24,74,4,8,13
"S00165408",89,25,52,2,7,3
"S00165409",174,34,89,2,5,44
"S00165410",140,45,82,1,8,4
"S00165411",166,72,71,3,15,5
"S00165412",125,30,59,5,13,14
"S00165413",116,17,76,1,4,13
"S00165414",47,30,10,1,5,-
"S00165415",171,44,121,-,7,1
"S00165416",105,57,30,6,10,2
"S00165417",111,29,66,-,13,2
"S00165418",85,19,56,-,7,3
"S00165419",79,24,34,2,13,5
"S00165420",75,25,34,-,5,8
"S00165421",103,39,50,2,7,6
"S00165422",120,57,58,1,3,2
"S00165423",118,44,51,5,7,11
"S00165424",125,46,64,2,9,2
"S00165425",117,34,71,-,3,6
"S00165426",96,34,45,2,12,6
"S00165427",57,29,16,2,9,-
"S00165428",69,11,44,-,1,13
"S00165429",73,24,38,-,4,8
"S00165430",150,29,90,2,9,20
"S00165431",110,47,46,-,6,9
"S00165432",96,30,58,-,4,4
"S00165433",97,37,53,-,5,2
"S00165434",160,56,71,2,21,11
"S00165435",114,47,45,3,10,6
"S00165436",56,17,27,1,5,6
"S00165437",110,44,47,3,10,6
"S00165438",151,35,106,-,4,5
"S00165439",148,47,94,-,2,6
"S00165440",78,23,39,1,7,8
"S00165441",90,28,46,2,12,3
"S00165442",69,21,34,2,9,4
"S00165443",63,13,34,-,13,3
"S00165444",70,35,24,-,10,1
"S00165445",121,45,44,4,17,11
"S00165446",128,44,70,4,8,1
"S00165447",96,39,42,-,10,7
"S00165448",132,52,60,3,9,8
"S00165449",146,46,57,8,25,10
"S00165450",102,67,23,2,4,5
"S00165451",91,34,40,4,7,8
"S00165452",72,19,37,3,6,4
"S00165453",106,28,52,1,17,8
"S00165454",67,23,30,1,8,5
"S00165455",74,26,35,1,8,6
"S00165456",67,38,8,5,9,5
"S00165457",89,26,43,2,13,5
"S00165458",67,10,48,-,5,8
"S00165459",85,33,23,2,19,8
"S00165460",59,16,38,1,7,2
"S00165461",74,33,26,1,11,4
"S00165462",123,46,61,2,9,2
"S00165463",87,44,25,5,13,2
"S00165464",87,28,37,1,14,5
"S00165465",81,27,44,-,5,5
"S00165466",140,51,61,5,13,12
"S00165467",123,43,57,4,7,9
"S00165468",84,36,33,3,5,6
"S00165469",63,30,20,1,7,8
"S00165470",87,28,36,3,13,2
"S00165471",99,26,54,1,10,7
"S00165472",118,62,30,9,15,7
"S00165473",117,46,43,3,13,11
"S00165474",91,34,39,3,12,3
"S00165475",68,31,26,-,8,1
"S00165476",82,31,34,3,8,4
"S00165477",90,36,46,1,7,3
"S00165478",77,13,47,1,8,8
"S00165479",76,29,28,-,6,8
"S00165480",96,36,45,2,8,5
"S00165481",109,49,34,-,19,6
"S00165482",108,26,62,-,12,6
"S00165483",103,39,45,1,11,7
"S00165484",111,53,39,4,10,6
"S00165485",58,10,31,-,5,7
"S00165486",88,29,35,3,10,5
"S00165487",121,53,54,3,11,1
"S00165488",72,34,20,1,7,10
"S00165489",110,41,32,5,20,8
"S00165490",104,21,66,2,4,7
"S00165491",85,31,27,2,17,7
"S00165492",110,23,70,2,5,11
"S00165493",114,46,44,2,10,14
"S00165494",100,41,47,-,7,5
"S00165495",142,33,86,2,16,9
"S00165496",120,42,45,-,19,17
"S00165497",62,37,10,4,6,6
"S00165498",77,38,24,3,8,7
"S00165499",106,29,66,-,2,7
"S00165500",58,20,26,-,3,7
"S00165501",90,40,30,3,10,5
"S00165502",127,61,60,3,3,-
"S00165503",102,44,46,-,10,2
"S00165504",150,23,107,1,8,11
"S00165505",85,33,32,2,8,6
"S00165506",115,31,61,2,10,8
"S00165507",72,40,27,1,-,1
"S00165508",79,38,21,2,10,6
"S00165509",77,22,42,2,2,1
"S00165510",91,20,61,-,6,4
"S00165511",65,27,20,1,7,7
"S00165512",85,28,35,4,12,10
"S00165513",109,26,62,2,17,7
"S00165514",63,16,38,1,5,3
"S00165515",114,28,67,1,8,10
"S00165516",131,53,63,6,7,3
"S00165517",136,63,45,5,18,2
"S00165518",158,53,84,3,9,9
"S00165519",96,17,68,-,5,4
"S00165520",112,21,73,-,8,12
"S00165521",92,30,48,4,5,6
"S00165522",94,26,57,1,5,5
"S00165523",86,13,56,1,9,7
"S00165524",107,24,58,1,8,13
"S00165525",73,9,58,-,2,3
"S00165526",63,6,17,4,10,22
"S00165527",113,33,68,2,3,7
"S00165528",81,27,40,3,5,7
"S00165529",88,25,51,1,4,6
"S00165530",98,40,34,-,8,16
"S00165531",83,45,24,3,8,6
"S00165532",77,16,48,-,2,10
"S00165533",115,49,50,1,11,11
"S00165534",109,46,24,4,21,11
"S00165535",69,11,44,-,4,6
"S00165536",60,6,45,-,3,6
"S00165537",66,42,14,1,6,3
"S00165538",86,15,59,2,3,8
"S00165539",110,25,67,4,8,2
"S00165540",84,49,25,5,3,2
"S00165541",73,26,18,4,17,5
"S00165542",99,20,68,3,8,1
"S00165543",143,57,80,3,4,4
"S00165544",101,32,32,1,12,22
"S00165545",143,34,97,2,10,-
"S00165546",78,12,52,-,1,9
"S00165547",79,27,35,2,11,4
"S00165548",111,40,57,1,5,8
"S00165549",76,15,53,1,1,5
"S00165550",81,24,46,-,4,10
"S00165551",100,26,56,4,5,9
"S00165552",95,20,63,2,6,2
"S00165553",96,13,67,-,7,4
"S00165554",126,29,81,3,6,5
"S00165555",93,20,66,1,6,5
"S00165556",100,22,64,1,9,4
"S00165557",80,17,50,1,6,6
"S00165558",59,19,33,4,3,-
"S00165559",678,559,64,20,32,7
"S00165560",114,38,44,5,17,10
"S00165561",101,26,51,1,11,11
"S00165562",68,11,39,2,11,5
"S00165563",88,32,37,-,11,11
"S00165564",91,26,45,-,9,11
"S00165565",86,38,25,5,16,4
"S00165566",116,29,65,3,11,7
"S00165567",114,28,67,2,10,7
"S00165568",132,33,84,-,6,8
"S00165569",99,21,58,1,9,10
"S00165570",119,30,62,1,11,15
"S00165571",60,11,30,2,14,3
"S00165572",105,34,48,3,11,6
"S00165573",77,12,51,-,5,5
"S00165574",100,19,64,-,8,9
"S00165575",127,33,68,3,10,14
"S00165576",94,16,50,-,5,19
"S00165577",55,21,20,2,7,5
"S00165578",73,31,22,4,11,3
"S00165579",109,29,67,3,6,4
"S00165580",371,289,66,2,9,2
"S00165581",126,42,56,3,15,10
"S00165582",68,16,24,4,15,9
"S00165583",87,22,50,1,7,7
"S00165584",67,15,41,-,6,5
"S00165585",65,23,31,-,9,5
"S00165586",120,49,49,6,11,4
"S00165587",108,36,54,2,12,5
"S00165588",71,16,30,1,18,6
"S00165589",64,9,35,1,8,7
"S00165590",85,26,41,5,11,4
"S00165591",90,58,9,6,15,2
"S00165592",64,14,25,4,7,11
"S00165593",109,25,77,1,2,3
"S00165594",66,27,28,2,8,3
"S00165595",61,21,28,1,11,3
"S00165596",92,22,45,4,12,9
"S00165597",52,22,20,4,9,-
"S00165598",96,32,44,4,8,10
"S00165599",106,39,42,2,16,9
"S00165600",103,26,45,1,15,16
"S00165601",158,35,103,4,13,-
"S00165602",58,23,24,4,9,3
"S00165603",111,13,88,3,-,6
"S00165604",61,18,27,1,8,4
"S00165605",121,24,85,-,3,-
"S00165606",61,23,14,3,14,7
"S00165607",56,16,33,-,5,3
"S00165608",77,12,41,-,16,8
"S00165609",65,16,42,3,4,-
"S00165610",96,25,46,-,15,10
"S00165611",79,13,53,1,5,10
"S00165612",71,15,41,1,9,2
"S00165613",120,13,83,-,6,12
"S00165614",107,37,39,5,15,8
"S00165615",72,19,40,4,8,2
"S00165616",90,25,45,2,11,7
"S00165617",67,22,24,2,16,4
"S00165618",103,22,56,4,13,7
"S00165619",101,52,31,2,15,4
"S00165620",74,23,32,-,13,6
"S00165621",94,30,42,3,7,9
"S00165622",72,12,44,1,7,3
"S00165623",113,34,59,-,14,5
"S00165624",74,10,54,1,4,8
"S00165625",92,31,40,-,9,6
"S00165626",90,27,53,-,8,4
"S00165627",144,48,72,-,12,10
"S00165628",160,30,104,1,7,13
"S00165629",94,19,62,-,9,4
"S00165630",117,23,81,1,6,9
"S00165631",53,15,32,2,2,3
"S00165632",84,19,48,2,6,9
"S00165633",94,16,57,-,8,7
"S00165634",91,29,44,1,13,6
"S00165635",105,22,66,4,6,7
"S00165636",51,16,29,1,5,3
"S00165637",102,25,63,-,9,3
"S00165638",84,19,37,2,13,15
"S00165639",127,49,55,2,17,7
"S00165640",120,25,72,5,8,6
"S00165641",138,21,99,3,7,9
"S00165642",104,22,66,1,6,6
"S00165643",70,28,24,1,10,10
"S00165644",115,41,55,5,10,11
"S00165645",128,33,70,5,15,5
"S00165646",131,30,77,4,7,13
"S00165647",61,14,30,-,7,8
"S00165648",95,19,64,1,9,6
"S00165649",76,17,46,1,5,11
"S00165650",102,25,49,4,20,4
"S00165651",60,24,26,4,6,2
"S00165652",60,23,18,4,9,6
"S00165653",81,17,57,-,2,7
"S00165654",101,23,67,1,5,5
"S00165655",67,34,24,-,7,5
"S00165656",73,21,37,3,5,7
"S00165657",86,16,50,1,9,9
"S00165658",111,11,82,5,5,7
"S00165659",96,32,48,2,7,9
"S00165660",102,15,69,2,10,6
"S00165661",87,10,64,-,2,8
"S00165662",98,18,63,-,5,8
"S00165663",74,14,48,-,6,4
"S00165664",104,22,64,1,12,8
"S00165665",89,18,52,2,9,7
"S00165666",95,27,54,1,5,10
"S00165667",80,14,54,2,10,2
"S00165668",73,26,40,3,9,3
"S00165669",70,20,36,1,7,4
"S00165670",79,22,41,1,7,5
"S00165671",72,16,48,-,2,6
"S00165672",108,31,49,2,16,10
"S00165673",89,19,56,1,8,1
"S00165674",78,19,44,3,4,7
"S00165675",67,15,33,-,7,8
"S00165676",112,31,52,6,11,12
"S00165677",149,38,93,-,12,10
"S00165678",136,39,70,2,12,12
"S00165679",68,16,37,-,8,9
"S00165680",140,45,59,6,12,15
"S00165681",73,17,52,-,-,7
"S00165682",94,23,52,2,8,9
"S00165683",140,36,93,2,5,4
"S00165684",151,43,58,5,12,31
"S00165685",117,26,70,3,7,11
"S00165686",112,28,60,3,18,5
"S00165687",56,14,24,2,7,14
"S00165688",67,15,39,1,10,5
"S00165689",71,14,23,4,17,14
"S00165690",90,20,54,2,9,6
"S00165691",66,20,26,-,10,10
"S00165692",101,25,47,3,12,14
"S00165693",99,30,49,6,5,9
"S00165694",126,21,88,-,7,7
"S00165695",120,46,46,2,14,13
"S00165696",70,21,36,1,5,5
"S00165697",151,40,91,2,14,4
"S00165698",113,17,68,2,13,16
"S00165699",91,18,58,4,4,10
"S00165700",94,30,47,-,9,6
"S00165701",73,27,26,4,8,7
"S00165702",84,28,37,3,13,2
"S00165703",107,18,83,1,5,4
"S00165704",81,18,49,2,6,7
"S00165705",51,16,24,-,8,3
"S00165706",99,35,38,4,12,12
"S00165707",75,31,33,3,4,5
"S00165708",87,14,62,2,4,7
"S00165709",72,18,41,1,5,5
"S00165710",101,31,54,2,10,4
"S00165711",73,22,39,1,6,4
"S00165712",65,29,26,5,4,4
"S00165713",63,12,40,3,1,5
"S00165714",86,26,44,1,3,11
"S00165715",64,14,30,-,12,6
"S00165716",169,36,107,4,12,10
"S00165717",134,50,59,4,10,10
"S00165718",86,14,54,2,13,6
"S00165719",82,21,32,-,6,19
"S00165720",81,23,34,4,4,16
"S00165721",113,54,42,2,7,8
"S00165722",92,30,47,8,4,6
"S00165723",119,19,84,-,11,5
"S00165724",91,29,42,3,13,8
"S00165725",132,31,80,5,10,3
"S00165726",78,24,41,2,8,2
"S00165727",72,39,15,3,9,6
"S00165728",109,23,69,4,7,6
"S00165729",78,15,49,-,8,3
"S00165730",140,52,56,2,14,13
"S00165731",82,19,49,1,9,3
"S00165732",116,50,42,-,14,9
"S00165733",74,35,14,4,15,6
"S00165734",96,26,44,4,18,4
"S00165735",83,24,46,3,4,4
"S00165736",62,28,22,-,7,5
"S00165737",57,29,19,2,4,4
"S00165738",80,38,32,-,1,5
"S00165739",94,51,27,3,12,5
"S00165740",84,28,41,3,3,5
"S00165741",87,33,36,1,14,4
"S00165742",94,46,35,4,10,5
"S00165743",119,39,60,3,12,3
"S00165744",76,20,33,3,6,14
"S00165745",122,56,47,5,5,11
"S00165746",95,36,51,-,6,3
"S00165747",151,41,86,3,9,15
"S00165748",101,54,24,2,17,4
"S00165749",76,23,40,1,6,4
"S00165750",73,18,33,3,10,10
"S00165751",436,325,79,7,13,14
"S00165752",104,60,21,-,20,4
"S00165753",101,17,60,-,9,14
"S00165754",72,34,23,1,10,4
"S00165755",99,31,57,1,7,6
"S00165756",75,43,19,1,8,4
"S00165757",134,25,66,-,10,32
"S00165758",165,33,110,5,12,9
"S00165759",61,16,20,8,14,9
"S00165760",65,24,16,3,8,12
"S00165761",71,15,45,2,3,4
"S00165762",113,38,56,2,8,9
"S00165763",94,20,64,4,6,-
"S00165764",102,28,62,-,3,8
"S00165765",97,35,29,5,17,13
"S00165766",111,38,52,9,6,7
"S00165767",76,15,48,1,6,8
"S00165768",109,29,50,3,11,12
"S00165769",94,26,52,-,7,9
"S00165770",84,25,42,3,10,4
"S00165771",103,19,66,3,10,6
"S00165772",99,32,35,2,18,11
"S00165773",93,34,32,4,8,10
"S00165774",90,15,42,3,7,23
"S00165775",70,18,22,3,18,8
