Scotland's Census 2022 - National Records of Scotland
Table UV209 - Scots language skills
All people aged 3 and over

,"All people aged 3 and over","Understands but does not speak, read or write Scots","Speaks, reads and writes Scots","Speaks but does not read or write Scots","Speaks and reads but does not write Scots","Reads but does not speak or write Scots","Other combination of skills in Scots","No skills in Scots"
"S00145667",62,14,22,3,-,2,-,27
"S00145668",71,18,14,9,-,3,-,25
"S00145669",65,9,26,1,1,2,-,28
"S00145670",80,12,27,2,4,3,-,34
"S00145671",94,10,28,2,4,1,1,49
"S00145672",111,20,23,4,2,3,-,56
"S00145673",94,11,31,12,2,3,-,35
"S00145674",86,3,32,8,-,2,1,40
"S00145675",97,16,23,10,3,2,-,47
"S00145676",92,16,24,2,-,4,-,45
"S00145677",113,32,29,4,2,4,-,43
"S00145678",88,15,24,1,4,4,-,39
"S00145679",86,9,13,-,3,4,-,53
"S00145680",71,19,20,5,3,-,-,24
"S00145681",95,19,30,1,3,1,-,41
"S00145682",70,17,15,6,-,3,-,25
"S00145683",89,13,21,-,4,7,-,42
"S00145684",109,13,23,3,4,3,2,60
"S00145685",137,23,49,4,1,6,-,53
"S00145686",62,6,12,4,3,2,-,34
"S00145687",92,7,13,7,7,3,-,57
"S00145688",139,12,35,7,6,1,-,73
"S00145689",132,20,38,5,5,-,-,62
"S00145690",114,10,20,-,2,12,-,70
"S00145691",60,6,18,5,-,-,-,29
"S00145692",115,26,22,7,6,6,-,45
"S00145693",116,20,29,3,4,3,-,53
"S00145694",98,17,13,8,4,3,-,53
"S00145695",93,12,28,-,1,3,-,45
"S00145696",140,14,35,7,9,1,-,66
"S00145697",83,8,13,3,3,1,-,54
"S00145698",66,11,27,3,4,-,1,21
"S00145699",105,21,28,-,4,-,2,52
"S00145700",124,22,30,1,7,4,-,57
"S00145701",93,13,12,1,2,6,1,57
"S00145702",61,9,15,5,2,3,-,26
"S00145703",147,21,38,1,1,10,-,72
"S00145704",88,4,22,1,5,5,1,50
"S00145705",97,10,24,10,6,1,1,39
"S00145706",157,25,67,6,6,-,2,49
"S00145707",98,9,41,-,1,4,-,42
"S00145708",95,15,20,4,5,4,1,46
"S00145709",92,7,23,2,1,2,-,51
"S00145710",89,12,29,8,2,4,-,34
"S00145711",118,19,28,10,6,5,3,40
"S00145712",94,20,24,4,3,2,2,40
"S00145713",77,6,31,1,4,6,-,27
"S00145714",125,14,24,9,2,3,3,71
"S00145715",117,26,27,7,5,3,1,47
"S00145716",72,28,10,1,2,-,-,31
"S00145717",101,16,39,4,3,4,-,36
"S00145718",78,9,15,6,3,1,-,43
"S00145719",103,27,29,6,4,2,-,37
"S00145720",57,1,15,1,4,5,-,35
"S00145721",99,16,38,2,3,1,1,39
"S00145722",72,3,21,-,1,7,-,39
"S00145723",101,14,20,4,2,5,1,58
"S00145724",97,4,22,4,4,3,1,58
"S00145725",129,16,30,9,3,4,1,66
"S00145726",179,25,19,12,5,5,-,110
"S00145727",159,24,20,3,2,6,-,102
"S00145728",110,12,17,3,5,1,-,72
"S00145729",132,22,31,1,7,7,-,64
"S00145730",116,19,20,4,2,6,-,65
"S00145731",205,32,39,9,9,11,-,105
"S00145732",90,10,19,1,2,10,-,47
"S00145733",141,24,51,2,6,3,-,55
"S00145734",127,14,26,2,6,8,-,67
"S00145735",69,10,21,-,1,-,-,39
"S00145736",148,29,35,6,8,4,-,66
"S00145737",67,19,19,1,-,-,-,28
"S00145738",98,22,36,8,1,1,-,31
"S00145739",174,28,30,5,3,3,-,101
"S00145740",882,72,267,9,11,6,-,510
"S00145741",68,14,23,2,2,1,-,27
"S00145742",61,9,24,3,-,-,-,27
"S00145743",96,18,22,2,3,6,-,45
"S00145744",125,20,41,4,6,2,-,49
"S00145745",89,15,29,1,4,4,1,36
"S00145746",100,20,24,6,4,1,-,47
"S00145747",157,18,33,-,4,4,-,102
"S00145748",59,4,15,-,3,1,-,36
"S00145749",137,24,19,4,2,6,-,79
"S00145750",139,17,10,4,7,2,-,102
"S00145751",212,31,33,4,15,7,1,122
"S00145752",80,12,15,4,2,2,-,49
"S00145753",121,18,23,4,9,2,-,63
"S00145754",179,26,38,5,7,4,3,95
"S00145755",141,17,39,10,11,5,-,63
"S00145756",117,23,34,-,6,3,-,52
"S00145757",81,17,14,-,1,5,-,44
"S00145758",164,13,54,6,1,1,2,87
"S00145759",116,8,42,3,2,4,-,57
"S00145760",76,12,15,9,2,6,-,34
"S00145761",185,42,62,2,2,7,1,70
"S00145762",144,25,44,6,4,4,1,58
"S00145763",111,10,40,4,3,4,-,50
"S00145764",137,13,41,7,3,-,2,71
"S00145765",140,21,48,4,1,4,1,58
"S00145766",167,16,45,8,9,3,1,89
"S00145767",175,18,41,16,3,-,-,95
"S00145768",98,19,33,7,7,4,-,31
"S00145769",140,12,62,7,5,5,-,51
"S00145770",95,12,25,3,5,2,-,51
"S00145771",160,35,46,8,4,-,-,70
"S00145772",103,17,31,5,5,5,-,39
"S00145773",94,19,28,2,8,1,-,36
"S00145774",173,21,49,3,4,7,-,89
"S00145775",82,19,21,2,-,1,-,39
"S00145776",88,6,39,1,2,1,2,36
"S00145777",109,11,29,9,7,6,2,47
"S00145778",154,14,55,15,2,10,1,60
"S00145779",99,18,19,3,-,5,-,52
"S00145780",175,25,62,6,5,3,-,72
"S00145781",92,7,11,1,4,3,-,65
"S00145782",124,19,43,8,4,4,1,47
"S00145783",117,11,43,12,5,-,-,49
"S00145784",72,19,23,4,2,1,-,27
"S00145785",155,14,54,9,10,3,3,61
"S00145786",160,28,42,10,3,4,-,75
"S00145787",113,21,36,15,3,3,1,34
"S00145788",82,16,22,7,1,-,-,36
"S00145789",86,11,34,1,1,1,-,42
"S00145790",146,34,49,16,1,1,-,45
"S00145791",91,12,24,1,7,5,-,41
"S00145792",71,10,17,2,4,-,-,38
"S00145793",87,17,24,5,1,2,-,38
"S00145794",107,7,44,7,3,-,1,48
"S00145795",76,25,28,4,-,3,-,15
"S00145796",95,10,27,5,8,-,-,45
"S00145797",153,17,58,4,6,3,-,75
"S00145798",118,21,44,7,-,3,-,45
"S00145799",73,6,20,3,1,3,-,40
"S00145800",136,19,40,3,3,6,-,66
"S00145801",99,10,26,7,1,2,-,53
"S00145802",172,10,39,12,3,6,1,94
"S00145803",74,14,21,2,-,-,1,36
"S00145804",148,11,32,10,2,9,-,84
"S00145805",132,24,24,4,2,7,-,71
"S00145806",149,26,44,9,2,3,-,61
"S00145807",136,16,31,4,8,1,1,76
"S00145808",156,30,55,5,5,4,-,59
"S00145809",71,9,21,4,-,-,-,39
"S00145810",111,19,27,9,7,3,-,47
"S00145811",133,8,35,6,8,2,-,70
"S00145812",128,16,51,11,2,5,-,43
"S00145813",115,25,30,2,3,3,-,52
"S00145814",130,13,40,6,5,3,1,61
"S00145815",101,18,31,3,3,4,-,42
"S00145816",77,12,18,7,5,5,1,27
"S00145817",91,10,34,5,4,8,-,33
"S00145818",137,11,28,5,-,8,-,84
"S00145819",113,12,29,2,6,1,-,61
"S00145820",102,9,25,5,4,6,-,53
"S00145821",87,18,30,4,3,3,-,30
"S00145822",99,15,28,2,2,5,-,48
"S00145823",148,31,33,5,13,6,-,60
"S00145824",79,8,24,4,2,-,1,35
"S00145825",141,25,39,3,3,10,4,61
"S00145826",103,18,14,1,12,1,-,59
"S00145827",130,26,53,8,3,-,-,39
"S00145828",104,16,28,4,3,8,-,46
"S00145829",146,1,57,6,2,-,1,77
"S00145830",155,12,41,6,-,7,-,86
"S00145831",74,20,21,1,2,-,-,32
"S00145832",109,19,31,4,4,3,2,49
"S00145833",129,11,36,8,4,1,2,67
"S00145834",119,25,32,12,4,4,1,45
"S00145835",154,14,56,9,5,1,2,67
"S00145836",84,15,18,5,-,7,-,37
"S00145837",108,24,30,6,8,1,-,39
"S00145838",105,19,17,3,2,4,-,59
"S00145839",108,14,41,17,-,1,-,36
"S00145840",132,30,33,3,1,-,2,61
"S00145841",142,26,34,10,4,4,-,61
"S00145842",149,21,56,6,-,2,-,63
"S00145843",88,7,36,3,-,-,1,41
"S00145844",116,19,46,4,3,2,-,43
"S00145845",193,26,44,5,2,8,-,105
"S00145846",121,9,27,4,2,5,-,70
"S00145847",142,26,36,8,2,5,-,65
"S00145848",65,9,23,1,1,-,-,31
"S00145849",216,28,62,15,10,8,-,87
"S00145850",147,26,33,3,1,5,-,68
"S00145851",102,8,45,7,3,1,-,38
"S00145852",63,8,31,2,1,1,-,20
"S00145853",90,10,30,6,2,2,-,41
"S00145854",123,20,42,7,4,1,-,45
"S00145855",84,14,29,1,2,-,-,38
"S00145856",91,18,34,3,1,2,-,39
"S00145857",117,12,36,5,6,2,-,56
"S00145858",117,24,27,3,6,3,-,56
"S00145859",119,20,36,3,3,3,-,58
"S00145860",121,18,34,3,4,3,-,60
"S00145861",83,8,34,3,-,2,-,37
"S00145862",62,9,15,2,-,1,-,29
"S00145863",127,36,32,9,4,1,-,43
"S00145864",82,9,28,4,8,1,-,31
"S00145865",80,16,26,-,4,3,2,28
"S00145866",115,12,47,13,4,1,-,38
"S00145867",145,28,52,8,8,7,-,43
"S00145868",116,19,26,2,4,6,-,59
"S00145869",120,10,43,7,-,3,-,55
"S00145870",126,26,32,5,6,-,-,55
"S00145871",117,14,37,9,3,2,-,52
"S00145872",134,27,34,6,4,4,-,63
"S00145873",141,29,36,7,1,2,-,65
"S00145874",212,28,65,14,4,7,-,91
"S00145875",126,19,40,3,4,5,2,53
"S00145876",89,15,21,1,6,1,-,45
"S00145877",82,14,19,-,12,2,-,32
"S00145878",100,13,31,5,6,2,-,40
"S00145879",145,27,37,5,-,5,-,71
"S00145880",67,5,21,3,-,-,-,38
"S00145881",194,23,49,11,7,3,-,98
"S00145882",106,12,28,12,6,-,1,48
"S00145883",132,19,39,6,-,-,-,64
"S00145884",179,25,53,3,-,1,-,95
"S00145885",87,13,27,5,-,-,-,41
"S00145886",139,13,49,2,1,1,1,66
"S00145887",167,29,44,8,1,1,-,84
"S00145888",94,12,31,6,-,3,-,40
"S00145889",60,7,13,2,3,-,-,35
"S00145890",112,17,21,3,1,4,1,62
"S00145891",107,13,34,3,4,2,-,51
"S00145892",121,24,42,9,3,5,-,41
"S00145893",149,20,28,3,7,10,-,78
"S00145894",162,34,46,1,2,5,2,76
"S00145895",123,16,29,10,1,2,-,66
"S00145896",73,14,29,1,2,1,-,26
"S00145897",105,21,31,4,-,4,1,43
"S00145898",95,15,32,6,-,3,-,38
"S00145899",72,8,30,4,-,1,-,31
"S00145900",214,32,44,6,11,9,3,111
"S00145901",114,28,30,11,1,2,-,43
"S00145902",93,14,25,1,2,3,1,47
"S00145903",192,38,44,12,3,3,1,93
"S00145904",68,12,13,2,3,7,-,33
"S00145905",133,23,29,1,-,-,-,79
"S00145906",129,15,34,3,3,5,-,66
"S00145907",114,12,31,8,3,2,-,56
"S00145908",76,12,21,2,2,-,-,36
"S00145909",102,16,31,2,3,4,1,45
"S00145910",72,12,18,12,1,1,-,22
"S00145911",89,17,25,3,1,2,-,44
"S00145912",109,20,24,1,1,6,-,55
"S00145913",76,8,29,3,4,3,2,30
"S00145914",172,15,56,5,6,23,1,66
"S00145915",87,11,23,5,4,1,-,41
"S00145916",133,22,36,4,3,3,1,64
"S00145917",75,5,23,1,1,4,-,37
"S00145918",161,28,43,2,13,3,-,78
"S00145919",85,11,13,2,6,5,-,48
"S00145920",126,22,38,14,-,1,-,51
"S00145921",75,12,22,3,2,3,-,34
"S00145922",94,9,21,5,2,1,-,57
"S00145923",94,14,10,5,1,5,1,58
"S00145924",124,15,36,3,9,4,-,58
"S00145925",72,6,39,5,1,1,-,22
"S00145926",127,15,30,3,8,4,1,62
"S00145927",126,10,30,2,9,2,-,74
"S00145928",108,16,28,1,4,4,1,52
"S00145929",106,12,44,4,5,2,-,35
"S00145930",114,18,35,3,6,3,-,49
"S00145931",84,13,19,1,1,6,-,46
"S00145932",87,9,22,2,6,1,-,46
"S00145933",154,27,45,6,8,5,-,64
"S00145934",100,12,15,5,6,7,-,53
"S00145935",100,8,44,2,5,1,-,41
"S00145936",80,11,27,3,1,2,-,35
"S00145937",78,9,27,1,5,2,-,34
"S00145938",177,27,53,2,6,7,-,83
"S00145939",103,22,29,7,1,2,-,43
"S00145940",89,7,29,5,3,4,2,37
"S00145941",135,15,25,4,6,8,-,78
"S00145942",124,16,30,8,4,1,-,65
"S00145943",113,8,37,11,3,3,-,55
"S00145944",87,8,28,1,4,2,2,43
"S00145945",74,4,31,1,3,5,2,29
"S00145946",133,20,47,3,3,7,-,56
"S00145947",107,18,22,6,2,-,5,52
"S00145948",74,9,19,-,2,4,-,40
"S00145949",84,9,25,4,1,4,1,43
"S00145950",136,17,44,5,2,3,-,64
"S00145951",106,7,22,3,-,10,1,67
"S00145952",63,5,12,-,-,2,-,45
"S00145953",66,8,24,5,-,2,-,26
"S00145954",177,27,51,8,8,-,-,83
"S00145955",160,15,54,12,4,6,-,68
"S00145956",91,10,24,6,2,3,-,52
"S00145957",118,13,38,5,3,2,-,62
"S00145958",123,15,32,11,5,3,-,60
"S00145959",132,16,44,6,-,5,-,61
"S00145960",102,12,26,1,1,1,-,60
"S00145961",118,15,25,8,3,1,1,65
"S00145962",90,11,19,7,2,-,-,50
"S00145963",163,31,49,11,8,9,-,58
"S00145964",72,13,26,5,2,2,-,24
"S00145965",63,10,9,4,8,6,-,30
"S00145966",76,19,15,4,2,1,-,33
"S00145967",76,14,21,-,4,2,-,35
"S00145968",197,25,46,5,3,6,-,114
"S00145969",107,18,38,11,2,1,-,40
"S00145970",203,26,53,16,-,-,2,105
"S00145971",70,13,21,6,3,-,1,27
"S00145972",91,17,10,-,3,10,1,49
"S00145973",67,11,23,4,-,1,-,28
"S00145974",154,16,42,1,-,-,-,95
"S00145975",96,8,32,6,1,4,-,45
"S00145976",105,29,36,3,1,-,-,36
"S00145977",87,14,8,3,6,9,-,43
"S00145978",139,11,51,6,4,7,-,62
"S00145979",89,6,13,2,1,1,2,62
"S00145980",128,12,37,2,6,1,1,71
"S00145981",185,23,55,9,7,1,-,90
"S00145982",130,16,42,8,7,3,-,56
"S00145983",110,17,30,1,6,6,-,50
"S00145984",58,10,23,2,-,3,-,21
"S00145985",78,11,26,7,2,-,1,31
"S00145986",112,14,33,5,2,6,-,52
"S00145987",120,11,20,7,4,-,-,80
"S00145988",140,29,32,6,5,3,1,64
"S00145989",143,27,43,6,9,4,1,53
"S00145990",100,16,29,6,3,4,-,43
"S00145991",131,31,35,7,5,2,1,51
"S00145992",101,12,44,4,7,-,-,30
"S00145993",103,12,40,4,7,4,-,32
"S00145994",123,19,25,4,-,2,-,69
"S00145995",163,26,45,7,6,7,-,73
"S00145996",127,6,44,4,1,1,-,68
"S00145997",99,8,26,1,9,7,-,42
"S00145998",132,19,54,8,4,-,-,51
"S00145999",134,21,35,6,1,5,1,64
"S00146000",105,18,30,4,5,-,-,47
"S00146001",208,29,74,17,4,7,-,75
"S00146002",112,14,28,4,3,5,3,52
"S00146003",83,7,26,2,1,1,-,44
"S00146004",97,-,25,8,2,2,-,60
"S00146005",102,19,36,2,6,-,-,35
"S00146006",132,16,50,7,5,4,-,48
"S00146007",119,16,35,7,5,5,2,51
"S00146008",87,19,19,5,4,2,-,33
"S00146009",105,20,23,4,-,4,-,54
"S00146010",91,11,32,9,-,2,-,33
"S00146011",82,20,24,3,-,2,1,37
"S00146012",155,8,48,11,1,4,-,80
"S00146013",85,14,22,5,4,2,-,42
"S00146014",117,27,24,6,2,7,1,50
"S00146015",103,15,34,1,-,3,-,46
"S00146016",137,14,50,9,8,4,1,53
"S00146017",67,12,30,2,2,-,-,21
"S00146018",93,25,28,6,1,6,-,31
"S00146019",112,19,42,-,5,1,-,39
"S00146020",70,12,18,1,3,-,-,39
"S00146021",157,29,31,8,5,3,-,80
"S00146022",80,10,18,3,4,7,1,40
"S00146023",112,23,40,6,1,4,2,37
"S00146024",104,17,26,6,3,-,-,53
"S00146025",91,20,20,7,2,-,-,41
"S00146026",91,10,16,2,4,-,-,58
"S00146027",118,18,32,11,4,1,3,49
"S00146028",152,21,21,4,3,15,-,84
"S00146029",152,34,26,8,14,7,1,66
"S00146030",117,20,22,7,2,5,-,61
"S00146031",130,24,17,5,6,4,2,72
"S00146032",85,14,6,-,5,5,-,52
"S00146033",71,18,8,5,5,3,-,34
"S00146034",77,10,11,-,1,10,2,42
"S00146035",82,9,27,2,2,2,-,36
"S00146036",96,26,33,6,7,4,-,19
"S00146037",93,22,31,3,-,4,3,33
"S00146038",99,18,41,11,-,3,-,28
"S00146039",100,20,25,15,5,-,1,30
"S00146040",103,18,39,5,1,-,1,41
"S00146041",134,17,37,16,6,-,1,61
"S00146042",86,8,28,4,13,1,-,28
"S00146043",86,14,31,12,2,-,-,27
"S00146044",106,4,38,15,3,3,-,40
"S00146045",91,10,34,4,1,2,1,39
"S00146046",135,24,36,9,4,3,-,58
"S00146047",78,8,31,2,1,4,1,31
"S00146048",109,20,43,7,4,3,-,29
"S00146049",110,18,24,8,3,2,-,52
"S00146050",106,19,31,5,5,6,2,39
"S00146051",136,23,42,14,9,8,-,36
"S00146052",69,10,19,4,1,-,-,32
"S00146053",65,13,19,7,-,6,-,19
"S00146054",95,17,26,4,3,1,1,41
"S00146055",89,9,44,5,2,1,1,27
"S00146056",117,25,27,7,8,3,-,47
"S00146057",156,17,42,7,12,6,2,70
"S00146058",142,18,38,8,13,8,1,55
"S00146059",132,16,48,10,6,3,2,47
"S00146060",65,12,12,2,1,1,-,37
"S00146061",107,11,26,8,7,8,1,47
"S00146062",91,13,36,7,7,3,-,25
"S00146063",75,14,27,4,5,-,-,28
"S00146064",116,6,17,2,3,3,2,84
"S00146065",96,13,39,3,3,-,-,37
"S00146066",90,14,29,7,6,10,1,24
"S00146067",106,18,28,6,1,-,1,43
"S00146068",101,17,30,10,8,1,1,34
"S00146069",144,14,37,13,5,3,2,70
"S00146070",136,20,61,3,5,-,-,43
"S00146071",94,5,37,6,7,4,1,34
"S00146072",103,22,34,1,2,-,1,42
"S00146073",102,13,47,10,1,1,-,28
"S00146074",125,23,48,11,8,1,-,34
"S00146075",107,14,15,6,2,4,1,62
"S00146076",74,13,14,6,-,5,-,37
"S00146077",182,23,32,3,18,20,-,89
"S00146078",104,25,5,1,4,3,1,65
"S00146079",59,7,4,3,3,1,-,41
"S00146080",129,10,17,4,9,13,1,78
"S00146081",150,19,13,3,11,12,1,88
"S00146082",121,28,26,1,7,2,1,56
"S00146083",95,15,15,2,8,5,-,53
"S00146084",100,14,14,3,5,3,-,61
"S00146085",89,17,11,6,3,4,2,46
"S00146086",111,9,18,4,3,6,-,71
"S00146087",61,5,2,3,6,3,-,39
"S00146088",106,27,22,5,3,6,-,45
"S00146089",93,10,19,3,8,9,-,40
"S00146090",121,3,26,1,-,6,-,82
"S00146091",78,9,25,-,3,-,-,41
"S00146092",142,23,32,5,4,4,1,73
"S00146093",125,10,38,2,4,7,-,59
"S00146094",153,27,41,7,-,-,-,76
"S00146095",114,22,17,2,-,5,3,66
"S00146096",125,20,41,7,4,4,2,49
"S00146097",57,6,23,2,-,3,1,23
"S00146098",91,6,25,4,3,7,1,45
"S00146099",178,32,19,8,10,12,2,91
"S00146100",68,12,1,-,3,6,-,42
"S00146101",100,26,19,3,1,5,-,45
"S00146102",76,14,13,3,2,3,1,39
"S00146103",124,22,24,1,4,2,2,71
"S00146104",105,15,21,2,3,13,-,53
"S00146105",91,16,19,5,6,6,1,40
"S00146106",120,28,18,3,2,7,-,62
"S00146107",107,14,13,6,3,11,1,62
"S00146108",140,19,24,8,2,8,-,77
"S00146109",84,17,13,-,5,3,-,49
"S00146110",125,17,27,2,3,2,3,72
"S00146111",169,22,34,7,8,13,-,82
"S00146112",64,13,9,5,3,1,-,35
"S00146113",72,7,19,4,3,3,-,36
"S00146114",77,9,25,2,-,2,1,37
"S00146115",85,16,21,4,4,-,1,39
"S00146116",90,15,23,-,2,7,-,43
"S00146117",86,20,4,-,2,8,2,51
"S00146118",88,16,11,3,2,2,-,51
"S00146119",134,24,18,6,9,12,1,64
"S00146120",106,14,30,2,3,5,1,50
"S00146121",119,11,19,5,2,8,-,72
"S00146122",117,26,12,3,6,8,-,57
"S00146123",165,34,20,5,7,10,1,97
"S00146124",95,19,23,1,2,-,-,50
"S00146125",126,20,25,6,12,10,2,47
"S00146126",61,6,32,1,1,-,-,20
"S00146127",114,31,36,4,3,-,-,39
"S00146128",112,18,20,5,3,4,-,62
"S00146129",124,28,29,3,-,2,-,60
"S00146130",123,24,30,6,5,9,-,46
"S00146131",92,11,14,-,10,6,-,50
"S00146132",90,17,12,1,2,4,-,51
"S00146133",73,12,28,1,5,-,-,28
"S00146134",130,17,23,5,6,7,-,74
"S00146135",154,33,35,4,3,7,-,72
"S00146136",126,12,29,4,4,9,2,65
"S00146137",103,10,25,3,7,3,-,55
"S00146138",109,10,36,3,3,6,-,47
"S00146139",72,10,16,-,3,7,2,32
"S00146140",79,11,25,2,-,1,-,37
"S00146141",63,5,22,3,3,2,-,28
"S00146142",115,12,19,4,8,3,1,69
"S00146143",65,15,8,2,4,4,-,29
"S00146144",74,10,10,3,3,4,1,44
"S00146145",109,20,27,10,4,1,-,47
"S00146146",109,21,33,3,5,5,3,39
"S00146147",134,20,28,6,3,9,3,65
"S00146148",80,16,21,4,8,4,-,27
"S00146149",95,20,12,3,3,6,2,46
"S00146150",172,20,39,8,14,7,3,82
"S00146151",145,15,16,1,-,5,1,106
"S00146152",79,17,13,4,5,-,-,38
"S00146153",164,20,37,8,7,10,-,82
"S00146154",86,18,33,3,3,6,-,26
"S00146155",169,26,29,6,1,7,-,104
"S00146156",78,7,14,2,6,4,-,41
"S00146157",101,19,33,1,-,-,2,44
"S00146158",142,17,33,-,10,6,-,72
"S00146159",109,15,16,3,-,2,1,70
"S00146160",111,12,28,3,5,9,-,55
"S00146161",75,6,10,2,3,-,-,54
"S00146162",129,16,38,13,7,9,-,44
"S00146163",167,34,39,1,3,11,-,79
"S00146164",93,16,16,3,10,6,-,45
"S00146165",78,12,15,1,3,5,-,41
"S00146166",63,13,5,-,1,5,1,38
"S00146167",64,8,10,4,1,5,-,38
"S00146168",88,16,16,2,7,9,-,38
"S00146169",103,15,25,3,6,11,-,48
"S00146170",100,14,30,1,2,7,1,41
"S00146171",86,15,23,2,4,3,-,41
"S00146172",135,28,16,1,6,7,-,77
"S00146173",136,22,23,3,8,5,-,75
"S00146174",89,14,24,2,6,1,-,40
"S00146175",157,22,25,1,3,7,-,95
"S00146176",83,9,16,2,2,2,-,51
"S00146177",139,29,17,5,13,9,1,65
"S00146178",150,25,19,1,3,6,1,97
"S00146179",109,19,37,2,6,3,-,45
"S00146180",149,18,26,3,9,2,-,93
"S00146181",168,31,25,5,15,15,1,76
"S00146182",145,29,26,10,1,-,-,81
"S00146183",104,12,19,4,4,5,-,65
"S00146184",74,11,16,-,4,-,2,40
"S00146185",79,7,15,4,4,2,-,47
"S00146186",174,26,25,4,5,10,2,100
"S00146187",163,30,33,5,3,5,1,82
"S00146188",79,10,19,-,1,6,-,43
"S00146189",90,18,28,7,2,-,-,36
"S00146190",137,26,28,8,7,10,-,73
"S00146191",151,17,22,1,2,14,-,94
"S00146192",64,14,6,3,6,2,-,33
"S00146193",140,33,29,6,5,2,1,65
"S00146194",98,12,30,7,5,1,1,42
"S00146195",85,8,19,3,4,2,-,50
"S00146196",92,18,10,6,8,4,1,43
"S00146197",129,25,6,3,10,15,-,72
"S00146198",171,29,38,7,6,10,-,80
"S00146199",152,25,34,13,9,11,4,57
"S00146200",118,6,24,4,3,10,-,66
"S00146201",128,11,15,4,5,10,-,84
"S00146202",87,20,10,1,1,6,-,56
"S00146203",154,39,31,4,8,16,-,57
"S00146204",127,12,25,9,12,2,-,68
"S00146205",61,8,11,8,3,4,2,31
"S00146206",133,26,36,7,5,1,-,54
"S00146207",61,10,23,5,2,2,-,25
"S00146208",93,15,19,8,5,2,-,43
"S00146209",193,29,53,10,4,4,-,91
"S00146210",76,14,17,-,1,6,-,38
"S00146211",100,23,17,4,2,1,-,47
"S00146212",82,16,18,2,5,3,-,38
"S00146213",86,15,16,-,2,6,-,42
"S00146214",65,12,20,2,4,-,2,29
"S00146215",73,5,17,3,5,4,-,38
"S00146216",107,20,10,5,3,8,-,62
"S00146217",72,10,21,2,2,2,-,32
"S00146218",91,7,22,4,6,4,-,54
"S00146219",143,39,24,7,2,2,-,65
"S00146220",118,23,22,6,7,6,1,52
"S00146221",146,29,17,5,2,5,3,89
"S00146222",78,13,13,-,1,4,-,48
"S00146223",142,28,30,7,10,4,-,67
"S00146224",121,14,16,3,6,7,-,75
"S00146225",72,10,15,-,6,5,-,38
"S00146226",128,30,27,6,5,2,-,58
"S00146227",140,16,17,10,7,9,-,85
"S00146228",161,18,39,6,1,6,-,91
"S00146229",165,25,48,12,16,2,1,61
"S00146230",137,22,30,3,8,6,-,67
"S00146231",155,26,29,2,10,5,-,80
"S00146232",134,16,38,4,8,4,2,66
"S00146233",184,34,45,7,4,5,-,89
"S00146234",138,17,22,6,3,5,1,83
"S00146235",93,17,31,6,5,1,1,32
"S00146236",147,11,48,7,2,4,-,79
"S00146237",90,21,26,3,5,-,-,36
"S00146238",159,24,20,8,2,3,-,103
"S00146239",99,16,27,3,4,3,3,47
"S00146240",87,12,20,3,1,-,-,51
"S00146241",179,30,43,11,7,8,1,76
"S00146242",72,14,18,5,1,3,-,32
"S00146243",81,9,17,4,-,1,-,51
"S00146244",97,19,14,7,7,3,1,46
"S00146245",126,9,42,3,8,1,-,61
"S00146246",66,11,21,1,3,1,1,29
"S00146247",133,18,34,7,4,1,1,68
"S00146248",70,11,22,1,-,-,-,35
"S00146249",120,20,27,5,2,2,1,63
"S00146250",158,25,33,8,2,7,1,89
"S00146251",57,9,19,-,2,1,-,27
"S00146252",161,25,30,6,7,8,-,86
"S00146253",125,12,38,11,2,3,3,56
"S00146254",113,17,23,10,2,2,-,62
"S00146255",73,5,21,5,-,4,-,44
"S00146256",76,15,19,-,1,4,1,40
"S00146257",89,16,20,4,2,4,-,39
"S00146258",126,19,34,3,5,2,-,62
"S00146259",69,12,14,2,1,2,-,36
"S00146260",152,22,40,3,4,-,-,77
"S00146261",95,7,31,6,2,1,-,49
"S00146262",118,15,28,8,1,7,1,57
"S00146263",124,8,25,6,3,4,-,75
"S00146264",185,18,44,8,6,11,-,101
"S00146265",67,8,13,2,3,-,3,39
"S00146266",183,25,49,6,9,1,1,88
"S00146267",168,22,22,1,9,8,-,103
"S00146268",100,17,41,4,4,2,-,32
"S00146269",96,12,19,1,-,3,-,57
"S00146270",94,13,18,4,4,1,-,53
"S00146271",149,22,30,8,9,11,3,71
"S00146272",134,12,27,5,4,6,2,76
"S00146273",165,21,25,7,5,5,1,100
"S00146274",96,10,10,3,3,11,1,59
"S00146275",68,11,14,2,-,4,-,38
"S00146276",119,14,28,8,4,4,-,57
"S00146277",116,9,30,3,2,-,-,72
"S00146278",98,17,17,4,5,7,2,46
"S00146279",149,24,44,9,7,5,-,63
"S00146280",117,16,20,4,4,4,-,71
"S00146281",122,13,31,3,4,6,2,65
"S00146282",112,17,13,5,8,3,-,66
"S00146283",154,19,42,4,5,-,-,85
"S00146284",132,14,54,7,5,-,-,53
"S00146285",136,25,25,3,5,4,1,75
"S00146286",157,14,11,5,4,-,-,114
"S00146287",102,11,20,5,1,4,2,62
"S00146288",61,13,14,2,9,4,-,19
"S00146289",177,25,50,7,4,8,2,83
"S00146290",111,15,19,4,5,2,-,65
"S00146291",80,5,14,4,1,3,2,47
"S00146292",71,10,13,1,2,6,-,40
"S00146293",86,15,22,3,5,1,-,40
"S00146294",79,9,14,1,3,4,1,47
"S00146295",131,23,24,8,2,3,-,70
