Scotland's Census 2022 - National Records of Scotland
Table UV702 - Method of travel to work or study
All occupied households
,"All occupied households","No person working or studying in the household","One person working or studying in the household - Total","One person working or studying in the household - Driving a car or van","One person working or studying in the household - Other method of travel to place of work or study","One person working or studying in the household - Works or studies at home","Two people working or studying in the household - Total","Two people working or studying in the household - Both driving cars or vans","Two people working or studying in the household - Both other method of travel to place of work or study","Two people working or studying in the household - Both working or studying at home","Two people working or studying in the household - One driving a car or van, one other method","Two people working or studying in the household - One driving a car or van, one working at home","Two people working or studying in the household - One other method, one working at home","Three or more people working or studying in the household - Total","Three or more people working or studying in the household - All driving cars or vans","Three or more people working or studying in the household - All other method of travel to work","Three or more people working or studying in the household - All working at home","Three or more people working or studying in the household - Mixture of driving a car or van and other method","Three or more people working or studying in the household - Mixture of driving a car or van and working at home","Three or more people working or studying in the household - Mixture of other method and working at home","Three or more people working or studying in the household - Mixture of driving a car or van, other and working at home"
"S00144958",56,23,24,7,8,6,5,-,-,-,-,2,1,4,-,-,1,1,-,1,2
"S00144959",31,2,7,2,1,3,15,-,2,1,4,2,6,7,1,1,-,-,-,-,2
"S00144960",45,17,22,5,11,3,6,-,-,2,3,-,1,1,-,-,-,-,-,1,-
"S00144961",49,16,13,5,5,3,10,-,-,-,3,1,3,10,-,3,2,1,-,1,3
"S00144962",66,18,18,7,6,2,8,-,4,1,-,3,-,22,-,7,-,2,-,6,5
"S00144963",52,8,12,5,3,5,16,5,3,-,7,2,-,12,-,1,-,3,2,4,1
"S00144964",93,38,20,7,5,10,18,-,2,2,6,6,2,17,-,-,-,1,-,11,7
"S00144965",42,8,6,2,1,3,17,2,1,2,2,5,4,11,-,-,-,2,2,3,5
"S00144966",47,12,13,7,5,5,11,-,2,3,1,3,3,11,-,1,4,2,2,-,5
"S00144967",55,15,10,4,6,2,17,-,2,6,1,3,5,13,-,3,-,2,-,1,5
"S00144968",74,34,15,4,4,7,15,1,1,2,4,-,4,11,-,-,-,6,-,-,6
"S00144969",52,34,10,5,1,5,5,-,2,-,1,2,-,2,-,1,-,-,-,-,-
"S00144970",69,6,20,7,7,8,14,1,1,2,4,-,3,29,-,5,3,2,1,7,11
"S00144971",54,17,8,5,2,1,11,2,1,2,2,2,3,18,-,-,-,4,-,8,2
"S00144972",44,3,17,3,8,6,15,3,2,3,1,2,5,10,-,2,2,-,2,2,3
"S00144973",45,12,6,1,3,2,14,1,3,3,3,2,3,13,-,4,1,-,-,4,3
"S00144974",36,12,5,-,2,-,7,-,1,3,2,-,2,17,-,2,-,-,2,8,-
"S00144975",55,18,18,7,4,9,8,-,-,2,3,2,4,11,-,1,1,-,-,5,3
"S00144976",57,13,21,7,9,6,6,-,3,-,1,-,2,17,-,2,3,-,-,3,9
"S00144977",34,4,8,2,3,-,9,-,2,4,2,-,-,9,-,1,1,2,1,3,4
"S00144978",42,18,13,4,2,8,6,-,-,1,2,4,-,5,-,-,-,2,-,-,3
"S00144979",36,15,6,4,-,3,8,2,1,-,2,-,3,6,-,2,1,1,-,-,1
"S00144980",27,3,6,1,4,5,7,-,-,4,2,-,1,8,-,-,-,3,1,2,2
"S00144981",61,3,16,5,3,6,24,2,6,4,8,1,5,15,-,1,1,5,1,4,2
"S00144982",31,9,12,4,3,4,1,-,-,-,-,1,-,9,-,2,-,-,-,1,5
"S00144983",47,16,13,2,6,6,11,1,2,2,1,2,4,7,-,1,2,3,-,-,3
"S00144984",39,11,12,3,8,1,7,-,4,4,-,-,1,11,-,3,-,1,-,4,3
"S00144985",55,25,14,3,5,8,6,1,1,-,-,1,2,6,-,-,-,-,1,2,2
"S00144986",34,16,11,4,6,-,7,1,-,3,1,1,1,2,-,1,-,1,-,-,-
"S00144987",40,3,5,3,2,1,24,1,4,3,8,6,3,8,-,1,-,2,2,3,1
"S00144988",73,16,17,3,7,5,12,2,4,2,3,1,2,31,-,-,1,8,4,4,9
"S00144989",41,1,4,2,3,2,22,3,2,3,1,7,5,12,-,-,3,4,-,1,5
"S00144990",35,4,11,1,4,5,5,-,-,1,3,-,-,11,-,1,-,2,-,6,4
"S00144991",55,22,5,3,-,4,9,-,2,6,4,1,-,15,-,1,1,1,-,7,5
"S00144992",72,35,11,5,1,5,15,2,-,-,3,4,3,13,-,1,-,1,-,7,4
"S00144993",31,14,5,-,1,4,8,2,-,2,1,1,1,5,-,1,1,-,1,3,1
"S00144994",44,14,10,2,4,3,8,2,2,1,2,-,-,17,-,-,4,4,-,3,5
"S00144995",45,10,9,-,8,-,11,-,6,2,5,-,2,11,-,3,2,1,-,4,2
"S00144996",51,17,8,4,1,4,12,-,3,2,3,5,-,11,1,1,-,3,-,2,3
"S00144997",53,15,7,2,2,2,11,-,-,5,-,2,6,15,-,-,-,3,1,8,2
"S00144998",46,4,23,9,7,7,12,-,3,2,1,3,2,7,-,-,-,1,-,3,2
"S00144999",37,18,7,4,2,-,5,2,-,1,4,-,-,7,-,-,2,-,-,2,3
"S00145000",77,12,20,6,12,-,15,-,6,7,5,-,-,24,-,2,1,5,1,9,7
"S00145001",51,19,11,5,1,6,8,-,1,2,1,2,-,12,-,1,-,2,1,6,3
"S00145002",48,20,16,4,8,3,15,-,2,1,4,1,3,1,-,-,-,-,-,-,1
"S00145003",73,20,14,4,5,4,13,-,7,1,4,-,3,23,-,6,2,4,1,2,8
"S00145004",69,33,12,1,6,5,10,-,2,3,-,4,-,11,-,1,-,-,1,1,8
"S00145005",55,9,14,1,8,5,16,-,4,2,3,2,2,9,-,1,-,-,-,1,3
"S00145006",39,13,15,1,7,7,4,-,4,-,2,-,1,4,-,1,-,-,1,2,1
"S00145007",76,33,18,-,6,10,18,7,2,1,2,5,4,7,-,1,-,1,-,3,3
"S00145008",67,7,20,3,11,6,20,1,7,2,5,1,1,20,-,1,6,2,1,4,6
"S00145009",41,8,11,2,6,3,11,2,1,1,3,-,3,11,1,-,3,1,2,3,3
"S00145010",56,15,15,2,8,3,10,-,2,2,2,2,2,17,-,-,-,4,-,4,3
"S00145011",51,13,12,6,3,3,10,-,2,2,4,2,-,17,-,2,1,-,2,3,9
"S00145012",51,11,19,4,12,4,9,-,3,2,2,1,-,12,-,2,-,2,3,7,-
"S00145013",58,18,12,9,2,5,18,3,3,6,4,1,1,10,-,-,-,2,1,3,7
"S00145014",75,42,19,7,4,8,11,-,6,-,2,-,2,1,-,1,-,1,-,1,-
"S00145015",74,19,37,4,19,14,11,1,7,2,2,1,2,3,-,1,-,-,1,-,1
"S00145016",60,15,15,1,10,4,11,-,4,5,7,-,1,16,2,4,-,2,-,4,6
"S00145017",45,16,7,-,-,6,12,1,1,1,1,3,3,10,-,-,-,2,2,1,5
"S00145018",41,16,2,-,2,1,9,1,1,1,4,3,-,13,-,-,1,2,-,5,5
"S00145019",67,17,16,3,12,3,21,1,9,-,5,1,5,9,-,2,1,-,-,6,2
"S00145020",44,19,6,3,2,4,8,-,-,1,-,3,3,13,-,-,-,3,1,5,2
"S00145021",43,11,10,3,5,2,18,-,6,2,3,4,6,4,-,1,-,-,-,-,3
"S00145022",43,27,7,1,-,2,5,1,1,3,-,-,-,6,-,-,-,-,1,2,3
"S00145023",45,24,4,-,1,1,14,1,1,3,4,3,2,3,-,2,-,1,-,-,-
"S00145024",57,18,21,5,7,9,11,-,3,-,4,2,-,7,-,-,-,3,-,1,1
"S00145025",49,37,2,2,-,-,11,-,-,4,2,2,2,1,-,-,-,-,-,-,1
"S00145026",63,15,22,5,8,9,12,-,3,3,2,2,3,14,-,3,2,1,1,-,6
"S00145027",34,12,10,4,3,3,10,-,-,3,1,4,1,5,-,-,-,-,-,2,3
"S00145028",48,12,15,2,5,3,13,1,2,1,3,-,3,13,-,1,-,1,2,4,6
"S00145029",51,12,15,3,3,5,12,-,2,2,4,-,2,14,1,2,-,4,1,5,2
"S00145030",50,23,12,5,3,4,8,1,-,4,-,1,2,8,-,-,2,2,1,2,2
"S00145031",74,25,15,8,4,3,14,1,1,3,2,4,2,20,1,-,2,5,2,5,6
"S00145032",35,10,3,-,2,3,11,-,-,3,2,4,1,10,-,2,1,-,1,2,4
"S00145033",59,12,29,8,9,9,16,-,4,1,4,1,3,4,-,-,-,-,-,-,3
"S00145034",52,16,15,6,5,4,20,1,6,4,2,-,4,4,1,1,-,-,-,-,-
"S00145035",66,58,3,-,4,2,-,-,-,-,-,-,-,3,-,-,-,1,-,1,-
"S00145036",39,6,16,10,6,2,12,-,7,4,-,-,3,5,-,-,-,1,-,4,2
"S00145037",48,19,14,1,5,8,9,-,2,-,4,-,1,9,-,-,1,1,1,7,1
"S00145038",58,13,11,1,6,3,16,-,3,4,1,1,4,18,-,2,2,-,1,8,2
"S00145039",38,13,8,3,4,-,7,1,-,2,2,-,1,10,-,1,-,-,-,-,7
"S00145040",41,14,8,1,1,6,7,1,1,-,-,3,4,9,1,-,-,1,1,1,5
"S00145041",41,10,8,1,5,2,6,-,1,1,2,2,-,15,-,-,3,2,1,3,7
"S00145042",68,11,15,4,7,3,14,4,3,1,3,4,1,25,-,1,4,5,1,7,7
"S00145043",49,21,4,-,1,3,13,1,1,4,2,1,4,8,2,-,-,2,-,-,6
"S00145044",28,4,4,-,2,1,10,-,2,2,1,-,4,10,-,4,4,2,1,-,2
"S00145045",57,19,13,7,1,5,6,2,1,-,2,1,-,15,-,1,-,4,2,5,3
"S00145046",60,26,12,4,4,8,3,2,-,1,-,-,1,19,2,4,4,1,-,5,4
"S00145047",67,26,17,4,8,4,16,1,2,4,2,3,1,12,-,3,1,-,2,2,2
"S00145048",75,46,17,3,9,5,11,2,4,3,1,2,-,1,-,-,-,-,-,-,1
"S00145049",51,21,6,1,2,3,16,4,-,5,3,-,1,12,-,-,-,2,-,1,9
"S00145050",73,12,26,4,11,7,20,2,3,2,3,3,5,15,-,5,-,6,-,-,3
"S00145051",52,16,13,5,2,5,9,-,-,2,2,3,2,14,-,2,-,3,1,7,1
"S00145052",60,15,24,4,13,6,11,1,1,3,3,2,-,12,-,4,2,1,-,5,2
"S00145053",47,6,16,1,9,8,18,3,4,2,1,2,4,9,-,1,-,-,-,2,1
"S00145054",46,22,11,2,3,4,3,-,1,-,-,1,1,14,-,-,-,1,-,8,1
"S00145055",39,20,5,2,4,1,8,-,3,1,2,2,-,6,1,-,-,-,-,1,4
"S00145056",52,21,7,2,2,3,16,2,-,2,4,3,4,8,-,-,1,-,-,4,3
"S00145057",56,18,10,4,3,4,7,-,3,-,-,2,1,15,-,3,5,4,-,5,5
"S00145058",56,22,17,3,7,7,7,-,2,-,-,-,2,10,-,1,1,4,2,1,2
"S00145059",51,7,5,2,-,4,20,5,1,6,7,2,5,16,2,1,1,2,-,4,5
"S00145060",54,11,10,2,8,-,21,1,2,6,4,4,5,12,-,3,-,-,-,2,5
"S00145061",58,20,15,-,5,10,11,4,-,-,-,-,3,12,-,2,-,1,-,6,4
"S00145062",57,7,6,1,2,2,16,2,3,5,-,4,2,28,-,1,4,2,2,8,13
"S00145063",47,28,5,1,2,2,7,-,1,1,-,2,1,4,1,1,-,2,-,-,4
"S00145064",42,18,9,2,4,3,4,-,-,1,-,-,1,11,-,2,2,-,-,6,-
"S00145065",47,8,14,4,4,6,20,-,4,1,11,5,-,5,-,-,-,1,-,3,-
"S00145066",56,15,17,6,5,6,11,2,2,1,1,1,2,12,-,-,3,2,1,1,5
"S00145067",37,20,6,2,-,3,6,-,-,1,1,2,-,7,-,-,-,-,-,2,3
"S00145068",47,6,4,3,1,1,16,2,2,2,2,4,4,17,-,5,-,4,-,3,5
"S00145069",28,7,8,3,1,1,6,-,-,3,1,2,-,13,1,-,-,-,-,4,5
"S00145070",55,22,9,6,1,2,12,2,3,-,3,3,-,14,-,-,-,1,2,4,3
"S00145071",40,22,7,1,4,3,4,-,2,-,3,-,2,7,-,-,-,-,-,2,2
"S00145072",49,20,11,8,3,1,8,2,1,1,1,2,1,10,1,-,2,1,-,2,2
"S00145073",44,26,5,3,4,-,7,2,2,1,4,-,1,4,-,2,-,2,-,-,-
"S00145074",48,5,9,-,5,4,11,-,7,-,2,-,2,25,-,7,3,-,-,2,11
"S00145075",47,21,10,2,3,1,9,1,1,1,5,1,4,10,-,-,-,4,1,2,3
"S00145076",39,15,11,1,7,5,6,-,4,1,1,-,-,11,-,3,1,-,-,2,5
"S00145077",59,13,8,5,6,1,16,2,2,1,2,4,2,25,-,6,2,3,3,5,5
"S00145078",70,14,12,4,3,4,19,1,5,7,2,-,4,26,-,2,4,2,3,11,8
"S00145079",51,41,7,1,5,1,1,-,-,1,-,-,-,1,-,-,-,-,-,-,1
"S00145080",79,22,23,6,5,16,18,4,-,8,1,2,5,11,-,1,1,2,-,4,5
"S00145081",40,13,9,-,-,2,12,2,1,5,1,3,4,9,-,-,2,-,-,2,3
"S00145082",53,14,12,2,3,7,19,1,3,6,5,1,4,9,-,4,-,2,-,-,5
"S00145083",66,15,11,6,-,5,16,1,-,3,4,2,5,21,-,-,-,4,-,7,8
"S00145084",51,17,12,-,4,7,12,5,1,-,1,2,1,10,-,1,1,1,-,-,6
"S00145085",47,16,11,4,3,4,8,-,3,-,4,-,1,12,-,-,1,2,1,-,5
"S00145086",55,21,6,1,3,1,14,4,2,1,1,4,5,10,-,-,-,1,-,6,7
"S00145087",34,10,6,2,-,5,6,1,-,1,2,2,-,7,-,-,-,3,-,3,2
"S00145088",45,18,11,6,4,1,6,-,1,1,1,2,2,12,-,1,1,2,2,2,3
"S00145089",44,14,7,3,1,3,6,2,-,-,-,1,-,16,-,1,-,6,1,2,6
"S00145090",63,29,20,5,5,12,6,1,1,1,2,-,-,8,-,3,-,3,-,1,1
"S00145091",42,25,3,1,1,1,5,-,-,-,2,-,3,9,-,-,-,3,-,5,1
"S00145092",53,18,13,6,3,4,10,2,-,2,1,3,3,15,-,2,2,3,1,4,8
"S00145093",81,28,30,11,13,6,9,2,4,2,2,1,1,14,-,-,1,1,3,5,2
"S00145094",66,24,21,6,5,7,19,-,9,3,2,3,1,6,-,2,-,-,-,2,3
"S00145095",55,19,9,8,-,3,17,3,-,3,5,4,5,5,-,-,1,-,1,3,5
"S00145096",68,15,15,3,8,6,18,2,3,5,4,4,3,20,1,2,3,2,2,3,7
"S00145097",51,22,14,-,3,10,11,-,1,3,2,2,2,6,-,1,-,3,-,-,2
"S00145098",62,23,19,6,8,5,12,-,6,-,2,1,5,8,-,1,-,3,-,-,2
"S00145099",33,10,9,4,2,-,6,-,1,-,1,1,1,11,-,-,1,2,-,3,2
"S00145100",49,22,9,3,2,6,7,2,-,2,3,4,2,9,-,-,-,4,-,3,4
"S00145101",47,8,19,8,3,8,9,2,-,2,1,2,2,11,-,2,2,2,1,1,4
"S00145102",33,12,7,2,-,3,12,-,1,3,3,2,3,3,1,1,-,1,-,-,-
"S00145103",56,24,20,10,7,3,7,-,1,-,1,2,3,5,-,2,-,1,-,-,4
"S00145104",52,16,15,5,7,3,15,1,3,4,4,3,1,6,-,2,-,1,1,-,-
"S00145105",54,21,12,1,1,8,4,-,2,1,2,-,1,15,-,-,-,4,-,2,6
"S00145106",36,15,7,2,4,1,7,-,-,1,3,-,1,4,-,2,-,-,1,2,-
"S00145107",71,-,9,1,4,5,26,2,3,3,10,6,4,34,2,2,-,14,-,10,7
"S00145108",43,11,16,7,7,5,12,-,6,1,2,1,2,3,-,-,-,1,-,-,-
"S00145109",44,10,17,6,7,7,11,-,3,2,-,-,-,6,-,2,-,-,-,2,1
"S00145110",78,32,17,7,6,7,14,3,-,1,6,2,2,15,-,1,4,2,2,2,6
"S00145111",50,22,16,1,10,8,6,-,2,1,3,-,1,6,-,3,-,-,-,2,2
"S00145112",70,23,23,9,12,3,20,-,5,5,4,4,2,4,-,-,-,-,-,3,1
"S00145113",62,17,7,5,2,3,8,-,2,3,1,2,-,32,-,5,-,4,-,11,8
"S00145114",55,14,11,5,4,3,13,-,3,5,2,3,-,18,-,1,2,6,-,3,5
"S00145115",49,18,7,2,7,3,8,-,2,-,2,-,2,14,-,1,-,2,2,6,2
"S00145116",52,12,11,3,3,5,9,-,2,2,-,1,4,17,-,1,-,-,1,6,9
"S00145117",62,29,11,2,3,6,14,1,-,4,3,-,4,10,-,-,-,3,2,3,4
"S00145118",63,22,21,4,8,9,13,3,3,2,4,1,-,9,-,-,1,-,-,3,-
"S00145119",55,30,6,-,1,5,10,3,1,2,4,-,-,9,-,-,-,1,-,3,3
"S00145120",43,15,10,4,-,7,16,2,1,-,2,1,6,6,-,-,1,-,2,5,-
"S00145121",40,10,6,3,2,-,11,2,2,3,1,2,2,14,-,1,-,1,-,3,8
"S00145122",32,9,7,2,3,-,8,-,3,3,1,1,1,4,-,3,-,-,-,-,-
"S00145123",48,20,3,-,-,2,5,1,3,2,-,-,-,21,-,-,-,5,-,8,5
"S00145124",41,22,8,1,-,1,3,1,-,1,-,-,-,11,2,2,1,3,3,3,2
"S00145125",59,13,14,1,6,5,22,7,2,5,3,3,3,10,1,2,-,-,4,1,4
"S00145126",35,11,10,3,3,5,10,2,2,2,-,1,2,4,-,2,1,-,-,-,1
"S00145127",35,6,12,-,3,6,12,1,3,5,2,1,1,6,-,-,1,-,-,4,1
"S00145128",48,18,14,8,4,2,12,1,2,2,6,-,1,5,-,1,-,-,-,1,2
"S00145129",63,17,15,4,3,8,21,3,2,3,9,2,3,10,-,2,-,2,2,3,2
"S00145130",59,16,12,4,3,3,10,-,1,5,1,1,-,17,-,2,3,2,-,3,6
"S00145131",37,15,9,4,4,2,3,1,1,-,-,1,-,9,-,2,2,1,-,1,5
"S00145132",67,20,13,4,8,6,16,1,4,2,5,2,2,16,-,3,-,4,-,4,2
"S00145133",35,8,6,1,4,1,-,-,-,-,-,-,-,16,-,4,4,2,4,6,2
"S00145134",68,22,10,2,3,7,12,1,-,3,4,2,4,24,-,1,2,4,-,14,5
"S00145135",77,70,7,2,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00145136",72,25,13,6,3,4,14,3,2,4,3,1,3,21,-,-,-,7,-,5,7
"S00145137",53,28,20,7,10,3,5,-,3,2,-,-,1,-,-,-,-,-,-,-,-
"S00145138",47,16,10,-,2,3,5,2,-,2,1,-,1,16,-,1,1,5,1,7,3
"S00145139",88,38,19,8,4,10,17,2,4,4,-,4,6,14,-,-,-,3,1,6,4
"S00145140",70,23,11,4,3,4,13,1,1,5,2,1,-,23,1,-,-,5,-,8,9
"S00145141",58,23,11,3,2,6,9,1,-,3,2,2,2,15,-,-,-,4,2,7,4
"S00145142",44,12,11,3,4,5,12,-,1,-,3,3,4,10,-,-,-,4,-,4,1
"S00145143",42,17,4,2,2,-,8,2,1,-,3,-,2,13,2,1,-,3,-,-,5
"S00145144",59,19,17,4,7,6,17,-,2,3,5,-,3,10,-,2,-,3,1,2,3
"S00145145",46,21,12,6,3,3,9,-,-,2,5,2,-,7,-,2,-,2,-,2,1
"S00145146",37,14,6,-,1,5,3,-,-,1,2,-,1,9,-,1,-,-,-,6,4
"S00145147",71,16,16,5,6,2,21,1,2,-,5,4,6,19,1,2,1,5,2,6,3
"S00145148",44,10,15,2,6,6,14,-,7,4,3,1,1,5,-,-,1,1,-,-,3
"S00145149",64,23,20,7,9,6,9,-,-,4,3,4,1,9,-,3,-,-,-,6,1
"S00145150",77,28,19,11,3,7,19,1,-,5,9,1,3,15,-,4,-,4,4,3,2
"S00145151",80,33,27,7,8,13,14,2,1,4,3,3,1,6,-,1,1,1,-,4,-
"S00145152",73,28,19,3,9,2,11,-,2,3,1,2,-,19,-,4,-,6,-,5,4
"S00145153",62,23,9,3,1,2,14,1,3,7,2,2,-,22,-,-,-,4,3,3,11
"S00145154",65,16,26,3,14,9,14,2,4,-,5,3,-,5,-,-,-,2,-,1,2
"S00145155",56,27,12,1,4,7,12,1,2,2,-,4,3,7,-,-,-,-,-,-,8
"S00145156",57,16,17,7,6,6,16,1,2,8,2,2,2,5,-,-,-,1,-,4,-
"S00145157",46,13,4,-,1,3,6,-,-,3,1,-,5,20,-,4,6,1,-,6,5
"S00145158",53,14,11,4,3,6,13,-,1,5,2,5,-,15,-,-,2,-,1,7,1
"S00145159",59,13,17,3,4,11,13,2,2,3,1,1,4,16,-,2,-,2,-,1,12
"S00145160",42,13,6,-,3,5,7,3,-,1,2,1,1,18,-,2,2,5,-,4,6
"S00145161",39,14,3,1,-,2,8,3,3,2,2,-,-,11,-,-,2,2,-,4,2
"S00145162",51,21,19,4,11,4,7,2,-,2,2,-,-,4,-,1,-,-,-,1,2
"S00145163",46,9,17,9,4,10,6,1,1,2,1,1,2,8,-,3,-,1,-,2,4
"S00145164",70,54,11,5,3,4,1,-,-,-,-,1,-,4,-,1,-,-,-,3,-
"S00145165",50,20,15,1,6,2,9,-,4,1,6,-,-,10,-,-,-,1,2,7,4
"S00145166",65,30,9,5,3,2,11,4,1,2,4,2,3,17,-,-,-,2,1,7,5
"S00145167",65,19,16,7,5,6,14,4,-,1,1,2,7,16,-,-,2,2,2,6,6
"S00145168",42,11,10,3,3,4,10,3,1,1,1,-,3,8,-,3,-,2,-,1,1
"S00145169",60,44,2,-,-,2,6,2,-,2,-,1,-,9,-,1,1,-,2,2,3
"S00145170",31,24,5,3,-,2,1,-,1,-,-,1,-,2,-,1,-,-,-,-,1
"S00145171",62,16,13,3,6,4,21,2,3,4,5,5,1,12,-,4,-,3,-,2,1
"S00145172",82,18,25,9,9,4,18,-,2,4,1,3,7,18,-,6,-,-,-,6,4
"S00145173",54,22,8,3,1,4,8,2,-,-,1,4,1,16,-,-,-,2,-,6,4
"S00145174",55,22,8,2,2,4,11,1,2,2,2,4,1,8,-,-,-,3,-,2,4
"S00145175",51,15,13,6,3,4,18,2,1,2,3,2,5,9,-,-,-,-,-,3,3
"S00145176",48,21,13,4,4,4,6,3,1,-,-,-,1,11,-,1,-,2,1,2,3
"S00145177",45,25,7,2,-,4,9,-,3,1,2,-,-,7,1,-,-,-,2,2,1
"S00145178",59,9,11,-,4,5,27,3,4,8,4,5,3,12,-,-,-,-,4,7,3
"S00145179",33,4,7,3,-,6,14,1,3,2,3,2,1,7,-,1,-,1,-,3,2
"S00145180",36,10,9,-,8,4,9,1,2,1,1,2,-,5,-,2,1,1,1,-,1
"S00145181",48,43,4,4,-,1,1,1,-,-,-,-,-,2,-,-,-,-,-,2,-
"S00145182",37,20,8,-,4,5,6,-,-,-,-,4,3,3,-,-,-,-,-,3,-
"S00145183",33,14,3,-,1,2,4,-,-,-,2,2,-,13,-,-,-,3,-,4,4
"S00145184",47,25,6,3,1,1,5,-,-,-,-,2,2,12,-,-,-,2,-,5,4
"S00145185",68,30,9,5,-,3,12,-,1,3,4,3,1,19,-,-,2,-,-,9,6
"S00145186",46,15,6,1,3,-,11,1,4,2,2,-,4,14,-,3,-,4,-,5,3
"S00145187",55,22,12,4,5,4,13,1,-,4,6,2,1,11,-,2,2,1,-,3,3
"S00145188",47,13,10,6,-,4,6,-,-,2,1,-,1,18,-,3,-,1,1,7,6
"S00145189",33,10,10,-,6,4,6,-,1,2,-,-,2,10,-,-,-,1,-,1,3
"S00145190",53,19,10,3,4,3,11,-,-,6,3,-,2,13,-,2,2,4,-,4,1
"S00145191",44,21,10,2,2,6,8,-,-,3,-,2,2,6,-,-,-,-,-,7,1
"S00145192",43,22,10,2,5,2,7,-,1,2,3,1,-,10,-,-,-,2,-,3,2
"S00145193",76,26,17,2,6,9,14,2,2,2,4,5,4,16,-,2,2,3,-,5,4
"S00145194",44,12,14,6,1,3,15,2,-,3,3,2,5,3,-,2,-,-,-,-,-
"S00145195",56,8,17,3,6,8,17,1,3,1,3,1,5,17,-,2,-,3,1,4,6
"S00145196",47,10,10,2,5,1,10,1,1,2,2,3,1,18,-,-,-,3,-,9,9
"S00145197",60,30,10,3,2,5,4,-,-,2,-,-,-,18,-,-,1,2,2,5,6
"S00145198",47,14,11,2,3,7,5,1,1,-,2,2,-,18,-,1,3,4,-,8,6
"S00145199",52,10,12,9,5,4,9,3,2,1,1,1,1,16,-,3,1,6,-,1,5
"S00145200",36,5,11,1,7,3,10,2,1,4,2,1,-,7,-,-,-,1,2,1,7
"S00145201",37,8,8,3,1,3,14,1,3,4,5,1,1,7,-,1,-,3,-,1,-
"S00145202",41,8,10,1,3,4,14,4,5,-,6,2,3,11,-,4,1,2,-,-,3
"S00145203",51,12,11,5,1,7,17,-,3,1,6,4,3,14,-,-,-,5,1,2,6
"S00145204",47,15,8,4,4,3,12,4,4,2,2,-,-,12,-,4,-,3,-,-,4
"S00145205",47,18,7,2,2,5,7,1,-,2,3,2,-,13,-,1,1,-,1,5,5
"S00145206",56,22,16,9,-,5,8,1,-,3,-,2,-,14,-,-,1,2,-,4,7
"S00145207",48,25,14,5,4,1,5,-,-,1,2,-,1,2,-,1,1,-,-,-,1
"S00145208",50,9,9,4,4,1,13,-,2,2,7,-,-,21,-,3,2,1,-,6,8
"S00145209",52,23,8,2,1,6,9,1,3,2,1,5,2,9,-,1,-,2,1,1,5
"S00145210",62,14,17,7,3,7,17,-,-,2,1,6,5,11,-,1,1,1,-,6,2
"S00145211",32,16,6,2,4,1,8,-,-,2,1,2,4,6,-,-,-,3,-,2,1
"S00145212",41,6,8,2,2,2,8,1,4,1,-,2,-,17,-,-,2,3,1,6,9
"S00145213",53,12,14,4,5,5,7,2,1,2,1,-,-,20,-,3,3,6,1,3,3
"S00145214",48,11,9,2,6,2,10,-,3,3,1,-,-,22,-,2,3,2,-,8,6
"S00145215",46,24,7,2,2,2,10,3,1,2,1,1,2,8,-,1,1,1,4,1,2
"S00145216",46,17,16,6,6,4,11,1,2,-,3,5,2,2,-,-,-,-,-,-,1
"S00145217",61,36,11,2,4,5,10,2,2,4,2,1,-,4,2,1,-,-,-,1,1
"S00145218",50,16,6,5,-,1,12,-,2,2,5,1,1,16,1,-,-,2,3,4,6
"S00145219",59,20,20,8,2,10,8,4,1,1,5,-,1,7,-,1,-,2,-,4,-
"S00145220",69,26,14,6,4,6,15,1,4,2,2,4,-,19,-,-,-,2,3,6,5
"S00145221",65,28,11,4,4,5,12,-,1,1,6,1,3,14,-,1,-,5,1,1,8
"S00145222",33,5,6,2,1,3,12,-,3,2,-,3,2,7,1,5,1,2,-,1,-
"S00145223",46,21,6,2,1,5,8,1,3,1,5,-,-,11,-,2,3,3,-,2,1
"S00145224",43,9,12,3,3,2,14,-,-,4,3,3,1,13,-,-,-,3,-,4,6
"S00145225",33,15,5,3,-,1,4,2,-,-,1,1,-,9,-,-,-,2,1,2,4
"S00145226",81,35,13,4,4,7,21,3,4,4,1,9,4,8,-,1,-,1,-,4,6
"S00145227",65,13,26,2,14,9,15,-,8,3,4,1,1,11,-,3,3,1,-,3,1
"S00145228",47,16,8,1,-,5,8,-,-,3,1,2,2,15,1,3,-,4,-,3,4
"S00145229",50,10,17,7,5,5,18,-,6,3,3,4,2,7,-,2,2,1,-,1,-
"S00145230",47,20,7,2,1,4,10,1,1,2,1,3,2,11,-,1,-,4,-,3,3
"S00145231",50,13,10,-,6,4,11,1,-,1,-,1,7,16,-,3,-,3,-,3,7
"S00145232",65,34,3,2,1,-,9,-,-,1,4,5,2,19,-,-,-,3,1,5,10
"S00145233",42,13,4,-,2,4,6,-,-,-,2,1,2,19,-,1,-,-,-,3,9
"S00145234",29,6,5,3,1,1,10,5,1,3,1,1,-,8,-,-,-,-,-,3,4
"S00145235",63,5,23,6,10,9,29,-,8,8,2,8,6,4,-,4,-,-,-,-,4
"S00145236",62,13,24,8,8,8,15,-,6,2,-,1,5,9,-,2,1,1,-,1,1
"S00145237",60,8,17,5,6,5,12,1,2,2,5,1,3,16,-,4,-,2,-,5,5
"S00145238",56,19,7,-,4,3,8,2,2,4,2,1,2,18,-,1,-,1,2,7,7
