Scotland's Census 2022 - National Records of Scotland
Table UV303b - Disability by age (6)
All people
,"All people","All people","All people","All people","All people","All people","All people","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited"
,"Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over"
"S00135456",89,17,2,8,21,26,16,9,2,-,-,-,3,4,17,5,-,-,5,4,3,63,12,2,8,20,23,9
"S00135457",69,6,-,7,12,13,29,7,-,-,-,1,4,2,7,-,-,2,-,-,6,53,6,-,6,8,9,21
"S00135458",79,17,10,7,17,20,9,3,1,-,-,1,-,-,8,2,2,-,-,3,-,68,11,6,7,19,20,9
"S00135459",121,8,9,14,16,24,52,15,-,1,-,-,4,12,32,-,-,5,4,1,21,74,8,8,7,13,20,18
"S00135460",121,19,8,15,24,22,40,13,1,-,-,1,2,9,13,-,1,1,4,3,7,95,11,7,14,20,15,25
"S00135461",135,31,13,13,22,19,34,3,-,-,-,-,1,2,16,3,-,1,-,4,6,116,28,13,12,22,12,24
"S00135462",159,30,10,8,27,46,34,8,-,-,1,1,4,2,16,1,-,-,1,3,11,135,26,10,4,25,42,21
"S00135463",149,20,9,19,27,45,37,4,-,-,-,-,2,3,21,2,-,2,2,8,7,124,18,9,15,22,36,24
"S00135464",109,15,10,19,23,21,18,10,1,-,1,1,1,6,14,-,1,-,2,2,5,82,15,9,17,20,18,7
"S00135465",106,10,3,12,16,30,35,15,-,-,-,-,4,10,21,-,-,1,-,7,13,67,9,3,11,16,19,9
"S00135466",101,14,7,10,15,29,26,3,-,-,-,1,1,1,11,-,-,-,2,6,5,87,14,7,10,15,21,21
"S00135467",95,15,7,11,15,25,21,9,1,-,-,-,4,4,13,3,-,-,2,2,6,73,11,7,11,13,18,12
"S00135468",69,-,22,30,8,6,1,1,-,-,-,1,-,-,1,-,1,-,-,-,-,65,-,20,30,6,6,1
"S00135469",121,5,8,6,10,30,61,11,-,-,-,1,2,9,9,-,1,-,1,3,4,98,5,7,6,8,26,46
"S00135470",137,25,8,16,25,40,26,4,-,-,-,2,1,2,14,2,-,-,1,7,3,119,24,8,16,23,36,21
"S00135471",154,28,21,25,31,21,26,7,-,-,2,-,1,3,12,-,1,-,2,4,4,133,28,20,22,29,15,16
"S00135472",148,22,10,11,32,35,38,16,-,-,-,1,8,7,17,1,2,-,2,4,10,114,21,9,11,30,23,21
"S00135473",128,25,10,20,26,18,33,4,-,2,-,-,2,1,21,3,-,-,4,1,11,103,22,9,20,22,14,20
"S00135474",122,33,11,24,32,8,13,6,-,-,-,2,-,4,7,3,-,2,1,-,-,110,30,8,21,29,8,9
"S00135475",102,21,6,15,22,14,24,4,-,-,-,1,2,4,14,2,1,-,1,3,5,81,19,5,15,19,11,14
"S00135476",108,15,8,10,13,22,40,9,-,1,-,-,4,2,20,1,1,-,4,5,6,82,14,5,10,8,14,30
