Scotland's Census 2022 - National Records of Scotland
Table UV303b - Disability by age (6)
All people
,"All people","All people","All people","All people","All people","All people","All people","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited"
,"Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over"
"S00135477",120,26,3,27,34,17,10,4,-,-,2,-,-,1,12,3,-,1,2,2,2,100,24,3,25,30,16,4
"S00135478",95,7,3,5,12,10,61,34,-,-,-,2,2,30,31,1,-,2,1,4,21,36,6,3,4,9,4,10
"S00135479",125,16,13,6,16,53,20,5,-,1,-,-,4,-,6,-,-,-,2,2,3,116,16,12,6,14,49,14
"S00135480",132,21,8,16,34,26,28,7,1,-,-,-,1,5,15,-,-,5,1,3,4,108,20,8,9,31,22,19
"S00135481",132,17,8,7,15,26,55,10,-,2,-,-,2,6,20,-,1,-,-,1,14,106,17,5,7,15,23,38
"S00135482",83,19,2,-,23,12,35,14,2,-,-,1,3,9,14,2,-,-,4,1,7,55,14,2,-,14,8,16
"S00135483",118,18,8,16,20,25,41,7,-,-,-,-,2,6,11,-,-,1,1,2,5,100,18,7,10,15,16,33
"S00135484",82,8,4,9,5,20,31,6,-,-,-,-,2,4,7,-,-,-,-,4,7,66,8,4,8,5,16,21
"S00135485",163,24,4,18,30,36,55,11,2,1,-,-,2,5,24,-,1,2,-,2,15,128,21,5,15,28,29,30
"S00135486",115,30,5,8,33,21,25,10,-,2,-,-,2,6,8,-,-,-,2,2,4,99,30,4,8,26,17,15
"S00135487",160,16,10,11,24,42,53,5,-,-,-,-,2,7,20,-,1,-,2,6,14,128,14,13,11,21,35,32
"S00135488",118,21,9,17,25,20,28,10,2,-,-,1,1,7,16,1,-,2,5,3,5,87,19,9,11,19,14,13
"S00135489",144,43,22,48,19,11,-,9,2,-,1,1,3,-,19,2,5,8,6,1,-,114,41,15,39,12,10,-
"S00135490",131,14,9,16,18,36,40,9,-,-,-,-,2,7,10,-,-,3,-,3,4,112,14,9,13,18,31,32
"S00135491",130,18,15,36,29,26,6,2,-,-,-,-,2,-,17,-,1,2,4,6,-,120,18,13,33,27,23,6
"S00135492",130,19,6,10,26,33,36,12,2,-,-,-,5,6,12,-,-,-,1,4,9,103,17,6,10,25,21,21
"S00135493",166,39,27,39,39,15,10,4,-,-,-,2,-,2,18,4,4,-,7,3,2,144,37,23,39,30,12,4
"S00135494",98,12,8,8,11,30,30,9,-,3,-,-,2,5,20,-,-,2,-,5,11,70,12,3,7,11,23,13
"S00135495",110,28,4,17,22,19,24,4,1,1,-,-,-,1,18,-,-,-,3,3,8,93,24,2,17,16,16,15
"S00135496",105,18,4,5,22,20,33,3,-,-,1,-,-,2,14,-,-,-,2,4,7,88,18,4,1,21,16,24
"S00135497",236,51,10,16,56,47,55,10,-,-,-,4,2,6,16,-,-,-,1,6,9,210,51,10,15,53,39,42
"S00135498",150,32,18,49,37,14,2,-,1,-,-,-,1,-,9,3,-,2,-,5,1,139,28,18,49,37,10,1
"S00135499",129,19,18,3,30,19,41,11,-,-,1,2,3,6,18,1,1,-,4,3,9,97,18,17,3,26,12,26
"S00135500",120,41,7,37,34,3,2,2,-,-,1,-,-,-,1,-,-,-,1,-,-,119,41,7,35,28,3,2
"S00135501",136,17,-,13,19,27,58,8,-,-,1,-,1,4,18,5,-,-,-,3,15,112,13,-,10,19,21,42
"S00135502",133,19,22,41,37,9,5,4,-,-,-,-,3,-,6,2,1,-,1,-,-,126,17,21,39,32,6,4
"S00135503",86,9,3,10,6,21,37,11,1,-,-,2,1,8,18,1,2,-,1,2,12,57,10,2,10,7,13,19
"S00135504",141,4,11,8,7,34,74,15,-,-,-,-,3,11,23,-,-,-,-,5,17,103,4,10,8,6,26,49
"S00135505",167,42,9,23,51,23,16,7,2,-,-,1,-,4,10,1,-,-,4,2,5,150,41,8,22,50,20,10
"S00135506",90,8,3,11,17,35,10,-,-,-,-,-,-,-,15,1,-,-,-,10,2,75,9,3,10,12,25,9
"S00135507",183,51,11,16,45,40,17,9,1,-,-,2,1,4,12,-,-,2,1,7,4,162,51,11,14,42,34,8
"S00135508",67,6,3,10,16,15,17,6,-,1,-,1,2,3,7,-,-,-,2,2,3,53,6,-,10,17,11,7
"S00135509",125,23,3,12,25,28,34,3,-,-,-,-,1,-,14,2,-,-,3,4,5,108,23,3,12,22,23,27
"S00135510",111,10,12,13,17,27,31,9,1,1,-,-,1,6,24,-,-,1,1,6,18,77,9,9,15,15,20,15
"S00135511",120,7,6,20,34,27,23,7,-,-,3,-,2,2,12,1,-,-,4,5,3,101,6,6,17,33,21,18
"S00135512",120,10,11,13,20,34,32,6,-,-,-,-,1,4,16,-,2,-,-,8,8,98,10,12,13,20,27,19
"S00135513",111,14,10,7,19,20,37,21,-,-,1,6,1,13,18,2,1,1,1,4,10,72,12,9,9,12,15,15
"S00135514",113,14,12,15,24,22,26,10,-,1,-,4,2,3,20,2,1,2,2,4,9,83,12,10,11,18,16,14
"S00135515",167,22,16,16,18,28,64,19,-,-,2,-,1,24,21,-,-,1,2,2,16,122,22,16,14,17,25,28
"S00135516",152,44,13,50,28,13,3,6,1,-,1,-,-,-,18,4,2,4,4,4,2,126,38,13,45,24,7,2
"S00135517",113,14,11,23,31,25,10,3,-,-,-,-,2,-,7,-,2,-,2,-,2,103,14,9,22,24,22,5
"S00135518",83,7,11,10,16,15,24,4,-,-,-,-,-,4,8,-,2,-,2,-,5,71,7,10,10,14,15,15
"S00135519",143,14,18,15,14,51,31,8,-,-,2,-,-,6,25,-,2,3,3,7,7,109,13,16,10,11,42,18
"S00135520",145,20,11,23,31,39,25,6,1,3,-,2,-,-,21,-,-,-,4,10,5,125,17,9,23,25,29,19
"S00135521",118,14,17,34,29,18,6,7,1,-,2,1,2,2,10,2,2,2,1,5,-,100,12,15,31,27,11,4
"S00135522",92,8,5,14,21,21,23,4,-,-,-,-,1,3,12,-,-,1,-,5,5,76,8,5,16,20,19,15
"S00135523",71,2,4,2,2,10,43,12,-,-,-,-,2,12,18,-,-,-,-,2,16,38,2,4,2,2,6,17
"S00135524",111,7,4,14,24,29,35,9,-,-,-,-,2,7,18,-,-,-,3,8,7,85,7,4,14,21,19,21
"S00135525",117,30,-,41,38,8,-,5,-,-,-,1,4,-,7,2,-,2,2,1,-,105,28,-,39,35,1,-
"S00135526",106,10,12,10,15,23,36,9,-,-,2,-,3,5,18,-,1,1,2,5,10,79,10,11,7,13,16,24
"S00135527",72,12,-,6,11,20,21,9,-,-,-,-,1,6,13,4,-,-,-,4,7,50,12,-,6,11,13,8
"S00135528",165,16,14,16,26,36,64,37,3,2,-,1,7,28,29,2,1,2,3,5,17,102,13,12,13,18,24,23
"S00135529",139,7,6,9,20,45,50,11,-,-,-,-,1,9,23,-,-,1,1,7,14,105,7,5,8,19,37,27
"S00135530",87,14,4,8,15,18,27,8,-,-,-,1,2,5,14,-,-,2,-,3,8,66,14,4,5,13,14,14
"S00135531",99,13,7,11,15,22,27,9,-,-,3,1,-,6,14,1,2,-,-,4,4,76,12,5,6,14,19,17
"S00135532",103,29,10,11,36,9,6,7,-,2,1,3,-,1,11,-,-,1,4,2,-,85,24,9,8,29,7,8
"S00135533",131,21,7,21,32,36,17,10,-,-,1,1,3,5,14,-,1,-,2,7,3,104,21,9,19,29,23,9
"S00135534",112,15,13,11,27,34,10,6,-,-,-,-,4,2,10,-,-,-,1,5,3,98,15,13,13,26,26,5
"S00135535",234,36,15,16,35,25,107,74,1,-,-,-,4,69,30,1,-,2,1,-,27,130,34,15,15,37,21,11
"S00135536",191,67,12,23,69,18,2,9,2,-,1,2,2,1,14,4,4,3,2,3,-,169,58,10,19,64,13,1
"S00135537",146,17,6,6,24,41,49,8,-,-,-,1,2,5,11,-,-,-,2,2,7,127,17,6,6,21,36,37
"S00135538",91,9,4,4,10,21,42,6,-,-,-,-,2,2,17,2,1,-,2,3,10,67,7,1,4,7,16,29
"S00135539",84,12,6,9,15,17,25,18,-,-,2,2,5,6,17,2,-,-,2,8,7,53,11,4,7,11,8,9
"S00135540",143,18,10,10,30,34,44,14,-,1,-,-,1,11,29,-,-,2,5,7,17,100,18,8,9,26,22,16
"S00135541",78,4,3,5,7,20,37,5,-,-,-,-,2,3,11,-,1,-,-,4,4,61,4,2,5,7,17,26
"S00135542",182,59,11,64,35,8,2,3,1,-,2,-,-,-,9,2,-,2,2,3,1,170,55,11,61,37,5,1
"S00135543",180,49,10,55,59,5,-,4,1,-,-,3,-,-,3,-,-,-,2,-,-,170,48,10,55,52,4,-
"S00135544",99,16,6,5,20,21,33,10,-,-,-,4,4,4,14,-,-,1,2,2,9,75,16,6,-,16,15,20
"S00135545",132,7,9,16,28,35,36,11,-,-,1,-,7,2,14,-,1,-,2,2,9,108,7,8,17,26,27,25
"S00135546",88,12,5,9,13,23,26,19,-,-,-,2,10,7,13,1,-,1,4,4,4,56,10,5,8,7,9,12
"S00135547",188,45,11,23,40,42,30,9,2,2,-,1,2,3,15,1,1,-,4,6,4,164,39,9,23,35,35,23
"S00135548",88,17,6,9,16,20,23,12,-,-,-,2,-,8,9,-,1,-,-,3,4,67,17,5,8,14,9,9
"S00135549",64,9,1,3,12,18,18,5,-,-,1,1,2,1,7,-,-,-,1,1,5,52,9,1,2,10,15,12
"S00135550",123,26,15,13,21,24,21,13,-,-,3,1,6,6,25,3,3,2,3,4,10,85,23,12,5,20,14,5
"S00135551",127,23,4,26,29,30,14,9,-,-,2,-,4,2,23,3,1,3,5,5,3,95,16,4,22,23,22,9
"S00135552",133,33,20,53,20,6,5,4,2,-,1,-,1,-,13,2,4,6,2,4,-,116,26,20,48,18,3,5
"S00135553",207,30,15,18,33,48,61,8,-,-,-,-,-,7,24,2,2,-,2,5,14,175,30,13,18,27,42,40
"S00135554",86,16,4,5,19,13,29,10,-,-,-,4,-,7,9,-,2,-,-,-,8,67,15,4,5,15,13,16
"S00135555",166,23,15,18,24,46,41,8,-,-,-,-,-,8,23,1,1,-,1,6,10,139,22,14,18,23,39,23
"S00135556",101,3,12,31,14,26,15,9,-,-,2,-,4,5,10,-,1,2,-,2,4,82,2,11,27,14,22,6
"S00135557",91,19,-,13,16,17,27,8,-,-,-,-,1,5,11,-,-,3,1,2,6,72,19,-,10,15,15,16
"S00135558",150,25,13,16,25,37,29,13,4,-,-,3,2,4,29,4,3,4,4,4,10,108,18,12,16,18,31,11
"S00135559",105,8,13,31,17,16,18,6,-,2,1,-,1,1,16,-,1,2,1,5,7,83,8,10,26,16,10,10
"S00135560",107,14,6,18,12,29,28,6,-,-,-,-,1,5,9,-,-,-,1,2,6,91,14,6,18,10,26,15
"S00135561",94,21,12,12,24,14,14,8,1,-,-,4,1,2,17,1,-,-,2,4,9,69,18,12,8,18,10,1
"S00135562",92,12,7,14,25,18,11,11,1,-,2,1,2,5,9,-,2,-,3,1,3,70,13,5,12,21,15,6
"S00135563",61,17,5,17,11,8,3,5,1,-,2,-,3,-,8,1,1,2,1,2,2,48,15,4,14,10,4,-
"S00135564",104,10,4,4,16,23,47,6,-,-,-,-,2,4,21,-,-,-,2,3,15,77,10,4,3,14,18,28
"S00135565",71,15,-,5,12,16,24,5,-,-,-,-,-,1,3,-,-,-,-,-,3,63,15,-,5,11,15,18
"S00135566",100,13,9,12,14,24,32,5,-,-,-,-,1,4,13,-,1,-,4,5,5,80,12,8,9,12,16,19
"S00135567",126,27,10,8,29,22,30,13,-,1,-,3,2,7,15,-,1,1,-,1,8,102,27,8,6,26,17,15
"S00135568",155,20,10,33,32,26,37,14,-,-,3,-,3,9,11,-,-,1,3,2,5,134,20,10,29,30,21,24
"S00135569",104,15,15,6,25,27,17,18,-,2,1,7,5,4,19,-,-,2,1,6,10,67,15,12,4,16,16,4
"S00135570",111,10,13,6,16,18,50,10,-,-,-,1,1,11,17,-,4,-,1,5,4,84,10,6,6,15,12,32
"S00135571",106,15,10,9,31,22,16,3,-,1,-,2,1,2,14,-,1,2,4,5,4,83,15,8,11,24,18,10
"S00135572",122,20,14,12,16,25,36,9,-,1,-,-,1,6,17,1,1,-,2,4,9,96,18,12,12,13,20,21
"S00135573",107,25,8,8,21,32,18,3,-,-,2,-,3,1,16,-,-,1,6,4,5,86,20,8,6,16,24,12
"S00135574",99,30,5,12,18,14,23,9,-,-,-,-,2,6,19,2,-,2,3,3,8,71,27,5,7,15,9,8
"S00135575",147,21,16,11,20,39,38,21,-,1,1,1,9,9,17,-,1,2,-,9,6,109,21,14,7,23,19,23
"S00135576",128,17,9,21,21,28,31,11,-,2,-,-,4,5,27,3,4,1,6,2,13,90,14,5,20,16,22,13
"S00135577",129,24,14,37,30,14,4,1,-,-,1,-,-,-,9,1,-,2,1,3,2,119,23,14,38,29,14,2
"S00135578",116,16,9,15,23,28,27,10,-,-,-,3,2,5,21,1,1,1,4,6,6,87,15,8,14,16,20,14
"S00135579",88,12,4,10,22,16,24,6,-,-,-,-,1,5,14,2,-,1,5,4,5,68,11,4,9,19,11,15
"S00135580",140,19,14,21,25,32,32,10,1,-,-,-,2,7,24,-,2,3,2,2,14,106,18,10,18,23,26,13
"S00135581",129,24,12,11,20,27,35,7,-,-,-,1,-,3,10,-,-,1,2,3,6,110,24,12,10,18,24,23
"S00135582",84,7,8,19,18,26,6,4,-,-,-,-,3,1,8,-,2,-,2,3,-,72,6,6,19,16,20,5
"S00135583",139,33,9,31,38,24,2,21,3,4,2,7,8,1,19,3,2,3,4,5,2,98,29,5,26,26,11,-
"S00135584",127,30,4,31,25,24,13,13,2,-,3,2,6,1,24,5,1,5,3,5,3,90,23,3,23,18,17,5
"S00135585",114,32,2,28,31,14,8,4,1,-,1,2,-,-,10,1,-,2,-,2,1,100,30,2,24,27,11,7
"S00135586",119,20,6,9,23,23,35,12,-,-,-,-,-,12,16,-,-,1,1,5,7,91,18,6,11,22,18,16
"S00135587",72,5,2,19,16,21,7,5,-,-,1,-,2,-,15,-,-,3,5,6,-,52,5,2,16,11,14,3
"S00135588",87,5,5,23,7,19,26,8,-,-,1,-,1,7,14,-,-,-,-,4,7,65,5,4,20,7,14,13
"S00135589",85,7,6,10,13,21,22,9,-,1,-,2,-,6,14,-,-,-,-,6,8,61,7,5,10,17,15,7
"S00135590",88,26,3,19,27,9,4,-,1,-,2,-,-,-,4,-,1,-,2,2,-,79,25,2,18,25,8,4
"S00135591",81,13,12,10,14,23,9,5,-,-,-,-,1,3,7,3,-,-,2,2,1,69,15,12,10,11,20,6
"S00135592",116,38,7,37,30,4,-,4,-,2,-,-,1,1,2,2,1,-,1,-,-,111,36,7,37,29,3,1
"S00135593",91,14,11,7,17,28,18,4,-,-,-,-,1,3,11,1,-,-,-,4,5,76,13,11,6,17,23,10
"S00135594",100,15,6,8,22,24,22,3,-,-,1,-,1,1,16,-,-,3,1,5,7,81,15,6,8,21,18,14
"S00135595",150,31,12,17,25,30,35,15,-,1,-,3,14,4,17,3,1,2,3,5,4,114,28,10,16,17,14,27
"S00135596",207,22,18,40,42,14,71,44,-,1,-,-,1,42,24,1,2,2,2,1,16,139,21,14,38,40,12,13
"S00135597",134,21,10,13,19,31,40,29,3,1,1,-,4,20,20,-,-,1,-,7,10,85,17,8,11,18,20,10
"S00135598",91,15,6,19,10,18,29,6,-,-,-,-,-,6,9,1,-,1,1,-,5,77,11,6,16,9,18,19
"S00135599",129,24,15,32,43,10,7,3,-,1,-,-,-,1,13,-,-,4,7,-,-,117,23,12,28,36,9,6
"S00135600",60,1,3,2,5,11,40,20,-,-,-,-,2,18,19,-,-,-,-,2,17,21,1,3,2,5,5,5
"S00135601",141,43,14,27,44,10,1,4,2,-,-,1,2,-,4,2,1,-,1,-,-,131,40,13,27,42,10,1
"S00135602",126,12,26,19,27,19,15,9,-,-,2,2,-,3,15,-,4,2,3,4,4,103,12,31,16,23,16,8
"S00135603",78,13,8,4,10,29,16,2,-,-,-,-,2,-,5,-,-,1,1,1,-,75,13,8,3,9,24,16
"S00135604",84,3,13,28,26,8,3,4,1,-,1,-,-,-,10,1,3,3,-,-,3,70,4,10,24,24,8,-
"S00135605",82,10,6,15,19,25,7,3,-,-,-,2,1,3,8,-,-,-,2,3,2,71,10,6,15,16,19,3
"S00135606",277,61,24,11,55,30,92,59,1,-,-,-,-,58,31,3,-,-,4,1,23,187,57,24,11,55,29,11
"S00135607",1720,10,1493,135,41,20,17,29,-,23,1,1,1,3,216,-,198,11,1,3,1,1471,10,1272,123,37,17,12
"S00135608",98,18,2,14,23,26,15,6,-,-,-,-,1,7,11,-,-,2,2,5,2,82,18,2,12,21,20,9
"S00135609",108,17,6,12,26,14,34,9,-,-,-,2,1,5,20,-,-,3,1,1,11,82,17,4,9,21,12,18
"S00135610",157,6,9,17,15,15,94,46,-,1,-,1,2,42,42,-,-,2,2,5,33,69,6,5,15,12,8,19
"S00135611",90,16,9,13,25,14,14,12,-,-,-,2,2,5,15,1,1,-,4,1,1,66,15,5,11,18,9,5
"S00135612",156,35,19,47,41,10,3,14,1,4,6,3,1,2,15,1,2,5,2,4,2,129,33,12,36,37,10,2
"S00135613",121,36,10,21,49,9,-,2,-,-,-,1,1,-,13,4,-,2,4,-,-,107,36,8,19,41,7,-
"S00135614",111,15,16,5,20,31,22,17,2,1,1,4,5,5,23,2,4,1,3,6,8,71,13,10,3,11,20,9
"S00135615",167,32,24,40,48,18,6,1,-,-,-,-,1,-,13,-,-,5,4,2,1,154,32,24,35,44,14,7
"S00135616",73,12,6,26,20,6,2,2,2,1,-,-,-,-,5,1,-,1,-,-,2,68,10,5,24,19,6,-
"S00135617",108,17,11,12,15,31,22,5,1,2,-,1,-,1,15,-,-,2,2,3,7,88,16,10,11,12,27,12
"S00135618",76,11,4,2,11,20,23,4,-,-,-,-,1,3,9,1,-,-,1,4,3,63,10,4,2,14,15,18
"S00135619",62,10,6,13,10,15,16,3,-,-,1,2,-,-,6,-,1,-,-,3,2,55,10,5,8,10,13,9
"S00135620",131,54,6,36,28,7,1,6,1,-,-,1,-,1,9,3,-,5,1,1,1,112,51,6,31,23,5,-
"S00135621",135,23,9,19,27,26,31,18,-,-,3,5,2,8,24,1,-,1,5,8,8,93,22,8,15,19,17,18
"S00135622",91,11,17,25,19,17,1,-,-,-,-,-,-,-,6,-,1,2,3,2,-,84,11,18,22,17,19,1
"S00135623",129,13,12,19,27,31,27,6,1,-,-,-,3,4,18,-,2,-,5,3,3,103,12,10,19,22,22,19
"S00135624",94,24,5,11,17,19,18,8,-,-,-,4,2,4,8,1,-,-,3,3,-,78,24,5,11,12,14,13
"S00135625",132,39,20,9,34,25,5,-,-,-,-,-,-,-,13,-,3,1,1,6,2,122,39,17,7,32,21,2
"S00135626",66,12,6,22,11,8,4,9,1,-,-,2,4,2,5,-,1,2,1,-,1,49,11,5,20,8,4,1
"S00135627",134,36,11,14,32,26,18,8,-,-,-,2,4,2,11,4,-,2,7,4,4,112,33,11,13,27,18,12
"S00135628",155,19,11,15,35,41,35,17,2,1,2,3,3,7,26,1,-,3,6,5,11,112,16,9,10,26,32,19
"S00135629",168,32,14,52,49,12,13,3,1,-,-,1,-,2,21,1,1,3,6,-,7,145,30,16,49,38,10,7
"S00135630",114,21,9,15,25,20,25,15,1,-,-,3,-,6,21,-,1,1,4,3,9,86,19,8,13,19,17,10
"S00135631",166,49,17,32,42,16,10,20,-,1,2,4,5,8,18,1,4,7,3,-,1,131,48,14,23,33,9,2
"S00135632",167,33,13,23,20,30,49,23,-,1,3,-,4,15,28,2,1,3,-,9,13,116,31,11,16,19,15,28
"S00135633",66,9,6,6,19,9,16,4,-,-,-,1,1,2,5,-,-,-,2,-,3,57,9,6,6,14,10,11
"S00135634",76,2,16,23,21,10,4,6,2,-,-,1,1,1,8,-,2,1,2,1,-,61,2,15,22,18,5,2
"S00135635",120,22,14,39,28,18,4,17,-,2,2,6,2,4,16,3,2,4,4,3,-,87,19,10,26,13,11,-
"S00135636",103,14,8,7,22,23,27,12,2,1,-,1,1,7,16,-,2,-,-,7,7,75,12,7,7,21,15,13
"S00135637",129,31,6,19,28,21,24,11,1,2,-,-,3,6,18,2,1,2,3,5,7,100,28,4,17,25,15,11
"S00135638",77,3,16,9,4,8,32,9,-,-,-,-,1,8,13,-,1,-,1,2,11,55,3,15,11,3,9,15
"S00135639",71,12,5,13,23,16,4,5,-,-,2,1,3,-,5,-,-,2,4,-,-,61,12,5,10,20,12,4
"S00135640",127,13,6,16,23,32,38,17,1,-,1,4,6,7,26,-,2,1,4,3,12,84,12,7,14,17,19,17
"S00135641",93,27,2,12,9,12,27,13,1,-,-,-,2,7,18,3,-,2,2,2,9,62,23,2,10,10,5,9
"S00135642",186,57,18,24,64,16,6,16,3,-,2,5,3,3,17,3,2,2,8,3,2,153,53,17,25,51,10,1
"S00135643",95,21,6,12,18,12,34,11,1,-,-,1,1,7,13,2,1,-,4,5,5,71,18,5,10,12,8,18
"S00135644",74,4,3,7,19,8,32,4,-,-,-,-,-,2,16,-,-,1,2,1,7,57,4,-,6,17,7,21
"S00135645",82,9,3,11,10,23,29,24,-,2,1,3,6,9,15,1,-,-,-,3,12,47,8,2,10,7,15,5
"S00135646",73,6,3,5,8,18,33,17,-,-,1,-,4,12,11,1,-,-,2,3,4,45,4,3,7,3,9,18
"S00135647",151,23,11,16,31,35,38,23,-,-,-,2,7,14,17,2,-,-,2,5,8,111,21,11,16,24,25,16
"S00135648",117,31,9,8,48,22,3,11,1,-,1,6,2,-,9,1,-,1,5,2,1,97,29,9,6,37,14,2
"S00135649",90,27,3,19,26,10,6,5,-,-,-,-,4,2,7,2,-,2,2,2,1,78,26,3,17,25,4,3
"S00135650",110,17,13,10,27,19,24,15,-,-,4,-,5,9,18,2,2,-,4,4,6,77,15,10,3,23,10,12
"S00135651",115,12,10,12,21,35,25,10,-,-,-,1,4,5,19,2,2,1,1,8,7,86,11,11,11,19,23,10
"S00135652",87,6,1,13,18,21,26,9,-,1,-,2,3,3,21,-,-,2,4,5,10,57,6,-,11,14,9,17
"S00135653",87,29,9,15,22,4,4,6,2,-,-,4,2,-,10,6,-,1,-,2,4,69,23,9,19,15,3,-
"S00135654",73,15,6,13,20,16,2,11,-,-,3,5,2,-,6,1,-,-,4,4,-,55,14,6,11,11,11,2
"S00135655",105,14,5,18,28,16,21,5,-,-,-,-,1,4,15,-,-,1,4,7,3,89,14,5,17,24,11,14
"S00135656",105,24,4,21,33,18,5,9,-,1,1,5,2,-,15,2,-,-,8,1,3,81,22,3,19,17,15,2
"S00135657",121,28,12,13,21,34,8,25,1,-,1,5,11,7,13,1,2,-,-,10,-,81,26,10,12,17,15,1
"S00135658",90,18,12,15,12,17,9,4,-,1,1,-,1,4,11,1,2,3,-,2,2,70,17,12,11,11,14,5
"S00135659",135,29,12,17,34,31,9,12,1,1,1,-,5,1,8,1,-,2,1,3,1,118,30,11,14,33,23,7
"S00135660",112,21,8,10,40,23,7,12,-,-,1,3,3,5,13,2,1,1,7,1,1,87,20,7,11,31,19,-
"S00135661",66,12,3,11,12,11,17,6,-,-,-,-,4,2,13,-,2,-,-,1,8,50,12,2,11,12,6,7
"S00135662",119,19,7,23,29,29,16,9,-,-,-,2,2,5,9,-,-,-,3,2,4,101,19,7,23,20,25,7
"S00135663",115,25,4,18,18,16,33,11,1,-,-,-,4,6,16,2,-,1,1,4,9,88,23,4,16,20,10,18
"S00135664",174,39,14,30,55,28,11,18,2,-,4,5,6,1,26,1,3,8,8,4,1,131,35,13,19,40,18,7
"S00135665",102,2,4,6,23,24,41,27,-,2,3,5,6,14,37,1,-,-,7,9,20,35,3,2,3,11,9,7
"S00135666",87,19,1,9,12,7,36,17,2,-,-,2,-,13,12,-,-,2,2,1,9,58,19,1,8,12,6,14
"S00135667",165,42,12,21,33,40,16,16,-,1,-,3,7,4,24,3,2,6,5,7,1,124,38,6,15,25,26,11
"S00135668",138,31,22,23,25,27,10,17,2,3,-,2,6,2,13,1,2,-,1,6,2,108,28,13,21,20,15,4
"S00135669",137,24,14,15,38,27,23,19,1,-,-,4,12,4,20,-,3,2,1,4,11,98,26,11,14,30,13,8
"S00135670",157,30,16,49,43,10,9,12,-,-,4,7,3,1,17,-,4,4,5,-,3,128,30,11,41,34,7,5
"S00135671",85,11,3,13,10,21,26,3,-,-,1,-,2,2,13,-,1,-,3,4,7,65,9,2,11,8,17,18
"S00135672",103,9,14,21,32,13,14,8,-,-,-,3,3,4,16,1,1,-,3,2,6,79,8,11,19,26,8,6
"S00135673",87,19,6,2,15,14,27,13,-,-,-,1,5,7,11,3,-,-,2,3,2,61,15,5,2,13,6,17
"S00135674",96,13,3,19,20,15,28,5,-,-,-,-,1,4,18,1,-,2,4,2,9,73,12,3,17,20,12,13
"S00135675",144,35,14,22,26,30,15,16,5,4,2,3,3,2,25,5,2,4,2,7,6,103,26,12,16,23,20,7
"S00135676",73,2,6,12,26,13,18,12,-,-,1,2,4,5,16,-,2,4,5,-,1,45,2,4,7,15,7,10
"S00135677",76,18,13,12,20,16,2,11,-,2,2,1,5,2,7,-,-,3,1,2,1,58,18,8,7,15,9,1
"S00135678",104,16,8,17,28,22,13,8,-,-,-,-,2,3,13,-,-,-,1,5,4,86,16,8,16,22,15,7
"S00135679",77,5,10,10,15,22,19,7,-,-,2,2,1,2,6,-,1,-,3,3,4,60,5,9,5,10,19,9
"S00135680",114,26,9,11,22,26,20,8,1,-,-,1,1,5,12,-,-,4,-,6,4,94,22,9,7,21,22,11
"S00135681",120,22,15,24,29,22,11,7,-,-,1,-,2,3,22,-,2,3,3,4,5,94,20,13,20,26,12,3
"S00135682",87,14,4,9,21,15,18,10,-,-,-,1,4,3,9,-,-,-,1,3,2,71,14,4,9,19,12,9
"S00135683",101,18,9,20,22,18,14,15,-,1,1,5,4,2,15,-,1,-,3,4,6,75,18,7,18,16,10,6
"S00135684",70,-,11,10,21,17,12,18,-,-,2,5,7,4,17,-,3,1,3,4,4,35,-,6,7,12,6,4
"S00135685",152,40,4,21,29,28,26,11,-,-,1,-,3,7,15,4,1,1,2,1,4,123,36,2,19,27,23,15
"S00135686",103,-,-,3,-,19,77,35,-,-,-,-,11,24,33,-,-,-,-,3,30,35,-,-,3,-,7,23
"S00135687",119,18,14,20,34,27,6,9,-,2,-,4,4,-,20,-,-,3,6,8,2,90,18,12,14,24,15,4
"S00135688",121,15,13,9,24,22,39,33,-,-,-,10,13,10,13,-,-,-,-,1,10,79,15,13,9,12,11,19
"S00135689",97,23,13,8,30,15,7,11,1,3,-,1,3,5,12,-,5,-,2,2,3,74,23,7,7,27,10,-
"S00135690",120,11,11,16,38,27,20,25,-,-,1,7,11,8,19,-,1,4,6,2,7,76,11,10,11,25,14,5
"S00135691",120,19,14,17,31,25,11,9,-,-,-,3,3,5,12,-,1,-,4,6,4,99,19,12,16,26,18,4
"S00135692",72,8,9,23,10,14,8,7,1,-,-,4,2,1,8,-,1,4,-,1,3,54,7,8,20,7,11,4
"S00135693",108,25,6,22,25,22,8,6,1,-,-,-,2,3,17,1,-,1,7,5,2,85,23,4,19,21,15,5
