Scotland's Census 2022 - National Records of Scotland
Table UV301 - Provision of unpaid care
All people aged 3 and over
,"All people aged 3 and over","No","All unpaid carers","Yes, 1 to 19 hours a week","Yes, 20 to 34 hours a week","Yes, 35 to 49 hours a week","Yes, 50 or more hours a week"
"S00138394",130,112,19,12,2,-,4
"S00138395",142,134,8,4,-,1,2
"S00138396",100,84,16,13,1,-,2
"S00138397",88,77,7,7,-,-,4
"S00138398",121,112,9,7,-,-,2
"S00138399",87,76,11,8,2,1,-
"S00138400",126,115,7,9,-,-,2
"S00138401",80,72,8,6,-,-,-
"S00138402",126,114,12,6,1,-,2
"S00138403",144,140,4,3,-,-,-
"S00138404",96,95,1,-,1,-,-
"S00138405",130,121,8,6,2,-,2
"S00138406",145,124,21,12,2,4,5
"S00138407",99,92,7,4,2,1,-
"S00138408",143,130,14,14,-,-,-
"S00138409",103,93,7,4,3,-,1
"S00138410",65,57,8,4,2,-,3
"S00138411",84,74,13,6,4,-,2
"S00138412",102,93,8,6,2,-,2
"S00138413",63,58,5,3,-,-,4
"S00138414",100,86,10,4,-,1,4
"S00138415",88,75,12,9,-,2,2
"S00138416",98,87,11,9,1,2,-
"S00138417",144,130,11,6,2,1,6
"S00138418",102,88,13,15,-,-,2
"S00138419",71,63,6,5,-,-,1
"S00138420",93,91,1,1,-,-,-
"S00138421",137,116,17,15,1,1,3
"S00138422",101,86,15,12,1,-,2
"S00138423",108,94,11,9,-,1,1
"S00138424",110,98,12,10,1,2,2
"S00138425",61,57,4,4,-,-,-
"S00138426",78,75,3,1,-,1,1
"S00138427",101,92,6,2,1,2,2
"S00138428",112,104,9,9,-,-,-
"S00138429",97,96,1,1,-,-,-
"S00138430",165,150,15,14,-,-,1
"S00138431",90,79,11,7,2,3,1
"S00138432",117,99,15,10,-,-,5
"S00138433",118,98,19,13,3,1,3
"S00138434",133,123,10,8,-,-,2
"S00138435",176,156,20,13,-,-,5
"S00138436",138,120,21,10,2,3,3
"S00138437",116,107,9,6,1,2,-
"S00138438",100,91,8,3,3,1,1
"S00138439",79,70,9,5,-,-,2
"S00138440",72,66,6,4,-,-,-
"S00138441",95,85,7,5,-,2,-
"S00138442",158,145,10,4,4,-,6
"S00138443",76,66,13,5,1,3,1
"S00138444",114,101,13,8,3,-,2
"S00138445",151,137,14,9,-,-,5
"S00138446",88,81,5,3,1,1,1
"S00138447",146,134,16,10,2,1,3
"S00138448",147,132,19,15,-,4,4
"S00138449",143,125,18,11,2,1,5
"S00138450",67,64,3,3,-,-,-
"S00138451",108,95,11,9,-,-,1
"S00138452",113,102,14,8,1,2,4
"S00138453",69,67,2,2,-,-,-
"S00138454",116,107,6,7,1,-,1
"S00138455",137,130,5,3,-,-,2
"S00138456",122,119,7,1,2,-,4
"S00138457",69,63,6,1,3,-,4
"S00138458",141,117,24,11,-,3,8
"S00138459",162,149,17,10,2,-,1
"S00138460",119,108,11,7,-,1,3
"S00138461",79,68,4,4,-,-,-
"S00138462",66,62,7,3,-,-,2
"S00138463",160,142,14,12,-,-,6
"S00138464",61,56,5,3,2,-,1
"S00138465",151,134,18,8,2,1,5
"S00138466",121,113,8,3,-,2,3
"S00138467",98,86,8,3,-,-,3
"S00138468",74,70,4,3,-,-,1
"S00138469",125,113,12,8,1,1,2
"S00138470",168,150,15,12,1,2,4
"S00138471",61,52,9,6,-,1,2
"S00138472",64,59,6,5,-,-,2
"S00138473",159,143,13,11,1,2,2
"S00138474",89,74,15,6,1,4,4
"S00138475",87,73,18,11,3,-,2
"S00138476",108,99,8,1,-,-,8
"S00138477",83,78,6,3,2,-,1
"S00138478",113,104,9,8,-,-,1
"S00138479",131,119,12,7,-,1,3
"S00138480",143,128,15,12,-,-,2
"S00138481",149,137,12,8,-,1,4
"S00138482",121,102,15,4,2,-,9
"S00138483",59,45,11,9,-,-,-
"S00138484",82,69,13,8,4,-,3
"S00138485",158,143,10,8,-,1,5
"S00138486",84,73,11,10,-,-,-
"S00138487",121,111,11,9,-,-,-
"S00138488",121,110,11,10,-,-,-
"S00138489",116,113,7,4,-,1,4
"S00138490",169,156,14,6,1,3,1
"S00138491",118,104,11,7,1,3,3
"S00138492",124,106,19,7,2,-,6
"S00138493",145,129,14,10,2,1,3
"S00138494",108,96,16,8,-,2,2
"S00138495",76,74,5,4,-,-,1
"S00138496",118,112,6,6,-,-,-
"S00138497",152,137,15,6,1,-,7
"S00138498",153,146,8,5,3,-,-
"S00138499",197,165,32,18,11,2,3
"S00138500",138,124,10,5,2,4,4
"S00138501",76,71,7,4,-,1,-
"S00138502",122,109,13,5,2,3,4
"S00138503",115,104,11,3,-,3,3
"S00138504",147,122,25,20,-,-,4
"S00138505",146,125,19,20,-,-,1
"S00138506",170,156,14,9,1,1,3
"S00138507",83,76,7,6,1,-,-
"S00138508",91,83,8,2,-,-,4
"S00138509",133,119,14,10,-,2,3
"S00138510",191,182,13,9,-,1,3
"S00138511",181,169,16,11,1,-,-
"S00138512",84,72,12,6,3,-,1
"S00138513",186,181,8,5,1,-,3
"S00138514",111,99,12,8,1,2,2
"S00138515",164,134,24,20,2,2,5
"S00138516",102,91,11,10,1,-,-
"S00138517",153,138,14,10,-,1,4
"S00138518",84,75,9,7,1,-,3
"S00138519",141,120,23,17,-,-,2
"S00138520",137,121,14,13,-,-,2
"S00138521",79,73,6,2,1,2,2
"S00138522",92,81,11,6,-,-,4
"S00138523",81,69,9,4,-,-,5
"S00138524",67,62,2,5,2,-,-
"S00138525",92,75,18,12,1,2,2
"S00138526",109,105,2,2,-,-,-
"S00138527",89,81,6,7,1,-,2
"S00138528",119,110,9,8,-,-,1
"S00138529",145,136,9,9,-,-,-
"S00138530",78,71,7,3,-,-,4
"S00138531",74,64,10,6,3,-,1
"S00138532",139,123,14,12,1,1,-
"S00138533",131,118,15,9,-,-,5
"S00138534",128,113,14,12,-,-,2
"S00138535",164,152,12,6,1,-,3
"S00138536",151,148,6,5,1,-,-
"S00138537",113,99,14,9,1,-,6
"S00138538",157,140,19,11,2,-,6
"S00138539",169,146,22,11,-,5,3
"S00138540",168,157,16,10,4,-,3
"S00138541",163,144,19,10,4,2,3
"S00138542",96,82,14,8,-,2,4
"S00138543",95,81,13,8,1,-,4
"S00138544",139,132,7,6,-,1,-
"S00138545",117,103,14,13,-,-,2
"S00138546",163,141,24,18,4,2,1
"S00138547",178,172,10,7,-,1,2
"S00138548",105,96,9,5,-,-,4
"S00138549",109,93,16,13,2,1,-
"S00138550",119,106,9,9,-,-,-
"S00138551",118,98,20,10,-,-,4
"S00138552",134,129,7,3,2,-,-
"S00138553",121,104,17,11,3,-,3
"S00138554",96,87,8,5,-,1,4
"S00138555",68,55,12,6,-,-,5
"S00138556",168,149,19,14,1,2,1
"S00138557",135,118,17,12,1,-,4
"S00138558",100,85,15,6,1,1,6
"S00138559",158,147,11,5,1,3,4
"S00138560",190,167,23,17,2,-,5
"S00138561",159,141,18,9,3,-,4
"S00138562",148,135,13,9,2,-,2
"S00138563",127,118,9,6,-,1,2
"S00138564",167,151,16,12,2,1,2
"S00138565",70,65,5,2,4,-,1
"S00138566",78,70,9,7,-,1,-
"S00138567",170,155,15,11,-,-,4
"S00138568",66,62,4,2,1,-,-
"S00138569",164,145,18,12,2,-,4
"S00138570",217,204,17,10,4,2,2
"S00138571",162,149,13,7,-,1,5
"S00138572",180,159,18,16,-,1,3
"S00138573",156,141,15,7,1,2,6
"S00138574",162,146,16,10,2,1,2
"S00138575",133,108,21,14,3,-,4
"S00138576",135,111,20,12,1,8,2
"S00138577",75,69,6,6,-,-,-
"S00138578",141,130,11,9,2,-,-
"S00138579",194,175,19,15,-,-,4
"S00138580",127,113,7,8,2,-,-
"S00138581",92,81,12,8,2,-,2
"S00138582",84,75,9,4,1,4,2
"S00138583",132,128,4,2,-,2,-
"S00138584",170,153,17,11,1,2,5
"S00138585",107,99,8,2,1,-,5
"S00138586",99,89,10,8,-,1,1
"S00138587",107,96,11,5,1,-,3
"S00138588",115,100,16,7,3,1,3
"S00138589",164,147,17,8,-,-,10
"S00138590",135,123,16,14,-,1,-
"S00138591",110,95,11,7,1,-,3
"S00138592",71,68,6,1,1,-,4
"S00138593",163,157,6,5,-,-,1
"S00138594",149,137,12,7,5,-,2
"S00138595",129,122,7,7,-,-,-
"S00138596",95,84,11,5,2,2,2
"S00138597",153,140,9,8,2,-,3
"S00138598",69,64,5,2,-,1,2
"S00138599",113,104,9,9,1,-,1
"S00138600",122,115,7,4,-,2,2
"S00138601",126,112,16,9,-,2,1
"S00138602",108,91,14,10,4,1,5
"S00138603",83,74,9,5,-,2,-
"S00138604",134,125,8,7,1,-,-
"S00138605",187,182,5,5,-,-,-
"S00138606",102,94,12,6,-,-,5
"S00138607",60,56,4,4,-,-,-
"S00138608",87,77,10,4,-,-,6
"S00138609",110,104,6,3,-,-,3
"S00138610",127,111,15,14,-,-,1
"S00138611",96,89,9,4,1,-,2
"S00138612",78,68,10,4,4,1,1
"S00138613",140,130,10,2,2,-,6
"S00138614",173,166,7,5,2,-,4
"S00138615",139,130,9,5,-,3,3
"S00138616",87,71,20,10,-,3,1
"S00138617",164,159,5,5,-,-,-
"S00138618",84,75,12,5,2,-,1
"S00138619",129,117,12,12,-,-,-
"S00138620",110,105,5,5,-,-,-
"S00138621",71,70,4,2,-,-,-
"S00138622",144,126,18,10,2,-,5
"S00138623",115,104,5,6,-,-,1
"S00138624",76,68,6,7,1,-,-
"S00138625",151,128,22,11,4,-,5
"S00138626",96,92,4,4,-,-,-
"S00138627",79,72,7,-,-,3,2
"S00138628",69,63,6,1,2,3,1
"S00138629",104,94,4,2,-,-,4
"S00138630",95,87,8,4,1,-,4
"S00138631",157,147,10,8,2,-,-
"S00138632",142,131,9,6,-,-,2
"S00138633",72,67,6,4,-,-,2
"S00138634",113,104,12,6,-,1,5
"S00138635",107,96,15,13,-,1,-
"S00138636",111,102,9,8,2,-,2
"S00138637",76,57,17,7,3,2,8
"S00138638",137,127,10,10,-,-,-
"S00138639",130,118,12,8,-,1,5
"S00138640",88,80,8,2,-,1,5
"S00138641",148,134,17,8,3,2,4
"S00138642",94,83,11,8,-,2,2
"S00138643",106,94,13,7,-,1,4
"S00138644",79,73,6,5,-,-,2
"S00138645",154,137,21,8,-,4,9
"S00138646",129,125,4,2,-,2,2
"S00138647",157,143,14,7,3,1,3
"S00138648",112,100,12,7,3,1,1
"S00138649",120,107,13,8,-,1,1
"S00138650",169,156,13,9,-,-,4
"S00138651",93,77,16,11,2,1,3
"S00138652",126,112,14,10,1,1,4
"S00138653",140,123,12,7,-,2,3
"S00138654",155,136,19,13,-,3,3
"S00138655",121,110,11,3,-,-,5
"S00138656",139,125,12,8,-,1,2
"S00138657",242,216,26,14,5,2,3
"S00138658",71,61,8,8,-,-,-
"S00138659",127,112,15,11,1,-,5
"S00138660",117,103,14,8,-,-,6
"S00138661",111,100,10,2,-,1,4
"S00138662",143,129,14,9,2,1,-
"S00138663",121,116,6,1,2,-,5
"S00138664",128,116,14,7,4,-,3
"S00138665",178,173,10,10,-,-,-
"S00138666",62,54,8,3,-,4,-
"S00138667",103,97,6,6,-,-,-
"S00138668",166,155,11,6,1,-,4
"S00138669",148,131,18,9,-,5,2
"S00138670",172,161,11,7,-,2,3
"S00138671",80,71,9,6,-,-,3
"S00138672",164,147,17,8,3,-,9
"S00138673",159,149,8,8,-,-,-
"S00138674",107,97,10,6,3,1,-
"S00138675",77,66,12,10,1,-,1
"S00138676",104,86,18,7,-,2,7
"S00138677",174,166,8,5,1,1,1
"S00138678",109,95,15,11,2,-,2
"S00138679",260,243,17,13,2,-,1
"S00138680",104,96,11,5,2,3,-
"S00138681",127,124,3,3,-,-,-
"S00138682",104,97,4,3,-,-,3
"S00138683",89,78,11,8,-,-,4
"S00138684",108,97,11,7,1,1,2
"S00138685",81,69,12,6,2,-,4
"S00138686",130,119,11,3,2,1,5
"S00138687",103,95,8,5,1,-,1
"S00138688",128,114,13,9,1,1,3
"S00138689",163,150,13,10,2,1,-
"S00138690",117,92,25,17,2,3,3
"S00138691",93,86,7,7,-,-,-
"S00138692",87,75,9,5,1,-,3
"S00138693",135,120,11,15,1,-,1
"S00138694",127,112,15,8,1,-,6
"S00138695",117,103,14,11,-,-,2
"S00138696",109,99,10,6,-,1,2
"S00138697",178,155,23,13,6,2,1
"S00138698",163,160,5,3,-,2,-
"S00138699",107,99,8,4,-,1,3
"S00138700",117,109,8,3,1,-,4
"S00138701",132,121,15,11,-,4,1
"S00138702",246,236,6,3,-,1,4
"S00138703",146,135,12,9,1,-,2
"S00138704",201,193,8,7,-,-,1
"S00138705",196,179,17,12,4,1,1
"S00138706",119,105,14,7,1,3,1
"S00138707",131,124,7,6,-,1,-
"S00138708",143,136,7,4,-,2,1
"S00138709",116,106,13,10,-,-,3
"S00138710",170,162,8,4,1,3,-
"S00138711",138,133,5,3,1,2,-
"S00138712",113,97,13,10,1,1,2
"S00138713",115,101,14,12,1,1,-
"S00138714",137,123,14,9,1,-,6
"S00138715",162,147,12,12,-,2,1
"S00138716",134,118,13,8,2,-,4
"S00138717",123,113,10,2,1,2,5
"S00138718",137,118,22,11,2,6,3
"S00138719",114,105,8,8,-,1,4
"S00138720",76,71,5,3,-,-,1
"S00138721",98,96,6,3,2,-,1
"S00138722",141,128,13,9,4,-,-
"S00138723",147,132,13,10,1,-,3
"S00138724",104,96,8,6,-,-,2
"S00138725",130,111,19,14,2,-,3
"S00138726",174,160,14,10,1,1,2
"S00138727",200,179,23,18,-,1,4
"S00138728",188,177,12,7,3,1,-
"S00138729",88,81,7,4,-,-,-
"S00138730",103,96,7,6,-,-,-
"S00138731",78,71,7,3,1,-,3
"S00138732",126,103,20,12,-,2,1
"S00138733",71,67,4,4,-,-,-
"S00138734",101,89,12,5,-,1,6
"S00138735",116,100,20,13,2,1,4
"S00138736",121,100,14,11,2,-,-
"S00138737",128,110,18,12,-,-,7
"S00138738",107,98,7,4,1,-,1
"S00138739",216,199,17,13,-,-,7
"S00138740",83,77,6,1,2,-,-
"S00138741",161,149,12,10,-,1,1
"S00138742",128,116,12,7,-,-,-
"S00138743",143,113,30,28,-,-,1
"S00138744",165,140,25,19,2,3,1
"S00138745",110,93,17,9,4,4,-
"S00138746",136,128,11,6,2,1,3
"S00138747",221,200,22,13,2,-,4
"S00138748",179,170,9,6,1,-,2
"S00138749",161,140,20,12,-,2,7
"S00138750",135,114,21,14,-,1,5
"S00138751",213,185,28,24,4,2,1
"S00138752",174,161,13,11,-,-,2
"S00138753",95,91,4,4,-,-,2
"S00138754",224,212,16,12,-,1,3
"S00138755",138,123,15,13,-,-,4
"S00138756",144,141,5,5,-,-,-
"S00138757",185,178,5,2,-,-,2
"S00138758",102,91,11,8,1,-,1
"S00138759",81,71,8,7,-,-,1
"S00138760",173,154,19,15,-,-,1
"S00138761",100,95,5,3,1,1,-
"S00138762",100,90,13,12,1,-,-
"S00138763",159,143,15,9,2,-,3
"S00138764",136,127,10,6,-,-,1
"S00138765",134,121,13,9,2,-,2
"S00138766",116,107,9,7,1,-,-
"S00138767",226,202,24,20,4,-,-
"S00138768",93,89,6,4,1,-,2
"S00138769",144,136,5,4,1,-,2
"S00138770",166,144,16,14,1,3,-
"S00138771",125,112,13,12,1,-,-
"S00138772",98,77,22,11,-,3,5
"S00138773",82,76,6,3,-,1,-
"S00138774",86,79,8,2,1,4,1
"S00138775",118,111,7,4,4,-,1
"S00138776",155,137,18,14,-,1,5
"S00138777",131,114,17,11,1,-,2
"S00138778",163,157,11,6,-,-,-
"S00138779",87,73,14,9,-,-,5
"S00138780",142,125,15,14,2,1,-
"S00138781",103,94,9,5,-,-,3
"S00138782",100,77,19,11,2,2,4
"S00138783",107,96,9,7,2,-,4
"S00138784",85,82,3,1,-,2,1
"S00138785",95,82,13,10,-,2,2
"S00138786",115,104,11,7,1,-,4
"S00138787",158,139,18,9,2,-,7
"S00138788",75,70,7,5,-,-,4
"S00138789",74,70,6,3,2,1,-
"S00138790",134,113,21,18,2,-,3
"S00138791",116,103,13,13,-,1,1
"S00138792",190,163,27,7,6,6,7
"S00138793",156,148,8,3,-,-,1
"S00138794",129,115,14,12,-,-,2
"S00138795",105,99,6,6,1,-,-
"S00138796",182,159,24,18,2,-,2
"S00138797",158,142,16,13,-,1,2
"S00138798",216,193,21,21,2,-,3
"S00138799",126,104,22,17,1,1,3
"S00138800",129,115,14,13,-,-,4
"S00138801",131,122,10,10,-,-,-
"S00138802",158,134,24,13,1,3,7
"S00138803",176,158,18,8,1,-,6
"S00138804",129,117,11,8,-,-,3
"S00138805",206,189,17,8,-,1,4
"S00138806",151,140,11,7,2,-,2
"S00138807",71,60,8,6,-,1,1
"S00138808",114,107,5,5,-,-,3
"S00138809",133,118,13,7,2,-,5
"S00138810",146,135,11,11,-,-,-
"S00138811",68,53,15,12,-,-,2
"S00138812",143,136,10,6,2,2,3
"S00138813",129,124,9,7,-,-,1
"S00138814",94,88,4,5,-,-,1
"S00138815",87,80,7,4,1,2,2
"S00138816",138,118,22,16,3,1,-
"S00138817",158,142,15,13,-,-,7
"S00138818",128,113,15,7,3,4,1
"S00138819",164,145,18,12,1,3,2
"S00138820",63,55,8,3,6,1,-
"S00138821",79,72,7,5,-,-,-
"S00138822",82,77,5,3,-,-,1
"S00138823",103,93,10,10,-,-,-
"S00138824",110,98,8,8,-,-,2
"S00138825",91,83,10,7,-,-,1
"S00138826",206,178,29,22,-,3,2
"S00138827",152,141,11,7,-,-,3
"S00138828",147,126,21,17,1,-,3
"S00138829",111,101,13,9,1,-,3
"S00138830",174,156,17,11,1,-,4
"S00138831",173,158,15,8,2,2,2
"S00138832",92,89,3,2,1,-,1
"S00138833",174,164,10,9,-,-,-
"S00138834",61,57,4,3,-,-,-
"S00138835",77,69,3,4,-,-,2
"S00138836",208,190,18,14,-,-,3
"S00138837",110,88,22,16,1,1,4
"S00138838",151,136,18,9,-,-,6
"S00138839",111,101,10,5,-,3,2
"S00138840",121,115,6,6,-,-,-
"S00138841",149,135,18,11,1,1,-
"S00138842",127,122,5,1,-,2,-
"S00138843",134,119,15,10,3,-,2
"S00138844",158,134,24,12,2,-,7
"S00138845",116,98,18,13,-,3,2
"S00138846",162,144,18,13,3,-,4
"S00138847",68,59,9,6,1,1,1
"S00138848",67,64,3,2,-,-,1
"S00138849",79,68,11,6,-,2,4
"S00138850",88,73,15,8,-,2,2
"S00138851",184,168,19,13,-,-,4
"S00138852",151,135,12,11,-,-,-
"S00138853",99,91,9,5,1,-,2
"S00138854",111,97,17,12,-,-,2
"S00138855",140,125,12,5,4,-,4
"S00138856",175,158,17,12,3,-,5
"S00138857",86,79,7,1,2,1,3
"S00138858",155,137,15,12,1,-,2
"S00138859",127,116,11,6,-,3,3
"S00138860",101,92,5,5,-,-,-
"S00138861",147,131,16,8,-,1,1
"S00138862",230,203,25,18,4,1,2
"S00138863",117,96,21,15,1,-,4
"S00138864",104,94,10,5,2,-,3
"S00138865",96,94,1,1,-,-,-
"S00138866",97,85,12,10,-,-,1
"S00138867",182,168,11,8,-,-,1
"S00138868",94,76,10,7,2,-,-
"S00138869",109,97,12,10,1,-,1
"S00138870",129,115,14,13,-,-,2
"S00138871",89,77,12,9,2,1,-
"S00138872",201,188,17,15,1,-,3
"S00138873",123,115,8,7,-,-,1
"S00138874",150,127,23,14,-,2,8
"S00138875",111,97,14,11,3,-,1
"S00138876",185,170,15,10,2,-,1
"S00138877",100,93,7,5,-,-,2
"S00138878",82,68,14,12,-,1,1
"S00138879",81,69,8,4,-,2,2
"S00138880",92,82,10,6,4,-,5
"S00138881",100,95,5,1,1,-,2
"S00138882",76,69,7,2,1,-,2
"S00138883",78,70,9,9,-,-,-
"S00138884",119,106,10,8,-,-,2
"S00138885",129,108,21,17,1,-,3
"S00138886",81,71,12,5,-,2,3
"S00138887",179,167,12,10,-,-,-
"S00138888",96,85,12,9,2,1,-
"S00138889",105,96,7,4,1,1,-
"S00138890",71,61,10,6,-,1,2
"S00138891",85,85,-,-,-,-,-
"S00138892",70,62,6,2,-,2,-
"S00138893",113,101,13,11,1,1,-
"S00138894",132,114,16,19,-,-,2
"S00138895",88,78,7,5,-,-,3
"S00138896",72,66,6,4,-,2,1
"S00138897",205,196,6,8,1,-,-
"S00138898",159,142,17,12,3,-,3
"S00138899",66,57,9,7,1,-,1
"S00138900",137,126,8,5,1,-,2
"S00138901",131,118,13,10,-,-,-
"S00138902",154,133,21,13,-,1,3
"S00138903",157,139,14,9,1,-,4
"S00138904",100,89,11,7,1,-,-
"S00138905",187,179,9,9,-,-,-
"S00138906",124,111,13,10,1,-,2
"S00138907",152,143,9,6,1,-,-
"S00138908",129,118,11,10,-,-,1
"S00138909",156,127,21,15,4,2,3
"S00138910",155,141,14,9,2,1,4
"S00138911",101,86,15,10,2,-,3
"S00138912",99,93,7,7,1,-,1
"S00138913",102,90,10,7,1,-,1
"S00138914",181,151,27,26,2,-,2
"S00138915",205,187,22,16,2,-,5
"S00138916",93,87,6,3,-,2,1
"S00138917",83,73,10,11,-,-,-
"S00138918",140,119,21,10,-,1,6
"S00138919",148,134,14,10,2,4,-
"S00138920",71,60,11,3,-,4,4
"S00138921",154,131,23,14,2,-,8
"S00138922",125,116,9,5,2,1,-
"S00138923",78,75,7,5,-,-,1
"S00138924",165,146,15,14,2,2,1
"S00138925",105,86,18,16,-,-,-
"S00138926",69,58,11,8,-,1,1
"S00138927",88,85,4,3,-,-,1
"S00138928",116,96,22,17,3,-,4
"S00138929",86,81,4,4,-,-,-
"S00138930",131,118,13,8,2,1,3
"S00138931",75,67,8,6,1,-,1
"S00138932",158,138,20,14,2,1,4
"S00138933",73,68,5,-,2,-,2
"S00138934",67,59,8,4,1,-,2
"S00138935",114,100,13,9,-,1,3
"S00138936",72,68,5,3,1,-,1
"S00138937",140,122,19,16,-,-,3
"S00138938",99,91,8,7,1,-,-
"S00138939",115,104,11,10,-,1,-
"S00138940",192,172,21,14,-,-,7
"S00138941",138,128,10,7,-,1,-
"S00138942",116,106,11,5,-,1,3
"S00138943",146,133,13,5,2,-,5
"S00138944",61,55,6,2,-,1,2
"S00138945",117,99,18,12,1,1,4
"S00138946",84,76,11,5,-,-,1
"S00138947",120,110,10,7,1,1,-
"S00138948",105,92,13,10,3,-,-
"S00138949",212,195,17,11,1,-,4
"S00138950",78,66,12,5,3,-,4
"S00138951",255,241,14,12,-,1,1
"S00138952",127,114,9,7,-,-,2
"S00138953",141,131,10,7,-,-,3
"S00138954",149,139,12,8,-,6,-
"S00138955",153,145,8,3,-,3,3
"S00138956",190,175,15,10,3,1,3
"S00138957",149,135,14,9,2,1,1
"S00138958",133,120,13,9,1,-,3
"S00138959",164,160,4,-,2,1,-
"S00138960",78,69,9,5,-,-,4
"S00138961",181,155,23,20,-,1,4
"S00138962",106,96,12,4,1,2,2
"S00138963",110,92,20,20,1,-,1
"S00138964",217,205,12,8,1,1,2
"S00138965",135,119,19,15,1,-,-
"S00138966",146,128,10,8,4,1,4
"S00138967",179,170,9,3,2,-,3
"S00138968",99,86,13,4,2,4,5
"S00138969",188,173,15,6,-,1,5
"S00138970",194,191,3,3,-,-,-
"S00138971",192,169,23,17,2,2,2
"S00138972",83,76,7,-,3,2,1
"S00138973",167,158,7,6,1,-,2
"S00138974",147,131,16,15,1,1,-
"S00138975",193,177,17,11,1,2,3
"S00138976",107,93,12,10,-,3,1
"S00138977",120,110,10,5,1,-,4
"S00138978",163,148,15,10,-,-,4
"S00138979",76,68,8,7,-,-,1
"S00138980",175,158,17,12,5,-,2
"S00138981",167,150,17,11,3,-,2
"S00138982",116,111,7,5,-,-,2
"S00138983",130,116,13,9,1,-,2
"S00138984",118,105,9,8,-,-,-
"S00138985",67,63,7,6,-,1,-
"S00138986",134,128,6,3,-,1,2
"S00138987",136,112,20,7,4,2,9
"S00138988",126,115,11,8,1,2,-
"S00138989",118,111,7,4,-,-,3
"S00138990",105,94,10,7,-,-,3
"S00138991",172,157,17,10,1,-,6
"S00138992",130,109,18,15,4,1,3
"S00138993",189,190,2,2,-,-,-
"S00138994",153,141,12,10,-,-,2
"S00138995",105,97,10,9,-,-,1
"S00138996",83,68,12,4,2,2,3
"S00138997",66,60,10,8,1,1,3
"S00138998",134,127,7,4,1,-,3
"S00138999",195,172,23,8,2,3,10
"S00139000",142,125,13,6,1,1,4
"S00139001",108,103,6,6,-,-,-
"S00139002",101,83,15,8,-,7,5
"S00139003",163,151,12,10,1,-,1
"S00139004",103,97,8,7,2,-,1
"S00139005",76,71,7,3,-,4,2
"S00139006",118,113,5,5,2,-,-
"S00139007",76,65,11,9,2,1,-
"S00139008",138,123,15,11,-,1,2
"S00139009",194,178,16,11,1,-,4
"S00139010",160,143,17,12,2,-,3
"S00139011",100,91,10,6,-,-,2
"S00139012",78,72,10,5,2,1,3
"S00139013",165,136,29,25,3,-,1
"S00139014",171,157,14,13,1,-,-
"S00139015",100,91,12,8,2,1,1
"S00139016",72,63,8,4,1,1,2
"S00139017",94,87,7,5,-,-,-
"S00139018",61,57,6,5,-,-,1
"S00139019",148,126,22,17,1,4,2
"S00139020",102,89,13,10,-,-,2
"S00139021",162,139,23,18,1,-,3
"S00139022",139,121,15,11,2,-,3
"S00139023",68,60,6,3,-,1,1
"S00139024",119,105,10,4,2,1,1
"S00139025",133,118,14,3,-,1,7
"S00139026",87,79,8,6,2,-,-
"S00139027",124,114,10,6,1,1,-
"S00139028",111,98,13,9,-,-,1
"S00139029",141,134,7,6,-,-,1
"S00139030",83,76,4,5,-,-,4
"S00139031",95,82,13,7,1,3,3
"S00139032",84,75,7,5,-,-,1
"S00139033",112,103,7,6,1,-,-
"S00139034",133,126,7,3,-,-,3
"S00139035",105,97,8,4,1,-,3
"S00139036",61,53,8,6,1,1,-
"S00139037",115,100,15,10,4,-,1
"S00139038",134,113,22,6,2,3,6
"S00139039",154,141,13,10,-,-,3
"S00139040",110,97,13,12,-,2,-
"S00139041",123,113,12,7,-,1,-
"S00139042",111,97,14,8,1,-,5
"S00139043",92,83,9,6,-,3,-
"S00139044",126,118,8,5,1,-,2
"S00139045",90,78,10,8,2,-,2
"S00139046",148,121,23,14,7,2,6
"S00139047",121,114,7,4,-,-,2
"S00139048",108,99,11,8,-,-,2
"S00139049",75,67,8,6,-,-,1
"S00139050",131,119,20,18,-,1,3
"S00139051",140,128,10,6,1,-,3
"S00139052",159,140,19,12,2,-,1
"S00139053",115,111,5,-,1,-,2
"S00139054",79,67,14,6,1,3,3
"S00139055",96,85,11,10,-,-,1
"S00139056",107,86,19,7,4,1,10
"S00139057",81,70,11,6,2,-,3
"S00139058",87,81,9,4,1,1,-
"S00139059",146,127,19,11,-,2,6
"S00139060",96,92,4,2,-,-,2
"S00139061",143,122,18,11,1,2,3
"S00139062",90,84,6,2,2,-,3
"S00139063",96,83,13,5,1,1,6
"S00139064",108,102,6,4,1,1,-
"S00139065",161,151,10,6,-,1,3
"S00139066",139,124,15,11,1,2,1
"S00139067",67,60,7,3,-,2,4
"S00139068",98,89,9,8,-,-,1
"S00139069",136,126,6,5,-,1,3
"S00139070",118,110,13,6,3,1,3
"S00139071",93,82,15,10,-,1,3
"S00139072",69,63,6,4,-,2,-
"S00139073",128,111,9,10,1,-,2
"S00139074",144,134,10,7,2,1,1
"S00139075",95,83,10,10,1,-,-
"S00139076",115,103,14,10,-,-,3
"S00139077",82,67,15,7,2,-,7
"S00139078",163,141,23,18,6,-,1
"S00139079",162,141,21,14,2,2,4
"S00139080",140,126,14,11,1,1,1
"S00139081",114,98,9,11,2,-,-
"S00139082",83,68,15,12,1,-,2
"S00139083",132,119,13,9,4,-,-
"S00139084",133,118,15,10,-,2,1
"S00139085",118,101,17,10,1,1,5
"S00139086",108,94,11,11,2,-,1
