Scotland's Census 2022 - National Records of Scotland
Table UV901 - UK Armed Forces veterans
All people aged 16 and over
,"All people aged 16 and over","UK Armed Forces veteran","Not a UK Armed Forces veteran"
"S00136435",72,1,71
"S00136436",85,4,83
"S00136437",148,2,146
"S00136438",125,4,127
"S00136439",140,2,136
"S00136440",65,-,65
"S00136441",77,4,73
"S00136442",83,2,81
"S00136443",72,8,64
"S00136444",82,2,80
"S00136445",100,2,98
"S00136446",92,-,91
"S00136447",93,3,94
"S00136448",61,10,51
"S00136449",98,-,98
"S00136450",67,-,66
"S00136451",92,-,91
"S00136452",74,-,74
"S00136453",83,4,82
"S00136454",62,1,61
"S00136455",104,-,104
"S00136456",90,1,89
"S00136457",89,2,88
"S00136458",98,-,98
"S00136459",57,2,52
"S00136460",86,1,89
"S00136461",139,4,135
"S00136462",72,2,70
"S00136463",132,3,126
"S00136464",74,-,74
"S00136465",75,5,70
"S00136466",75,1,75
"S00136467",96,14,78
"S00136468",132,2,129
"S00136469",91,-,91
"S00136470",90,2,88
"S00136471",70,3,67
"S00136472",64,-,64
"S00136473",67,1,66
"S00136474",81,2,80
"S00136475",82,4,78
"S00136476",62,-,62
"S00136477",86,2,84
"S00136478",68,2,67
"S00136479",105,3,102
"S00136480",97,-,96
"S00136481",73,1,72
"S00136482",116,6,110
"S00136483",86,-,86
"S00136484",102,-,100
"S00136485",84,-,84
"S00136486",95,-,95
"S00136487",80,1,78
"S00136488",79,-,77
"S00136489",73,2,71
"S00136490",83,-,83
"S00136491",77,3,74
"S00136492",88,-,88
"S00136493",112,3,109
"S00136494",150,2,146
"S00136495",62,-,62
"S00136496",78,5,73
"S00136497",81,4,78
"S00136498",92,-,92
"S00136499",98,3,92
"S00136500",98,2,95
"S00136501",69,3,68
"S00136502",112,1,111
"S00136503",85,1,83
"S00136504",79,-,78
"S00136505",111,6,105
"S00136506",102,1,101
"S00136507",85,3,83
"S00136508",120,2,123
"S00136509",127,4,122
"S00136510",92,4,89
"S00136511",59,2,57
"S00136512",59,1,60
"S00136513",111,-,111
"S00136514",128,6,122
"S00136515",92,7,84
"S00136516",92,-,92
"S00136517",68,-,68
"S00136518",149,8,141
"S00136519",92,5,87
"S00136520",163,3,158
"S00136521",91,-,91
"S00136522",92,4,88
"S00136523",91,2,89
"S00136524",83,-,83
"S00136525",97,-,97
"S00136526",69,-,69
"S00136527",109,-,109
"S00136528",59,2,57
"S00136529",68,-,68
"S00136530",91,3,87
"S00136531",74,2,69
"S00136532",117,3,117
"S00136533",78,2,77
"S00136534",111,2,110
"S00136535",62,1,61
"S00136536",77,-,77
"S00136537",93,3,90
"S00136538",116,2,117
"S00136539",94,2,96
"S00136540",64,-,63
"S00136541",76,2,78
"S00136542",60,1,56
"S00136543",111,4,108
"S00136544",56,2,49
"S00136545",85,2,83
"S00136546",72,2,67
"S00136547",78,2,75
"S00136548",81,2,79
"S00136549",101,1,100
"S00136550",114,-,114
"S00136551",103,1,106
"S00136552",92,5,87
"S00136553",84,5,79
"S00136554",80,-,82
"S00136555",85,1,84
"S00136556",53,4,51
"S00136557",68,4,64
"S00136558",94,1,91
"S00136559",55,4,51
"S00136560",72,3,69
"S00136561",66,3,63
"S00136562",68,-,68
"S00136563",65,1,63
"S00136564",132,8,127
"S00136565",102,6,94
"S00136566",77,2,78
"S00136567",106,4,100
"S00136568",86,4,80
"S00136569",84,7,77
"S00136570",67,1,66
"S00136571",69,-,66
"S00136572",64,1,63
"S00136573",89,4,85
"S00136574",82,4,78
"S00136575",66,9,58
"S00136576",92,-,92
"S00136577",69,-,69
"S00136578",93,1,92
"S00136579",81,2,81
"S00136580",111,1,110
"S00136581",61,2,58
"S00136582",129,5,125
"S00136583",63,1,62
"S00136584",58,-,58
"S00136585",106,-,106
"S00136586",60,2,58
"S00136587",57,1,56
"S00136588",88,3,82
"S00136589",62,2,65
"S00136590",93,2,92
"S00136591",98,2,96
"S00136592",179,4,175
"S00136593",111,4,109
"S00136594",90,-,90
"S00136595",91,1,90
"S00136596",60,1,63
"S00136597",84,4,82
"S00136598",76,4,71
"S00136599",78,2,79
"S00136600",105,1,104
"S00136601",74,2,73
"S00136602",118,7,114
"S00136603",104,2,102
"S00136604",59,-,59
"S00136605",137,1,136
"S00136606",103,1,102
"S00136607",75,1,72
"S00136608",312,-,312
"S00136609",96,5,91
"S00136610",68,-,68
"S00136611",82,2,80
"S00136612",72,-,72
"S00136613",64,1,63
"S00136614",69,-,69
"S00136615",86,1,85
"S00136616",129,3,126
"S00136617",66,1,64
"S00136618",71,1,70
"S00136619",52,1,51
"S00136620",107,8,102
"S00136621",115,3,115
"S00136622",109,2,107
"S00136623",64,1,63
"S00136624",92,7,85
"S00136625",58,-,58
"S00136626",90,4,88
"S00136627",98,2,96
"S00136628",84,1,83
"S00136629",73,1,68
"S00136630",107,1,103
"S00136631",74,-,74
"S00136632",68,2,63
"S00136633",82,4,82
"S00136634",76,3,78
"S00136635",79,1,78
"S00136636",122,1,121
"S00136637",190,10,181
"S00136638",101,2,100
"S00136639",82,-,82
"S00136640",65,6,60
"S00136641",103,2,101
"S00136642",95,-,94
"S00136643",71,-,71
"S00136644",74,1,73
"S00136645",83,-,83
"S00136646",91,-,91
"S00136647",110,6,108
"S00136648",82,2,81
"S00136649",84,1,83
"S00136650",123,1,122
"S00136651",79,2,78
"S00136652",82,2,80
"S00136653",55,-,53
"S00136654",100,-,100
"S00136655",107,2,101
"S00136656",61,2,59
"S00136657",105,3,102
"S00136658",67,-,67
"S00136659",98,-,98
"S00136660",88,3,85
"S00136661",72,3,70
"S00136662",68,2,66
"S00136663",115,2,114
"S00136664",82,4,78
"S00136665",101,4,99
"S00136666",79,1,75
"S00136667",64,1,63
"S00136668",76,-,76
"S00136669",90,2,88
"S00136670",132,5,127
"S00136671",64,2,66
"S00136672",67,-,67
"S00136673",84,3,81
"S00136674",69,1,68
"S00136675",109,1,110
"S00136676",69,2,66
"S00136677",137,2,138
"S00136678",113,6,107
"S00136679",114,4,112
"S00136680",128,4,124
"S00136681",111,-,111
"S00136682",109,2,107
"S00136683",89,4,84
"S00136684",61,-,61
"S00136685",108,1,107
"S00136686",77,1,76
"S00136687",107,-,107
"S00136688",106,5,105
"S00136689",82,-,82
"S00136690",65,-,65
"S00136691",110,1,108
"S00136692",103,11,92
"S00136693",79,3,75
"S00136694",106,3,105
"S00136695",90,7,83
"S00136696",97,2,95
"S00136697",118,3,115
"S00136698",70,-,70
"S00136699",70,1,69
"S00136700",96,4,94
"S00136701",72,2,71
"S00136702",77,3,74
"S00136703",103,1,102
"S00136704",79,2,81
"S00136705",60,-,60
"S00136706",61,-,61
"S00136707",70,-,70
"S00136708",83,2,82
"S00136709",143,5,138
"S00136710",101,4,97
"S00136711",101,-,100
"S00136712",114,1,111
"S00136713",85,7,78
"S00136714",71,1,70
"S00136715",125,3,122
"S00136716",147,3,140
"S00136717",71,3,68
"S00136718",95,4,93
"S00136719",82,3,78
"S00136720",94,5,89
"S00136721",117,2,115
"S00136722",95,3,92
"S00136723",89,2,88
"S00136724",109,1,108
"S00136725",62,-,62
"S00136726",74,4,70
"S00136727",73,3,70
"S00136728",73,2,75
"S00136729",104,3,99
"S00136730",71,-,71
"S00136731",103,-,103
"S00136732",54,-,54
"S00136733",118,3,112
"S00136734",99,2,97
"S00136735",105,1,104
"S00136736",80,5,75
"S00136737",101,8,93
"S00136738",68,-,68
"S00136739",78,3,75
"S00136740",119,6,117
"S00136741",73,8,61
"S00136742",120,5,114
"S00136743",49,2,48
"S00136744",92,2,91
"S00136745",139,5,132
"S00136746",133,6,127
"S00136747",74,3,71
"S00136748",89,-,88
"S00136749",117,2,116
"S00136750",78,4,75
"S00136751",77,1,74
"S00136752",104,-,102
"S00136753",119,2,117
"S00136754",77,-,77
"S00136755",94,3,91
"S00136756",91,8,85
"S00136757",83,2,81
"S00136758",70,4,68
"S00136759",56,7,51
"S00136760",81,3,75
"S00136761",84,-,84
"S00136762",102,1,101
"S00136763",62,1,61
"S00136764",107,5,98
"S00136765",101,-,101
"S00136766",96,4,92
"S00136767",84,3,81
"S00136768",126,-,126
"S00136769",94,1,96
"S00136770",79,2,77
"S00136771",102,-,102
"S00136772",86,3,83
"S00136773",101,3,98
"S00136774",64,4,60
"S00136775",83,7,76
"S00136776",119,4,113
"S00136777",74,-,74
"S00136778",75,1,74
"S00136779",96,2,95
"S00136780",93,10,83
"S00136781",99,-,97
"S00136782",124,1,123
"S00136783",71,2,69
"S00136784",61,1,60
"S00136785",110,3,106
"S00136786",131,5,123
"S00136787",84,3,86
"S00136788",84,2,82
"S00136789",109,-,109
"S00136790",131,8,123
"S00136791",90,1,89
"S00136792",53,-,53
"S00136793",65,-,65
"S00136794",112,6,106
"S00136795",94,4,92
"S00136796",98,3,95
"S00136797",89,-,89
"S00136798",103,1,102
"S00136799",57,-,55
"S00136800",99,4,95
"S00136801",65,3,62
"S00136802",64,2,58
"S00136803",104,1,103
"S00136804",119,5,114
"S00136805",102,3,99
"S00136806",55,-,55
"S00136807",72,2,70
"S00136808",113,5,109
"S00136809",132,3,129
"S00136810",129,-,129
"S00136811",121,3,117
"S00136812",80,2,78
"S00136813",76,-,76
"S00136814",109,5,104
"S00136815",114,4,110
"S00136816",64,5,59
"S00136817",105,6,96
"S00136818",73,2,71
"S00136819",73,2,67
"S00136820",81,3,78
"S00136821",73,1,72
"S00136822",73,1,72
"S00136823",65,3,62
"S00136824",84,-,78
"S00136825",76,4,72
"S00136826",75,1,73
"S00136827",103,-,102
"S00136828",104,2,102
"S00136829",102,-,101
"S00136830",105,3,100
"S00136831",83,3,76
"S00136832",133,5,125
"S00136833",84,4,85
"S00136834",97,1,95
"S00136835",137,1,136
"S00136836",93,4,89
"S00136837",107,3,105
"S00136838",74,-,74
"S00136839",71,4,68
"S00136840",87,1,86
"S00136841",140,1,139
"S00136842",89,5,84
"S00136843",92,3,86
"S00136844",102,6,96
"S00136845",94,6,88
"S00136846",84,4,80
"S00136847",76,-,76
"S00136848",79,4,75
"S00136849",109,-,109
"S00136850",65,6,59
"S00136851",81,1,80
"S00136852",57,4,53
"S00136853",73,-,73
"S00136854",115,7,111
"S00136855",53,-,53
"S00136856",87,4,83
"S00136857",66,8,59
"S00136858",116,2,115
"S00136859",62,1,61
"S00136860",89,5,82
"S00136861",92,3,89
"S00136862",59,-,59
"S00136863",77,2,71
"S00136864",74,-,74
"S00136865",82,6,76
"S00136866",78,1,77
"S00136867",91,5,86
"S00136868",91,6,87
"S00136869",96,2,95
"S00136870",97,2,92
"S00136871",64,4,56
"S00136872",116,12,104
"S00136873",99,6,93
"S00136874",80,-,80
"S00136875",81,-,81
"S00136876",100,4,97
"S00136877",81,1,80
"S00136878",80,1,78
"S00136879",57,1,56
"S00136880",122,7,115
"S00136881",128,7,121
"S00136882",82,5,77
"S00136883",109,3,107
"S00136884",89,-,90
"S00136885",167,3,164
"S00136886",60,5,55
"S00136887",89,-,88
"S00136888",52,2,50
"S00136889",81,2,79
"S00136890",104,2,102
"S00136891",67,3,64
"S00136892",96,1,90
"S00136893",81,1,80
"S00136894",57,-,57
"S00136895",129,3,126
"S00136896",58,-,58
"S00136897",95,1,93
"S00136898",61,6,55
"S00136899",71,5,66
"S00136900",116,6,110
"S00136901",57,1,56
"S00136902",121,2,117
"S00136903",92,5,87
"S00136904",58,-,58
"S00136905",72,6,67
"S00136906",65,-,64
"S00136907",87,2,84
"S00136908",123,4,118
"S00136909",80,3,78
"S00136910",140,4,134
"S00136911",105,5,100
"S00136912",54,3,48
"S00136913",88,3,82
"S00136914",140,1,139
"S00136915",68,1,67
"S00136916",110,5,103
"S00136917",129,6,123
"S00136918",105,-,103
"S00136919",132,4,128
"S00136920",53,3,50
"S00136921",111,3,108
"S00136922",71,4,68
"S00136923",143,2,141
"S00136924",71,3,68
"S00136925",55,-,49
"S00136926",79,1,77
"S00136927",84,-,86
"S00136928",97,2,95
"S00136929",69,2,67
"S00136930",81,-,81
"S00136931",85,3,82
"S00136932",258,7,251
"S00136933",110,3,107
"S00136934",96,11,89
"S00136935",78,4,74
"S00136936",84,3,81
"S00136937",92,4,88
"S00136938",115,3,110
"S00136939",149,3,148
"S00136940",137,2,135
"S00136941",134,9,125
"S00136942",61,3,58
"S00136943",78,4,74
"S00136944",120,8,108
"S00136945",79,2,78
"S00136946",75,-,74
"S00136947",89,5,84
"S00136948",134,4,126
"S00136949",137,12,128
"S00136950",127,4,125
"S00136951",70,1,70
"S00136952",85,-,85
"S00136953",115,-,115
"S00136954",113,8,105
"S00136955",93,4,93
"S00136956",96,4,95
"S00136957",70,-,69
"S00136958",206,10,199
"S00136959",83,5,80
"S00136960",75,-,75
"S00136961",94,1,93
"S00136962",70,1,69
"S00136963",93,2,91
"S00136964",86,4,80
"S00136965",86,4,82
"S00136966",117,6,111
"S00136967",85,3,82
"S00136968",131,6,125
"S00136969",89,2,83
"S00136970",97,-,91
"S00136971",129,-,124
"S00136972",86,2,84
"S00136973",112,-,112
"S00136974",84,3,81
"S00136975",101,5,92
"S00136976",100,3,97
"S00136977",100,4,97
"S00136978",114,3,111
"S00136979",158,9,151
"S00136980",115,3,112
"S00136981",81,4,77
"S00136982",102,8,94
"S00136983",130,9,121
"S00136984",150,6,144
"S00136985",106,2,104
"S00136986",129,2,127
"S00136987",80,4,76
"S00136988",71,-,72
"S00136989",81,4,78
"S00136990",116,7,109
"S00136991",119,-,119
"S00136992",77,3,74
"S00136993",108,4,104
"S00136994",52,5,47
"S00136995",124,9,117
"S00136996",64,1,69
"S00136997",62,2,64
"S00136998",149,1,148
"S00136999",82,4,78
"S00137000",53,-,53
"S00137001",126,3,123
"S00137002",85,4,81
"S00137003",103,3,100
"S00137004",79,5,80
"S00137005",55,-,55
"S00137006",117,-,115
"S00137007",79,3,76
"S00137008",79,-,82
"S00137009",108,4,104
"S00137010",111,-,111
"S00137011",128,-,127
"S00137012",150,8,143
"S00137013",111,5,106
"S00137014",98,6,92
"S00137015",80,-,80
"S00137016",122,4,118
"S00137017",83,4,79
"S00137018",68,-,68
"S00137019",108,6,102
"S00137020",67,2,65
"S00137021",56,-,57
"S00137022",78,5,73
"S00137023",72,2,70
"S00137024",129,2,129
"S00137025",103,1,105
"S00137026",74,7,70
"S00137027",89,4,85
"S00137028",111,3,108
"S00137029",66,4,62
"S00137030",133,4,125
"S00137031",87,4,83
"S00137032",254,5,254
"S00137033",115,3,112
"S00137034",65,3,63
"S00137035",94,10,87
"S00137036",55,1,54
"S00137037",78,3,75
"S00137038",79,6,72
"S00137039",59,8,47
"S00137040",97,3,94
"S00137041",101,7,94
"S00137042",91,2,89
"S00137043",112,1,111
"S00137044",81,-,81
"S00137045",72,2,71
"S00137046",118,1,121
"S00137047",50,2,51
"S00137048",81,4,82
"S00137049",76,2,71
"S00137050",96,4,94
"S00137051",78,2,76
"S00137052",57,4,55
"S00137053",117,3,114
"S00137054",95,2,93
"S00137055",103,5,101
"S00137056",75,6,75
"S00137057",96,2,96
"S00137058",69,4,65
"S00137059",159,3,153
"S00137060",54,-,54
"S00137061",140,4,136
"S00137062",92,5,86
"S00137063",132,5,127
"S00137064",127,7,121
"S00137065",138,4,136
"S00137066",66,2,64
"S00137067",105,1,104
"S00137068",107,3,103
"S00137069",88,1,87
"S00137070",126,5,121
"S00137071",52,3,49
"S00137072",96,5,88
"S00137073",113,6,107
"S00137074",137,5,128
"S00137075",64,4,60
"S00137076",164,4,160
"S00137077",132,5,127
"S00137078",61,1,60
"S00137079",72,1,71
"S00137080",59,2,57
"S00137081",106,-,106
"S00137082",91,3,88
"S00137083",118,5,113
"S00137084",158,8,150
"S00137085",102,3,99
"S00137086",124,5,119
"S00137087",119,9,110
"S00137088",81,-,80
"S00137089",73,-,73
"S00137090",71,3,68
"S00137091",75,2,70
"S00137092",85,6,81
"S00137093",101,4,97
"S00137094",90,2,88
"S00137095",86,7,79
"S00137096",67,4,63
"S00137097",64,-,64
"S00137098",123,2,122
"S00137099",55,4,52
"S00137100",134,6,128
"S00137101",148,12,133
"S00137102",84,2,82
"S00137103",137,7,130
"S00137104",146,11,139
"S00137105",116,1,118
"S00137106",111,4,105
"S00137107",106,13,95
"S00137108",86,2,85
"S00137109",65,3,61
"S00137110",100,7,93
"S00137111",71,4,69
"S00137112",75,9,69
"S00137113",78,1,75
"S00137114",70,1,69
"S00137115",80,3,77
"S00137116",93,6,87
"S00137117",85,2,83
"S00137118",66,3,63
"S00137119",107,3,108
"S00137120",66,3,63
"S00137121",88,1,87
"S00137122",285,7,278
"S00137123",94,2,87
"S00137124",125,6,117
"S00137125",86,4,84
"S00137126",78,8,70
"S00137127",137,2,135
"S00137128",43,3,43
"S00137129",105,2,103
"S00137130",60,7,56
"S00137131",66,3,63
"S00137132",100,3,97
"S00137133",86,8,78
"S00137134",92,1,90
"S00137135",69,3,66
"S00137136",51,-,51
"S00137137",70,2,68
"S00137138",82,4,73
"S00137139",119,2,120
"S00137140",70,1,69
"S00137141",224,2,221
"S00137142",140,6,135
"S00137143",109,-,104
"S00137144",95,1,91
"S00137145",99,12,87
"S00137146",143,-,143
"S00137147",77,2,75
"S00137148",59,6,54
"S00137149",197,2,195
"S00137150",131,12,122
"S00137151",162,3,163
"S00137152",97,2,92
"S00137153",102,1,101
"S00137154",70,2,65
"S00137155",93,6,87
"S00137156",53,-,53
"S00137157",103,5,100
"S00137158",124,5,123
"S00137159",141,2,143
"S00137160",74,2,72
"S00137161",125,5,120
"S00137162",96,6,90
"S00137163",107,4,103
"S00137164",114,4,110
"S00137165",98,1,97
"S00137166",63,4,59
"S00137167",111,4,109
"S00137168",120,7,113
"S00137169",74,1,76
"S00137170",141,3,138
"S00137171",58,5,53
"S00137172",89,-,89
"S00137173",127,4,127
"S00137174",111,2,112
"S00137175",129,1,125
"S00137176",167,3,164
"S00137177",74,3,65
"S00137178",62,-,60
"S00137179",118,2,120
"S00137180",162,5,157
"S00137181",92,6,82
"S00137182",64,1,60
"S00137183",119,5,115
"S00137184",79,3,77
"S00137185",112,2,114
"S00137186",144,5,139
"S00137187",149,7,138
"S00137188",86,2,84
"S00137189",68,3,65
"S00137190",83,2,81
"S00137191",126,2,123
"S00137192",133,6,127
"S00137193",67,4,65
"S00137194",105,-,105
"S00137195",98,2,93
"S00137196",102,1,97
"S00137197",124,4,123
"S00137198",90,1,89
"S00137199",83,-,84
"S00137200",95,3,92
"S00137201",112,4,108
"S00137202",89,5,84
"S00137203",123,2,122
"S00137204",68,4,65
"S00137205",138,5,133
"S00137206",103,4,99
"S00137207",79,4,74
"S00137208",64,7,57
"S00137209",65,-,65
"S00137210",105,2,104
"S00137211",113,6,108
"S00137212",79,5,74
"S00137213",132,3,129
"S00137214",120,4,116
"S00137215",75,6,69
"S00137216",75,2,74
"S00137217",92,6,86
"S00137218",82,2,83
"S00137219",75,3,72
"S00137220",67,-,67
"S00137221",78,2,76
"S00137222",51,-,51
"S00137223",77,3,74
"S00137224",60,2,58
"S00137225",79,4,75
"S00137226",82,4,78
"S00137227",87,-,87
"S00137228",96,3,93
"S00137229",105,2,99
"S00137230",104,7,97
"S00137231",68,3,65
"S00137232",75,2,73
"S00137233",116,1,113
"S00137234",114,2,112
"S00137235",85,5,77
"S00137236",77,2,73
"S00137237",64,2,62
"S00137238",58,2,56
"S00137239",56,-,56
"S00137240",99,2,97
"S00137241",97,3,94
"S00137242",87,1,86
"S00137243",58,4,55
"S00137244",91,4,87
"S00137245",82,-,79
"S00137246",117,2,114
"S00137247",105,6,99
"S00137248",92,-,92
"S00137249",58,2,57
"S00137250",82,1,81
"S00137251",180,2,178
"S00137252",84,4,80
"S00137253",124,-,124
"S00137254",59,2,57
"S00137255",103,5,98
"S00137256",82,5,75
"S00137257",110,3,108
"S00137258",98,2,96
"S00137259",103,3,100
"S00137260",97,-,96
"S00137261",69,3,66
"S00137262",79,1,78
"S00137263",121,2,115
"S00137264",67,4,61
"S00137265",138,8,133
"S00137266",105,2,102
"S00137267",120,4,116
"S00137268",65,-,65
"S00137269",94,3,91
"S00137270",122,10,112
"S00137271",80,5,75
"S00137272",84,2,82
"S00137273",92,4,88
"S00137274",61,2,57
"S00137275",116,6,108
"S00137276",99,4,95
"S00137277",145,5,141
"S00137278",129,-,129
"S00137279",103,7,100
"S00137280",126,8,122
"S00137281",96,5,89
"S00137282",86,5,82
"S00137283",82,5,77
"S00137284",142,6,136
"S00137285",57,2,55
"S00137286",120,3,117
"S00137287",107,5,105
"S00137288",122,5,117
"S00137289",121,2,121
"S00137290",111,5,106
"S00137291",96,-,96
"S00137292",65,4,61
"S00137293",119,8,116
"S00137294",119,-,119
"S00137295",107,2,105
"S00137296",116,8,109
"S00137297",110,4,106
"S00137298",76,3,73
"S00137299",75,-,75
"S00137300",76,4,76
"S00137301",89,3,86
"S00137302",102,3,101
"S00137303",59,1,58
"S00137304",114,2,112
"S00137305",113,1,112
"S00137306",113,3,110
"S00137307",125,4,121
"S00137308",79,3,76
"S00137309",119,-,119
"S00137310",79,5,78
"S00137311",99,3,96
"S00137312",107,1,106
"S00137313",60,1,59
"S00137314",71,3,68
"S00137315",50,-,50
"S00137316",107,-,107
"S00137317",69,3,67
"S00137318",78,4,76
"S00137319",114,-,112
"S00137320",112,5,106
"S00137321",137,1,136
"S00137322",103,1,102
"S00137323",53,1,48
"S00137324",60,4,56
"S00137325",103,4,96
"S00137326",141,4,137
"S00137327",112,9,110
"S00137328",139,2,137
"S00137329",53,-,53
"S00137330",120,10,108
"S00137331",126,6,120
"S00137332",111,2,109
"S00137333",90,7,89
"S00137334",87,4,80
"S00137335",134,6,131
"S00137336",74,1,77
"S00137337",126,8,121
"S00137338",104,4,100
"S00137339",63,5,58
"S00137340",112,4,109
"S00137341",126,2,127
"S00137342",70,4,59
"S00137343",154,15,143
"S00137344",69,2,67
"S00137345",112,4,115
"S00137346",110,5,105
"S00137347",86,3,83
"S00137348",86,4,82
"S00137349",80,3,77
"S00137350",65,-,60
"S00137351",72,4,68
"S00137352",86,10,77
"S00137353",57,5,52
"S00137354",60,1,54
"S00137355",63,1,62
"S00137356",128,1,127
"S00137357",74,4,70
"S00137358",119,6,113
"S00137359",86,5,83
"S00137360",100,4,98
"S00137361",64,4,62
"S00137362",145,3,139
"S00137363",97,-,96
"S00137364",86,10,77
"S00137365",129,1,128
"S00137366",85,5,80
"S00137367",141,-,141
"S00137368",56,1,53
"S00137369",117,-,117
"S00137370",68,6,62
"S00137371",52,-,52
"S00137372",104,7,97
"S00137373",144,4,140
