Scotland's Census 2022 - National Records of Scotland
Table UV111 - Household lifestage
All households
,"All households","HRP aged under 35: Total","HRP aged under 35: One person household","HRP aged under 35: Two or more person household – no dependent child(ren)","HRP aged under 35: Two or more person household – with dependent child(ren)","HRP aged 35 to 54: Total","HRP aged 35 to 54: One person household","HRP aged 35 to 54: Two or more person household – no dependent child(ren)","HRP aged 35 to 54: Two or more person household – with dependent child(ren)","HRP aged 55 to 64: Total","HRP aged 55 to 64: One person household","HRP aged 55 to 64: Two or more person household – no dependent child(ren)","HRP aged 55 to 64: Two or more person household – with dependent child(ren)","HRP aged 65 to 74: Total","HRP aged 65 to 74: One person household","HRP aged 65 to 74: Two or more person household – no dependent child(ren)","HRP aged 65 to 74: Two or more person household – with dependent child(ren)","HRP aged 75 and over: Total","HRP aged 75 and over: One person household","HRP aged 75 and over: Two or more person household – no dependent child(ren)","HRP aged 75 and over: Two or more person household – with dependent child(ren)"
"S00138110",63,7,1,3,1,26,3,9,14,17,4,10,3,8,2,6,-,6,2,4,-
"S00138111",53,10,-,2,4,12,3,6,7,19,3,8,3,6,4,2,-,5,1,3,-
"S00138112",63,6,2,1,2,26,2,10,14,14,7,6,1,11,7,4,-,7,-,7,-
"S00138113",61,2,-,-,2,30,7,9,14,13,4,5,1,6,1,5,-,9,2,9,-
"S00138114",39,6,-,1,5,20,6,6,9,10,2,8,-,1,-,1,-,-,1,-,-
"S00138115",86,7,-,5,3,34,4,9,21,30,8,19,1,7,2,5,-,8,3,6,-
"S00138116",55,2,-,-,2,21,3,3,16,19,4,13,2,5,1,4,-,9,3,5,-
"S00138117",66,5,2,2,2,17,3,6,8,24,9,14,1,9,1,8,-,10,4,6,-
"S00138118",73,10,5,2,4,27,3,15,13,18,1,17,-,6,2,6,-,10,4,6,-
"S00138119",82,11,3,3,5,23,3,11,9,24,6,18,4,12,2,7,-,8,-,7,-
"S00138120",54,2,-,1,2,27,4,7,16,14,2,12,-,8,2,5,1,4,1,2,-
"S00138121",48,1,-,-,1,18,-,11,10,15,4,9,1,8,1,6,-,5,1,4,-
"S00138122",53,2,-,1,4,20,7,4,7,9,3,4,2,7,2,6,-,12,9,3,-
"S00138123",44,1,-,1,-,21,2,9,12,9,-,10,1,5,1,4,-,2,2,1,-
"S00138124",73,9,-,3,4,36,4,10,22,21,3,16,4,2,1,1,-,5,1,2,-
"S00138125",89,8,3,1,4,24,4,7,15,30,6,20,4,17,7,10,-,8,4,6,-
"S00138126",73,3,1,-,2,33,4,13,19,21,3,17,1,12,4,7,2,4,-,4,-
"S00138127",47,7,2,2,3,24,-,4,19,8,1,7,-,2,3,3,-,3,1,2,-
"S00138128",73,10,2,2,4,31,3,9,17,20,5,7,4,5,2,3,1,9,1,8,-
"S00138129",60,3,-,1,3,15,3,10,4,18,4,13,3,14,6,10,-,8,-,6,-
"S00138130",77,1,1,-,-,24,3,7,20,11,4,6,1,17,9,7,1,22,8,11,-
"S00138131",58,13,9,8,2,13,3,8,5,13,4,12,-,6,-,4,-,10,7,3,-
"S00138132",44,2,-,-,2,26,1,8,16,14,-,11,3,4,-,2,-,1,1,-,-
"S00138133",34,2,2,-,-,11,5,-,5,8,-,7,-,7,1,6,-,6,3,5,-
"S00138134",61,4,2,5,1,16,5,5,6,21,6,15,-,17,7,10,-,1,1,-,-
"S00138135",81,7,1,-,6,33,4,8,21,17,3,12,2,14,2,11,1,10,3,7,-
"S00138136",86,13,7,3,3,18,12,5,4,28,12,18,-,10,4,4,-,19,9,10,-
"S00138137",71,9,2,3,4,32,3,8,21,22,4,15,2,6,1,5,-,3,3,-,-
"S00138138",80,10,-,4,4,50,3,7,38,17,1,12,4,4,2,3,-,2,-,2,-
"S00138139",51,5,3,3,-,8,1,2,3,10,2,7,-,12,6,3,-,17,14,2,-
"S00138140",64,9,4,-,5,27,10,6,12,19,9,9,-,3,3,1,-,4,1,3,-
"S00138141",42,1,-,1,-,11,-,1,9,8,-,8,-,11,-,9,-,11,6,7,-
"S00138142",32,3,-,-,-,9,-,1,7,10,4,6,1,6,1,5,-,4,-,3,-
"S00138143",59,4,-,1,4,13,-,6,7,20,3,12,1,11,5,8,-,9,5,4,-
"S00138144",66,7,-,3,3,42,1,4,37,12,1,7,2,2,1,1,-,1,1,2,-
"S00138145",57,8,2,7,3,33,4,5,22,11,2,10,1,3,-,-,2,3,1,1,-
"S00138146",63,4,-,-,4,34,1,7,23,18,-,17,1,4,-,4,-,3,2,1,-
"S00138147",63,7,2,3,2,16,6,1,6,14,2,12,1,12,6,8,-,14,6,9,-
"S00138148",57,8,-,2,6,34,2,6,26,11,-,7,4,1,2,2,-,1,1,-,-
"S00138149",76,10,3,3,3,24,1,5,17,24,8,15,1,9,5,5,-,10,4,5,-
"S00138150",32,2,1,1,-,10,1,2,7,9,1,9,-,6,1,7,-,6,2,3,-
"S00138151",67,5,2,1,2,27,6,7,18,22,8,12,2,5,2,4,-,8,4,4,-
"S00138152",68,10,1,1,4,44,5,10,29,8,1,6,1,4,2,2,-,4,2,2,-
"S00138153",32,2,1,1,-,18,1,4,11,8,4,4,-,4,2,2,-,4,-,4,-
"S00138154",34,3,3,-,-,18,1,4,10,10,3,4,3,2,-,2,-,3,-,3,-
"S00138155",39,4,-,-,2,14,3,1,10,9,2,6,-,7,2,6,-,5,-,4,-
"S00138156",51,5,-,-,4,21,2,4,12,18,-,15,-,6,2,-,-,3,3,1,-
"S00138157",80,2,-,-,2,33,3,10,22,18,3,13,2,20,7,13,-,7,5,2,-
"S00138158",42,5,-,-,6,11,1,3,10,10,3,7,-,9,5,2,-,5,4,3,-
"S00138159",50,3,-,3,-,14,-,4,8,7,5,5,-,9,3,6,-,13,4,10,-
"S00138160",79,17,4,11,2,21,5,4,12,15,2,12,1,8,4,4,-,18,14,4,-
"S00138161",52,4,-,1,2,17,1,6,12,14,3,10,1,11,2,9,-,6,1,5,-
"S00138162",94,14,1,2,10,29,7,2,17,15,2,11,-,24,18,9,-,18,8,6,-
"S00138163",71,10,1,3,6,43,5,6,32,15,5,7,1,2,-,2,-,4,-,4,-
"S00138164",61,3,-,2,1,15,1,5,9,18,5,10,2,15,2,13,-,8,1,8,-
"S00138165",53,7,-,3,4,26,-,6,20,12,2,8,1,5,-,5,-,3,3,-,-
"S00138166",68,11,4,4,3,20,4,5,11,10,1,7,-,13,2,11,-,11,8,4,-
"S00138167",41,10,-,4,5,15,4,8,4,6,-,6,-,2,1,-,-,7,4,3,-
"S00138168",38,4,-,-,2,13,1,4,8,9,1,7,1,7,1,4,-,5,4,2,-
"S00138169",88,12,6,2,3,27,5,5,17,10,2,8,-,18,12,8,-,18,9,3,-
"S00138170",45,6,3,3,1,14,1,5,8,5,3,-,3,13,2,13,-,7,4,3,-
"S00138171",45,17,4,6,8,20,3,7,10,7,2,5,1,1,-,1,-,-,-,-,-
"S00138172",56,6,4,1,1,18,8,3,7,11,2,6,3,12,7,4,-,9,5,4,-
"S00138173",75,4,-,1,-,15,1,7,7,24,3,21,-,16,5,11,-,18,10,9,-
"S00138174",56,4,1,1,2,13,6,2,8,12,4,7,-,11,7,1,-,18,9,9,-
"S00138175",51,10,2,4,9,32,6,9,13,3,-,2,2,3,1,2,-,5,5,-,-
"S00138176",53,22,6,6,7,25,10,5,12,1,1,1,-,6,3,3,-,2,-,2,-
"S00138177",50,4,1,3,1,9,1,4,4,13,4,10,-,17,4,9,-,11,6,2,-
"S00138178",55,34,20,9,5,16,-,4,11,-,-,-,-,4,2,2,-,-,-,-,-
"S00138179",55,6,3,2,1,7,3,1,2,7,4,3,-,10,9,4,-,24,15,11,-
"S00138180",59,12,-,2,8,27,8,5,14,8,7,4,-,4,1,3,-,6,4,4,-
"S00138181",40,5,2,2,2,19,3,-,9,10,5,2,-,9,6,3,-,2,1,1,-
"S00138182",52,4,2,-,1,12,-,5,7,14,1,11,2,10,2,7,-,14,5,9,-
"S00138183",47,5,3,2,2,15,5,1,8,10,2,5,-,9,2,10,-,6,3,5,-
"S00138184",30,3,-,2,2,22,4,5,13,4,1,2,-,1,-,1,-,-,-,-,-
"S00138185",49,10,4,4,5,16,-,5,11,16,6,8,1,4,4,4,-,3,2,1,-
"S00138186",49,2,-,2,-,4,-,3,2,13,2,12,-,15,4,8,-,17,8,9,-
"S00138187",40,8,1,1,4,23,6,7,12,6,4,2,-,3,1,2,-,1,-,1,-
"S00138188",66,4,-,2,1,12,1,6,7,18,7,11,-,13,8,3,-,19,12,10,-
"S00138189",58,4,1,2,4,9,2,1,6,19,5,14,-,14,6,8,-,10,3,7,-
"S00138190",31,11,6,4,1,8,3,-,10,4,2,4,-,4,2,2,-,-,-,-,-
"S00138191",69,7,2,3,3,9,4,2,4,16,7,7,-,15,5,10,-,26,12,14,-
"S00138192",52,7,1,-,5,22,-,8,9,12,4,7,1,12,5,6,1,2,1,1,-
"S00138193",61,2,1,1,-,25,11,7,7,17,3,13,2,7,4,3,-,13,8,5,-
"S00138194",57,6,1,5,2,18,1,4,13,14,-,10,3,13,2,16,-,6,1,5,-
"S00138195",42,5,-,2,2,16,-,6,10,11,3,8,-,7,2,5,-,3,3,-,-
"S00138196",63,6,3,2,-,19,6,2,7,11,5,3,1,15,1,12,-,14,12,6,-
"S00138197",38,6,2,2,2,13,2,3,6,6,1,3,-,6,3,3,1,9,4,5,-
"S00138198",65,5,-,1,4,20,6,6,9,14,6,7,2,18,11,10,-,9,8,-,-
"S00138199",55,5,4,1,-,12,6,2,5,7,3,-,4,9,7,3,-,24,20,4,-
"S00138200",46,2,-,2,4,21,2,10,9,11,2,6,1,7,1,6,-,5,2,3,-
"S00138201",49,4,2,1,2,4,4,2,1,7,6,1,-,10,9,1,-,25,23,2,-
"S00138202",76,12,4,5,6,25,7,4,16,23,8,19,-,7,5,2,-,8,5,3,-
"S00138203",56,7,-,2,5,13,3,3,7,13,6,7,-,9,5,4,-,14,6,8,-
"S00138204",37,1,-,1,-,22,5,5,12,7,4,5,-,4,1,3,-,2,-,2,-
"S00138205",54,7,-,2,4,24,4,1,17,9,3,5,1,9,5,4,-,3,2,4,-
"S00138206",70,6,4,1,-,27,6,5,12,10,3,8,-,11,5,3,-,26,11,8,-
"S00138207",48,11,7,3,1,15,6,2,6,10,4,5,-,2,2,-,-,11,5,6,-
"S00138208",57,6,-,4,3,19,4,4,11,23,6,8,7,2,3,3,-,4,1,3,-
"S00138209",79,21,10,6,5,12,9,-,7,18,9,5,-,8,2,4,-,16,13,5,-
"S00138210",53,-,-,-,-,18,2,5,12,14,3,15,2,10,2,8,-,9,-,8,-
"S00138211",56,10,6,3,2,16,4,3,9,12,2,9,1,11,-,9,-,7,3,3,-
"S00138212",76,6,-,-,6,22,4,10,8,10,1,9,-,25,12,13,-,13,10,3,-
"S00138213",63,19,13,7,2,21,9,5,7,11,4,7,-,5,3,3,-,6,4,4,-
"S00138214",78,13,5,5,3,32,17,8,10,15,8,3,-,13,4,8,-,9,4,3,-
"S00138215",35,6,2,-,4,12,2,2,8,7,1,6,-,6,-,6,-,2,1,2,-
"S00138216",72,21,5,8,8,21,4,7,10,16,7,8,1,6,4,2,-,11,9,2,-
"S00138217",53,4,-,1,3,10,1,4,5,21,2,13,2,8,5,2,1,12,3,9,-
"S00138218",45,1,2,-,1,11,3,2,6,4,-,3,-,13,4,9,-,15,10,5,-
"S00138219",37,5,2,1,2,7,2,3,2,9,2,5,1,13,5,8,-,4,2,-,-
"S00138220",63,12,9,-,4,25,12,4,7,13,6,5,1,11,8,5,-,4,1,2,-
"S00138221",46,4,3,-,1,9,2,3,4,9,3,6,-,9,-,8,-,12,9,6,-
"S00138222",62,6,-,2,4,13,1,-,12,19,4,13,2,11,4,7,-,13,6,7,-
"S00138223",38,3,1,2,-,6,4,-,2,7,5,4,-,7,1,6,-,15,8,7,-
"S00138224",65,11,7,1,3,19,8,4,6,15,5,10,-,12,4,11,-,8,4,4,-
"S00138225",49,5,-,3,-,4,1,-,4,8,4,5,-,11,5,12,-,17,8,6,-
"S00138226",70,19,7,4,8,23,17,2,5,11,2,10,-,11,6,5,-,6,1,2,-
"S00138227",41,4,-,2,-,13,-,5,9,8,1,7,-,12,6,6,-,4,4,1,-
"S00138228",68,13,5,7,2,14,2,3,9,17,4,14,-,10,8,6,-,10,5,5,-
"S00138229",59,9,-,5,5,24,1,2,14,11,-,9,2,10,2,8,-,9,3,6,-
"S00138230",33,3,1,-,2,11,-,6,5,13,3,10,-,4,-,2,-,2,-,2,-
"S00138231",43,8,1,5,4,14,-,4,12,12,-,11,2,5,-,5,-,3,1,2,-
"S00138232",38,2,-,1,2,4,-,2,2,14,1,12,1,15,6,9,-,3,1,2,-
"S00138233",67,5,3,-,4,24,1,10,9,10,5,8,2,16,6,11,-,7,5,2,-
"S00138234",41,3,-,1,2,15,1,5,7,10,2,7,-,7,4,4,-,6,1,5,-
"S00138235",74,4,2,2,1,23,6,5,12,21,2,17,2,15,3,9,-,11,5,7,-
"S00138236",70,2,-,2,-,33,3,11,17,25,-,22,2,5,2,2,-,5,2,3,-
"S00138237",51,5,-,2,2,17,2,3,8,18,1,14,-,7,2,5,-,4,1,2,1
"S00138238",70,4,-,2,2,21,3,7,6,21,6,14,1,14,8,6,-,7,2,8,-
"S00138239",65,6,2,1,4,33,3,9,21,17,2,11,5,4,-,4,-,8,2,3,-
"S00138240",37,7,2,2,4,24,1,2,19,3,1,2,-,2,-,1,-,1,-,1,-
"S00138241",49,6,-,1,2,25,2,2,21,10,4,6,1,5,2,2,1,3,1,3,-
"S00138242",46,6,1,1,3,11,2,7,6,11,3,7,1,6,2,2,1,9,3,6,-
"S00138243",56,12,5,4,4,22,6,4,10,9,8,1,1,6,3,3,-,10,4,3,-
"S00138244",55,5,2,-,2,19,-,9,10,17,4,14,2,7,4,3,-,5,2,3,-
"S00138245",44,7,3,2,3,12,1,2,8,10,4,4,-,11,5,6,-,7,3,4,-
"S00138246",85,2,2,1,1,28,4,9,15,26,2,16,4,23,10,20,-,11,1,8,-
"S00138247",54,8,3,1,4,25,5,4,18,12,1,11,-,4,-,4,-,5,4,1,-
"S00138248",51,7,1,3,3,28,4,4,21,7,4,4,1,2,-,2,-,7,5,4,-
"S00138249",80,9,1,2,5,28,7,6,19,27,12,15,5,6,2,4,-,6,5,3,-
"S00138250",80,3,-,1,7,30,6,11,13,19,5,11,1,15,4,11,-,11,3,8,-
"S00138251",58,6,3,2,1,14,8,2,4,12,8,6,-,15,9,5,-,12,5,5,-
"S00138252",51,5,-,1,4,19,2,2,14,16,2,12,-,5,-,5,-,6,1,4,-
"S00138253",50,4,-,1,3,8,3,3,2,11,-,8,1,10,-,9,-,20,6,11,-
"S00138254",76,6,-,3,2,22,1,8,13,12,1,6,1,13,3,8,-,27,15,12,-
"S00138255",57,15,9,2,4,18,5,4,9,9,4,5,1,2,1,1,-,12,7,5,-
"S00138256",52,5,2,1,2,13,1,6,6,5,2,3,-,6,5,1,-,23,18,3,-
"S00138257",37,8,1,4,3,17,3,3,11,6,2,2,2,4,4,-,-,2,2,-,-
"S00138258",54,2,-,-,2,11,-,2,8,14,-,12,2,10,5,5,-,16,7,9,-
"S00138259",44,9,2,2,5,15,2,2,9,9,4,4,1,5,2,2,-,6,5,1,-
"S00138260",65,5,1,3,2,24,4,4,16,14,3,10,1,6,2,6,-,14,3,12,-
"S00138261",78,16,11,2,6,32,16,3,7,16,7,10,-,3,4,2,-,15,10,5,-
"S00138262",49,-,-,-,-,11,-,3,7,14,5,7,1,15,6,9,-,10,4,6,-
"S00138263",49,7,2,1,2,15,4,5,6,8,4,4,1,8,5,4,-,10,4,5,-
"S00138264",61,3,2,-,1,22,3,6,13,17,4,12,1,8,6,1,-,11,4,8,-
"S00138265",40,5,-,4,1,22,1,5,16,8,-,8,-,3,-,3,-,5,-,4,-
"S00138266",47,5,-,1,4,37,4,5,27,7,-,3,1,1,-,1,-,-,-,-,-
"S00138267",53,6,2,2,3,16,6,5,5,15,2,11,2,8,4,3,1,7,5,2,-
"S00138268",35,1,1,1,-,27,-,-,25,4,-,2,3,-,-,-,-,1,-,1,-
"S00138269",58,5,1,2,1,30,-,8,20,11,2,9,2,7,-,7,-,7,1,4,-
"S00138270",72,8,2,5,2,18,5,6,7,22,9,13,-,15,4,7,-,12,1,5,-
"S00138271",52,6,4,2,1,16,2,8,13,3,3,3,-,11,4,7,-,14,6,8,-
"S00138272",41,4,-,2,3,19,2,-,15,11,4,8,-,4,3,-,-,3,3,-,-
"S00138273",61,5,2,2,2,47,2,10,36,6,1,4,-,3,-,3,-,-,-,-,-
"S00138274",29,1,-,-,1,20,-,6,13,4,-,4,-,1,-,1,-,2,1,1,-
"S00138275",59,10,-,5,6,43,4,5,31,4,1,3,-,4,2,1,-,-,-,-,-
"S00138276",65,12,2,6,6,30,4,9,17,13,4,7,1,6,-,4,-,5,-,5,-
"S00138277",42,3,-,-,-,20,2,10,5,11,2,7,1,6,2,4,-,6,3,2,-
"S00138278",58,6,-,3,3,23,2,9,10,11,4,10,4,7,4,6,-,8,4,4,-
"S00138279",63,11,4,2,3,18,4,6,8,14,4,9,2,9,2,7,-,7,2,4,-
"S00138280",39,9,1,-,8,19,2,-,17,5,1,3,1,4,1,5,-,2,-,2,-
"S00138281",51,3,-,2,1,15,4,6,7,15,3,11,1,9,3,6,-,9,7,3,-
"S00138282",50,4,-,2,4,17,-,2,13,4,-,4,-,11,3,6,-,12,7,5,-
"S00138283",44,6,-,4,2,20,1,5,14,12,4,7,2,1,1,-,-,4,1,1,-
"S00138284",69,5,4,1,2,32,4,4,24,12,1,6,1,11,1,9,-,8,2,6,-
"S00138285",49,3,-,4,1,19,4,8,9,13,8,7,1,6,1,5,-,8,7,3,-
"S00138286",58,2,-,-,-,22,2,7,13,15,1,7,-,13,3,10,-,10,3,7,-
"S00138287",54,8,2,4,-,11,2,2,7,15,5,9,1,8,2,7,-,13,10,3,-
"S00138288",41,6,2,1,3,20,1,2,19,8,2,6,1,10,2,8,-,-,-,-,-
"S00138289",40,2,2,-,-,8,2,1,5,6,2,5,-,9,3,3,-,14,11,4,-
"S00138290",45,1,-,-,1,20,1,6,13,8,1,8,1,15,4,7,-,4,2,3,-
"S00138291",40,5,2,3,1,17,-,8,12,10,2,5,2,3,-,2,-,6,3,2,-
"S00138292",42,5,1,-,4,21,2,8,11,10,3,7,2,6,3,4,-,4,-,2,-
"S00138293",84,10,-,2,6,31,7,9,15,17,1,15,1,14,7,7,-,14,5,9,-
"S00138294",39,7,1,3,3,26,-,5,19,2,-,2,-,4,1,3,-,-,-,-,-
"S00138295",46,5,-,-,5,25,1,6,21,10,-,7,3,1,-,1,-,2,-,2,-
"S00138296",33,10,2,2,6,12,-,4,7,9,2,3,1,2,2,-,-,2,2,-,-
"S00138297",50,7,2,1,5,33,1,6,26,3,2,4,-,4,3,2,-,1,1,-,-
"S00138298",52,8,3,-,5,17,2,7,6,11,2,6,1,4,2,3,-,12,5,7,-
"S00138299",62,8,-,8,4,19,3,6,13,13,5,9,-,13,2,8,-,8,3,4,-
"S00138300",49,6,2,1,3,22,2,5,19,11,1,8,1,10,-,10,-,3,1,2,-
"S00138301",47,7,2,1,4,14,4,3,6,5,2,3,-,8,5,4,-,14,8,6,-
"S00138302",56,7,1,2,4,18,1,6,11,16,1,15,-,4,-,4,-,8,4,6,-
"S00138303",68,5,2,1,2,20,4,10,6,13,3,8,3,13,8,9,-,12,7,6,-
"S00138304",62,12,-,5,4,27,6,8,18,15,4,11,-,5,2,3,-,6,2,3,-
"S00138305",57,4,-,-,2,14,4,3,9,11,3,11,-,14,5,9,-,11,4,7,-
"S00138306",85,13,1,6,5,46,6,6,30,19,1,13,3,9,2,7,-,6,4,3,-
"S00138307",61,8,2,1,5,16,4,6,12,5,2,1,-,15,11,4,-,13,8,1,-
"S00138308",69,3,1,-,2,15,2,8,5,25,7,15,1,12,5,10,-,15,7,8,-
"S00138309",70,4,-,4,-,27,2,13,15,15,4,9,2,17,5,10,2,2,1,1,-
"S00138310",33,4,1,2,3,12,1,3,8,7,2,4,1,4,-,4,-,4,1,3,-
"S00138311",66,10,7,2,-,17,6,6,5,14,2,10,-,16,4,12,-,9,-,7,-
"S00138312",48,3,2,-,2,15,1,3,11,11,4,5,4,13,3,9,1,7,2,4,-
"S00138313",56,4,-,4,-,14,3,7,4,15,7,8,-,5,7,1,-,12,9,4,-
"S00138314",61,6,2,2,2,19,4,6,6,12,5,6,3,9,4,5,-,15,13,2,-
"S00138315",55,4,2,2,2,27,5,6,17,11,1,7,-,10,3,7,-,3,3,2,-
"S00138316",55,11,4,3,4,15,-,5,10,13,3,10,2,8,4,4,-,6,3,3,-
"S00138317",51,-,-,-,-,15,-,6,8,15,-,14,1,10,2,10,1,13,10,3,-
"S00138318",42,7,2,2,1,14,3,3,6,10,1,7,1,8,2,7,-,4,2,1,-
"S00138319",62,3,1,1,1,12,3,4,5,19,8,7,1,12,6,4,2,16,12,7,-
"S00138320",75,10,-,2,8,32,6,7,17,14,4,10,-,7,3,4,-,12,7,5,-
"S00138321",53,6,-,4,-,12,4,3,7,20,-,15,3,12,2,9,2,6,1,4,-
"S00138322",71,7,-,9,1,27,1,8,18,18,6,11,1,15,2,13,-,8,4,3,-
"S00138323",56,5,1,-,3,21,4,7,13,12,4,9,3,7,1,9,-,6,3,3,-
"S00138324",74,15,1,8,5,40,6,17,13,10,2,8,-,8,1,7,-,1,-,1,-
"S00138325",43,4,2,-,1,16,4,2,7,8,1,6,1,9,4,5,-,7,1,2,-
"S00138326",64,6,-,2,3,29,2,7,21,14,2,10,2,10,-,7,-,6,3,3,-
"S00138327",31,2,-,2,-,11,5,2,4,10,4,8,-,3,-,3,-,4,2,2,-
"S00138328",44,3,-,3,2,12,2,1,12,12,5,11,1,3,-,3,-,8,-,7,-
"S00138329",77,6,-,4,-,22,5,4,13,27,7,19,4,8,-,8,-,10,2,7,-
"S00138330",29,3,2,1,-,15,2,2,11,5,2,5,-,7,3,3,-,-,-,-,-
"S00138331",58,2,-,2,-,19,4,5,10,22,6,15,1,10,5,4,-,4,2,-,-
"S00138332",59,4,1,1,-,19,-,8,11,21,4,12,-,11,1,10,-,9,3,4,-
"S00138333",47,10,1,3,4,15,3,5,8,13,4,9,3,6,2,4,-,2,-,1,-
"S00138334",56,1,-,2,2,24,2,7,16,15,1,16,2,3,-,2,-,7,2,5,-
"S00138335",60,3,-,1,3,22,1,9,12,17,5,7,3,7,4,3,-,10,7,3,-
"S00138336",65,24,2,12,11,31,-,5,24,6,2,3,1,-,2,1,-,-,-,-,-
"S00138337",61,1,-,1,1,24,1,8,14,18,4,13,-,10,4,6,-,7,-,5,-
"S00138338",43,4,-,-,3,12,2,2,8,12,3,8,2,5,3,2,-,8,6,4,-
"S00138339",55,-,-,-,-,15,1,5,8,19,-,19,-,10,-,10,-,9,2,6,-
"S00138340",33,2,-,2,-,15,-,6,12,9,3,2,2,4,-,4,-,1,2,2,-
"S00138341",40,-,-,-,-,8,1,2,9,18,5,7,4,4,1,3,-,6,1,4,2
"S00138342",43,10,1,4,5,26,1,4,22,7,2,4,-,-,-,-,-,2,2,-,-
"S00138343",47,3,1,1,1,23,3,7,14,6,-,2,4,11,4,9,-,4,2,2,-
"S00138344",49,8,3,2,1,17,3,3,11,11,7,2,1,10,2,6,-,6,3,5,-
"S00138345",76,4,1,1,2,19,3,6,12,20,4,12,1,17,4,13,-,17,8,9,-
"S00138346",74,9,2,4,-,26,3,8,15,22,5,14,3,5,3,-,-,12,2,9,-
"S00138347",78,2,-,1,1,26,2,9,14,25,4,21,4,20,5,14,2,3,-,3,-
"S00138348",56,1,-,-,1,20,3,3,15,19,4,13,2,9,1,9,2,7,2,8,-
"S00138349",43,8,2,4,1,14,3,3,5,12,9,1,1,8,3,4,-,3,1,2,-
"S00138350",65,9,3,2,4,32,5,6,23,16,4,11,-,4,1,2,-,2,2,1,-
"S00138351",58,4,-,-,4,21,5,8,10,17,6,12,2,8,4,5,-,6,8,1,-
"S00138352",57,5,-,5,2,21,2,7,11,20,1,22,-,7,1,6,1,4,3,1,-
"S00138353",76,8,-,2,3,37,5,6,26,15,2,13,-,10,-,7,1,8,1,7,-
"S00138354",67,9,-,1,6,31,2,10,19,10,3,8,-,7,5,5,-,5,3,2,-
"S00138355",57,2,-,2,-,18,2,6,10,19,6,14,1,11,1,9,-,7,1,6,-
"S00138356",78,32,10,16,10,22,7,7,8,10,2,8,-,8,4,4,-,5,3,3,-
"S00138357",63,2,-,2,-,16,-,3,13,23,5,18,1,15,4,11,-,7,1,6,-
"S00138358",42,-,-,-,-,22,3,6,13,11,4,9,2,5,1,6,-,4,-,3,-
"S00138359",86,21,5,10,6,35,8,4,23,14,6,7,-,14,6,7,1,3,1,1,-
"S00138360",32,14,2,8,5,15,1,5,9,1,-,1,-,3,1,2,-,-,-,-,-
"S00138361",73,23,8,6,9,32,7,7,18,6,3,3,-,7,4,4,-,2,-,2,-
"S00138362",67,6,-,3,4,29,4,6,21,15,3,9,3,8,4,2,-,6,3,6,-
"S00138363",60,21,2,10,6,35,3,7,25,8,1,3,4,1,1,-,-,-,-,-,-
"S00138364",65,3,2,2,-,20,6,7,11,18,1,13,4,18,-,18,-,6,3,3,-
"S00138365",63,13,3,2,7,43,2,9,30,4,1,3,-,4,1,1,-,2,1,1,-
"S00138366",42,7,-,2,5,27,2,6,19,6,-,6,-,2,-,-,-,-,-,-,-
"S00138367",63,30,-,12,18,31,3,7,23,2,1,1,-,-,-,-,-,-,-,-,-
"S00138368",56,6,2,1,5,17,3,5,9,17,4,12,-,6,2,6,-,11,6,6,-
"S00138369",70,16,1,2,13,42,6,12,24,4,1,-,1,4,4,2,-,2,-,2,-
"S00138370",81,11,2,1,6,17,5,-,10,22,7,19,-,15,5,12,-,14,2,12,-
"S00138371",43,3,-,1,-,20,4,3,13,15,-,9,2,4,1,3,-,3,-,1,-
"S00138372",40,19,6,8,5,12,5,2,8,1,1,-,1,1,1,-,-,-,-,-,-
"S00138373",63,7,1,4,2,12,4,3,9,19,5,13,1,7,5,4,-,15,7,8,-
"S00138374",49,1,1,-,-,13,-,9,7,14,3,11,-,7,-,7,-,14,10,2,-
"S00138375",73,8,-,4,6,49,4,11,37,7,-,9,1,3,-,3,-,-,-,-,-
"S00138376",64,6,-,5,2,46,4,7,35,7,1,4,2,2,1,1,-,2,-,2,-
"S00138377",57,20,3,7,10,31,2,3,25,5,3,3,-,1,1,-,-,-,-,-,-
"S00138378",71,5,-,-,4,23,2,8,14,20,4,13,2,17,6,10,-,7,2,5,-
"S00138379",52,1,-,1,-,7,3,-,6,9,3,7,-,11,5,4,-,21,17,4,-
"S00138380",45,4,1,3,-,7,1,4,7,11,-,10,1,10,2,8,-,9,6,1,-
"S00138381",57,11,-,5,6,38,8,3,27,8,1,7,-,1,-,1,-,1,-,1,-
"S00138382",46,9,-,6,3,20,4,5,6,19,-,12,2,3,-,2,-,1,1,-,-
"S00138383",81,28,-,9,19,50,4,9,36,4,-,3,-,-,-,-,-,-,-,-,-
"S00138384",75,18,4,11,4,23,8,-,15,15,3,12,-,14,6,7,-,7,2,4,-
"S00138385",56,3,-,1,2,35,2,9,22,16,5,8,3,-,-,-,-,2,1,1,-
"S00138386",63,19,4,4,7,32,3,2,25,7,2,3,1,-,-,-,-,1,-,1,-
"S00138387",61,5,-,3,4,45,2,8,37,5,1,2,2,4,-,4,-,-,-,-,-
"S00138388",63,19,10,3,6,22,7,9,7,12,3,9,1,2,1,1,-,8,6,-,-
"S00138389",36,4,1,2,1,20,4,6,10,11,2,7,2,-,-,-,-,-,-,-,-
"S00138390",54,9,9,-,-,15,1,6,7,19,14,5,-,4,3,-,-,10,4,4,-
