Scotland's Census 2022 - National Records of Scotland
Table UV801 - Year of arrival in UK
All people
,"All people","Born in the UK","Arrived before 1941","Arrived 1941 - 1950","Arrived 1951 - 1960","Arrived 1961 - 1970","Arrived 1971 - 1980","Arrived 1981 - 1990","Arrived 1991 - 2000","Arrived 2001 - 2010","Arrived 2011 - 2013","Arrived 2014 - 2016","Arrived 2017 - 2019","Arrived 2020 - 2022"
"S00139587",125,115,-,-,1,1,1,2,-,2,-,3,1,-
"S00139588",99,95,-,-,1,-,2,-,-,2,-,-,-,-
"S00139589",92,86,-,-,-,-,-,-,-,2,-,-,4,-
"S00139590",136,126,-,-,-,-,1,2,2,5,-,-,-,-
"S00139591",72,62,-,-,-,1,-,-,-,2,-,1,-,6
"S00139592",66,53,-,-,-,-,-,-,-,-,-,5,4,-
"S00139593",106,98,-,-,-,-,1,-,-,1,-,1,-,-
"S00139594",108,99,-,-,-,-,-,-,1,1,4,4,-,-
"S00139595",131,127,-,-,-,-,-,-,4,2,-,-,-,-
"S00139596",111,103,-,-,-,-,-,4,1,3,2,-,-,-
"S00139597",64,59,-,-,-,-,-,-,-,-,-,1,4,-
"S00139598",102,97,-,-,-,1,-,-,1,1,-,-,1,-
"S00139599",118,107,-,-,-,-,-,1,-,11,-,-,-,-
"S00139600",75,75,-,-,-,-,-,-,-,1,-,-,-,-
"S00139601",137,124,-,-,-,-,1,-,-,-,2,9,-,1
"S00139602",96,86,-,-,-,-,1,-,1,4,3,-,-,-
"S00139603",68,65,-,-,-,-,-,-,1,-,1,-,-,-
"S00139604",129,118,-,-,-,-,-,-,-,5,-,1,-,1
"S00139605",115,112,-,-,-,-,-,-,-,7,-,-,-,-
"S00139606",61,58,-,-,-,2,-,-,-,-,-,1,-,-
"S00139607",85,73,-,-,-,-,-,1,2,8,2,-,-,-
"S00139608",97,91,-,-,1,1,-,1,-,3,-,-,-,-
"S00139609",94,81,-,-,-,-,-,-,2,8,-,-,1,3
"S00139610",102,95,-,-,-,-,-,-,-,4,-,-,5,-
"S00139611",116,111,-,-,-,-,-,-,-,-,2,3,-,-
"S00139612",59,57,-,-,-,2,-,-,-,1,-,-,-,-
"S00139613",116,114,-,-,-,-,-,-,-,4,-,-,-,-
"S00139614",145,127,-,-,-,-,-,-,-,10,-,3,5,-
"S00139615",115,109,-,-,-,-,2,-,-,3,1,2,1,1
"S00139616",65,62,-,-,-,1,-,-,-,-,-,-,-,1
"S00139617",95,86,-,-,-,1,1,1,-,1,3,-,-,-
"S00139618",130,126,-,-,-,1,-,-,-,2,-,-,-,-
"S00139619",121,118,-,-,1,-,1,-,1,-,-,-,-,-
"S00139620",102,102,-,-,-,1,-,-,-,2,-,-,-,1
"S00139621",72,68,-,-,-,2,-,1,-,-,2,-,-,-
"S00139622",118,107,-,-,-,-,2,-,-,2,-,-,4,-
"S00139623",60,59,-,-,-,-,-,-,-,1,-,-,-,-
"S00139624",153,147,-,1,-,2,-,-,-,4,-,1,-,1
"S00139625",87,82,-,-,-,-,-,-,1,-,1,-,-,-
"S00139626",72,66,-,-,2,-,1,-,-,3,1,-,-,-
"S00139627",109,96,-,-,-,-,-,4,2,4,2,1,2,-
"S00139628",149,145,-,-,-,-,1,-,-,2,-,-,1,-
"S00139629",69,69,-,-,-,-,-,-,-,-,-,-,-,-
"S00139630",98,93,-,-,-,1,-,-,-,-,-,-,-,-
"S00139631",75,71,-,-,-,-,-,1,-,3,-,-,-,-
"S00139632",104,99,2,-,-,-,-,2,1,2,-,-,-,-
"S00139633",102,93,-,-,-,-,-,-,1,2,-,4,1,-
"S00139634",86,82,-,1,-,2,2,-,-,-,-,-,-,-
"S00139635",161,158,-,-,-,2,1,2,-,1,4,-,-,-
"S00139636",150,145,-,-,-,1,-,-,-,1,-,-,-,1
"S00139637",111,96,-,-,-,-,-,2,2,1,3,6,2,-
"S00139638",162,157,-,-,-,2,2,-,-,1,-,-,-,-
"S00139639",70,65,-,-,-,1,1,3,-,-,-,-,-,2
"S00139640",85,80,-,1,-,-,-,-,-,-,-,4,-,-
"S00139641",81,75,-,-,1,-,-,-,-,1,-,-,2,-
"S00139642",104,105,-,-,-,-,-,1,-,-,-,-,-,-
"S00139643",126,111,-,-,-,4,1,-,-,4,3,-,-,-
"S00139644",112,105,-,-,1,-,-,2,-,3,-,-,-,-
"S00139645",69,69,-,-,-,-,-,-,-,-,-,-,-,-
"S00139646",114,108,-,-,-,-,1,-,-,6,2,-,-,-
"S00139647",118,116,-,-,-,-,-,-,-,2,-,-,-,-
"S00139648",114,109,-,-,-,1,-,-,1,1,-,3,-,-
"S00139649",91,91,-,-,-,-,-,-,-,-,-,-,-,-
"S00139650",140,135,-,-,-,-,-,-,-,-,-,2,-,-
"S00139651",99,98,-,-,2,-,-,-,-,-,-,-,-,-
"S00139652",199,189,-,-,-,-,-,-,2,2,4,-,-,1
"S00139653",126,119,-,-,-,-,-,1,-,-,-,-,-,-
"S00139654",116,114,-,-,-,-,1,-,-,-,-,-,-,-
"S00139655",119,114,-,-,1,-,1,-,-,-,-,1,-,-
"S00139656",99,96,-,-,-,-,-,-,2,-,-,-,-,-
"S00139657",173,165,-,-,-,-,1,-,3,-,-,-,-,-
"S00139658",109,106,-,-,-,-,1,-,1,-,-,-,-,-
"S00139659",62,57,-,-,-,-,-,-,1,3,-,2,-,-
"S00139660",166,162,-,-,-,2,-,1,-,-,-,-,-,-
"S00139661",91,86,-,1,-,2,-,-,-,-,-,-,-,-
"S00139662",69,65,-,1,-,-,-,-,2,-,-,2,1,-
"S00139663",116,104,-,-,1,-,1,2,2,1,3,1,-,1
"S00139664",174,163,-,-,-,2,2,1,1,1,-,-,-,-
"S00139665",107,102,-,-,-,-,1,1,2,1,-,-,-,-
"S00139666",81,83,-,-,1,-,-,-,-,-,-,-,-,-
"S00139667",93,81,-,-,-,-,3,-,2,4,-,5,-,-
"S00139668",86,78,-,-,-,2,-,-,5,-,-,2,-,-
"S00139669",78,74,-,-,-,2,-,-,4,1,-,-,-,-
"S00139670",67,66,1,-,-,-,-,-,1,-,-,-,-,-
"S00139671",84,86,-,-,2,-,-,-,-,-,-,-,-,-
"S00139672",97,91,-,-,1,-,1,-,-,2,-,-,2,-
"S00139673",66,63,-,-,-,-,-,-,-,3,-,2,-,-
"S00139674",94,87,-,-,-,1,1,-,-,4,-,4,1,-
"S00139675",98,94,-,-,2,-,-,-,-,4,-,-,-,-
"S00139676",101,94,-,-,-,-,1,-,1,2,-,1,-,1
"S00139677",105,99,-,-,-,-,-,2,2,1,-,-,-,-
"S00139678",81,73,-,2,-,-,-,-,-,4,-,-,-,3
"S00139679",80,75,-,-,-,-,-,-,-,3,1,1,1,2
"S00139680",153,148,-,-,-,-,-,1,1,1,-,1,-,1
"S00139681",112,107,-,-,-,1,-,-,1,3,-,-,-,-
"S00139682",135,130,-,-,-,-,-,-,2,5,-,-,-,-
"S00139683",89,81,-,-,-,-,1,-,3,2,-,-,1,-
"S00139684",110,106,-,-,-,-,-,-,-,3,-,-,-,-
"S00139685",138,133,-,1,-,-,-,-,1,3,-,-,-,-
"S00139686",118,111,-,-,1,1,-,-,-,-,2,4,-,-
"S00139687",150,144,-,-,-,-,1,-,-,-,-,4,-,1
"S00139688",109,106,1,-,-,-,-,-,-,-,-,-,-,-
"S00139689",109,101,-,-,1,3,-,1,-,1,1,-,1,-
"S00139690",101,103,-,-,-,2,-,-,1,-,-,-,-,-
"S00139691",74,69,-,-,-,-,3,-,-,4,-,-,-,-
"S00139692",83,78,-,-,-,-,-,-,-,4,-,3,-,-
"S00139693",94,89,-,-,-,2,-,3,-,-,-,-,-,-
"S00139694",105,99,-,-,-,-,-,-,-,3,-,-,-,-
"S00139695",79,71,-,-,1,4,-,-,2,-,-,1,-,-
"S00139696",100,95,1,-,-,-,1,-,-,-,2,1,-,-
"S00139697",111,109,-,-,-,-,-,-,-,-,-,-,3,-
"S00139698",87,81,-,-,1,-,-,-,1,3,-,-,-,2
"S00139699",92,88,-,-,-,-,-,-,2,3,-,-,-,-
"S00139700",90,87,-,-,1,1,-,-,-,-,-,-,1,-
"S00139701",90,91,-,-,-,2,-,-,-,-,-,-,-,-
"S00139702",90,89,-,-,-,-,-,2,-,-,-,-,-,-
"S00139703",128,123,-,-,1,-,-,-,1,4,-,-,-,-
"S00139704",93,90,-,-,-,-,-,-,-,-,-,-,1,-
"S00139705",98,98,-,-,-,-,-,-,1,2,-,-,-,-
"S00139706",68,64,-,-,2,1,-,-,-,-,-,-,2,-
"S00139707",75,70,1,-,-,-,-,1,-,-,-,3,-,-
"S00139708",130,122,-,-,-,1,3,1,1,2,-,1,-,-
"S00139709",70,69,-,-,1,-,-,-,-,-,-,-,-,-
"S00139710",101,92,-,-,-,-,-,-,-,1,-,-,1,-
"S00139711",99,93,-,-,-,1,1,-,4,1,-,1,-,-
"S00139712",149,143,-,-,-,1,-,-,-,3,-,-,-,1
"S00139713",137,124,-,-,-,3,-,1,-,1,-,-,1,7
"S00139714",63,59,-,1,-,-,-,-,-,3,-,-,-,-
"S00139715",121,115,-,-,1,-,-,-,-,-,-,-,-,5
"S00139716",73,70,-,-,-,-,1,-,2,-,-,-,-,-
"S00139717",127,114,-,-,-,-,1,-,4,4,-,6,-,1
"S00139718",96,93,-,-,-,1,1,-,-,-,-,-,-,-
"S00139719",109,109,-,-,-,-,2,-,-,-,-,-,-,-
"S00139720",103,93,-,-,-,-,-,-,-,7,1,-,3,-
"S00139721",174,163,-,-,-,1,1,-,2,6,-,-,-,-
"S00139722",129,121,-,-,-,-,-,-,1,-,4,-,-,-
"S00139723",105,101,-,-,-,-,-,1,1,-,-,-,1,-
"S00139724",79,77,-,-,-,-,-,-,-,1,-,1,-,-
"S00139725",185,181,-,-,-,-,2,-,-,4,1,-,-,-
"S00139726",103,98,-,-,1,-,-,-,-,3,-,-,-,-
"S00139727",110,106,-,-,-,-,-,1,-,-,-,-,-,2
"S00139728",80,78,-,-,-,-,1,-,-,-,-,-,-,-
"S00139729",133,128,-,-,-,1,-,-,-,4,-,-,-,-
"S00139730",107,103,-,-,-,-,-,-,-,3,-,-,-,2
"S00139731",102,92,-,-,-,-,-,-,3,-,3,-,1,3
"S00139732",135,132,-,1,-,2,-,2,-,-,-,1,-,-
"S00139733",112,109,-,-,-,-,1,2,-,-,-,-,-,-
"S00139734",74,70,-,-,-,1,-,-,1,-,-,-,-,-
"S00139735",120,113,-,-,-,-,1,1,-,-,-,-,1,-
"S00139736",146,141,-,-,-,-,-,-,3,2,2,-,-,-
"S00139737",151,146,-,-,-,-,1,-,5,-,-,1,-,-
"S00139738",123,111,-,1,-,-,-,3,4,4,-,-,-,-
"S00139739",82,82,-,-,-,-,-,-,-,-,-,-,-,-
"S00139740",90,76,-,-,-,-,-,-,1,6,-,4,2,-
"S00139741",83,77,-,-,1,-,4,-,-,4,-,-,1,-
"S00139742",160,158,-,1,-,-,1,1,-,3,-,-,-,-
"S00139743",118,115,-,-,-,1,-,1,-,-,-,-,1,-
"S00139744",180,174,-,-,1,-,-,-,-,1,-,-,-,4
"S00139745",153,149,-,-,-,-,-,1,2,-,-,-,-,1
"S00139746",157,149,-,1,-,2,1,-,1,-,-,-,1,2
"S00139747",161,154,-,-,2,1,4,1,1,1,-,-,-,-
"S00139748",118,115,-,-,1,-,-,-,-,-,-,-,1,-
"S00139749",114,107,-,-,-,-,-,-,1,6,-,-,-,-
"S00139750",115,116,-,-,-,-,2,-,1,-,-,-,-,-
"S00139751",92,85,-,-,-,-,-,-,-,2,-,-,1,-
"S00139752",62,57,-,-,-,1,1,-,-,-,1,-,-,2
"S00139753",106,106,-,-,-,-,-,-,-,-,-,-,-,-
"S00139754",107,103,-,-,-,-,-,1,-,1,-,-,-,-
"S00139755",88,86,-,-,-,-,-,-,1,1,-,-,-,-
"S00139756",165,160,-,-,-,-,-,-,1,1,-,-,2,-
"S00139757",115,108,-,-,1,-,-,-,2,2,2,-,-,-
"S00139758",129,123,-,-,-,2,1,1,1,-,-,-,-,-
"S00139759",102,101,-,-,-,-,-,2,-,-,-,-,-,-
"S00139760",101,96,-,-,-,-,-,2,-,-,1,-,1,-
"S00139761",66,63,-,-,-,-,-,-,2,1,-,-,-,4
"S00139762",137,124,-,-,-,1,2,1,3,6,-,-,1,-
"S00139763",109,107,-,-,-,-,-,-,-,-,-,-,2,-
"S00139764",108,103,-,-,2,1,-,-,-,1,-,-,-,-
"S00139765",164,144,-,-,-,-,1,1,4,4,2,7,-,-
"S00139766",72,60,-,-,-,-,1,-,-,2,4,-,-,2
"S00139767",92,89,-,-,-,-,-,-,1,2,-,-,-,-
"S00139768",79,79,-,-,-,1,-,1,-,-,-,-,-,-
"S00139769",123,114,-,-,1,-,3,-,1,3,-,1,-,2
"S00139770",126,118,-,-,2,-,-,-,-,2,1,-,-,3
"S00139771",138,136,-,1,-,2,-,-,-,-,-,-,-,-
"S00139772",109,103,-,-,-,-,1,-,1,1,-,2,-,-
"S00139773",100,95,-,-,-,-,-,-,-,1,-,4,-,-
"S00139774",87,85,-,-,1,-,1,-,-,-,-,-,-,-
"S00139775",73,66,-,-,-,-,-,-,4,1,-,-,2,-
"S00139776",99,95,-,-,-,2,-,-,-,1,-,1,-,-
"S00139777",69,58,-,-,-,1,2,-,-,2,-,2,-,4
"S00139778",165,158,-,-,-,-,-,-,-,5,-,-,2,-
"S00139779",116,105,-,-,-,-,-,-,1,6,-,-,-,7
"S00139780",92,88,-,-,2,-,-,-,-,1,-,2,-,-
"S00139781",87,79,-,-,-,2,-,-,-,4,1,-,-,1
"S00139782",102,101,-,-,-,1,-,-,-,-,-,-,-,-
"S00139783",85,85,-,-,-,-,1,1,-,-,-,-,-,-
"S00139784",101,98,-,-,1,-,-,-,-,1,-,-,-,-
"S00139785",139,130,-,1,2,-,1,2,-,4,1,-,-,-
"S00139786",103,97,-,-,1,-,-,-,-,5,-,-,-,-
"S00139787",135,120,-,-,-,-,-,1,-,3,6,1,-,6
"S00139788",132,119,-,-,2,-,1,2,-,7,-,-,-,-
"S00139789",76,74,-,-,-,2,-,-,-,-,-,-,-,-
"S00139790",125,104,-,-,-,2,1,1,-,8,7,4,-,-
"S00139791",67,69,-,-,-,-,-,-,2,-,-,-,-,-
"S00139792",96,96,-,-,-,-,-,-,-,-,-,-,-,-
"S00139793",182,181,-,-,-,-,-,-,1,1,-,-,1,-
"S00139794",133,126,-,-,-,-,1,-,2,2,-,2,-,-
"S00139795",135,132,-,-,-,-,-,-,1,-,-,-,-,-
"S00139796",117,114,-,-,-,-,-,1,-,-,-,-,-,-
"S00139797",139,132,-,-,-,2,-,-,1,4,1,-,-,-
"S00139798",105,92,-,-,-,-,-,-,-,10,-,2,-,-
"S00139799",106,104,-,-,-,-,-,2,-,1,-,-,2,1
"S00139800",120,111,-,-,-,-,1,-,-,1,2,-,1,3
"S00139801",166,166,-,-,1,-,4,-,-,-,-,-,-,-
"S00139802",96,95,-,-,-,-,-,-,2,-,-,-,-,-
"S00139803",75,73,-,-,-,-,-,-,-,-,-,-,-,2
"S00139804",67,64,-,-,-,2,-,-,-,2,-,-,-,-
"S00139805",133,128,-,-,1,-,-,-,-,4,-,-,-,-
"S00139806",138,133,-,-,1,1,1,-,-,-,4,-,-,-
"S00139807",119,113,-,-,1,1,-,-,-,2,1,-,-,1
"S00139808",138,135,1,-,-,-,1,-,-,-,-,-,1,-
"S00139809",75,71,-,-,-,-,-,-,1,-,-,3,-,-
"S00139810",95,89,-,-,-,-,-,-,1,5,-,-,-,-
"S00139811",94,85,-,-,1,-,-,3,1,3,-,2,-,-
"S00139812",122,109,-,-,1,-,4,-,-,9,3,-,-,-
"S00139813",113,109,-,1,-,-,-,1,-,-,2,-,-,-
"S00139814",85,77,-,-,-,-,-,2,3,1,4,-,-,-
"S00139815",96,92,-,-,-,-,-,-,-,-,4,-,-,-
"S00139816",103,97,-,-,-,-,-,-,2,2,-,2,-,-
"S00139817",187,164,-,-,-,-,2,-,-,15,1,4,-,-
"S00139818",63,55,-,-,-,-,-,-,3,6,-,1,-,-
"S00139819",84,78,-,-,-,-,3,-,-,2,-,1,-,-
"S00139820",157,153,1,2,-,-,1,-,1,-,-,-,-,-
"S00139821",86,85,-,-,-,-,1,-,-,-,-,-,-,-
"S00139822",112,98,-,-,-,1,-,1,-,5,9,-,-,-
"S00139823",153,145,-,-,-,1,-,-,-,7,1,-,-,-
"S00139824",122,118,-,-,-,-,-,-,2,-,-,-,-,-
"S00139825",92,88,-,-,-,-,-,-,-,3,-,-,-,-
"S00139826",131,121,-,-,-,-,-,-,1,4,-,5,1,-
"S00139827",130,123,-,-,-,-,-,-,1,-,2,-,4,-
"S00139828",179,171,-,-,-,-,2,-,-,1,2,2,-,-
"S00139829",67,63,-,-,-,-,-,-,1,2,-,-,-,-
"S00139830",70,68,-,-,-,1,-,-,-,1,-,-,-,-
"S00139831",134,129,-,-,-,-,-,-,-,-,1,2,-,-
"S00139832",116,113,-,-,-,-,-,-,-,1,-,-,-,-
"S00139833",122,113,-,-,-,-,1,1,1,1,3,1,-,-
"S00139834",88,85,-,-,1,1,-,-,-,-,-,-,-,1
"S00139835",91,87,-,-,-,-,1,-,-,4,2,-,-,-
"S00139836",65,63,-,-,-,-,-,-,-,-,4,-,-,-
"S00139837",123,118,-,-,-,3,1,-,-,-,3,-,-,-
"S00139838",90,83,-,-,-,1,-,-,-,1,1,-,-,4
"S00139839",103,100,-,-,-,1,-,-,1,1,-,-,-,-
"S00139840",162,144,-,-,-,-,-,-,4,4,6,2,1,2
"S00139841",189,188,-,-,-,-,-,-,1,-,-,-,-,-
"S00139842",148,151,-,-,2,-,1,-,-,2,-,-,-,-
"S00139843",94,92,-,-,-,-,-,1,-,-,-,-,2,-
"S00139844",114,111,-,-,-,-,-,-,-,2,-,-,1,-
"S00139845",94,85,-,-,-,-,-,-,-,6,3,-,-,-
"S00139846",113,109,-,-,-,-,-,-,-,5,-,2,-,-
"S00139847",132,127,-,-,-,-,-,-,-,2,-,1,2,-
"S00139848",155,143,-,-,-,-,-,-,2,6,5,-,3,-
"S00139849",127,122,-,-,4,1,-,-,-,-,-,-,1,-
"S00139850",80,79,-,-,-,-,1,-,-,-,-,-,-,-
"S00139851",95,95,-,-,-,-,-,-,-,-,-,-,-,-
"S00139852",89,84,-,-,-,-,1,-,1,1,-,-,-,-
"S00139853",74,67,-,-,-,1,-,-,-,1,-,1,4,-
"S00139854",67,64,-,1,-,-,-,1,-,-,-,-,-,-
"S00139855",116,113,-,-,-,2,-,-,-,1,-,-,-,-
"S00139856",115,111,-,-,-,-,-,1,-,-,-,-,-,-
"S00139857",76,70,-,-,-,1,-,-,-,3,-,-,-,-
"S00139858",66,64,-,-,-,-,-,-,2,-,-,-,-,-
"S00139859",70,62,-,-,-,-,1,-,-,4,-,-,-,-
"S00139860",93,86,-,-,1,-,2,-,-,-,-,-,1,-
"S00139861",158,151,-,-,-,-,-,-,2,6,-,-,-,-
"S00139862",119,104,-,-,-,-,2,-,-,9,2,-,-,-
"S00139863",140,134,-,-,-,2,-,1,-,-,3,-,-,-
"S00139864",98,95,-,-,-,1,2,-,-,4,1,-,-,-
"S00139865",95,91,-,-,1,-,-,-,-,-,2,-,-,1
"S00139866",73,68,-,-,-,1,2,-,-,2,1,-,-,-
"S00139867",162,160,-,-,2,-,2,-,1,-,-,-,-,-
"S00139868",148,143,-,-,2,1,1,-,-,-,-,-,-,1
"S00139869",100,93,-,-,2,3,1,-,2,-,-,-,-,-
"S00139870",99,99,-,-,-,-,-,-,-,-,-,-,-,-
"S00139871",100,96,-,-,-,-,-,2,-,-,-,-,-,-
"S00139872",97,96,-,-,-,-,-,-,1,-,-,-,-,-
"S00139873",77,76,-,-,-,-,-,2,-,-,-,-,-,-
"S00139874",96,97,-,-,1,-,-,-,1,-,-,-,-,-
"S00139875",162,153,-,-,-,2,2,1,-,4,-,-,1,-
"S00139876",107,104,-,-,-,-,-,-,-,2,-,-,-,-
"S00139877",127,123,-,-,-,-,1,-,1,-,2,-,-,-
"S00139878",85,80,-,-,-,-,2,2,-,1,-,-,-,-
"S00139879",171,163,-,-,1,1,-,1,1,1,-,-,-,2
"S00139880",144,141,-,-,-,-,4,-,1,-,-,-,-,-
"S00139881",174,167,-,-,-,1,-,2,-,5,-,1,-,-
"S00139882",91,83,-,-,-,-,-,1,-,6,-,-,-,-
"S00139883",154,149,-,-,-,1,1,-,-,2,-,-,-,4
"S00139884",131,125,-,-,1,1,-,-,-,2,2,1,-,-
"S00139885",165,154,-,-,1,-,-,1,-,-,1,-,7,-
"S00139886",99,97,-,-,-,-,1,1,-,-,-,-,-,-
"S00139887",147,139,-,-,1,-,1,-,1,3,-,-,-,-
"S00139888",76,74,-,-,1,-,-,-,1,-,-,-,-,-
"S00139889",152,149,-,-,2,-,-,-,-,2,-,-,-,-
"S00139890",168,154,-,-,-,3,1,4,-,4,-,-,3,-
"S00139891",94,90,-,-,3,-,-,-,-,1,1,-,-,-
"S00139892",127,124,-,-,-,-,1,2,-,-,-,-,-,-
"S00139893",97,92,-,-,-,1,-,3,1,-,-,-,-,-
"S00139894",145,134,-,-,2,3,2,1,-,1,-,-,2,-
"S00139895",110,101,-,-,-,1,-,-,1,6,-,1,-,-
"S00139896",64,63,-,-,-,-,-,-,-,-,-,1,-,-
"S00139897",87,85,-,-,-,2,-,-,-,-,-,-,-,-
"S00139898",98,93,-,-,-,-,-,-,-,4,-,-,-,1
"S00139899",159,153,-,-,1,-,1,1,-,1,-,-,-,-
"S00139900",127,124,-,-,-,-,-,2,-,-,1,-,-,-
"S00139901",99,93,-,-,-,1,1,1,1,1,-,1,-,-
"S00139902",126,118,-,-,-,-,-,-,1,-,-,-,-,5
"S00139903",146,146,-,1,-,-,-,-,3,-,-,-,-,-
"S00139904",70,66,-,-,-,1,-,-,1,2,-,-,-,-
"S00139905",104,97,-,-,-,1,1,-,-,1,-,-,-,-
"S00139906",95,87,-,-,2,-,1,-,1,-,1,-,-,-
"S00139907",107,95,-,-,-,-,-,-,-,6,2,1,1,1
"S00139908",106,98,-,-,-,-,3,-,-,-,-,-,3,3
"S00139909",107,102,-,-,-,3,-,-,-,2,-,-,-,-
"S00139910",63,60,-,-,-,-,1,-,-,1,-,-,-,-
"S00139911",112,91,-,-,4,4,-,-,1,9,-,6,4,-
"S00139912",80,71,-,-,3,-,-,-,-,-,-,-,4,-
"S00139913",216,204,-,-,-,-,1,-,-,6,1,1,-,-
"S00139914",69,65,-,-,-,-,-,-,-,1,2,-,-,2
"S00139915",169,164,-,-,-,2,-,-,5,-,-,-,-,-
"S00139916",152,148,-,-,-,-,-,-,-,2,-,-,-,-
"S00139917",68,60,-,-,-,-,-,-,-,4,2,1,-,2
"S00139918",191,181,-,-,-,-,1,1,-,1,-,4,-,2
"S00139919",77,74,-,-,-,-,-,-,-,-,-,2,-,-
"S00139920",124,120,-,-,-,1,1,-,1,-,1,-,-,-
"S00139921",127,122,-,-,1,-,2,-,-,2,-,-,-,2
"S00139922",124,116,-,-,-,-,1,2,-,2,-,3,-,-
"S00139923",168,166,-,-,-,-,1,2,-,-,-,-,-,-
"S00139924",177,168,-,-,-,1,1,-,1,3,-,-,4,-
"S00139925",100,89,-,-,-,-,-,-,-,7,-,6,-,-
"S00139926",174,163,-,-,1,-,-,3,1,6,1,-,-,-
"S00139927",96,92,-,-,-,-,-,-,2,1,-,2,-,-
"S00139928",123,117,-,-,-,1,-,-,2,1,2,-,-,1
"S00139929",80,74,-,-,-,-,2,-,1,3,-,2,-,-
"S00139930",107,105,-,-,-,-,-,-,-,-,2,-,-,-
"S00139931",143,136,-,-,-,-,-,-,1,3,-,3,-,-
"S00139932",154,144,-,-,-,-,1,-,2,3,-,5,3,-
"S00139933",205,181,-,-,1,1,-,2,1,14,-,5,4,-
"S00139934",111,110,-,-,-,-,-,-,-,1,-,-,-,-
"S00139935",64,65,-,-,-,-,-,-,-,1,1,-,-,-
"S00139936",155,134,-,-,-,-,-,-,-,16,3,-,2,-
"S00139937",104,102,-,-,-,-,-,-,-,-,1,1,-,-
"S00139938",103,92,-,-,-,-,-,1,1,3,7,-,-,-
"S00139939",89,88,-,-,-,-,-,-,-,-,-,-,-,-
"S00139940",77,76,-,-,-,-,-,-,-,1,-,-,-,-
"S00139941",118,121,-,-,-,-,-,-,-,1,1,-,-,-
"S00139942",83,76,-,-,-,1,-,-,-,1,-,4,-,1
"S00139943",67,64,-,-,2,-,-,-,-,-,4,-,-,-
"S00139944",238,231,-,-,-,-,2,1,2,1,1,-,-,-
"S00139945",79,67,-,-,1,-,1,1,-,-,-,4,2,-
"S00139946",105,100,-,1,-,-,-,-,-,4,-,2,1,-
"S00139947",106,76,-,-,-,2,-,-,-,13,-,15,2,-
"S00139948",76,73,-,-,-,-,1,-,-,2,-,-,-,-
"S00139949",101,92,-,-,-,-,-,-,-,3,-,4,-,-
"S00139950",143,141,-,-,-,2,1,-,-,-,-,-,-,-
"S00139951",210,195,-,-,-,-,-,-,1,6,3,4,-,2
"S00139952",76,78,-,-,-,-,-,-,-,-,-,-,-,-
"S00139953",65,60,-,-,2,-,-,1,1,2,-,3,-,-
"S00139954",131,127,-,-,-,-,-,-,-,-,-,-,-,-
"S00139955",134,123,-,-,-,1,1,2,1,6,-,-,-,-
"S00139956",99,93,-,-,-,-,-,-,-,3,1,2,-,-
"S00139957",92,89,-,-,-,-,-,-,-,1,1,1,-,-
"S00139958",131,127,-,-,-,-,-,-,2,3,-,-,-,-
"S00139959",164,163,-,-,-,-,1,-,-,-,-,-,-,-
"S00139960",69,69,-,-,-,-,-,-,-,-,-,-,-,-
"S00139961",183,169,-,-,-,1,-,-,-,7,3,2,-,-
"S00139962",113,106,-,-,-,-,-,-,-,6,-,1,-,-
"S00139963",157,150,-,-,-,-,-,-,-,4,-,2,-,-
"S00139964",100,97,-,-,-,1,1,-,-,2,1,1,-,-
"S00139965",76,70,-,-,-,-,-,1,-,4,-,-,1,-
"S00139966",82,72,-,-,-,1,1,-,-,-,-,4,3,1
"S00139967",76,71,-,-,-,-,-,-,-,4,-,2,-,-
"S00139968",105,102,-,-,-,-,-,5,-,-,-,1,-,-
"S00139969",80,71,-,-,-,-,-,-,-,4,-,2,1,3
"S00139970",116,103,-,-,-,-,-,-,-,10,-,2,-,-
"S00139971",117,110,-,-,1,-,-,1,1,2,-,1,2,-
"S00139972",92,92,-,-,-,-,-,-,-,-,-,-,-,-
"S00139973",91,86,-,-,-,-,-,-,-,1,1,-,-,-
"S00139974",145,105,-,-,-,1,-,3,-,13,5,11,2,1
"S00139975",112,95,-,-,-,-,-,-,-,6,-,4,4,2
"S00139976",74,72,-,1,-,-,-,-,2,-,-,-,-,-
"S00139977",84,82,-,-,-,-,-,-,-,2,-,-,-,-
"S00139978",134,121,-,-,-,2,3,2,-,5,1,-,-,-
"S00139979",71,68,-,-,-,-,-,-,-,-,-,2,-,-
"S00139980",147,138,-,-,-,-,-,1,3,4,-,-,-,1
"S00139981",119,109,-,-,-,-,2,-,-,4,1,3,1,-
"S00139982",73,70,-,-,-,-,-,-,-,2,-,2,2,-
"S00139983",189,174,-,-,-,-,-,1,-,11,2,-,2,-
"S00139984",111,108,-,-,1,-,1,-,-,1,-,-,-,-
"S00139985",111,100,-,-,-,-,-,-,-,6,3,1,1,-
"S00139986",139,135,-,-,-,-,-,-,-,1,-,3,-,-
"S00139987",98,98,-,-,-,-,-,-,-,-,-,-,-,-
"S00139988",152,148,-,-,-,-,-,-,-,2,-,1,2,-
"S00139989",139,133,-,-,-,-,-,-,-,2,2,2,-,-
"S00139990",150,143,-,-,-,2,-,-,-,5,1,-,-,-
"S00139991",109,87,-,-,-,2,-,-,-,12,4,-,-,-
