Scotland's Census 2022 - National Records of Scotland
Table UV212 - Main language
All people aged 3 and over

,"All people aged 3 and over","English","Scots","Gaelic","Sign Language","Other language"
"S00135969",74,53,-,-,1,20
"S00135970",103,93,-,-,-,10
"S00135971",115,94,-,-,-,21
"S00135972",92,75,1,-,-,14
"S00135973",120,106,-,-,-,14
"S00135974",95,79,-,-,-,16
"S00135975",82,77,-,-,-,8
"S00135976",112,100,-,-,-,15
"S00135977",75,73,-,-,-,-
"S00135978",120,95,-,1,-,20
"S00135979",88,84,-,-,3,1
"S00135980",102,96,-,-,-,6
"S00135981",149,147,-,-,-,6
"S00135982",88,68,-,-,-,16
"S00135983",116,104,-,-,-,16
"S00135984",112,99,-,-,-,12
"S00135985",113,98,3,-,-,13
"S00135986",125,123,2,-,-,2
"S00135987",77,61,2,-,-,14
"S00135988",69,68,-,-,-,1
"S00135989",93,77,1,-,3,12
"S00135990",65,65,-,-,-,-
"S00135991",71,65,-,-,-,6
"S00135992",94,90,-,-,1,-
"S00135993",100,96,-,-,-,4
"S00135994",171,150,-,-,-,20
"S00135995",64,59,-,-,-,6
"S00135996",169,159,-,-,-,7
"S00135997",118,105,2,-,-,5
"S00135998",93,65,-,-,-,27
"S00135999",93,74,-,-,-,23
"S00136000",125,116,-,-,-,15
"S00136001",75,66,-,-,-,7
"S00136002",100,83,-,-,-,17
"S00136003",70,50,-,-,-,20
"S00136004",73,59,-,-,-,14
"S00136005",138,133,-,-,-,3
"S00136006",62,57,1,-,-,6
"S00136007",162,131,-,-,-,31
"S00136008",76,62,-,-,-,13
"S00136009",109,97,-,-,-,12
"S00136010",131,127,-,-,-,4
"S00136011",122,103,1,-,-,18
"S00136012",108,94,-,-,-,17
"S00136013",87,63,1,-,-,23
"S00136014",119,95,2,-,-,22
"S00136015",112,101,-,-,-,11
"S00136016",116,84,-,-,-,32
"S00136017",146,130,-,-,-,20
"S00136018",150,117,-,-,-,30
"S00136019",870,752,1,9,-,108
"S00136020",132,121,2,-,-,11
"S00136021",63,47,-,-,-,16
"S00136022",124,110,-,-,-,14
"S00136023",65,65,-,-,-,-
"S00136024",84,69,-,-,-,13
"S00136025",108,101,-,-,-,7
"S00136026",139,129,-,-,-,11
"S00136027",70,60,-,-,-,8
"S00136028",65,52,3,-,-,6
"S00136029",89,82,-,-,-,7
"S00136030",140,129,-,-,-,9
"S00136031",117,80,-,-,-,36
"S00136032",108,91,-,-,-,18
"S00136033",140,102,-,-,-,37
"S00136034",108,82,2,-,-,25
"S00136035",128,102,-,-,-,27
"S00136036",106,93,1,-,-,12
"S00136037",92,75,-,-,-,17
"S00136038",79,76,-,-,-,3
"S00136039",82,65,1,-,-,18
"S00136040",82,74,-,-,-,8
"S00136041",142,120,-,-,-,22
"S00136042",112,98,1,-,-,9
"S00136043",84,68,-,-,1,15
"S00136044",62,57,-,-,-,3
"S00136045",145,136,2,-,1,6
"S00136046",88,76,-,-,-,12
"S00136047",124,103,-,-,-,21
"S00136048",104,86,-,-,-,18
"S00136049",144,119,-,-,-,25
"S00136050",143,130,-,-,-,12
"S00136051",110,88,-,-,-,22
"S00136052",62,55,-,-,-,7
"S00136053",91,79,-,-,-,12
